Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,17.719999,17.719999,16.139999,16.719999,100300,16.719999
2016-01-22,18.290001,18.389999,14.38,17.75,88700,17.75
2016-01-21,19.011999,19.27,18.120001,18.290001,107300,18.290001
2016-01-20,19.370001,19.610001,19.139999,19.34,21500,19.34
2016-01-19,20.889999,20.889999,19.43,19.66,39200,19.66
2016-01-15,20.360001,21.059999,20.139999,20.74,29600,20.74
2016-01-14,20.90,21.719999,20.58,20.82,16000,20.82
2016-01-13,21.290001,21.290001,20.59,20.959999,15300,20.959999
2016-01-12,22.190001,22.200001,21.110001,21.280001,124700,21.280001
2016-01-11,22.299999,22.49,21.76,22.200001,98600,22.200001
2016-01-08,22.50,22.50,21.83,22.26,22100,22.26
2016-01-07,22.51,22.540001,22.25,22.40,27200,22.40
2016-01-06,23.32,23.41,22.85,23.01,37700,23.01
2016-01-05,22.66,23.49,22.43,23.48,40200,23.48
2016-01-04,23.125,23.32,22.42,22.809999,35200,22.809999
2015-12-31,23.715,24.02,23.09,23.65,26100,23.65
2015-12-30,23.50,23.99,23.209999,23.85,20400,23.85
2015-12-29,23.209999,23.50,22.799999,23.50,32200,23.50
2015-12-28,23.82,23.82,22.950001,23.15,16500,23.15
2015-12-24,23.59,23.969999,23.200001,23.42,13900,23.42
2015-12-23,23.75,24.00,23.40,23.68,17100,23.68
2015-12-22,23.77,24.129999,23.60,23.90,38900,23.90
2015-12-21,23.01,23.93,22.66,23.719999,48200,23.719999
2015-12-18,23.709999,24.23,22.780001,22.780001,443900,22.780001
2015-12-17,23.280001,24.309999,23.280001,23.99,74400,23.99
2015-12-16,24.093,24.450001,23.525999,23.754999,165700,23.754999
2015-12-15,24.02,24.48,23.17,23.780001,95000,23.780001
2015-12-14,23.809999,28.282,23.25,23.58,101600,23.58
2015-12-11,24.879999,24.879999,23.610001,24.15,96200,24.15
2015-12-10,24.98,25.25,24.00,24.360001,40800,24.360001
2015-12-09,25.99,25.99,24.778,25.34,40000,25.34
2015-12-08,24.790001,27.60,24.385,26.26,46600,26.26
2015-12-07,24.77,24.77,24.021,24.59,30200,24.59
2015-12-04,24.25,24.299999,23.780001,24.139999,34100,24.139999
2015-12-03,24.00,24.370001,23.93,24.076,25100,24.076
2015-12-02,24.200001,24.457001,23.90,24.00,34600,24.00
2015-12-01,24.17,24.50,24.129999,24.469999,36400,24.469999
2015-11-30,24.10,24.497,23.559999,24.26,25200,24.26
2015-11-27,24.15,24.620001,24.00,24.219999,24100,24.219999
2015-11-25,23.440001,24.50,23.41,24.485001,26200,24.485001
2015-11-24,23.50,23.85,23.01,23.629999,23600,23.629999
2015-11-23,22.33,23.629999,22.33,23.559999,34600,23.559999
2015-11-20,22.299999,22.950001,22.25,22.60,32600,22.60
2015-11-19,22.379999,22.74,22.309999,22.50,12500,22.50
2015-11-18,23.15,23.309999,22.309999,22.75,45700,22.75
2015-11-17,22.629999,23.450001,22.379999,22.639999,77200,22.639999
2015-11-16,23.780001,23.893,22.25,22.48,60900,22.48
2015-11-13,23.690001,24.00,23.049999,23.754999,34100,23.754999
2015-11-12,23.790001,23.99,23.75,23.885,13600,23.885
2015-11-11,23.75,24.16,23.370001,23.93,18400,23.93
2015-11-10,23.40,24.035,23.02,23.700001,38600,23.700001
2015-11-09,23.200001,24.10,23.00,23.09,81700,23.09
2015-11-06,23.549999,23.82,23.01,23.82,36800,23.82
2015-11-05,23.790001,23.790001,22.77,23.25,53500,23.25
2015-11-04,23.15,24.200001,23.00,23.275999,37800,23.275999
2015-11-03,23.48,24.18,22.90,23.389999,25400,23.389999
2015-11-02,23.42,24.48,22.629999,23.559999,84700,23.559999
2015-10-30,23.75,24.700001,22.77,23.18,88500,23.18
2015-10-29,22.440001,23.889999,22.23,23.700001,42900,23.700001
2015-10-28,22.10,22.499001,22.10,22.43,13000,22.43
2015-10-27,22.08,22.35,22.08,22.10,73000,22.10
2015-10-26,22.219999,22.50,22.059999,22.184,50400,22.184
2015-10-23,22.200001,22.389999,22.10,22.17,13600,22.17
2015-10-22,22.110001,22.40,22.10,22.16,18600,22.16
2015-10-21,22.09,22.42,22.049999,22.33,96700,22.33
2015-10-20,22.34,22.40,22.09,22.389999,111200,22.389999
2015-10-19,22.440001,22.549999,22.200001,22.50,53400,22.50
2015-10-16,23.040001,23.040001,22.02,22.50,19400,22.50
2015-10-15,22.35,22.922001,22.049999,22.32,139800,22.32
2015-10-14,22.280001,23.00,22.280001,22.35,21600,22.35
2015-10-13,22.16,22.57,22.16,22.299999,32000,22.299999
2015-10-12,22.40,22.620001,21.969999,22.200001,48300,22.200001
2015-10-09,23.18,23.200001,22.52,22.52,84300,22.52
2015-10-08,22.549999,23.469999,22.16,23.120001,1239700,23.120001
