Date,Open,High,Low,Close,Volume,Adj Close
2010-10-14,22.50,22.76,22.059999,22.290001,203200,20.136701
2010-10-13,21.91,22.700001,21.66,22.540001,271100,20.36255
2010-10-12,22.129999,22.42,21.68,21.879999,149000,19.766307
2010-10-11,21.58,22.299999,21.23,22.24,179400,20.09153
2010-10-08,21.299999,22.10,20.75,21.57,280500,19.486254
2010-10-07,21.26,22.24,20.809999,21.32,278500,19.260405
2010-10-06,21.459999,21.540001,20.629999,21.030001,231900,18.998421
2010-10-05,20.84,22.190001,20.84,21.43,575100,19.359779
2010-10-04,20.49,20.84,19.68,20.50,487100,18.519621
2010-10-01,17.889999,20.75,17.799999,20.65,1869400,18.65513
2010-09-30,17.42,17.700001,17.26,17.60,177000,15.899772
2010-09-29,17.51,17.73,17.23,17.34,100600,15.664889
2010-09-28,17.190001,17.68,16.639999,17.610001,333600,15.908806
2010-09-27,17.25,17.41,17.00,17.209999,159800,15.547447
2010-09-24,16.92,17.25,16.92,17.25,193200,15.583583
2010-09-23,16.66,17.190001,16.57,16.639999,126200,15.032511
2010-09-22,17.190001,17.25,16.719999,16.790001,138000,15.168022
2010-09-21,17.43,17.75,16.530001,17.23,229100,15.565515
2010-09-20,17.049999,17.49,16.83,17.440001,177500,15.755229
2010-09-17,17.219999,17.389999,16.35,17.120001,188800,15.466142
2010-09-16,17.41,17.450001,16.870001,16.969999,124800,15.330632
2010-09-15,16.790001,17.43,16.780001,17.40,273700,15.719092
2010-09-14,17.01,17.190001,16.67,16.84,277100,15.213191
2010-09-13,16.459999,17.00,16.41,16.84,433000,15.213191
2010-09-10,16.620001,16.620001,16.27,16.299999,147600,14.725356
2010-09-09,16.68,16.68,16.16,16.610001,238900,15.00541
2010-09-08,15.71,16.66,15.54,16.530001,233600,14.933139
2010-09-07,15.91,16.16,15.50,15.71,155600,14.192353
2010-09-03,16.00,16.450001,15.76,15.97,287400,14.427236
2010-09-02,15.80,16.07,15.43,15.79,178500,14.264625
2010-09-01,15.28,15.89,15.05,15.75,264300,14.228489
2010-08-31,15.12,15.30,14.81,15.07,285400,13.614179
2010-08-30,15.74,15.78,15.21,15.23,178100,13.758723
