Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,8.72,9.28,8.46,8.50,180200,8.50
2016-01-22,8.10,8.83,8.10,8.81,157100,8.81
2016-01-21,8.05,8.19,7.70,8.02,218300,8.02
2016-01-20,7.58,8.63,7.31,8.05,486200,8.05
2016-01-19,7.83,8.077,7.45,7.62,297800,7.62
2016-01-15,7.52,7.96,7.345,7.66,414100,7.66
2016-01-14,7.13,8.33,6.75,7.55,673200,7.55
2016-01-13,8.45,8.822,7.14,7.18,546900,7.18
2016-01-12,9.51,9.729,7.81,8.51,774800,8.51
2016-01-11,10.61,10.63,9.05,9.42,820500,9.42
2016-01-08,10.75,10.88,10.22,10.53,544700,10.53
2016-01-07,11.34,11.818,10.17,10.65,825800,10.65
2016-01-06,12.15,12.38,11.64,11.68,809700,11.68
2016-01-05,11.85,12.85,11.53,12.29,551600,12.29
2016-01-04,12.04,12.04,11.33,11.82,341500,11.82
2015-12-31,12.12,12.28,11.75,12.06,169600,12.06
2015-12-30,11.36,12.35,11.20,12.18,280600,12.18
2015-12-29,10.75,11.47,10.54,11.35,205200,11.35
2015-12-28,11.00,11.13,10.57,10.62,280300,10.62
2015-12-24,10.87,11.40,10.87,11.00,276200,11.00
2015-12-23,10.34,12.20,10.05,11.03,3010200,11.03
2015-12-22,9.99,10.24,9.76,10.06,148400,10.06
2015-12-21,9.56,10.02,9.03,9.90,93500,9.90
2015-12-18,8.85,9.56,8.75,9.49,123300,9.49
2015-12-17,9.16,9.16,8.62,8.86,161200,8.86
2015-12-16,8.95,9.34,8.68,9.15,144200,9.15
2015-12-15,9.06,9.18,8.27,8.88,329400,8.88
2015-12-14,9.63,9.654,8.61,9.05,264300,9.05
2015-12-11,9.91,9.94,9.515,9.71,192500,9.71
2015-12-10,9.81,10.03,9.62,10.00,167600,10.00
2015-12-09,9.95,10.02,9.61,9.87,130200,9.87
2015-12-08,10.06,10.115,9.79,9.95,94300,9.95
