Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,47.57,47.57,47.380001,47.400002,1500,47.400002
2016-01-22,47.599998,47.650002,47.509998,47.639999,2900,47.569998
2016-01-21,47.43,47.529999,47.43,47.529999,1900,47.460159
2016-01-20,47.50,47.509998,47.400002,47.43,4300,47.360308
2016-01-19,47.59,47.66,47.529999,47.619999,5000,47.550027
2016-01-15,47.610001,47.650002,47.450001,47.450001,3800,47.380279
2016-01-14,47.68,47.700001,47.68,47.700001,6700,47.629912
2016-01-13,47.82,47.82,47.689999,47.689999,1400,47.619924
2016-01-12,47.889999,47.889999,47.73,47.77,11100,47.699808
2016-01-11,47.799999,47.91,47.68,47.68,1300,47.609941
2016-01-08,48.029999,48.029999,47.91,47.91,400,47.839602
2016-01-07,47.73,47.970001,47.73,47.84,44900,47.769705
2016-01-06,48.07,48.07,47.889999,48.049999,1300,47.979396
2016-01-05,48.110001,48.110001,48.09,48.09,1100,48.019338
2016-01-04,48.00,48.009998,47.93,48.009998,23400,47.939454
2015-12-31,47.860001,48.099998,47.830002,48.099998,3700,48.029322
2015-12-30,48.060001,48.060001,47.93,47.93,2400,47.859573
2015-12-29,47.860001,48.150002,47.860001,48.150002,1500,48.079251
2015-12-28,47.84,47.98,47.740002,47.98,1000,47.909499
2015-12-24,47.869999,47.91,47.869999,47.91,700,47.839602
2015-12-23,47.93,47.970001,47.709999,47.779999,6400,47.709792
2015-12-22,47.73,47.950001,47.639999,47.950001,3800,47.879544
2015-12-21,47.91,47.970001,47.689999,47.700001,26700,47.629912
2015-12-18,47.98,47.98,47.950001,47.98,800,47.839602
2015-12-17,48.07,48.07,47.959999,48.029999,3400,47.889455
2015-12-16,47.93,47.990002,47.84,47.950001,1300,47.809691
2015-12-15,47.950001,48.029999,47.950001,48.00,4100,47.859544
2015-12-14,47.869999,47.889999,47.82,47.82,2100,47.68007
2015-12-11,48.07,48.07,47.82,47.869999,1400,47.729923
2015-12-10,47.98,48.09,47.98,48.09,2100,47.949281
2015-12-09,48.040001,48.060001,48.040001,48.060001,600,47.91937
2015-12-08,48.119999,48.119999,48.119999,48.119999,000,47.979192
2015-12-07,48.049999,48.119999,48.049999,48.119999,400,47.979192
2015-12-04,48.150002,48.150002,48.110001,48.110001,1700,47.969223
2015-12-03,48.110001,48.16,47.970001,48.080002,2200,47.939312
2015-12-02,48.150002,48.150002,48.150002,48.150002,100,48.009106
2015-12-01,48.189999,48.189999,48.009998,48.009998,1400,47.869513
2015-11-30,48.09,48.09,48.060001,48.060001,400,47.91937
2015-11-27,48.029999,48.119999,48.029999,48.119999,1200,47.979192
2015-11-25,48.189999,48.189999,47.950001,48.02,13800,47.879486
2015-11-24,48.040001,48.07,48.040001,48.07,1300,47.929339
2015-11-23,48.119999,48.119999,48.040001,48.119999,2000,47.979192
2015-11-20,48.16,48.220001,48.029999,48.029999,10300,47.819659
2015-11-19,48.150002,48.189999,48.110001,48.18,2400,47.969004
2015-11-18,48.200001,48.200001,48.060001,48.060001,800,47.849531
2015-11-17,48.080002,48.099998,48.080002,48.099998,700,47.889353
2015-11-16,48.16,48.16,48.049999,48.049999,400,47.839572
2015-11-13,48.099998,48.189999,48.099998,48.119999,400,47.909265
2015-11-12,48.07,48.16,48.029999,48.07,11100,47.859485
2015-11-11,48.02,48.080002,48.02,48.080002,600,47.869444
2015-11-10,48.080002,48.220001,48.080002,48.220001,1300,48.00883
2015-11-09,48.189999,48.189999,48.189999,48.189999,400,47.978959
2015-11-06,48.200001,48.200001,48.169998,48.169998,200,47.959046
2015-11-05,48.130001,48.18,48.099998,48.099998,5400,47.889353
2015-11-04,48.189999,48.189999,48.139999,48.139999,700,47.929178
2015-11-03,48.080002,48.220001,48.00,48.00,1200,47.789792
2015-11-02,48.00,48.150002,47.98,47.98,800,47.769879
2015-10-30,48.040001,48.139999,47.959999,48.02,1100,47.809705
2015-10-29,47.900002,48.150002,47.900002,48.009998,2400,47.799747
2015-10-28,47.869999,47.880001,47.869999,47.880001,1000,47.670319
2015-10-27,47.889999,47.889999,47.889999,47.889999,300,47.680273
2015-10-26,47.939999,47.939999,47.939999,47.939999,400,47.730053
2015-10-23,48.07,48.23,47.939999,48.09,29300,47.879398
2015-10-22,47.91,48.060001,47.91,47.93,2000,47.720099
2015-10-21,47.900002,47.900002,47.860001,47.869999,700,47.66036
2015-10-20,47.990002,47.990002,47.990002,47.990002,800,47.779838
2015-10-19,47.950001,48.02,47.880001,47.880001,3000,47.670319
2015-10-16,47.84,48.009998,47.82,48.009998,21200,47.799747
2015-10-15,48.040001,48.040001,47.84,47.900002,2500,47.690232
2015-10-14,48.02,48.02,47.84,47.869999,800,47.66036
2015-10-13,48.049999,48.049999,47.93,47.93,400,47.720099
2015-10-12,48.040001,48.040001,48.02,48.040001,900,47.829618
2015-10-09,48.07,48.07,47.919998,47.919998,700,47.710141
2015-10-08,47.98,48.00,47.950001,47.950001,900,47.740012
2015-10-07,47.959999,47.970001,47.799999,47.91,1200,47.700186
2015-10-06,47.900002,47.900002,47.75,47.880001,1600,47.670319
2015-10-05,47.880001,47.950001,47.630001,47.790001,14400,47.580713
2015-10-02,47.82,47.82,47.82,47.82,000,47.61058
2015-10-01,47.93,47.990002,47.82,47.82,2700,47.61058
2015-09-30,47.93,47.98,47.84,47.98,1000,47.769879
2015-09-29,47.869999,48.00,47.84,47.939999,3900,47.730053
2015-09-28,48.02,48.060001,48.02,48.060001,1500,47.849531
2015-09-25,48.09,48.09,47.900002,47.900002,500,47.690232
2015-09-24,47.98,48.060001,47.98,48.060001,600,47.849531
2015-09-23,48.169998,48.169998,48.049999,48.119999,1600,47.909265
2015-09-22,48.110001,48.110001,47.990002,47.990002,700,47.779838
2015-09-21,48.099998,48.110001,48.099998,48.110001,600,47.899311
2015-09-18,48.00,48.00,48.00,48.00,100,47.7201
2015-09-17,48.099998,48.150002,48.029999,48.139999,1400,47.859283
2015-09-16,48.18,48.220001,48.02,48.200001,1500,47.918935
2015-09-15,48.130001,48.200001,48.130001,48.200001,1500,47.918935
2015-09-14,48.009998,48.060001,48.00,48.060001,1600,47.779752
2015-09-11,48.099998,48.099998,48.099998,48.099998,000,47.819516
2015-09-10,48.099998,48.209999,48.099998,48.099998,1200,47.819516
2015-09-09,48.16,48.16,48.130001,48.139999,1700,47.859283
2015-09-08,48.099998,48.110001,47.939999,47.98,1000,47.700217
2015-09-04,48.080002,48.080002,48.080002,48.080002,200,47.799636
2015-09-03,48.130001,48.130001,47.91,48.049999,2100,47.769808
2015-09-02,48.110001,48.110001,47.900002,48.080002,1400,47.799636
2015-09-01,48.00,48.00,47.91,47.91,2000,47.630625
2015-08-31,47.93,48.099998,47.93,48.09,39200,47.809576
2015-08-28,47.98,48.110001,47.849998,47.889999,28600,47.610741
2015-08-27,48.00,48.00,47.849998,47.93,2800,47.650509
2015-08-26,48.049999,48.049999,47.810001,47.810001,11100,47.53121
2015-08-25,48.16,48.16,47.799999,47.889999,17900,47.610741
2015-08-24,47.779999,47.799999,47.779999,47.799999,7300,47.521266
2015-08-21,48.310001,48.360001,48.060001,48.110001,1226400,47.82946
2015-08-20,48.330002,48.380001,48.220001,48.240002,3500,47.958703
2015-08-19,48.34,48.50,48.240002,48.240002,6100,47.958703
2015-08-18,48.639999,48.68,48.32,48.349998,4100,48.068058
2015-08-17,48.369999,48.830002,48.32,48.380001,4000,48.097886
2015-08-14,48.389999,48.880001,48.360001,48.400002,3000,48.117769
2015-08-13,48.580002,48.990002,48.41,48.43,12800,48.147593
2015-08-12,48.619999,48.619999,48.360001,48.490002,3800,48.207245
2015-08-11,48.66,48.869999,48.630001,48.630001,7600,48.346428
2015-08-10,48.709999,48.709999,48.619999,48.619999,2600,48.336484
2015-08-07,48.52,48.650002,48.52,48.650002,2500,48.366312
2015-08-06,48.720001,48.959999,48.509998,48.560001,4400,48.276836
2015-08-05,48.689999,49.00,48.380001,49.00,50300,48.714269
2015-08-04,48.459999,48.700001,48.459999,48.509998,5200,48.227125
2015-08-03,48.669998,48.709999,48.470001,48.59,10700,48.30666
2015-07-31,48.66,49.00,48.619999,48.639999,11600,48.356368
2015-07-30,48.709999,49.009998,48.59,48.860001,4400,48.575086
2015-07-29,48.68,48.810001,48.580002,48.619999,3600,48.336484
2015-07-28,48.639999,48.709999,48.509998,48.709999,131200,48.425959
2015-07-27,48.669998,48.669998,48.52,48.560001,3100,48.276836
2015-07-24,48.610001,48.900002,48.610001,48.900002,2300,48.614854
2015-07-23,48.720001,49.00,48.59,48.93,7700,48.644678
2015-07-22,48.68,48.939999,48.549999,48.889999,2400,48.60491
2015-07-21,48.57,48.700001,48.549999,48.57,3600,48.286776
2015-07-20,48.689999,48.75,48.619999,48.700001,5700,48.416019
2015-07-17,48.689999,48.849998,48.689999,48.75,6800,48.465727
2015-07-16,48.919998,48.950001,48.700001,48.700001,14100,48.416019
2015-07-15,48.740002,49.009998,48.740002,48.98,4700,48.694385
2015-07-14,48.91,48.919998,48.66,48.73,3800,48.445843
2015-07-13,48.639999,48.919998,48.639999,48.919998,8300,48.634734
2015-07-10,48.650002,48.759998,48.580002,48.73,4200,48.445843
2015-07-09,48.66,48.82,48.57,48.82,10600,48.535318
2015-07-08,48.82,48.82,48.669998,48.799999,4100,48.515435
2015-07-07,48.619999,48.84,48.619999,48.790001,3200,48.505495
2015-07-06,48.810001,48.84,48.59,48.810001,5100,48.525378
2015-07-02,49.02,49.02,48.630001,48.84,66400,48.555202
2015-07-01,49.049999,49.049999,48.57,48.740002,16400,48.455787
2015-06-30,48.66,48.689999,48.509998,48.639999,6500,48.356368
2015-06-29,48.59,48.700001,48.52,48.52,14400,48.237069
2015-06-26,48.66,48.77,48.599998,48.599998,10400,48.3166
2015-06-25,48.66,48.709999,48.580002,48.630001,25100,48.346428
2015-06-24,48.650002,48.669998,48.560001,48.66,5700,48.376252
2015-06-23,48.779999,48.779999,48.540001,48.709999,3500,48.425959
2015-06-22,48.779999,48.779999,48.560001,48.560001,3100,48.276836
2015-06-19,48.860001,48.860001,48.650002,48.759998,3700,48.475667
2015-06-18,48.830002,48.91,48.630001,48.77,7800,48.485611
2015-06-17,48.880001,48.900002,48.619999,48.849998,5100,48.565142
2015-06-16,48.849998,48.880001,48.799999,48.799999,5400,48.515435
2015-06-15,48.720001,48.880001,48.720001,48.849998,1400,48.565142
2015-06-12,48.919998,48.919998,48.689999,48.740002,2900,48.455787
2015-06-11,48.93,48.93,48.73,48.790001,4400,48.505495
2015-06-10,48.900002,48.919998,48.720001,48.900002,2100,48.614854
2015-06-09,48.700001,48.950001,48.700001,48.91,4700,48.624794
2015-06-08,48.709999,48.759998,48.700001,48.75,1200,48.465727
2015-06-05,48.959999,48.970001,48.669998,48.919998,3800,48.634734
2015-06-04,48.900002,48.93,48.66,48.689999,4200,48.406075
2015-06-03,48.759998,48.82,48.75,48.759998,14300,48.475667
2015-06-02,48.689999,48.810001,48.689999,48.759998,2300,48.475667
2015-06-01,48.720001,48.779999,48.66,48.669998,18800,48.386192
2015-05-29,48.759998,48.84,48.73,48.830002,2900,48.545262
2015-05-28,48.849998,48.849998,48.799999,48.849998,1200,48.565142
2015-05-27,48.82,48.880001,48.82,48.830002,3800,48.545262
2015-05-26,48.84,48.91,48.799999,48.830002,4800,48.545262
2015-05-22,49.07,49.07,48.830002,48.84,3400,48.555202
2015-05-21,48.91,49.009998,48.779999,49.009998,7400,48.659589
2015-05-20,48.860001,49.029999,48.860001,48.889999,2800,48.540448
2015-05-19,48.98,49.09,48.849998,48.849998,3800,48.500733
2015-05-18,49.209999,49.209999,48.869999,49.049999,11900,48.699304
2015-05-15,48.919998,49.060001,48.540001,48.790001,7600,48.441164
2015-05-14,49.02,49.02,48.880001,48.93,4100,48.580163
2015-05-13,49.09,49.09,48.849998,48.849998,5900,48.500733
2015-05-12,49.049999,49.049999,48.91,49.040001,13600,48.689377
2015-05-11,49.029999,49.049999,49.00,49.02,6400,48.669519
2015-05-08,49.34,49.34,48.93,48.959999,2900,48.609947
2015-05-07,49.060001,49.099998,49.009998,49.009998,7100,48.659589
2015-05-06,49.049999,49.080002,49.040001,49.060001,7400,48.709234
2015-05-05,48.91,49.040001,48.91,49.040001,2300,48.689377
2015-05-04,48.950001,49.060001,48.900002,48.91,2300,48.560305
2015-05-01,49.049999,49.049999,48.900002,48.91,4200,48.560305
2015-04-30,48.990002,49.029999,48.900002,48.970001,6700,48.619878
2015-04-29,49.099998,49.110001,48.950001,48.950001,2400,48.60002
2015-04-28,49.00,49.07,48.900002,48.900002,1800,48.550378
2015-04-27,49.049999,49.09,48.82,48.93,2300,48.580163
2015-04-24,49.029999,49.099998,48.939999,48.98,5900,48.629804
2015-04-23,49.060001,49.139999,49.00,49.00,5100,48.649662
2015-04-22,49.099998,49.110001,48.919998,49.07,2600,48.719161
2015-04-21,49.099998,49.099998,48.939999,49.02,4900,48.669519
2015-04-20,49.110001,49.110001,48.959999,48.970001,1000,48.619878
2015-04-17,49.040001,49.169998,49.029999,49.080002,6200,48.664555
2015-04-16,49.080002,49.099998,48.990002,49.00,1400,48.58523
2015-04-15,48.93,49.130001,48.93,49.049999,1900,48.634806
2015-04-14,48.900002,49.139999,48.900002,49.110001,3800,48.694299
2015-04-13,49.040001,49.189999,48.939999,48.959999,31400,48.545568
2015-04-10,49.060001,49.060001,48.880001,49.029999,1300,48.614975
2015-04-09,49.049999,49.119999,48.91,48.91,5500,48.495992
2015-04-08,48.900002,49.080002,48.900002,49.080002,2500,48.664555
2015-04-07,48.990002,49.029999,48.889999,49.029999,2100,48.614975
2015-04-06,49.060001,49.189999,48.970001,49.189999,2800,48.77362
2015-04-02,49.00,49.080002,48.880001,49.080002,6600,48.664555
2015-04-01,48.84,49.290001,48.84,49.290001,1900,48.872776
2015-03-31,49.02,49.060001,48.900002,49.060001,1200,48.644723
2015-03-30,49.040001,49.080002,48.919998,49.080002,3300,48.664555
2015-03-27,48.849998,49.009998,48.759998,48.860001,3900,48.446416
2015-03-26,48.68,48.919998,48.68,48.919998,61500,48.505905
2015-03-25,48.73,48.950001,48.73,48.810001,3400,48.39684
2015-03-24,48.799999,49.009998,48.799999,48.990002,2900,48.575316
2015-03-23,48.900002,49.00,48.720001,48.869999,6000,48.456329
2015-03-20,49.09,49.150002,48.91,49.099998,6000,48.684382
2015-03-19,48.950001,49.049999,48.860001,49.02,3300,48.605061
2015-03-18,49.049999,49.130001,48.849998,48.93,3000,48.515823
2015-03-17,49.139999,49.139999,49.040001,49.080002,4900,48.664555
2015-03-16,49.18,49.240002,48.990002,49.150002,3200,48.733962
2015-03-13,49.16,49.200001,48.970001,49.119999,2600,48.704213
2015-03-12,49.16,49.27,49.02,49.119999,4000,48.704213
2015-03-11,49.139999,49.310001,49.139999,49.169998,4900,48.753789
2015-03-10,49.25,49.34,49.169998,49.27,2900,48.852945
2015-03-09,49.380001,49.380001,49.130001,49.25,6500,48.833114
2015-03-06,49.09,49.369999,48.939999,49.110001,17800,48.694299
2015-03-05,49.18,49.310001,49.18,49.299999,2600,48.88269
2015-03-04,49.259998,49.349998,49.130001,49.130001,2200,48.714131
2015-03-03,49.150002,49.439999,49.150002,49.169998,4300,48.753789
2015-03-02,49.02,49.25,49.02,49.189999,6000,48.77362
2015-02-27,49.150002,49.27,49.119999,49.23,4600,48.813283
2015-02-26,49.02,49.290001,49.009998,49.27,9600,48.852945
2015-02-25,49.189999,49.200001,48.990002,48.990002,10200,48.575316
2015-02-24,49.130001,49.310001,49.080002,49.09,3100,48.674468
2015-02-23,49.16,49.18,49.099998,49.099998,4000,48.684382
2015-02-20,49.119999,49.259998,49.09,49.150002,5500,48.674471
2015-02-19,49.07,49.139999,49.049999,49.110001,5000,48.634857
2015-02-18,49.060001,49.200001,49.00,49.099998,6100,48.624952
2015-02-17,49.189999,49.240002,49.049999,49.049999,4600,48.575436
2015-02-13,49.110001,49.130001,49.040001,49.110001,5700,48.634857
2015-02-12,49.150002,49.25,49.009998,49.110001,7200,48.634857
2015-02-11,49.18,49.18,48.950001,49.07,5000,48.595243
2015-02-10,49.240002,49.32,49.02,49.290001,4300,48.813116
2015-02-09,49.110001,49.34,48.970001,49.259998,15600,48.783404
2015-02-06,48.939999,49.130001,48.939999,49.110001,9900,48.634857
2015-02-05,48.759998,49.00,48.720001,48.849998,9900,48.377371
2015-02-04,48.970001,49.009998,48.810001,48.900002,2700,48.42689
2015-02-03,49.009998,49.02,48.869999,48.93,3800,48.456598
2015-02-02,48.84,48.950001,48.700001,48.830002,9000,48.357567
