Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,15.22,17.200001,14.64,16.00,493100,16.00
2016-01-22,13.84,17.950001,12.714,15.42,752200,15.42
2016-01-21,14.57,14.57,13.00,13.43,224100,13.43
2016-01-20,13.67,15.24,12.97,14.63,124400,14.63
2016-01-19,14.11,14.36,13.59,13.89,123600,13.89
2016-01-15,13.96,14.29,13.48,13.89,155700,13.89
2016-01-14,14.45,14.64,13.80,14.41,185700,14.41
2016-01-13,15.76,16.15,14.13,14.40,152700,14.40
2016-01-12,15.93,17.200001,15.49,15.84,119000,15.84
2016-01-11,19.00,19.00,14.78,15.81,317500,15.81
2016-01-08,17.33,17.700001,16.65,16.67,113700,16.67
2016-01-07,17.66,17.68,16.91,17.24,108400,17.24
2016-01-06,17.959999,18.09,17.25,17.860001,460600,17.860001
2016-01-05,18.27,18.459999,17.35,18.16,164000,18.16
2016-01-04,18.190001,18.290001,17.809999,18.17,227000,18.17
2015-12-31,18.799999,18.90,18.26,18.450001,86800,18.450001
2015-12-30,19.10,19.486,18.455,18.799999,190700,18.799999
2015-12-29,19.07,19.440001,18.91,19.280001,81000,19.280001
2015-12-28,19.48,19.799999,18.635,19.00,139400,19.00
2015-12-24,19.290001,20.049999,19.290001,19.879999,50500,19.879999
2015-12-23,19.139999,19.610001,18.93,19.34,66500,19.34
2015-12-22,16.75,19.77,16.75,19.18,110800,19.18
2015-12-21,19.02,19.02,17.700001,18.870001,176700,18.870001
2015-12-18,18.24,19.84,17.90,18.82,369600,18.82
2015-12-17,19.610001,20.08,18.190001,18.32,154000,18.32
2015-12-16,18.73,19.575001,18.709999,19.290001,107600,19.290001
2015-12-15,18.58,19.35,17.857,18.67,267200,18.67
2015-12-14,19.950001,20.33,17.969999,18.52,227700,18.52
2015-12-11,19.959999,20.07,19.049999,19.889999,178300,19.889999
2015-12-10,19.16,20.385,18.51,20.370001,90900,20.370001
2015-12-09,18.98,19.299999,18.09,19.190001,88500,19.190001
2015-12-08,18.709999,20.754999,18.059999,19.040001,86300,19.040001
2015-12-07,18.700001,19.67,18.40,18.799999,151200,18.799999
2015-12-04,19.35,19.860001,17.67,18.690001,184900,18.690001
2015-12-03,21.08,21.853001,19.049999,19.35,301100,19.35
2015-12-02,21.059999,21.370001,20.719999,20.879999,116100,20.879999
2015-12-01,21.610001,21.84,20.424999,20.92,68300,20.92
2015-11-30,21.459999,22.007999,20.57,21.389999,209000,21.389999
2015-11-27,21.190001,21.514999,20.68,21.34,35900,21.34
2015-11-25,19.959999,21.440001,19.02,21.24,93600,21.24
2015-11-24,19.43,20.24,18.25,19.870001,103500,19.870001
2015-11-23,21.00,21.516001,18.969999,19.469999,166500,19.469999
2015-11-20,19.92,20.99,19.24,20.93,117000,20.93
2015-11-19,18.709999,19.92,18.450001,19.77,67100,19.77
2015-11-18,18.65,19.50,18.16,18.82,161300,18.82
2015-11-17,18.950001,19.99,18.02,18.51,202700,18.51
2015-11-16,18.52,18.620001,17.620001,18.219999,124200,18.219999
2015-11-13,16.85,18.09,16.610001,17.66,150400,17.66
2015-11-12,17.389999,17.780001,16.059999,17.01,113600,17.01
2015-11-11,18.940001,20.172001,17.07,17.559999,177700,17.559999
2015-11-10,19.530001,19.540001,18.712,19.049999,118700,19.049999
2015-11-09,18.68,19.879999,17.85,19.629999,124000,19.629999
2015-11-06,17.709999,19.059999,15.50,18.620001,104400,18.620001
2015-11-05,17.620001,18.030001,16.82,17.879999,70900,17.879999
2015-11-04,16.76,17.799999,16.76,17.65,117900,17.65
2015-11-03,16.209999,17.49,15.83,16.780001,345600,16.780001
2015-11-02,15.23,16.549999,14.622,16.360001,166800,16.360001
2015-10-30,15.41,15.82,14.96,15.05,91800,15.05
2015-10-29,15.54,16.68,15.072,15.44,242000,15.44
2015-10-28,15.29,15.77,14.92,15.54,121800,15.54
2015-10-27,14.62,15.69,14.40,15.23,186300,15.23
2015-10-26,14.94,15.50,14.57,14.77,126600,14.77
2015-10-23,15.61,16.030001,14.84,15.15,154500,15.15
2015-10-22,15.09,15.76,14.94,15.55,166100,15.55
2015-10-21,16.469999,16.490999,14.75,15.09,269500,15.09
2015-10-20,15.69,16.49,15.18,16.309999,192200,16.309999
2015-10-19,16.15,17.00,15.64,15.80,210700,15.80
2015-10-16,16.58,17.860001,16.030001,16.27,358400,16.27
2015-10-15,17.66,18.200001,16.389999,16.48,412600,16.48
2015-10-14,19.50,19.624001,17.49,17.50,148400,17.50
2015-10-13,17.379999,19.870001,15.56,19.440001,594600,19.440001
2015-10-12,19.18,19.18,17.01,17.10,216900,17.10
2015-10-09,19.42,19.75,18.75,18.959999,115700,18.959999
2015-10-08,20.17,20.209999,19.01,19.49,106500,19.49
2015-10-07,19.799999,20.60,19.469999,20.139999,352900,20.139999
2015-10-06,19.530001,19.98,18.51,19.719999,121600,19.719999
2015-10-05,21.200001,21.73,19.01,19.549999,261000,19.549999
2015-10-02,22.57,23.164,21.00,21.16,514700,21.16
2015-10-01,25.57,26.02,22.325001,22.940001,543700,22.940001
2015-09-30,24.389999,26.50,24.299999,25.32,2117700,25.32
2015-09-29,24.110001,24.98,23.780001,24.10,318400,24.10
2015-09-28,24.209999,24.48,23.25,23.90,392700,23.90
2015-09-25,25.18,25.74,24.25,24.459999,140800,24.459999
2015-09-24,24.32,25.50,23.575001,25.049999,200500,25.049999
2015-09-23,23.92,25.23,23.735001,24.639999,262200,24.639999
2015-09-22,23.860001,24.41,23.559999,24.18,120200,24.18
2015-09-21,24.32,25.10,23.51,24.17,214400,24.17
2015-09-18,24.25,25.10,24.01,24.290001,620300,24.290001
2015-09-17,24.030001,24.75,23.665001,24.34,169400,24.34
2015-09-16,25.889999,25.889999,23.16,24.540001,254200,24.540001
