Date,Open,High,Low,Close,Volume,Adj Close
2008-11-07,11.12,11.32,10.90,11.30,17390700,9.541113
2008-11-06,12.22,12.22,10.84,10.89,30932700,9.194931
2008-11-05,13.09,13.20,12.43,12.46,16522100,10.520554
2008-11-04,13.35,13.53,12.90,13.31,19158500,11.238249
2008-11-03,13.00,13.24,12.78,12.96,13619800,10.942727
2008-10-31,11.96,13.18,11.93,12.91,27695700,10.90051
2008-10-30,12.41,12.56,11.94,12.08,24535300,10.199702
2008-10-29,12.35,12.39,11.85,11.98,21532200,10.115267
2008-10-28,11.69,12.46,11.19,12.44,26263800,10.503667
2008-10-27,11.17,11.92,10.92,11.30,20854500,9.541113
2008-10-24,10.52,11.74,10.52,11.40,26553300,9.625547
2008-10-23,11.64,11.74,10.94,11.36,30419500,9.591773
2008-10-22,12.02,12.42,11.53,11.64,25285800,9.82819
2008-10-21,12.50,12.55,12.19,12.22,22404800,10.317911
2008-10-20,12.49,13.12,12.40,12.76,32603700,10.773858
2008-10-17,12.38,13.08,11.94,11.99,29851100,10.123711
2008-10-16,11.65,12.53,11.11,12.53,34719200,10.579658
2008-10-15,12.60,12.75,11.50,11.51,37557300,9.718425
2008-10-14,13.94,14.02,12.70,12.75,37530200,10.765414
2008-10-13,13.29,13.43,12.79,13.39,25084800,11.305796
2008-10-10,12.47,13.68,12.15,12.70,50066700,10.723197
2008-10-09,12.81,13.10,12.67,12.80,38785700,10.807632
2008-10-08,12.01,13.05,11.93,12.47,37665200,10.528998
2008-10-07,13.66,13.80,12.35,12.35,41995700,10.427676
2008-10-06,14.00,14.00,12.87,13.54,40108000,11.432448
2008-10-03,14.42,14.93,14.08,14.19,26481900,11.981273
2008-10-02,14.86,14.93,14.27,14.27,24549000,12.048821
2008-10-01,15.00,15.15,14.77,14.96,18832000,12.63142
2008-09-30,15.07,15.25,14.96,15.13,22555300,12.774958
2008-09-29,15.69,15.88,14.63,14.63,27600100,12.352785
2008-09-26,15.69,16.10,15.62,15.95,19740600,13.467322
2008-09-25,15.73,16.15,15.59,16.02,19542200,13.526427
2008-09-24,15.60,15.95,15.56,15.64,17158100,13.205575
2008-09-23,15.60,15.95,15.50,15.56,21363600,13.138028
2008-09-22,15.99,16.15,15.48,15.49,21099200,13.078923
2008-09-19,16.35,16.43,15.90,15.90,415200,13.425105
2008-09-18,15.98,16.120001,15.30,15.93,44454100,13.450436
2008-09-17,16.27,16.84,15.70,15.70,36676800,13.256236
2008-09-16,16.10,16.889999,16.10,16.540001,30661200,13.965487
2008-09-15,15.90,16.66,15.88,16.34,28181900,13.796617
2008-09-12,16.42,16.450001,15.94,16.23,22953800,13.703739
2008-09-11,16.23,16.629999,16.02,16.620001,27242600,14.033035
2008-09-10,16.99,16.99,16.34,16.370001,32709600,13.821948
2008-09-09,17.42,17.450001,16.799999,16.90,23613400,14.269451
2008-09-08,17.41,17.50,16.90,17.35,28464900,14.649407
2008-09-05,16.68,17.24,16.639999,17.16,22101800,14.488981
2008-09-04,17.01,17.200001,16.75,16.75,25841600,14.142799
2008-09-03,17.73,17.73,17.09,17.110001,19947200,14.446764
2008-09-02,18.27,18.49,17.73,17.799999,14423500,15.029362
2008-08-29,18.629999,18.690001,17.780001,17.92,19934900,15.130684
2008-08-28,18.440001,18.540001,18.34,18.50,9605000,15.620405
2008-08-27,18.23,18.700001,18.17,18.309999,11901000,15.459979
2008-08-26,18.10,18.24,17.959999,18.190001,11650700,15.358658
2008-08-25,18.360001,18.379999,18.08,18.120001,11787300,15.299554
2008-08-22,18.48,18.620001,18.35,18.49,8886000,15.611962
2008-08-21,18.290001,18.49,18.15,18.360001,10960500,15.502197
2008-08-20,18.51,18.76,18.32,18.459999,15689600,15.586631
2008-08-19,18.610001,18.74,18.360001,18.43,16577300,15.561301
2008-08-18,19.280001,19.35,18.49,18.790001,19783800,15.865266
2008-08-15,19.24,19.49,19.120001,19.299999,17796400,16.295882
2008-08-14,19.219999,19.299999,18.969999,19.120001,16681100,16.143901
2008-08-13,18.90,19.60,18.85,19.33,38894500,16.321212
2008-08-12,18.49,18.85,18.34,18.469999,28037400,15.595074
2008-08-11,18.799999,18.91,18.43,18.52,24060500,15.586631
2008-08-08,18.32,18.84,18.25,18.790001,16987200,15.813866
2008-08-07,17.860001,18.60,17.67,18.48,25737000,15.552966
2008-08-06,17.969999,18.09,17.559999,17.950001,18952400,15.106913
2008-08-05,18.049999,18.16,17.90,18.07,15954800,15.207906
2008-08-04,17.629999,18.059999,17.52,17.870001,20606400,15.039584
2008-08-01,17.25,17.65,17.07,17.530001,18974000,14.753437
2008-07-31,17.059999,17.65,17.049999,17.32,23150100,14.576698
2008-07-30,17.120001,17.58,17.01,17.209999,20986300,14.48412
2008-07-29,16.83,17.200001,16.74,17.00,16072100,14.307382
2008-07-28,16.90,17.01,16.65,16.700001,16392700,14.0549
2008-07-25,17.030001,17.18,16.799999,17.01,15165200,14.315799
2008-07-24,17.33,17.40,16.82,16.959999,29049500,14.273717
2008-07-23,17.549999,17.76,17.32,17.57,30588600,14.7871
2008-07-22,17.559999,17.629999,17.18,17.389999,45188200,14.63561
2008-07-21,18.34,18.459999,17.790001,17.809999,28601200,14.989087
2008-07-18,18.639999,18.76,18.16,18.280001,23217000,15.384645
2008-07-17,18.34,18.719999,18.120001,18.67,19881200,15.712872
2008-07-16,17.99,18.389999,17.809999,18.32,18251500,15.418308
