Date,Open,High,Low,Close,Volume,Adj Close
2011-01-26,33.009998,33.689999,32.849998,33.369999,94400,33.369999
2011-01-25,33.060001,33.099998,32.549999,32.919998,60700,32.919998
2011-01-24,33.00,33.240002,32.75,33.09,98300,33.09
2011-01-21,31.77,33.790001,31.67,32.810001,221300,32.810001
2011-01-20,31.00,31.790001,30.59,31.65,70700,31.65
2011-01-19,30.280001,31.26,29.610001,31.059999,73500,31.059999
2011-01-18,32.099998,32.23,29.92,30.49,98200,30.49
2011-01-14,31.959999,33.16,31.76,32.099998,240700,32.099998
2011-01-13,30.35,32.419998,30.35,31.91,159000,31.91
2011-01-12,29.700001,30.66,29.700001,30.219999,79100,30.219999
2011-01-11,29.790001,30.959999,29.50,29.950001,112200,29.950001
2011-01-10,28.24,30.540001,28.00,29.639999,146500,29.639999
2011-01-07,27.75,29.700001,27.40,27.98,100000,27.98
2011-01-06,27.75,27.92,27.35,27.629999,44000,27.629999
2011-01-05,27.41,27.92,27.18,27.790001,39200,27.790001
2011-01-04,27.76,27.76,27.129999,27.34,65800,27.34
2011-01-03,27.26,27.52,26.75,27.280001,95000,27.280001
2010-12-31,26.700001,27.50,26.57,26.68,185800,26.68
2010-12-30,27.49,27.50,26.389999,26.629999,552600,26.629999
2010-12-29,24.969999,28.049999,24.969999,27.25,271300,27.25
2010-12-28,23.700001,24.40,23.40,24.15,37500,24.15
2010-12-27,23.959999,24.379999,23.83,23.950001,19000,23.950001
2010-12-23,24.00,24.200001,23.02,24.110001,48800,24.110001
2010-12-22,22.889999,24.549999,22.60,24.18,101300,24.18
2010-12-21,23.219999,23.870001,22.42,22.66,56500,22.66
2010-12-20,24.190001,24.190001,21.59,23.07,43700,23.07
2010-12-17,22.50,22.50,21.15,21.969999,607900,21.969999
2010-12-16,21.709999,22.299999,20.540001,22.24,43400,22.24
2010-12-15,22.10,22.299999,21.129999,21.440001,36500,21.440001
2010-12-14,23.530001,23.530001,21.77,22.23,52000,22.23
2010-12-13,24.200001,24.26,22.889999,23.15,51500,23.15
2010-12-10,23.65,24.200001,23.42,24.200001,44300,24.200001
2010-12-09,23.41,23.57,22.68,23.52,24500,23.52
2010-12-08,24.200001,24.200001,23.10,23.42,62200,23.42
2010-12-07,23.68,24.33,22.49,23.809999,35900,23.809999
2010-12-06,21.50,22.92,21.42,22.73,114500,22.73
2010-12-03,21.50,21.50,21.200001,21.50,25400,21.50
2010-12-02,21.50,21.77,21.040001,21.34,37600,21.34
2010-12-01,20.700001,21.74,20.08,21.58,88600,21.58
2010-11-30,19.83,20.85,19.51,20.58,60800,20.58
2010-11-29,20.34,20.790001,19.93,19.93,29700,19.93
2010-11-26,20.50,20.84,20.16,20.16,18700,20.16
2010-11-24,20.219999,20.85,19.790001,20.34,66400,20.34
2010-11-23,19.26,20.200001,19.25,20.01,52500,20.01
2010-11-22,19.32,20.110001,19.18,19.360001,61700,19.360001
2010-11-19,19.91,19.91,18.93,19.34,67400,19.34
2010-11-18,18.25,19.620001,18.25,19.620001,27000,19.620001
2010-11-17,18.32,18.639999,17.959999,18.17,17300,18.17
2010-11-16,19.08,19.110001,18.10,18.32,67300,18.32
2010-11-15,20.40,20.75,19.23,19.23,55500,19.23
2010-11-12,18.27,20.719999,18.27,20.110001,88100,20.110001
2010-11-11,18.98,19.459999,18.15,18.41,103600,18.41
2010-11-10,17.65,18.969999,17.450001,18.83,150600,18.83
2010-11-09,17.27,17.639999,17.17,17.48,64200,17.48
2010-11-08,17.379999,17.40,17.110001,17.18,142500,17.18
2010-11-05,17.379999,17.379999,17.209999,17.299999,103700,17.299999
2010-11-04,17.10,17.25,17.040001,17.10,67800,17.10
2010-11-03,17.23,17.23,17.049999,17.059999,38800,17.059999
2010-11-02,17.17,17.18,17.01,17.120001,30600,17.120001
2010-11-01,17.09,17.40,17.08,17.08,37700,17.08
2010-10-29,17.17,17.200001,17.07,17.08,57100,17.08
2010-10-28,17.110001,17.16,17.059999,17.10,57900,17.10
2010-10-27,17.10,17.15,17.10,17.110001,76300,17.110001
2010-10-26,17.129999,17.35,17.10,17.10,59200,17.10
2010-10-25,17.60,17.790001,17.10,17.15,15900,17.15
2010-10-22,17.23,17.23,17.10,17.23,19700,17.23
2010-10-21,17.24,17.34,17.10,17.10,97800,17.10
2010-10-20,17.08,17.379999,17.08,17.110001,8200,17.110001
2010-10-19,17.209999,17.33,17.049999,17.049999,60300,17.049999
2010-10-18,17.74,17.74,17.25,17.33,22800,17.33
2010-10-15,17.280001,17.559999,17.040001,17.559999,46000,17.559999
2010-10-14,17.129999,17.370001,17.10,17.17,25200,17.17
2010-10-13,17.91,18.00,17.10,17.219999,47100,17.219999
2010-10-12,17.549999,17.92,17.299999,17.76,36400,17.76
2010-10-11,17.25,17.77,17.10,17.690001,49100,17.690001
2010-10-08,17.34,17.34,17.08,17.129999,32400,17.129999
2010-10-07,17.25,17.77,17.07,17.07,196100,17.07
2010-10-06,17.379999,17.639999,17.10,17.10,51100,17.10
2010-10-05,17.23,18.139999,17.00,17.559999,148800,17.559999
2010-10-04,17.10,17.33,17.00,17.059999,123300,17.059999
2010-10-01,17.25,18.00,16.91,17.23,197900,17.23
2010-09-30,16.969999,17.35,16.82,17.25,317000,17.25
2010-09-29,16.50,16.93,16.50,16.85,288000,16.85
2010-09-28,16.50,17.440001,16.48,16.50,2384600,16.50
