Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.28,9.40,8.88,8.94,133800,8.94
2016-01-22,8.90,9.35,8.90,9.25,303400,9.25
2016-01-21,8.51,8.80,8.36,8.75,226100,8.75
2016-01-20,8.27,8.58,8.12,8.43,357200,8.43
2016-01-19,8.40,8.44,8.20,8.37,156100,8.37
2016-01-15,8.12,8.44,7.97,8.32,216700,8.32
2016-01-14,8.29,8.42,7.70,8.39,191200,8.39
2016-01-13,8.79,8.89,8.00,8.20,280500,8.20
2016-01-12,8.74,8.84,8.58,8.73,234800,8.73
2016-01-11,8.52,8.75,8.37,8.69,153100,8.69
2016-01-08,8.63,8.74,8.38,8.48,187900,8.48
2016-01-07,8.47,8.75,8.34,8.60,149300,8.60
2016-01-06,8.44,8.96,8.44,8.61,153800,8.61
2016-01-05,8.76,8.76,8.45,8.57,175300,8.57
2016-01-04,7.86,8.78,7.85,8.68,184300,8.68
2015-12-31,8.38,8.38,7.83,8.03,179900,8.03
2015-12-30,8.55,8.77,8.27,8.38,99200,8.38
2015-12-29,8.64,8.70,8.49,8.61,106600,8.61
2015-12-28,8.52,8.85,8.42,8.59,94600,8.59
2015-12-24,8.61,8.66,8.38,8.53,55300,8.53
2015-12-23,8.46,8.64,8.46,8.61,96300,8.61
2015-12-22,8.49,8.57,8.01,8.43,87900,8.43
2015-12-21,8.50,8.69,8.35,8.51,130900,8.51
2015-12-18,8.12,8.54,8.00,8.30,399300,8.30
2015-12-17,8.00,8.31,7.96,8.12,165000,8.12
2015-12-16,8.13,8.38,8.021,8.27,121100,8.27
2015-12-15,7.79,8.19,7.68,8.05,178900,8.05
2015-12-14,7.97,8.23,7.63,7.69,258300,7.69
2015-12-11,7.84,8.19,7.84,8.07,122800,8.07
2015-12-10,7.89,8.198,7.821,8.11,98300,8.11
2015-12-09,8.15,8.34,7.91,7.96,159200,7.96
2015-12-08,8.39,8.57,8.01,8.11,188100,8.11
2015-12-07,8.02,8.60,7.93,8.56,173100,8.56
2015-12-04,8.22,8.57,8.10,8.26,232500,8.26
2015-12-03,8.30,9.44,7.85,8.65,849200,8.65
2015-12-02,7.56,8.38,6.90,8.28,1138700,8.28
2015-12-01,7.12,7.19,6.85,7.00,367500,7.00
2015-11-30,7.20,7.46,7.07,7.12,324200,7.12
2015-11-27,6.89,7.21,6.74,6.99,66800,6.99
2015-11-25,6.65,7.17,6.65,6.84,178000,6.84
2015-11-24,6.76,7.00,6.61,6.65,184600,6.65
2015-11-23,7.18,7.18,6.67,6.75,132600,6.75
2015-11-20,7.17,7.30,7.03,7.10,138400,7.10
2015-11-19,7.30,7.425,7.11,7.15,176500,7.15
2015-11-18,7.26,7.51,7.25,7.31,163900,7.31
2015-11-17,7.34,7.64,7.19,7.26,126000,7.26
2015-11-16,7.06,7.38,6.98,7.25,128100,7.25
2015-11-13,7.46,7.48,7.00,7.01,234100,7.01
2015-11-12,7.97,7.97,7.30,7.55,206000,7.55
2015-11-11,8.13,8.36,7.79,7.82,144400,7.82
2015-11-10,8.47,8.47,7.90,8.14,194100,8.14
2015-11-09,8.85,8.92,8.40,8.52,131100,8.52
2015-11-06,9.10,9.28,8.81,8.90,153900,8.90
2015-11-05,9.54,9.54,9.10,9.14,115000,9.14
2015-11-04,9.76,9.89,9.39,9.56,112700,9.56
2015-11-03,9.45,9.80,9.36,9.71,123900,9.71
2015-11-02,9.74,9.90,9.40,9.42,158300,9.42
2015-10-30,9.25,9.83,9.04,9.65,359400,9.65
2015-10-29,9.34,9.49,9.10,9.27,75200,9.27
2015-10-28,9.15,9.72,8.81,9.40,177000,9.40
2015-10-27,9.71,9.74,9.01,9.07,349700,9.07
2015-10-26,10.46,10.46,9.67,9.73,226100,9.73
2015-10-23,10.46,10.857,10.00,10.39,225800,10.39
2015-10-22,10.28,10.75,10.00,10.46,272300,10.46
2015-10-21,10.78,10.86,10.07,10.24,301500,10.24
2015-10-20,10.63,11.42,10.57,10.78,203700,10.78
2015-10-19,9.93,10.70,9.77,10.63,245100,10.63
2015-10-16,9.92,10.17,9.73,9.94,132100,9.94
