Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.11,9.28,8.60,8.66,371700,8.66
2016-01-22,8.13,9.36,8.13,9.29,483400,9.29
2016-01-21,7.76,8.19,7.57,7.99,583800,7.99
2016-01-20,7.39,8.15,7.08,7.96,338500,7.96
2016-01-19,9.10,9.52,8.05,8.19,592200,8.19
2016-01-15,9.30,9.45,8.96,9.13,152500,9.13
2016-01-14,9.56,10.00,9.05,9.66,195900,9.66
2016-01-13,10.00,10.12,9.39,9.57,202400,9.57
2016-01-12,9.95,10.26,9.02,9.90,263700,9.90
2016-01-11,10.09,10.37,9.62,9.72,360000,9.72
2016-01-08,11.12,11.12,10.08,10.19,345900,10.19
2016-01-07,11.31,11.33,10.58,10.62,195600,10.62
2016-01-06,12.17,12.33,11.18,11.50,239200,11.50
2016-01-05,12.68,12.72,12.22,12.40,108000,12.40
2016-01-04,12.39,13.12,12.12,12.69,189700,12.69
2015-12-31,11.51,12.34,11.51,12.31,177200,12.31
2015-12-30,11.59,12.14,11.50,11.66,158400,11.66
2015-12-29,11.62,12.19,11.45,11.79,231800,11.79
2015-12-28,11.64,11.83,11.40,11.60,219600,11.60
2015-12-24,12.03,12.16,11.83,11.94,80600,11.94
2015-12-23,11.95,12.34,11.64,12.09,246600,12.09
2015-12-22,10.93,11.89,10.58,11.74,278600,11.74
2015-12-21,11.00,11.31,10.83,10.93,252200,10.93
2015-12-18,11.35,11.72,10.92,11.15,478700,11.15
2015-12-17,12.00,12.13,10.78,11.37,618200,11.37
2015-12-16,11.71,12.38,11.71,11.94,409900,11.94
2015-12-15,12.14,12.74,11.66,11.84,1026400,11.84
2015-12-14,12.02,12.49,11.19,12.14,428300,12.14
2015-12-11,12.38,12.64,12.07,12.13,192300,12.13
2015-12-10,12.36,13.89,12.34,12.66,294600,12.66
2015-12-09,12.10,13.44,12.02,12.89,327900,12.89
2015-12-08,12.02,12.75,12.02,12.10,369400,12.10
2015-12-07,13.08,13.43,11.74,12.40,448400,12.40
