Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.83,9.83,9.76,9.83,500,9.83
2016-01-22,9.74,9.74,9.74,9.74,800,9.74
2016-01-21,9.74,9.74,9.74,9.74,000,9.74
2016-01-20,9.74,9.74,9.74,9.74,000,9.74
2016-01-19,9.74,9.74,9.74,9.74,200,9.74
2016-01-15,9.77,9.77,9.77,9.77,000,9.77
2016-01-14,9.77,9.77,9.77,9.77,000,9.77
2016-01-13,9.77,9.77,9.77,9.77,000,9.77
2016-01-12,9.77,9.77,9.77,9.77,000,9.77
2016-01-11,9.77,9.77,9.77,9.77,100,9.77
2016-01-08,9.79,9.84,9.79,9.84,4700,9.84
2016-01-07,9.82,9.82,9.82,9.82,000,9.82
2016-01-06,9.82,9.82,9.82,9.82,000,9.82
2016-01-05,9.82,9.82,9.82,9.82,000,9.82
2016-01-04,9.75,9.82,9.75,9.82,3800,9.82
2015-12-31,9.82,9.82,9.82,9.82,3200,9.82
2015-12-30,9.77,9.77,9.77,9.77,000,9.77
2015-12-29,9.77,9.77,9.77,9.77,000,9.77
2015-12-28,9.77,9.77,9.77,9.77,000,9.77
2015-12-24,9.77,9.77,9.77,9.77,000,9.77
2015-12-23,9.77,9.77,9.77,9.77,000,9.77
2015-12-22,9.77,9.77,9.77,9.77,000,9.77
2015-12-21,9.77,9.77,9.77,9.77,000,9.77
2015-12-18,9.77,9.77,9.77,9.77,400,9.77
2015-12-17,9.89,9.89,9.89,9.89,5900,9.89
2015-12-16,9.857,9.857,9.857,9.857,000,9.857
2015-12-15,9.857,9.857,9.857,9.857,000,9.857
2015-12-14,9.857,9.857,9.857,9.857,000,9.857
2015-12-11,9.857,9.857,9.857,9.857,000,9.857
2015-12-10,9.857,9.857,9.857,9.857,000,9.857
2015-12-09,9.857,9.857,9.857,9.857,000,9.857
2015-12-08,9.857,9.857,9.857,9.857,000,9.857
2015-12-07,9.857,9.857,9.857,9.857,000,9.857
2015-12-04,9.87,9.87,9.857,9.857,3000,9.857
2015-12-03,9.80,9.80,9.80,9.80,000,9.80
2015-12-02,9.80,9.80,9.80,9.80,000,9.80
2015-12-01,9.80,9.80,9.80,9.80,000,9.80
2015-11-30,9.80,9.80,9.80,9.80,000,9.80
2015-11-27,9.80,9.80,9.80,9.80,000,9.80
2015-11-25,9.82,9.82,9.80,9.80,40100,9.80
2015-11-24,9.81,9.81,9.81,9.81,000,9.81
2015-11-23,9.81,9.81,9.81,9.81,000,9.81
2015-11-20,9.82,9.82,9.81,9.81,20000,9.81
2015-11-19,9.81,9.81,9.81,9.81,000,9.81
2015-11-18,9.81,9.81,9.81,9.81,000,9.81
2015-11-17,9.81,9.81,9.81,9.81,000,9.81
2015-11-16,9.81,9.81,9.81,9.81,100,9.81
2015-11-13,9.88,9.88,9.88,9.88,6000,9.88
2015-11-12,9.96,9.96,9.96,9.96,000,9.96
2015-11-11,9.96,9.96,9.96,9.96,000,9.96
2015-11-10,9.96,9.96,9.96,9.96,000,9.96
2015-11-09,9.96,9.96,9.96,9.96,000,9.96
2015-11-06,9.96,9.96,9.96,9.96,000,9.96
2015-11-05,9.96,9.96,9.96,9.96,000,9.96
2015-11-04,9.96,9.96,9.96,9.96,000,9.96
2015-11-03,9.96,9.96,9.96,9.96,000,9.96
2015-11-02,9.96,9.96,9.96,9.96,200,9.96
2015-10-30,9.95,9.95,9.95,9.95,400,9.95
2015-10-29,9.91,9.92,9.91,9.92,400,9.92
2015-10-28,9.92,9.92,9.85,9.85,700,9.85
2015-10-27,9.91,9.91,9.91,9.91,000,9.91
2015-10-26,9.91,9.91,9.91,9.91,000,9.91
2015-10-23,9.91,9.91,9.91,9.91,000,9.91
2015-10-22,9.91,9.91,9.91,9.91,000,9.91
2015-10-21,9.91,9.91,9.91,9.91,000,9.91
2015-10-20,9.91,9.91,9.91,9.91,000,9.91
2015-10-19,9.91,9.91,9.91,9.91,000,9.91
2015-10-16,9.91,9.91,9.91,9.91,000,9.91
2015-10-15,9.91,9.91,9.91,9.91,000,9.91
2015-10-14,9.91,9.91,9.91,9.91,200,9.91
2015-10-13,9.81,9.81,9.81,9.81,24300,9.81
2015-10-12,9.82,9.82,9.82,9.82,000,9.82
2015-10-09,9.82,9.82,9.82,9.82,150000,9.82
2015-10-08,9.81,9.81,9.81,9.81,900,9.81
2015-10-07,9.81,9.81,9.81,9.81,000,9.81
2015-10-06,9.81,9.81,9.81,9.81,000,9.81
2015-10-05,9.81,9.81,9.81,9.81,1100,9.81
2015-10-02,9.811,9.811,9.81,9.81,8100,9.81
2015-10-01,9.81,9.81,9.81,9.81,000,9.81
2015-09-30,9.81,9.81,9.81,9.81,000,9.81
2015-09-29,9.81,9.81,9.81,9.81,000,9.81
2015-09-28,9.81,9.81,9.81,9.81,200,9.81
2015-09-25,9.81,9.81,9.81,9.81,000,9.81
2015-09-24,9.81,9.81,9.81,9.81,000,9.81
2015-09-23,9.81,9.81,9.81,9.81,1700,9.81
2015-09-22,9.83,9.83,9.83,9.83,000,9.83
2015-09-21,9.83,9.83,9.83,9.83,000,9.83
2015-09-18,9.83,9.83,9.83,9.83,000,9.83
2015-09-17,9.83,9.83,9.83,9.83,000,9.83
2015-09-16,9.83,9.83,9.83,9.83,000,9.83
2015-09-15,9.83,9.83,9.83,9.83,000,9.83
2015-09-14,9.83,9.83,9.83,9.83,000,9.83
2015-09-11,9.83,9.83,9.83,9.83,000,9.83
2015-09-10,9.83,9.83,9.83,9.83,000,9.83
2015-09-09,9.83,9.83,9.83,9.83,700,9.83
2015-09-08,9.81,9.81,9.81,9.81,300,9.81
2015-09-04,9.85,9.85,9.85,9.85,000,9.85
2015-09-03,9.85,9.85,9.85,9.85,000,9.85
2015-09-02,9.85,9.85,9.85,9.85,000,9.85
2015-09-01,9.85,9.85,9.85,9.85,000,9.85
2015-08-31,9.85,9.85,9.85,9.85,000,9.85
2015-08-28,9.85,9.85,9.85,9.85,000,9.85
2015-08-27,9.85,9.85,9.85,9.85,000,9.85
2015-08-26,9.85,9.85,9.85,9.85,000,9.85
2015-08-25,9.85,9.85,9.85,9.85,000,9.85
2015-08-24,9.85,9.85,9.85,9.85,000,9.85
2015-08-21,9.85,9.85,9.85,9.85,000,9.85
2015-08-20,9.85,9.85,9.85,9.85,000,9.85
2015-08-19,9.85,9.85,9.85,9.85,000,9.85
2015-08-18,9.85,9.85,9.85,9.85,000,9.85
2015-08-17,9.85,9.85,9.85,9.85,000,9.85
2015-08-14,9.85,9.85,9.85,9.85,000,9.85
2015-08-13,9.85,9.85,9.85,9.85,000,9.85
2015-08-12,9.85,9.85,9.85,9.85,1900,9.85
2015-08-11,9.85,9.85,9.85,9.85,000,9.85
2015-08-10,9.88,9.90,9.80,9.85,12000,9.85
2015-08-07,9.84,9.84,9.84,9.84,000,9.84
2015-08-06,9.84,9.84,9.84,9.84,000,9.84
2015-08-05,9.82,9.88,9.82,9.84,8600,9.84
2015-08-04,9.82,9.83,9.80,9.83,1400,9.83
2015-08-03,9.85,9.87,9.80,9.80,24100,9.80
2015-07-31,9.82,9.95,9.80,9.80,18200,9.80
2015-07-30,9.82,10.30,9.82,9.83,11000,9.83
2015-07-29,9.80,9.85,9.80,9.85,39000,9.85
2015-07-28,9.80,9.80,9.80,9.80,1100,9.80
2015-07-27,9.80,9.80,9.80,9.80,000,9.80
2015-07-24,9.80,9.80,9.80,9.80,000,9.80
2015-07-23,9.80,9.80,9.80,9.80,000,9.80
2015-07-22,9.80,9.80,9.80,9.80,000,9.80
2015-07-21,9.80,9.80,9.80,9.80,000,9.80
2015-07-20,9.80,9.80,9.80,9.80,000,9.80
2015-07-17,9.80,9.80,9.80,9.80,000,9.80
2015-07-16,9.80,9.80,9.80,9.80,000,9.80
2015-07-15,9.80,9.80,9.80,9.80,000,9.80
2015-07-14,9.80,9.80,9.80,9.80,700,9.80
2015-07-13,9.79,9.79,9.79,9.79,000,9.79
2015-07-10,9.79,9.79,9.79,9.79,600,9.79
2015-07-09,9.85,9.85,9.85,9.85,000,9.85
2015-07-08,9.85,9.85,9.85,9.85,000,9.85
2015-07-07,9.85,9.85,9.85,9.85,000,9.85
2015-07-06,9.85,9.85,9.85,9.85,300,9.85
2015-07-02,9.77,9.77,9.77,9.77,000,9.77
2015-07-01,9.77,9.77,9.77,9.77,300,9.77
2015-06-30,9.83,9.83,9.83,9.83,200,9.83
2015-06-29,9.82,9.82,9.82,9.82,500,9.82
2015-06-26,10.02,10.02,10.02,10.02,000,10.02
2015-06-25,9.80,10.02,9.80,10.02,200,10.02
2015-06-24,9.77,9.77,9.77,9.77,000,9.77
2015-06-23,9.77,9.77,9.77,9.77,1000,9.77
2015-06-22,9.77,9.77,9.77,9.77,2800,9.77
2015-06-19,9.79,9.79,9.79,9.79,000,9.79
2015-06-18,9.79,9.79,9.79,9.79,000,9.79
2015-06-17,9.79,9.79,9.79,9.79,15800,9.79
2015-06-16,9.76,9.77,9.76,9.77,62500,9.77
2015-06-15,9.80,10.00,9.75,9.76,128100,9.76
2015-06-12,9.75,9.75,9.75,9.75,000,9.75
2015-06-11,9.80,9.80,9.75,9.75,400,9.75
2015-06-10,9.77,9.77,9.77,9.77,000,9.77
2015-06-09,9.77,9.77,9.77,9.77,000,9.77
2015-06-08,9.77,9.77,9.77,9.77,000,9.77
2015-06-05,9.77,9.77,9.77,9.77,000,9.77
2015-06-04,9.79,9.79,9.77,9.77,5400,9.77
2015-06-03,9.78,9.78,9.78,9.78,000,9.78
2015-06-02,9.75,9.78,9.75,9.78,146500,9.78
2015-06-01,9.74,9.74,9.74,9.74,000,9.74
2015-05-29,9.74,9.74,9.74,9.74,6000,9.74
2015-05-28,9.72,9.74,9.72,9.74,5600,9.74
2015-05-27,9.75,9.80,9.73,9.73,10300,9.73
