Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,3.70,4.18,3.50,4.12,1034100,4.12
2016-01-22,3.65,3.781,3.53,3.66,457200,3.66
2016-01-21,3.55,3.88,3.52,3.61,727500,3.61
2016-01-20,3.55,3.60,3.29,3.58,1372400,3.58
2016-01-19,4.02,4.07,3.65,3.72,1168800,3.72
2016-01-15,3.76,4.18,3.76,4.01,1063000,4.01
2016-01-14,3.77,4.29,3.30,4.05,2056300,4.05
2016-01-13,4.05,4.053,3.50,3.67,2196300,3.67
2016-01-12,5.03,5.09,4.06,4.10,2671100,4.10
2016-01-11,5.68,5.80,4.82,5.16,5171500,5.16
2016-01-08,4.70,4.88,3.77,4.60,3325000,4.60
2016-01-07,4.98,5.11,4.47,4.53,1951500,4.53
2016-01-06,6.05,6.05,4.95,5.11,2632800,5.11
2016-01-05,6.12,6.327,6.00,6.12,1436100,6.12
2016-01-04,5.49,6.34,5.30,6.26,2658300,6.26
2015-12-31,5.09,5.61,4.60,5.57,4383600,5.57
2015-12-30,5.89,6.06,5.40,5.50,3773500,5.50
2015-12-29,5.96,6.74,5.54,6.28,6580100,6.28
2015-12-28,7.10,7.12,6.50,7.03,1780000,7.03
2015-12-24,7.45,7.50,7.10,7.10,698800,7.10
2015-12-23,7.52,7.64,7.21,7.42,660400,7.42
2015-12-22,7.53,7.77,7.26,7.50,1031500,7.50
2015-12-21,7.67,7.86,7.49,7.77,1630400,7.77
2015-12-18,7.46,7.95,7.30,7.49,3259000,7.49
2015-12-17,7.26,7.55,7.05,7.46,1284300,7.46
2015-12-16,7.00,7.29,6.87,7.15,1706800,7.15
2015-12-15,7.74,8.03,6.86,6.87,3508200,6.87
2015-12-14,7.44,7.99,7.39,7.61,3477700,7.61
2015-12-11,6.61,7.15,6.55,7.11,2048000,7.11
2015-12-10,7.04,7.10,6.65,6.72,1123600,6.72
2015-12-09,6.67,7.15,6.65,6.75,1263900,6.75
2015-12-08,6.28,7.29,6.16,6.56,2579600,6.56
2015-12-07,6.35,6.59,6.10,6.46,1013600,6.46
2015-12-04,6.52,6.69,6.21,6.33,1904500,6.33
2015-12-03,5.86,6.44,5.76,6.405,1480500,6.405
2015-12-02,5.78,6.44,5.57,5.76,3429600,5.76
2015-12-01,7.06,7.084,6.21,6.33,3397000,6.33
2015-11-30,7.25,8.14,6.91,6.99,20036800,6.99
2015-11-27,5.63,6.00,5.38,6.00,825900,6.00
2015-11-25,5.65,5.85,5.50,5.52,991300,5.52
2015-11-24,5.95,6.04,5.50,5.61,1784700,5.61
2015-11-23,6.07,6.36,5.91,6.00,2486600,6.00
2015-11-20,5.67,6.30,5.38,5.83,3866800,5.83
2015-11-19,6.33,6.96,5.65,5.90,14098500,5.90
2015-11-18,4.10,6.03,3.87,5.30,34225000,5.30
2015-11-17,3.90,3.99,3.16,3.24,4689900,3.24
2015-11-16,4.60,4.88,4.15,4.22,1631500,4.22
2015-11-13,5.21,5.21,4.47,4.55,3135400,4.55
2015-11-12,5.68,5.92,4.95,5.23,2309900,5.23
2015-11-11,5.45,6.44,4.92,5.44,7882200,5.44
2015-11-10,4.58,5.89,3.60,5.44,16852600,5.44
2015-11-09,9.09,9.20,6.05,6.20,16102200,6.20
2015-11-06,10.57,10.60,8.05,8.20,6213300,8.20
2015-11-05,12.40,13.20,10.50,10.92,6995800,10.92
2015-11-04,14.18,14.42,13.08,13.30,2745900,13.30
2015-11-03,13.66,14.84,12.15,14.33,6873300,14.33
2015-11-02,11.18,13.00,11.06,13.00,4093600,13.00
2015-10-30,9.99,10.82,9.78,10.58,2000400,10.58
2015-10-29,9.60,10.19,9.50,9.75,1201000,9.75
2015-10-28,9.23,10.35,8.72,9.45,1986500,9.45
