Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,25.52,25.969999,25.42,25.42,2900,25.42
2016-01-22,25.700001,25.83,25.360001,25.59,11500,25.59
2016-01-21,25.27,25.66,24.84,25.00,5800,25.00
2016-01-20,23.115,25.57,23.115,25.17,12700,25.17
2016-01-19,25.540001,25.540001,23.690001,24.16,13400,24.16
2016-01-15,24.76,25.038,24.219999,24.965,8000,24.965
2016-01-14,24.629999,25.91,23.889999,25.690001,30900,25.690001
2016-01-13,26.51,26.51,24.702,24.702,7300,24.702
2016-01-12,26.49,26.860001,25.26,26.167999,14600,26.167999
2016-01-11,27.00,27.00,25.07,25.76,22800,25.76
2016-01-08,27.74,28.056,27.110001,27.110001,7800,27.110001
2016-01-07,27.83,28.129999,27.60,27.60,16500,27.60
2016-01-06,29.120001,29.290001,28.59,28.923,11800,28.923
2016-01-05,30.309999,30.309999,29.57,29.57,2900,29.57
2016-01-04,30.09,30.360001,29.596001,29.77,5700,29.77
2015-12-31,30.861,31.07,30.82,30.82,2300,30.82
2015-12-30,31.16,31.208,31.00,31.00,8900,31.00
2015-12-29,30.990999,31.266001,30.99,31.200001,8200,31.200001
2015-12-28,30.559999,30.896999,30.549999,30.57,4000,30.57
2015-12-24,31.00,31.120001,30.91,30.940001,8000,30.940001
2015-12-23,30.815001,31.00,30.815001,30.91,5000,30.91
2015-12-22,30.23,30.716,30.23,30.57,12400,30.57
2015-12-21,30.129999,30.416,30.129999,30.395,5100,30.395
2015-12-18,30.42,30.709999,30.332001,30.530001,5600,30.133001
2015-12-17,30.778,30.787001,30.24,30.43,4200,30.034301
2015-12-16,29.872999,30.711,29.872999,30.711,8500,30.311647
2015-12-15,29.83,29.83,29.65,29.73,1700,29.343403
2015-12-14,29.23,29.507,28.700001,29.059999,13200,28.682115
2015-12-11,29.67,29.708,29.26,29.26,23900,28.879515
2015-12-10,29.92,30.349001,29.92,30.339001,1700,29.944485
2015-12-09,30.42,30.42,29.940001,29.940001,2300,29.550673
2015-12-08,29.790001,30.665001,29.75,30.50,3800,30.103391
2015-12-07,30.66,30.66,30.09,30.15,24600,29.757941
2015-12-04,30.872999,30.921,30.23,30.921,2200,30.518916
2015-12-03,31.200001,31.34,30.337,30.35,5400,29.955341
2015-12-02,31.77,32.007,31.450001,31.450001,3800,31.041038
2015-12-01,31.450001,31.639999,31.200001,31.639999,5000,31.228566
2015-11-30,32.00,32.00,31.43,31.610001,6200,31.198957
2015-11-27,31.90,32.080002,31.67,31.809999,4300,31.396355
2015-11-25,31.25,31.815001,31.25,31.75,27500,31.337136
2015-11-24,31.066999,31.280001,30.940001,31.242001,3300,30.835742
2015-11-23,31.249001,31.461,31.249001,31.309999,4700,30.902857
2015-11-20,31.16,31.450001,31.09,31.09,6700,30.685719
2015-11-19,31.330999,31.40,30.959999,31.030001,3300,30.626499
2015-11-18,30.83,31.639999,30.83,31.639999,8000,31.228566
2015-11-17,30.24,30.969999,30.24,30.700001,3700,30.300791
2015-11-16,30.280001,30.370001,29.68,30.35,11900,29.955341
2015-11-13,30.00,30.799999,29.705,30.440001,10700,30.044171
2015-11-12,30.379999,30.632,30.049999,30.049999,11000,29.659241
2015-11-11,31.200001,31.40,30.690001,30.690001,11800,30.29092
2015-11-10,31.35,31.407,30.690001,31.370001,16900,30.962078
2015-11-09,31.422001,31.764,31.299999,31.51,12000,31.100257
2015-11-06,31.530001,31.73,30.860001,31.51,12100,31.100257
2015-11-05,31.610001,31.83,31.232,31.660999,10000,31.249293
2015-11-04,32.00,32.049999,31.632,32.040001,7300,31.623366
2015-11-03,32.07,32.470001,31.705999,32.279999,5300,31.860243
2015-11-02,31.17,31.959999,31.17,31.959999,7900,31.544404
2015-10-30,30.450001,30.77,30.450001,30.666,4600,30.267232
2015-10-29,31.25,31.469999,30.48,30.48,7400,30.08365
2015-10-28,30.02,30.73,29.85,30.73,6100,30.330399
2015-10-27,30.030001,30.24,29.67,30.24,5300,29.846771
2015-10-26,29.370001,30.150999,29.35,29.601,7500,29.216081
2015-10-23,28.969999,29.620001,28.969999,29.34,9500,28.958475
2015-10-22,28.940001,29.24,28.695999,28.790001,5900,28.415628
2015-10-21,29.27,29.280001,27.98,28.82,24000,28.445236
2015-10-20,29.799999,29.799999,28.74,28.799999,4100,28.425496
2015-10-19,29.629999,30.305,29.00,29.860001,6800,29.471713
2015-10-16,30.00,30.18,29.379999,29.629999,7600,29.244703
2015-10-15,28.07,29.74,28.07,29.74,10700,29.353273
2015-10-14,27.870001,28.85,27.870001,28.48,8100,28.109657
2015-10-13,28.862,29.16,27.75,27.75,28400,27.38915
2015-10-12,28.83,29.200001,28.59,28.799999,4300,28.425496
2015-10-09,28.200001,29.15,28.200001,29.01,15200,28.632766
2015-10-08,28.639999,28.709999,27.639999,28.35,9300,27.981349
2015-10-07,27.74,29.01,27.639999,28.549999,15000,28.178747
2015-10-06,29.049999,29.049999,27.415001,28.10,13000,27.7346
2015-10-05,29.65,29.950001,28.780001,29.200001,11500,28.820296
2015-10-02,27.15,29.139999,27.15,29.120001,19200,28.741336
2015-10-01,27.74,27.75,26.965,27.709999,16200,27.34967
2015-09-30,27.52,28.00,27.073999,27.60,12000,27.241101
2015-09-29,27.75,28.205,26.379999,26.66,30900,26.313324
2015-09-28,28.549999,28.60,26.66,27.280001,58300,26.925263
2015-09-25,30.712999,30.712999,28.639999,29.01,8800,28.632766
2015-09-24,30.60,30.74,30.15,30.700001,6300,30.300791
2015-09-23,30.666,31.549999,30.492001,31.049999,8100,30.646238
2015-09-22,31.030001,31.364,30.464001,31.07,28400,30.665978
2015-09-21,33.669998,33.669998,31.33,31.701,25900,31.288773
2015-09-18,33.599998,33.619999,33.080002,33.080002,14400,32.649843
2015-09-17,32.869999,33.91,32.869999,33.700001,19000,33.26178
2015-09-16,33.16,33.18,32.52,32.880001,28800,32.452443
2015-09-15,33.02,33.189999,32.779999,33.189999,7400,32.75841
2015-09-14,33.720001,33.720001,32.650002,33.02,34500,32.590622
2015-09-11,33.040001,33.630001,32.818001,33.630001,2600,33.19269
2015-09-10,32.450001,33.150002,32.41,33.110001,23200,32.679452
2015-09-09,33.720001,33.720001,32.450001,32.450001,27900,32.028034
2015-09-08,32.630001,33.130001,32.299999,33.110001,6600,32.679452
2015-09-04,31.34,32.136002,31.34,32.080002,7700,31.662847
2015-09-03,32.91,33.200001,31.870001,31.90,25200,31.485185
2015-09-02,32.34,32.799999,31.75,32.799999,8600,32.373482
2015-09-01,31.77,32.790001,31.610001,31.85,32400,31.435836
2015-08-31,33.57,33.68,32.674999,32.830002,11400,32.403094
2015-08-28,33.18,33.540001,32.259998,33.490002,19300,33.054512
2015-08-27,33.040001,33.040001,32.201,32.900002,28700,32.472183
2015-08-26,31.01,31.945999,30.139999,31.93,18200,31.514796
2015-08-25,32.560001,32.560001,30.441,30.51,46400,30.113261
2015-08-24,31.10,31.84,28.01,30.34,112300,29.945471
2015-08-21,31.809999,32.93,31.01,32.07,100400,31.652975
2015-08-20,33.59,33.756001,32.41,32.450001,65100,32.028034
2015-08-19,34.23,34.310001,33.560001,34.080002,32700,33.63684
2015-08-18,34.540001,35.124001,34.465,34.490002,38000,34.041508
2015-08-17,33.299999,34.57,33.299999,34.57,41200,34.120466
2015-08-14,33.57,33.900002,33.110001,33.75,27300,33.311129
2015-08-13,34.130001,34.640999,33.859001,33.939999,10700,33.498657
2015-08-12,33.419998,34.421001,33.060001,34.330002,26300,33.883589
2015-08-11,34.049999,34.563,33.682999,34.099998,27000,33.656576
2015-08-10,34.57,35.220001,34.41,34.529999,56600,34.080985
2015-08-07,35.00,35.00,33.669998,34.310001,76300,33.863848
2015-08-06,36.779999,36.779999,34.779999,34.950001,51400,34.495525
2015-08-05,36.439999,37.00,36.25,36.509998,23500,36.035237
2015-08-04,36.07,36.540001,36.07,36.290001,12400,35.818101
2015-08-03,36.00,36.450001,35.869999,36.09,9200,35.620701
2015-07-31,35.84,36.389999,35.439999,36.060001,14300,35.591092
2015-07-30,35.290001,35.59,34.700001,35.580002,18700,35.117334
2015-07-29,36.490002,36.490002,35.144001,35.470001,19800,35.008764
2015-07-28,35.419998,36.549999,35.419998,36.310001,12200,35.837841
2015-07-27,35.32,35.68,34.98,35.48,37000,35.018632
2015-07-24,37.099998,37.099998,35.720001,35.830002,39800,35.364083
2015-07-23,37.75,37.75,37.00,37.080002,19900,36.597829
2015-07-22,36.860001,37.549999,36.700001,37.50,20100,37.012365
2015-07-21,37.380001,37.450001,36.759998,37.240002,31300,36.755748
2015-07-20,38.119999,38.119999,37.209999,37.540001,63400,37.051846
2015-07-17,37.630001,38.625,36.900002,37.310001,48800,36.824837
2015-07-16,37.360001,37.360001,36.73,37.25,75400,36.765616
2015-07-15,36.619999,37.299999,36.493,36.639,36200,36.162561
2015-07-14,36.470001,36.709999,36.049999,36.619999,47000,36.143808
2015-07-13,35.25,36.125999,35.166,35.939999,46400,35.47265
2015-07-10,34.93,34.93,34.305,34.762001,13000,34.30997
2015-07-09,34.50,34.50,34.148998,34.23,40900,33.784887
2015-07-08,34.139999,34.450001,33.669998,33.77,13000,33.330869
2015-07-07,34.459999,34.68,33.919998,34.618999,28100,34.168828
2015-07-06,34.139999,35.009998,34.09,34.650002,41700,34.199427
2015-07-02,34.459999,34.77,34.25,34.77,13400,34.317866
2015-07-01,36.290001,36.290001,34.540001,34.73,61200,34.278385
2015-06-30,34.50,35.099998,34.422001,35.09,25000,34.633704
2015-06-29,34.509998,35.02,34.009998,34.09,82000,33.646708
2015-06-26,36.099998,36.099998,34.669998,35.099998,36200,34.643573
2015-06-25,35.880001,35.889999,35.299999,35.57,16300,35.107462
2015-06-24,36.66,36.66,35.568001,35.66,45800,35.196292
2015-06-23,36.720001,36.810001,35.931,36.529999,77600,36.054978
2015-06-22,36.450001,36.799999,35.700001,36.439999,73300,35.966148
2015-06-19,35.900002,35.959999,35.279999,35.709999,36000,35.245641
2015-06-18,34.439999,35.610001,34.439999,35.50,56800,35.038373
2015-06-17,33.91,34.450001,33.91,34.346001,17600,33.899379
2015-06-16,33.32,34.080002,33.32,33.919998,27000,33.478916
2015-06-15,33.900002,33.900002,33.25,33.759998,36000,33.320997
2015-06-12,34.25,34.25,33.700001,33.84,5700,33.399959
2015-06-11,34.189999,34.259998,33.799999,34.07,14700,33.626967
2015-06-10,33.389999,33.939999,33.279999,33.939999,17800,33.498657
2015-06-09,33.91,34.419998,33.221001,33.650002,31100,33.212431
2015-06-08,34.00,34.360001,33.970001,34.189999,25100,33.745406
2015-06-05,33.43,34.02,33.169998,33.970001,30600,33.528269
2015-06-04,33.599998,33.66,33.02,33.386002,24200,32.951864
2015-06-03,32.91,33.549999,32.91,33.438999,16900,33.004172
2015-06-02,33.169998,33.311001,32.740002,33.040001,7600,32.610362
2015-06-01,32.939999,33.439999,32.75,33.200001,38000,32.768282
2015-05-29,32.77,32.849998,32.540001,32.599998,5500,32.176082
2015-05-28,32.669998,32.720001,32.488998,32.560001,1200,32.136605
2015-05-27,32.41,32.768002,32.189999,32.768002,8700,32.3419
2015-05-26,32.450001,32.450001,32.060001,32.34,4200,31.919464
2015-05-22,32.619999,32.619999,32.289001,32.495998,7900,32.073434
2015-05-21,32.330002,32.540001,32.290001,32.509998,8300,32.087252
2015-05-20,32.330002,32.688999,31.98,32.452,20300,32.030007
2015-05-19,32.25,32.278,32.00,32.150002,5000,31.731936
2015-05-18,31.540001,32.169998,31.540001,32.07,6100,31.652975
2015-05-15,31.49,31.649,31.459999,31.639999,5500,31.228566
2015-05-14,31.83,31.83,31.452,31.621,6500,31.209814
2015-05-13,32.360001,32.360001,31.33,31.493999,21800,31.084464
2015-05-12,31.60,31.60,30.83,31.50,9200,31.090387
2015-05-11,31.67,31.67,31.450001,31.450001,18000,31.041038
2015-05-08,31.360001,31.729,31.00,31.450001,23500,31.041038
2015-05-07,30.040001,30.67,30.040001,30.67,16200,30.27118
2015-05-06,29.91,30.469999,29.610001,30.32,20500,29.925731
2015-05-05,30.57,30.57,30.00,30.10,3700,29.708592
2015-05-04,30.620001,31.313999,30.01,30.809999,11200,30.409359
2015-05-01,29.90,30.813999,29.90,30.66,26600,30.26131
2015-04-30,30.57,30.666,29.50,29.68,25900,29.294054
2015-04-29,30.629999,31.202,30.629999,30.940001,10000,30.53767
