Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.86,9.86,9.86,9.86,100,9.86
2016-01-22,9.75,9.75,9.75,9.75,100,9.75
2016-01-21,9.75,9.75,9.75,9.75,000,9.75
2016-01-20,9.75,9.75,9.75,9.75,2000,9.75
2016-01-19,9.80,9.80,9.80,9.80,500,9.80
2016-01-15,9.79,9.80,9.79,9.80,3100,9.80
2016-01-14,9.80,9.80,9.80,9.80,1000,9.80
2016-01-13,9.80,9.80,9.80,9.80,300,9.80
2016-01-12,9.80,9.822,9.80,9.822,2200,9.822
2016-01-11,9.80,9.80,9.80,9.80,1000,9.80
2016-01-08,9.80,9.80,9.79,9.80,1700,9.80
2016-01-07,9.83,9.83,9.83,9.83,000,9.83
2016-01-06,9.83,9.83,9.83,9.83,000,9.83
2016-01-05,9.83,9.83,9.83,9.83,000,9.83
2016-01-04,9.83,9.83,9.83,9.83,000,9.83
2015-12-31,9.83,9.83,9.83,9.83,000,9.83
2015-12-30,9.83,9.83,9.83,9.83,3500,9.83
2015-12-29,9.839,9.84,9.83,9.83,5600,9.83
2015-12-28,9.80,9.82,9.80,9.80,1300,9.80
2015-12-24,9.81,9.81,9.81,9.81,2500,9.81
2015-12-23,9.85,9.85,9.85,9.85,1000,9.85
2015-12-22,9.86,9.86,9.86,9.86,2500,9.86
2015-12-21,9.75,9.75,9.75,9.75,000,9.75
2015-12-18,9.75,9.75,9.75,9.75,700,9.75
2015-12-17,9.70,9.70,9.70,9.70,000,9.70
2015-12-16,9.70,9.70,9.70,9.70,200,9.70
2015-12-15,9.80,9.85,9.65,9.79,30800,9.79
2015-12-14,9.80,9.80,9.80,9.80,200,9.80
2015-12-11,9.83,9.83,9.83,9.83,000,9.83
2015-12-10,9.83,9.83,9.83,9.83,500,9.83
2015-12-09,9.83,9.83,9.83,9.83,000,9.83
2015-12-08,9.82,9.83,9.82,9.83,1100,9.83
2015-12-07,9.85,9.85,9.85,9.85,500,9.85
2015-12-04,9.83,9.83,9.83,9.83,000,9.83
2015-12-03,9.83,9.83,9.83,9.83,000,9.83
2015-12-02,9.81,9.83,9.81,9.83,1500,9.83
2015-12-01,9.82,9.822,9.82,9.82,2700,9.82
2015-11-30,9.85,9.85,9.85,9.85,3000,9.85
2015-11-27,9.81,9.81,9.81,9.81,200,9.81
2015-11-25,9.81,9.85,9.81,9.81,4700,9.81
2015-11-24,9.81,9.81,9.81,9.81,900,9.81
2015-11-23,9.869,9.869,9.869,9.869,000,9.869
2015-11-20,9.869,9.869,9.869,9.869,000,9.869
2015-11-19,9.81,9.87,9.81,9.869,700,9.869
2015-11-18,9.85,9.85,9.812,9.812,1500,9.812
2015-11-17,9.85,9.85,9.85,9.85,000,9.85
2015-11-16,9.85,9.85,9.85,9.85,400,9.85
2015-11-13,9.80,9.80,9.80,9.80,000,9.80
2015-11-12,9.80,9.80,9.80,9.80,200,9.80
2015-11-11,9.80,9.80,9.80,9.80,000,9.80
2015-11-10,9.80,9.80,9.80,9.80,000,9.80
2015-11-09,9.80,9.80,9.80,9.80,300,9.80
2015-11-06,9.80,9.80,9.80,9.80,000,9.80
2015-11-05,9.80,9.80,9.80,9.80,000,9.80
