Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,23.559999,23.802999,23.549999,23.549999,900,23.549999
2016-01-22,23.792999,23.792999,23.76,23.76,400,23.76
2016-01-21,23.540001,23.540001,23.50,23.50,500,23.50
2016-01-20,22.84,23.132,22.554001,22.997999,3700,22.997999
2016-01-19,23.360001,23.51,23.27,23.440001,900,23.440001
2016-01-15,23.16,23.379999,23.129999,23.379999,13400,23.379999
2016-01-14,23.23,23.816,23.01,23.813,1200,23.813
2016-01-13,23.851,23.851,23.389999,23.389999,1600,23.389999
2016-01-12,23.48,23.84,23.48,23.514999,1200,23.514999
2016-01-11,23.10,23.306,23.10,23.26,1900,23.26
2016-01-08,23.33,23.370001,23.33,23.370001,1200,23.370001
2016-01-07,23.620001,23.620001,23.620001,23.620001,200,23.620001
2016-01-06,24.030001,24.030001,23.870001,23.90,3400,23.90
2016-01-05,24.309999,24.309999,24.190001,24.190001,700,24.190001
2016-01-04,23.99,24.059999,23.969999,24.059999,1100,24.059999
2015-12-31,24.66,24.66,24.51,24.51,700,24.51
2015-12-30,25.01,25.01,24.639999,24.790001,2500,24.790001
2015-12-29,25.02,25.02,24.700001,24.799999,700,24.799999
2015-12-28,24.77,24.77,24.50,24.60,1500,24.60
2015-12-24,24.719,24.719,24.629999,24.629999,800,24.629999
2015-12-23,24.780001,24.780001,24.60,24.65,1400,24.65
2015-12-22,24.389999,24.43,24.389999,24.43,800,24.43
2015-12-21,24.60,24.60,24.379999,24.379999,1100,24.379999
2015-12-18,24.209999,24.209999,24.209999,24.209999,400,24.209999
2015-12-17,24.58,24.58,24.24,24.24,1800,24.24
2015-12-16,24.690001,24.690001,24.690001,24.690001,500,24.690001
2015-12-15,24.299999,24.299999,24.280001,24.299999,1600,24.299999
2015-12-14,24.209999,24.209999,24.00,24.18,1400,24.18
2015-12-11,24.35,24.35,24.299999,24.299999,300,24.299999
2015-12-10,24.99,24.99,24.558001,24.695,2700,24.695
2015-12-09,25.200001,25.200001,24.629999,24.629999,1000,24.629999
2015-12-08,25.139999,25.139999,24.709999,24.75,4900,24.75
2015-12-07,25.940001,25.940001,24.722,24.823999,8900,24.823999
2015-12-04,24.60,24.780001,24.60,24.740999,1200,24.740999
2015-12-03,25.10,25.10,24.35,24.440001,5200,24.440001
2015-12-02,24.870001,24.917999,24.799999,24.879999,3500,24.879999
2015-12-01,25.18,25.18,24.799999,24.799999,1900,24.799999
2015-11-30,25.00,25.00,24.865999,24.959999,1600,24.959999
2015-11-27,24.940001,25.065001,24.940001,24.99,2100,24.99
2015-11-25,24.90,25.030001,24.90,25.00,1400,25.00
2015-11-24,24.59,24.59,24.469999,24.469999,600,24.469999
2015-11-23,24.290001,24.66,24.290001,24.620001,7800,24.620001
2015-11-20,24.17,24.17,24.17,24.17,300,24.17
2015-11-19,23.959999,23.99,23.950001,23.966999,2300,23.966999
2015-11-18,23.629999,23.780001,23.629999,23.780001,1600,23.780001
2015-11-17,23.809999,23.92,23.639999,23.639999,500,23.639999
2015-11-16,23.549999,23.709999,23.549999,23.709999,2000,23.709999
2015-11-13,23.92,23.933001,23.60,23.60,2500,23.60
2015-11-12,24.620001,24.620001,24.16,24.16,1300,24.16
2015-11-11,24.280001,24.587,24.280001,24.549999,1500,24.549999
2015-11-10,24.370001,24.379999,24.10,24.370001,2100,24.370001
2015-11-09,26.75,26.75,24.25,24.292999,2000,24.292999
2015-11-06,24.561001,24.809999,24.547001,24.799999,4300,24.799999
2015-11-05,24.837999,24.837999,24.530001,24.67,2400,24.67
2015-11-04,25.23,25.23,24.879999,24.879999,6800,24.879999
2015-11-03,25.17,25.23,25.048,25.15,12200,25.15
2015-11-02,24.889999,25.129999,24.75,25.07,14300,25.07
2015-10-30,25.219999,25.219999,24.690001,24.690001,6000,24.690001
2015-10-29,25.24,25.459999,25.00,25.00,4500,25.00
2015-10-28,25.389999,25.639999,25.120001,25.639999,2000,25.639999
