Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,2.40,2.50,2.38,2.49,6300,2.49
2016-01-22,2.49,2.49,2.38,2.40,3900,2.40
2016-01-21,2.47,2.47,2.42,2.46,3000,2.46
2016-01-20,2.44,2.44,2.25,2.43,11700,2.43
2016-01-19,2.43,2.52,2.36,2.52,4300,2.52
2016-01-15,2.39,2.50,2.35,2.41,13200,2.41
2016-01-14,2.53,2.58,2.36,2.45,14700,2.45
2016-01-13,2.54,2.93,2.53,2.53,22000,2.53
2016-01-12,2.34,2.58,2.32,2.52,10700,2.52
2016-01-11,2.40,2.809,2.202,2.43,54800,2.43
2016-01-08,2.59,2.59,2.40,2.46,28400,2.46
2016-01-07,2.70,2.75,2.53,2.56,34800,2.56
2016-01-06,2.90,2.94,2.72,2.72,24600,2.72
2016-01-05,2.90,3.00,2.90,2.94,5800,2.94
2016-01-04,2.91,2.94,2.80,2.89,32000,2.89
2015-12-31,3.08,3.08,2.95,2.96,25800,2.96
2015-12-30,3.08,3.14,3.045,3.10,22600,3.10
2015-12-29,3.02,3.24,2.96,3.10,49600,3.10
2015-12-28,2.81,3.19,2.73,3.01,41000,3.01
2015-12-24,2.90,2.92,2.64,2.83,6500,2.83
2015-12-23,2.89,2.95,2.85,2.90,26500,2.90
2015-12-22,2.81,3.07,2.81,2.89,19700,2.89
2015-12-21,2.78,2.82,2.75,2.82,17600,2.82
2015-12-18,2.81,2.84,2.72,2.78,48600,2.78
2015-12-17,2.64,2.92,2.64,2.75,40000,2.75
2015-12-16,2.50,2.965,2.50,2.77,45900,2.77
2015-12-15,2.90,2.90,2.47,2.55,55200,2.55
2015-12-14,2.88,2.90,2.82,2.84,7300,2.84
2015-12-11,2.83,2.93,2.81,2.88,18700,2.88
2015-12-10,2.91,3.00,2.90,2.90,11300,2.90
2015-12-09,2.97,3.008,2.86,2.91,24400,2.91
2015-12-08,3.00,3.00,2.848,2.953,42200,2.953
2015-12-07,3.12,3.12,2.97,3.04,24600,3.04
2015-12-04,2.96,3.12,2.95,3.12,63200,3.12
2015-12-03,2.98,3.06,2.83,2.98,36700,2.98
2015-12-02,3.07,3.07,2.91,3.02,47900,3.02
2015-12-01,3.14,3.16,3.05,3.07,107800,3.07
2015-11-30,3.28,3.28,3.091,3.16,39900,3.16
2015-11-27,3.17,3.29,3.08,3.28,34700,3.28
2015-11-25,3.22,3.28,3.05,3.16,68500,3.16
2015-11-24,3.37,3.49,3.17,3.21,105900,3.21
2015-11-23,3.15,3.70,3.00,3.37,561500,3.37
2015-11-20,3.019,3.26,2.88,3.03,334000,3.03
