Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,14.83,14.982,14.58,14.68,119600,14.68
2016-01-22,15.21,15.21,14.86,15.00,225900,15.00
2016-01-21,14.95,15.50,14.72,14.91,231200,14.91
2016-01-20,14.85,15.21,14.08,14.87,346000,14.87
2016-01-19,15.43,15.44,14.88,15.06,152200,15.06
2016-01-15,15.13,15.43,15.00,15.33,274200,15.33
2016-01-14,15.37,15.99,14.98,15.61,267300,15.61
2016-01-13,16.40,16.700001,15.36,15.39,188100,15.39
2016-01-12,16.85,17.290001,16.299999,16.33,389900,16.33
2016-01-11,16.25,16.85,16.059999,16.85,237000,16.85
2016-01-08,15.93,16.166,15.83,16.110001,239400,16.110001
2016-01-07,15.60,15.92,15.44,15.86,146700,15.86
2016-01-06,16.049999,16.360001,15.70,15.92,215500,15.92
2016-01-05,15.83,16.75,15.83,16.299999,343100,16.299999
2016-01-04,15.62,15.96,15.53,15.83,194400,15.83
2015-12-31,16.00,16.290001,15.84,15.87,158300,15.87
2015-12-30,16.219999,16.469999,16.040001,16.17,170700,16.17
2015-12-29,15.00,16.629999,14.95,16.15,504300,16.15
2015-12-28,15.54,15.70,14.79,14.82,323800,14.82
2015-12-24,15.59,15.66,15.37,15.56,123100,15.56
2015-12-23,15.54,15.89,15.40,15.52,250500,15.52
2015-12-22,15.99,15.99,15.25,15.49,440800,15.49
2015-12-21,15.11,15.307,14.832,15.20,117100,15.20
2015-12-18,15.30,15.46,14.70,15.14,290300,15.14
2015-12-17,15.44,15.50,15.15,15.28,253900,15.28
2015-12-16,15.35,15.55,15.28,15.40,272400,15.40
2015-12-15,15.58,15.69,15.21,15.31,282400,15.31
2015-12-14,15.52,15.75,15.20,15.41,284500,15.41
2015-12-11,15.59,15.80,15.43,15.55,401100,15.55
2015-12-10,16.40,16.469999,15.66,15.76,396500,15.76
2015-12-09,16.790001,16.940001,16.25,16.34,111700,16.34
2015-12-08,16.889999,17.09,16.780001,16.82,126000,16.82
2015-12-07,16.889999,17.110001,16.76,17.00,128600,17.00
2015-12-04,16.969999,17.219999,16.85,16.959999,125700,16.959999
2015-12-03,17.08,17.370001,16.74,16.99,179600,16.99
2015-12-02,17.290001,17.42,17.049999,17.08,212100,17.08
2015-12-01,17.27,17.85,17.200001,17.25,161100,17.25
2015-11-30,17.85,17.98,17.629999,17.68,168200,17.68
2015-11-27,17.870001,17.92,17.650999,17.76,44700,17.76
2015-11-25,17.690001,18.115,17.690001,17.790001,98300,17.790001
2015-11-24,17.549999,17.82,17.309999,17.700001,236300,17.700001
2015-11-23,17.690001,17.91,17.52,17.68,107300,17.68
2015-11-20,17.60,18.200001,17.49,17.629999,114000,17.629999
2015-11-19,17.379999,17.610001,17.24,17.43,360300,17.43
2015-11-18,17.379999,17.610001,16.92,17.469999,228800,17.469999
2015-11-17,17.43,17.50,16.90,17.27,155300,17.27
2015-11-16,18.110001,18.27,17.299999,17.370001,265000,17.370001
2015-11-13,18.50,18.709999,18.110001,18.200001,350300,18.200001
2015-11-12,18.440001,18.969999,18.292999,18.59,222500,18.59
2015-11-11,18.139999,18.700001,18.02,18.57,203400,18.57
2015-11-10,17.440001,18.190001,17.440001,18.08,292000,18.08
2015-11-09,17.49,17.610001,16.66,17.450001,843300,17.450001
2015-11-06,17.52,17.98,16.77,17.49,755000,17.49
2015-11-05,19.57,19.75,17.299999,17.40,1432500,17.40
2015-11-04,17.16,18.18,17.030001,17.92,640100,17.92
2015-11-03,17.299999,17.922001,17.00,17.16,227900,17.16
2015-11-02,16.610001,17.559999,16.610001,17.370001,369000,17.370001
2015-10-30,16.639999,16.976,16.34,16.629999,180500,16.629999
2015-10-29,16.620001,16.83,16.48,16.709999,179400,16.709999
2015-10-28,15.44,16.889999,15.44,16.799999,362200,16.799999
2015-10-27,15.75,15.797,15.13,15.49,304400,15.49
2015-10-26,15.98,16.200001,15.80,15.85,113300,15.85
2015-10-23,15.83,16.129999,15.543,15.90,108400,15.90
