Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,14.62,15.01,14.465,14.985,108600,14.985
2016-01-22,14.64,15.03,14.04,14.85,199700,14.85
2016-01-21,14.26,15.09,14.01,14.82,184600,14.82
2016-01-20,14.05,14.59,13.18,14.49,432500,14.49
2016-01-19,15.32,15.33,14.45,14.50,285600,14.50
2016-01-15,15.88,15.88,14.75,15.33,180500,15.33
2016-01-14,15.72,16.07,15.24,16.01,227200,16.01
2016-01-13,16.00,16.34,15.03,15.47,162100,15.47
2016-01-12,16.299999,16.459999,15.62,15.84,359100,15.84
2016-01-11,16.530001,16.65,15.81,15.99,410100,15.99
2016-01-08,16.91,16.93,16.42,16.530001,376700,16.530001
2016-01-07,16.059999,16.91,16.059999,16.389999,601700,16.389999
2016-01-06,16.200001,16.690001,16.120001,16.43,288000,16.43
2016-01-05,16.43,16.700001,16.256001,16.40,353500,16.40
2016-01-04,16.059999,16.290001,15.45,16.129999,300500,16.129999
2015-12-31,15.96,16.209999,15.91,16.139999,220600,16.139999
2015-12-30,15.91,16.26,15.91,15.96,297500,15.96
2015-12-29,16.00,16.469999,15.86,16.25,687000,16.033
2015-12-28,16.040001,16.195,15.59,15.91,341600,15.69754
2015-12-24,15.49,16.02,15.49,15.91,470200,15.69754
2015-12-23,15.80,15.91,15.27,15.41,175600,15.204217
2015-12-22,16.09,16.25,15.52,15.76,449500,15.549544
2015-12-21,15.25,16.00,15.23,15.85,577900,15.638342
2015-12-18,14.52,15.25,14.26,15.23,633800,15.026621
2015-12-17,14.62,15.15,14.30,14.35,603200,14.158373
2015-12-16,14.64,15.39,14.15,14.55,1257200,14.355702
2015-12-15,13.06,13.80,12.86,13.63,600600,13.447987
2015-12-14,13.02,13.27,12.61,12.95,598800,12.777068
2015-12-11,12.64,12.98,12.53,12.98,189800,12.806667
2015-12-10,13.04,13.20,12.60,12.75,268700,12.579739
2015-12-09,12.69,13.325,12.64,13.04,314300,12.865866
2015-12-08,12.50,12.90,12.35,12.71,399500,12.540273
2015-12-07,12.59,12.86,12.36,12.53,241100,12.362676
2015-12-04,12.62,12.77,12.37,12.67,209400,12.500807
2015-12-03,13.00,13.50,12.61,12.67,492500,12.500807
2015-12-02,12.99,13.65,12.67,12.90,891500,12.727735
2015-12-01,12.39,12.82,12.22,12.25,238700,12.086416
2015-11-30,12.20,12.55,12.10,12.23,344900,12.066682
2015-11-27,12.05,12.28,12.05,12.15,96600,11.987751
2015-11-25,12.22,12.285,11.98,12.08,154600,11.918686
2015-11-24,11.69,12.25,11.65,12.25,363900,12.086416
2015-11-23,12.06,12.29,11.60,11.69,266800,11.533893
2015-11-20,12.19,12.34,11.84,12.01,292900,11.849621
2015-11-19,12.63,12.68,12.02,12.20,300600,12.037083
2015-11-18,13.05,13.227,12.32,12.54,283200,12.372543
2015-11-17,13.20,13.31,12.85,13.00,134600,12.8264
2015-11-16,13.05,13.43,12.79,13.14,50400,12.964531
2015-11-13,13.19,13.46,12.91,13.01,178400,12.836267
2015-11-12,13.36,13.66,13.07,13.16,125400,12.984264
2015-11-11,14.12,14.18,13.27,13.43,235900,13.250658
2015-11-10,14.37,14.48,13.80,14.02,334700,13.83278
2015-11-09,14.59,14.75,14.175,14.38,191600,14.187972
2015-11-06,14.21,14.65,14.17,14.58,349300,14.385301
2015-11-05,14.09,14.37,13.77,14.26,347300,14.069575
2015-11-04,14.31,14.52,13.80,14.01,196600,13.822913
2015-11-03,13.89,14.75,13.855,14.16,321000,13.97091
2015-11-02,13.40,14.00,13.37,13.88,470700,13.694649
2015-10-30,13.17,13.57,13.055,13.46,587400,13.280258
2015-10-29,13.31,13.61,13.11,13.18,248600,13.003997
2015-10-28,13.01,13.61,12.89,13.11,396200,12.934931
2015-10-27,13.35,13.37,12.625,13.03,244100,12.855999
2015-10-26,13.54,13.90,13.28,13.38,741800,13.201326
2015-10-23,13.69,13.78,13.31,13.62,353400,13.438121
2015-10-22,13.52,13.70,13.37,13.64,224700,13.457854
2015-10-21,13.56,13.74,13.17,13.50,1176400,13.319723
2015-10-20,13.27,13.68,13.06,13.52,275500,13.339457
2015-10-19,12.90,13.35,12.77,13.23,469800,13.053328
2015-10-16,13.04,13.18,12.41,12.90,225800,12.727735
2015-10-15,13.24,13.305,12.76,12.97,248700,12.796801
2015-10-14,13.34,13.48,13.03,13.14,321800,12.964531
2015-10-13,12.50,13.173,12.50,13.02,228600,12.846134
2015-10-12,13.08,13.17,12.79,12.88,118600,12.708003
2015-10-09,13.45,13.685,12.97,13.02,203500,12.846134
2015-10-08,12.39,13.42,12.34,13.32,256900,13.142127
2015-10-07,12.42,12.83,12.28,12.37,288600,12.204813
2015-10-06,12.45,12.77,12.02,12.43,321400,12.264012
2015-10-05,11.71,12.51,11.71,12.45,464300,12.283745
2015-10-02,10.98,11.73,10.90,11.68,464800,11.524028
2015-10-01,11.02,11.34,10.75,11.13,659100,10.826468
2015-09-30,10.47,11.23,10.40,10.61,636700,10.320649
2015-09-29,10.83,11.10,10.26,10.48,642300,10.194194
2015-09-28,11.59,12.00,10.60,10.90,508600,10.60274
2015-09-25,11.75,12.70,11.41,11.57,665500,11.254468
2015-09-24,12.65,12.65,11.48,11.76,621700,11.439287
2015-09-23,12.87,13.07,12.22,12.27,488200,11.935379
2015-09-22,13.27,13.46,12.67,12.81,526700,12.460652
2015-09-21,13.64,13.83,13.20,13.46,289100,13.092926
2015-09-18,13.36,13.68,13.25,13.67,396500,13.297199
2015-09-17,13.40,13.62,13.33,13.39,580700,13.024835
2015-09-16,13.41,13.55,13.22,13.45,524200,13.083198
2015-09-15,13.30,13.58,13.01,13.34,266800,12.976198
2015-09-14,13.55,13.865,13.33,13.38,347800,13.015107
2015-09-11,13.34,13.81,12.88,13.43,285100,13.063744
2015-09-10,14.28,14.41,13.45,13.48,302000,13.11238
2015-09-09,14.09,14.65,14.02,14.10,186300,13.715472
2015-09-08,14.79,14.95,14.13,14.24,197200,13.851653
2015-09-04,14.84,15.20,14.70,14.79,394900,14.386654
2015-09-03,14.77,15.45,14.77,14.99,538800,14.5812
2015-09-02,14.62,14.925,14.62,14.90,308800,14.493654
2015-09-01,14.29,14.74,14.25,14.72,310700,14.318564
2015-08-31,14.83,15.198,14.77,14.85,228200,14.445018
2015-08-28,14.31,15.45,14.20,14.91,437100,14.503382
2015-08-27,14.45,14.90,14.16,14.23,749900,13.841926
2015-08-26,14.34,14.665,13.408,14.21,703500,13.822472
2015-08-25,14.97,15.71,14.09,14.18,1559400,13.79329
