Date,Open,High,Low,Close,Volume,Adj Close
2013-04-23,27.530001,27.940001,27.33,27.870001,146300,27.870001
2013-04-22,26.860001,27.360001,26.459999,27.290001,195800,27.290001
2013-04-19,26.66,26.940001,26.549999,26.879999,209300,26.879999
2013-04-18,26.459999,26.799999,26.290001,26.67,360300,26.67
2013-04-17,26.940001,27.08,26.450001,26.49,395000,26.49
2013-04-16,27.309999,27.389999,26.83,27.139999,180800,27.139999
2013-04-15,27.57,27.629999,27.02,27.120001,268200,27.120001
2013-04-12,27.709999,27.93,27.51,27.75,61500,27.75
2013-04-11,28.00,28.23,27.889999,27.92,112000,27.92
2013-04-10,27.450001,28.15,27.440001,28.120001,198900,28.120001
2013-04-09,27.68,27.85,27.43,27.43,161300,27.43
2013-04-08,27.40,27.719999,27.15,27.68,172900,27.68
2013-04-05,27.65,27.950001,27.18,27.33,181100,27.33
2013-04-04,27.530001,28.530001,27.530001,28.15,485800,28.15
2013-04-03,27.15,27.93,27.01,27.57,473600,27.57
2013-04-02,27.02,27.50,26.83,27.190001,252200,27.190001
2013-04-01,27.50,27.50,26.57,26.950001,399900,26.950001
2013-03-28,26.91,27.959999,26.90,27.459999,356000,27.459999
2013-03-27,26.620001,26.879999,26.35,26.860001,103500,26.860001
2013-03-26,26.58,26.73,26.34,26.73,140600,26.73
2013-03-25,26.559999,26.780001,26.35,26.50,178100,26.50
2013-03-22,26.23,26.629999,25.950001,26.540001,297300,26.540001
2013-03-21,26.459999,26.459999,26.02,26.120001,95100,26.120001
2013-03-20,26.58,26.68,25.90,26.43,177000,26.43
2013-03-19,26.40,26.639999,26.17,26.41,132400,26.41
2013-03-18,26.450001,26.98,26.040001,26.389999,97000,26.389999
2013-03-15,27.040001,27.07,26.309999,26.75,287400,26.75
2013-03-14,27.10,27.17,26.870001,26.98,124500,26.98
2013-03-13,26.950001,27.209999,26.82,27.129999,65400,27.129999
2013-03-12,26.93,27.23,26.540001,26.99,198400,26.99
2013-03-11,26.950001,27.110001,26.700001,26.91,239900,26.91
