Date,Open,High,Low,Close,Volume,Adj Close
2008-03-12,22.549999,23.040001,21.74,21.74,914800,20.12054
2008-03-11,21.219999,22.49,21.049999,22.49,806800,20.814671
2008-03-10,20.85,21.32,20.50,20.700001,551300,19.158013
2008-03-07,20.25,21.209999,20.25,20.780001,556200,19.232054
2008-03-06,20.85,20.940001,20.23,20.23,618400,18.723023
2008-03-05,21.41,21.73,20.90,21.00,533700,19.435665
2008-03-04,21.309999,21.51,20.74,21.299999,861400,19.713316
2008-03-03,21.879999,22.040001,21.23,21.57,475800,19.963204
2008-02-29,22.549999,22.85,21.860001,21.92,538400,20.287132
2008-02-28,23.610001,23.66,22.620001,22.83,673600,21.129344
2008-02-27,23.969999,24.57,23.68,23.780001,368500,22.008577
2008-02-26,23.92,24.67,23.809999,24.219999,292000,22.415799
2008-02-25,23.50,24.139999,23.01,24.040001,370300,22.249209
2008-02-22,23.48,23.639999,22.75,23.549999,565400,21.795709
2008-02-21,24.60,24.77,23.34,23.370001,446800,21.629119
2008-02-20,23.50,24.610001,23.33,24.41,358200,22.591646
2008-02-19,24.629999,24.73,23.620001,23.66,411900,21.897515
2008-02-15,24.41,24.41,23.67,24.33,562300,22.517606
2008-02-14,25.15,25.27,24.26,24.35,472900,22.536116
2008-02-13,25.23,25.59,24.52,25.110001,386100,23.239503
2008-02-12,24.549999,25.450001,24.469999,24.969999,594200,23.10993
2008-02-11,24.780001,24.889999,24.049999,24.26,475400,22.45282
2008-02-08,25.870001,26.08,24.129999,24.879999,970600,23.026634
2008-02-07,25.389999,26.139999,24.790001,25.709999,664100,23.794806
2008-02-06,26.450001,26.59,25.59,25.59,412700,23.683746
2008-02-05,26.889999,27.84,26.190001,26.26,1070700,24.303836
2008-02-04,27.40,27.709999,27.00,27.610001,1330400,25.553272
2008-02-01,26.08,27.440001,26.00,27.40,1166800,25.358915
2008-01-31,23.860001,26.120001,22.370001,25.93,1293100,23.998419
2008-01-30,24.110001,25.290001,23.77,24.27,505700,22.462076
2008-01-29,24.629999,24.959999,23.780001,24.200001,997300,22.397291
2008-01-28,23.360001,24.610001,22.879999,24.530001,669200,22.702708
2008-01-25,25.200001,25.860001,23.799999,23.950001,846500,22.165914
2008-01-24,25.40,25.85,24.809999,25.42,831500,23.526409
2008-01-23,22.51,25.90,22.190001,25.709999,1174700,23.794806
2008-01-22,21.809999,24.00,20.540001,23.120001,706600,21.397742
2008-01-18,23.01,23.50,22.200001,22.610001,969800,20.925733
2008-01-17,23.610001,23.610001,22.42,23.00,1219000,21.28668
2008-01-16,22.65,24.030001,22.559999,23.469999,727100,21.721668
2008-01-15,23.01,23.25,22.389999,22.700001,841800,21.009029
2008-01-14,23.75,23.99,23.01,23.41,529200,21.666138
2008-01-11,23.549999,24.200001,22.91,23.540001,704000,21.786455
