Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,15.98,16.049999,15.65,15.73,147100,15.73
2016-01-22,15.94,16.01,15.70,15.95,172200,15.95
2016-01-21,15.22,15.80,15.00,15.55,184200,15.55
2016-01-20,15.76,15.76,14.86,15.22,321700,15.22
2016-01-19,16.25,16.49,15.72,15.82,117600,15.82
2016-01-15,16.290001,16.50,15.795,16.15,203000,16.15
2016-01-14,16.860001,16.934999,16.530001,16.709999,182200,16.709999
2016-01-13,17.42,17.509001,16.843,16.860001,104600,16.860001
2016-01-12,17.440001,17.60,17.164,17.469999,91500,17.469999
2016-01-11,17.52,17.679001,17.25,17.440001,160800,17.440001
2016-01-08,18.07,18.07,17.559999,17.59,105100,17.59
2016-01-07,17.959999,18.139999,17.74,17.82,139500,17.82
2016-01-06,18.309999,18.35,18.02,18.110001,124900,18.110001
2016-01-05,18.219999,18.35,18.120001,18.309999,81700,18.309999
2016-01-04,17.98,18.190001,17.709999,18.139999,195800,18.139999
2015-12-31,18.110001,18.254,18.01,18.049999,285200,18.049999
2015-12-30,18.02,18.15,17.969999,18.110001,250200,18.110001
2015-12-29,18.24,18.32,18.00,18.190001,217200,18.190001
2015-12-28,18.40,18.450001,18.299999,18.309999,155900,18.142999
2015-12-24,18.26,18.469999,18.26,18.469999,51500,18.30154
2015-12-23,18.059999,18.389999,18.059999,18.26,214800,18.093456
2015-12-22,18.01,18.27,18.01,18.110001,198400,17.944825
2015-12-21,17.870001,18.15,17.870001,18.07,165500,17.905189
2015-12-18,17.85,18.08,17.85,17.98,158500,17.816009
2015-12-17,18.129999,18.200001,17.879999,17.90,250300,17.736739
2015-12-16,17.530001,18.15,17.530001,18.040001,183100,17.875463
2015-12-15,17.90,17.965,17.360001,17.59,278400,17.429567
2015-12-14,17.75,17.959999,17.24,17.315001,207800,17.157076
2015-12-11,18.030001,18.360001,17.74,17.84,186300,17.677287
2015-12-10,18.200001,18.445999,18.110001,18.18,171400,18.014186
2015-12-09,18.50,18.50,18.200001,18.290001,147200,18.123183
2015-12-08,18.32,18.66,18.10,18.51,200500,18.341176
2015-12-07,18.59,18.799999,18.299999,18.620001,272700,18.284696
2015-12-04,18.35,18.68,18.280001,18.59,93500,18.255236
2015-12-03,18.459999,18.50,18.290001,18.389999,243800,18.058837
2015-12-02,18.379999,18.60,18.32,18.465,135400,18.132487
2015-12-01,18.280001,18.530001,18.280001,18.51,127100,18.176677
2015-11-30,18.16,18.459999,18.16,18.27,146800,17.940999
2015-11-27,18.299999,18.459999,18.15,18.299999,42900,17.970457
2015-11-25,18.18,18.299999,18.10,18.280001,125500,17.950819
2015-11-24,18.110001,18.209999,17.943001,18.09,162400,17.76424
2015-11-23,18.040001,18.26,18.00,18.01,176600,17.685681
2015-11-20,18.00,18.297001,18.00,18.15,124000,17.823159
2015-11-19,18.280001,18.280001,17.940001,18.00,160800,17.67586
2015-11-18,18.34,18.34,18.139999,18.280001,165500,17.950819
2015-11-17,18.60,18.60,18.26,18.280001,112200,17.950819
2015-11-16,18.459999,18.469999,18.200001,18.469999,126600,18.137396
2015-11-13,18.07,18.33,18.07,18.26,49400,17.931179
2015-11-12,18.48,18.51,18.23,18.23,75900,17.901718
2015-11-11,18.42,18.700001,18.41,18.48,79600,18.147216
2015-11-10,18.610001,18.893999,18.40,18.49,171800,18.157036
2015-11-09,19.040001,19.190001,18.780001,18.780001,341300,18.441815
2015-11-06,19.24,19.32,18.98,19.00,86000,18.657853
2015-11-05,19.50,19.709999,19.379999,19.40,133500,18.886656
2015-11-04,19.58,19.67,19.35,19.530001,121000,19.013217
2015-11-03,19.549999,19.549999,19.33,19.440001,129800,18.925599
2015-11-02,19.40,19.50,19.27,19.370001,81400,18.857451
2015-10-30,19.50,19.50,19.18,19.24,107900,18.73089
2015-10-29,19.27,19.49,18.860001,19.27,117400,18.760097
2015-10-28,19.209999,19.370001,19.006001,19.370001,105000,18.857451
2015-10-27,19.059999,19.26,18.83,19.26,126200,18.750361
2015-10-26,19.48,19.48,18.870001,18.969999,165700,18.468034
2015-10-23,19.15,19.41,19.08,19.25,130700,18.740626
2015-10-22,19.00,19.25,18.969999,19.110001,80200,18.604331
2015-10-21,19.110001,19.26,18.90,18.969999,73200,18.468034
2015-10-20,19.139999,19.40,18.799999,19.10,98800,18.594595
2015-10-19,19.40,19.40,19.059999,19.139999,70000,18.633536
2015-10-16,19.27,19.43,19.030001,19.25,70400,18.740626
2015-10-15,19.16,19.427999,18.940001,19.02,105800,18.516712
2015-10-14,18.889999,19.142,18.860001,18.91,82300,18.409622
2015-10-13,19.040001,19.469999,18.790001,18.940001,99100,18.438829
2015-10-12,19.01,19.280001,18.92,19.09,100400,18.58486
2015-10-09,19.00,19.23,18.879999,19.049999,126700,18.545917
2015-10-08,18.73,18.93,18.51,18.860001,89500,18.360946
2015-10-07,18.74,18.83,18.469999,18.610001,69200,18.117561
2015-10-06,18.65,18.860001,18.549999,18.709999,80600,18.052333
2015-10-05,18.889999,18.889999,18.440001,18.799999,86800,18.139169
2015-10-02,18.10,18.459999,17.940001,18.41,97300,17.762879
