Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,3.24,3.294,3.22,3.25,4100,3.25
2016-01-22,3.33,3.34,3.136,3.20,12600,3.20
2016-01-21,3.65,3.658,3.134,3.23,49700,3.23
2016-01-20,3.20,4.20,3.00,3.91,219500,3.91
2016-01-19,3.30,3.82,3.26,3.26,9700,3.26
2016-01-15,3.258,3.315,3.20,3.27,10300,3.27
2016-01-14,3.23,3.55,3.20,3.30,36200,3.30
2016-01-13,3.65,3.65,3.10,3.222,30400,3.222
2016-01-12,3.57,3.80,3.30,3.31,38200,3.31
2016-01-11,3.99,4.249,3.50,3.56,36300,3.56
2016-01-08,4.25,4.25,3.70,3.70,32300,3.70
2016-01-07,4.39,4.39,4.16,4.24,17800,4.24
2016-01-06,4.321,4.57,4.16,4.45,67500,4.45
2016-01-05,3.89,4.80,3.89,4.378,136300,4.378
2016-01-04,3.30,4.49,3.20,3.85,76600,3.85
2015-12-31,3.73,3.73,3.35,3.35,11000,3.35
2015-12-30,3.77,4.06,3.57,3.58,11200,3.58
2015-12-29,4.00,4.00,3.65,3.80,16100,3.80
2015-12-28,4.09,4.09,3.82,3.88,10500,3.88
2015-12-24,4.06,4.13,3.839,3.99,7500,3.99
2015-12-23,3.85,4.064,3.85,4.00,2100,4.00
2015-12-22,3.98,4.34,3.56,3.89,6100,3.89
2015-12-21,3.30,4.19,3.30,3.95,33600,3.95
2015-12-18,3.39,3.53,3.12,3.12,16700,3.12
2015-12-17,3.54,3.65,3.00,3.14,6800,3.14
2015-12-16,3.94,3.94,3.50,3.552,2200,3.552
2015-12-15,3.00,3.53,3.00,3.53,29000,3.53
2015-12-14,3.05,3.30,2.75,3.10,51500,3.10
2015-12-11,3.26,3.26,2.93,3.13,28700,3.13
2015-12-10,3.25,3.27,2.89,3.25,22000,3.25
2015-12-09,3.25,3.30,2.67,3.27,47100,3.27
2015-12-08,3.26,3.26,2.75,3.21,37900,3.21
2015-12-07,3.55,3.55,3.55,3.55,000,3.55
2015-12-04,3.74,3.74,3.55,3.55,6400,3.55
2015-12-03,3.64,3.64,3.64,3.64,000,3.64
2015-12-02,4.00,4.00,3.49,3.64,2000,3.64
2015-12-01,3.80,3.82,3.52,3.77,22800,3.77
2015-11-30,4.40,4.40,4.20,4.20,1000,4.20
2015-11-27,4.45,4.51,4.25,4.38,32300,4.38
2015-11-25,3.98,4.36,3.98,4.36,7400,4.36
2015-11-24,4.05,4.25,4.00,4.00,5100,4.00
2015-11-23,4.41,4.50,4.15,4.20,11000,4.20
2015-11-20,4.33,4.50,4.00,4.40,55400,4.40
2015-11-19,4.03,4.33,4.00,4.33,4100,4.33
2015-11-18,4.30,4.70,4.20,4.50,35700,4.50
2015-11-17,4.25,4.25,4.00,4.25,25000,4.25
2015-11-16,4.00,4.50,3.74,4.50,159800,4.50
2015-11-13,4.95,5.00,3.75,4.00,343900,4.00
2015-11-12,5.51,5.71,4.75,5.03,39200,5.03
2015-11-11,5.51,5.78,5.50,5.59,4700,5.59
2015-11-10,5.651,5.80,5.08,5.77,42300,5.77
2015-11-09,5.80,5.80,5.80,5.80,200,5.80
2015-11-06,5.73,5.82,5.65,5.753,9700,5.753
2015-11-05,5.90,5.90,5.692,5.692,5200,5.692
2015-11-04,5.737,5.75,5.737,5.75,4300,5.75
2015-11-03,5.67,5.75,5.46,5.75,9400,5.75
2015-11-02,5.52,5.96,5.50,5.96,3400,5.96
2015-10-30,5.95,5.99,5.65,5.74,17000,5.74
2015-10-29,5.965,5.965,5.655,5.90,23700,5.90
2015-10-28,5.90,5.95,5.90,5.91,3100,5.91
2015-10-27,5.87,6.37,5.87,5.95,26300,5.95
2015-10-26,6.104,6.20,5.57,6.01,155500,6.01
2015-10-23,6.20,6.39,6.08,6.21,92600,6.21
2015-10-22,6.20,6.20,6.00,6.20,18900,6.20
2015-10-21,6.155,6.30,6.15,6.15,14100,6.15
2015-10-20,6.25,6.25,6.10,6.10,6000,6.10
2015-10-19,6.40,6.60,6.18,6.18,44400,6.18
2015-10-16,6.40,6.49,6.26,6.26,10200,6.26
2015-10-15,6.59,6.65,6.20,6.40,111600,6.40
2015-10-14,6.50,6.50,6.50,6.50,000,6.50
