Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,2.28,2.33,2.25,2.25,23700,2.25
2016-01-22,2.397,2.40,2.27,2.31,16000,2.31
2016-01-21,2.714,2.714,2.21,2.329,11100,2.329
2016-01-20,2.21,2.21,2.07,2.14,39500,2.14
2016-01-19,2.25,2.27,2.06,2.15,94400,2.15
2016-01-15,2.37,2.40,2.24,2.24,81200,2.24
2016-01-14,2.34,2.45,2.33,2.45,36600,2.45
2016-01-13,2.64,2.64,2.30,2.40,105700,2.40
2016-01-12,2.88,2.88,2.62,2.70,60800,2.70
2016-01-11,2.50,2.85,2.494,2.85,51900,2.85
2016-01-08,2.685,2.685,2.49,2.50,25200,2.50
2016-01-07,2.50,2.689,2.39,2.48,53800,2.48
2016-01-06,2.55,2.60,2.50,2.54,29500,2.54
2016-01-05,2.50,2.66,2.50,2.60,65200,2.60
2016-01-04,2.60,2.77,2.454,2.50,148100,2.50
2015-12-31,2.45,2.48,2.34,2.36,84000,2.36
2015-12-30,2.39,2.50,2.39,2.41,27300,2.41
2015-12-29,2.69,2.69,2.33,2.414,153200,2.414
2015-12-28,2.75,2.783,2.61,2.61,76200,2.61
2015-12-24,2.70,2.859,2.62,2.72,10300,2.72
2015-12-23,2.68,2.818,2.68,2.72,30500,2.72
2015-12-22,2.81,2.827,2.60,2.62,64500,2.62
2015-12-21,3.01,3.09,2.75,2.84,118600,2.84
2015-12-18,3.24,3.24,2.90,2.99,186900,2.99
2015-12-17,3.00,3.29,3.00,3.20,112600,3.20
2015-12-16,3.10,3.143,3.00,3.01,45200,3.01
2015-12-15,3.018,3.063,2.90,3.00,90200,3.00
2015-12-14,3.09,3.325,2.93,3.00,70800,3.00
2015-12-11,3.25,3.254,3.07,3.09,38400,3.09
2015-12-10,3.26,3.33,3.06,3.07,62200,3.07
2015-12-09,3.26,3.33,3.20,3.235,60200,3.235
2015-12-08,3.39,3.45,3.31,3.36,82200,3.36
2015-12-07,3.42,3.74,3.34,3.44,236500,3.44
2015-12-04,3.01,3.47,2.96,3.34,225000,3.34
2015-12-03,3.03,3.14,2.90,2.96,147000,2.96
2015-12-02,2.82,2.97,2.76,2.97,153400,2.97
2015-12-01,2.70,2.89,2.67,2.80,146700,2.80
2015-11-30,2.60,2.74,2.58,2.67,53000,2.67
2015-11-27,2.62,2.62,2.58,2.60,16500,2.60
2015-11-25,2.63,2.63,2.554,2.58,27800,2.58
2015-11-24,2.67,2.67,2.535,2.62,23100,2.62
2015-11-23,2.64,2.737,2.64,2.67,41400,2.67
2015-11-20,2.45,2.80,2.42,2.59,62400,2.59
2015-11-19,2.45,2.50,2.33,2.42,47200,2.42
2015-11-18,2.39,2.448,2.31,2.36,130100,2.36
2015-11-17,2.38,2.48,2.38,2.44,174100,2.44
2015-11-16,2.55,2.55,2.35,2.43,141500,2.43
2015-11-13,2.58,2.60,2.51,2.52,73800,2.52
2015-11-12,2.57,2.65,2.53,2.65,32000,2.65
2015-11-11,2.63,2.649,2.57,2.58,15800,2.58
2015-11-10,2.604,2.64,2.58,2.63,9600,2.63
2015-11-09,2.71,2.71,2.59,2.64,20500,2.64
2015-11-06,2.64,2.75,2.62,2.63,8500,2.63
2015-11-05,2.696,2.75,2.63,2.67,26100,2.67
2015-11-04,2.67,2.67,2.61,2.67,16600,2.67
2015-11-03,2.67,2.712,2.61,2.68,19400,2.68
2015-11-02,2.67,2.73,2.66,2.70,22800,2.70
2015-10-30,2.65,2.775,2.55,2.67,38500,2.67
2015-10-29,2.62,2.84,2.60,2.69,74600,2.69
2015-10-28,2.74,2.76,2.60,2.61,85100,2.61
2015-10-27,2.51,2.63,2.50,2.55,40200,2.55
2015-10-26,2.58,2.67,2.569,2.65,29000,2.65
2015-10-23,2.76,2.76,2.662,2.70,22800,2.70
2015-10-22,2.74,2.74,2.655,2.66,35900,2.66
2015-10-21,2.65,2.779,2.65,2.71,26900,2.71
2015-10-20,3.10,3.10,2.68,2.68,80900,2.68
2015-10-19,2.85,2.85,2.70,2.70,14600,2.70
2015-10-16,2.79,2.85,2.70,2.71,68400,2.71
2015-10-15,2.79,2.839,2.70,2.79,111900,2.79
2015-10-14,2.62,2.84,2.56,2.73,241400,2.73
2015-10-13,2.64,2.80,2.535,2.58,62800,2.58
2015-10-12,2.69,2.79,2.629,2.64,49200,2.64
2015-10-09,2.84,2.90,2.719,2.75,57600,2.75
2015-10-08,2.77,2.94,2.77,2.83,53200,2.83
2015-10-07,2.69,2.97,2.69,2.80,64400,2.80
2015-10-06,2.87,2.90,2.68,2.68,56800,2.68
2015-10-05,3.27,3.28,2.81,2.87,216000,2.87
2015-10-02,3.27,3.36,3.222,3.31,38300,3.31
2015-10-01,3.412,3.50,3.31,3.32,31000,3.32
2015-09-30,3.615,3.64,3.335,3.43,137800,3.43
2015-09-29,3.60,3.79,3.42,3.53,45600,3.53
2015-09-28,3.54,3.95,3.44,3.57,117300,3.57
2015-09-25,3.50,3.65,3.36,3.54,101600,3.54
2015-09-24,3.51,3.698,3.35,3.46,63600,3.46
2015-09-23,3.82,3.95,3.44,3.61,655300,3.61
