Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,15.70,16.799999,15.70,16.15,5200,16.15
2016-01-22,16.00,16.00,16.00,16.00,000,16.00
2016-01-21,16.00,16.01,15.98,16.00,16100,16.00
2016-01-20,16.00,16.059999,15.88,16.00,16600,16.00
2016-01-19,16.030001,16.549999,16.030001,16.25,14400,16.25
2016-01-15,16.00,16.67,15.50,15.50,12700,15.50
2016-01-14,16.50,16.50,16.50,16.50,000,16.50
2016-01-13,16.50,16.50,16.50,16.50,000,16.50
2016-01-12,16.50,16.50,16.50,16.50,400,16.50
2016-01-11,16.50,16.50,16.50,16.50,5600,16.50
2016-01-08,16.07,16.950001,16.07,16.66,8300,16.66
2016-01-07,16.02,16.620001,15.92,16.620001,9400,16.620001
2016-01-06,16.16,16.16,16.16,16.16,200,16.16
2016-01-05,17.059999,17.059999,17.059999,17.059999,000,17.059999
2016-01-04,17.059999,17.059999,17.059999,17.059999,100,17.059999
2015-12-31,16.360001,17.40,15.80,16.639999,7100,16.639999
2015-12-30,16.60,16.60,16.60,16.60,300,16.60
2015-12-29,16.200001,16.860001,16.190001,16.629999,3600,16.629999
2015-12-28,16.549999,17.75,16.530001,17.24,16400,17.24
2015-12-24,17.40,17.450001,16.51,17.450001,3800,17.450001
2015-12-23,16.41,17.73,16.41,17.43,65200,17.43
2015-12-22,15.50,15.80,15.50,15.76,3500,15.76
2015-12-21,15.51,15.55,15.36,15.38,1900,15.38
2015-12-18,15.26,15.50,15.26,15.50,900,15.50
2015-12-17,15.00,15.50,14.95,15.50,671900,15.50
2015-12-16,15.02,15.02,14.97,15.00,12000,15.00
2015-12-15,15.02,15.02,15.02,15.02,100,15.02
2015-12-14,15.31,15.50,15.02,15.02,2500,15.02
2015-12-11,15.25,15.25,15.25,15.25,1800,15.25
2015-12-10,15.80,15.85,15.50,15.50,15400,15.50
2015-12-09,16.00,16.00,15.81,15.81,200100,15.81
2015-12-08,16.02,16.02,16.02,16.02,500,16.02
