Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.48,9.77,9.04,9.09,147700,9.09
2016-01-22,10.00,10.00,9.33,9.46,130000,9.46
2016-01-21,10.19,10.51,9.65,9.78,220600,9.78
2016-01-20,11.00,11.057,9.71,10.19,322900,10.19
2016-01-19,12.55,12.55,10.90,11.32,187000,11.32
2016-01-15,11.79,12.92,11.48,12.37,284900,12.37
2016-01-14,12.91,12.91,12.01,12.24,131700,12.24
2016-01-13,13.39,13.97,12.63,12.84,118100,12.84
2016-01-12,13.11,13.68,12.66,13.27,159500,13.27
2016-01-11,15.53,15.59,11.79,12.98,928300,12.98
2016-01-08,17.309999,17.33,15.301,15.45,214300,15.45
2016-01-07,17.98,18.360001,17.061001,17.379999,165500,17.379999
2016-01-06,18.92,19.049999,17.719999,18.35,95000,18.35
2016-01-05,19.50,19.709999,18.68,19.27,63400,19.27
2016-01-04,19.17,19.459999,17.92,19.450001,137900,19.450001
2015-12-31,19.219999,19.799999,19.16,19.57,61200,19.57
2015-12-30,19.950001,20.60,19.33,19.35,98500,19.35
2015-12-29,20.129999,21.15,19.754999,20.10,75700,20.10
2015-12-28,20.120001,20.540001,19.615,19.969999,86000,19.969999
2015-12-24,20.209999,20.33,19.92,20.219999,15000,20.219999
2015-12-23,20.41,20.549999,19.93,20.059999,116100,20.059999
2015-12-22,20.27,21.059999,19.66,20.120001,110900,20.120001
2015-12-21,20.790001,21.08,19.629999,20.219999,78500,20.219999
2015-12-18,21.00,21.41,20.309999,20.66,741300,20.66
2015-12-17,23.50,23.50,20.66,20.99,166700,20.99
2015-12-16,23.09,24.040001,22.32,23.540001,201400,23.540001
2015-12-15,21.709999,23.700001,20.809999,22.84,170200,22.84
2015-12-14,20.50,21.58,20.49,21.43,117200,21.43
2015-12-11,20.18,20.690001,20.01,20.469999,62900,20.469999
2015-12-10,20.780001,20.98,20.209999,20.65,77400,20.65
2015-12-09,21.559999,21.809999,20.610001,20.879999,98500,20.879999
2015-12-08,21.18,22.48,21.18,21.58,87200,21.58
2015-12-07,22.41,22.58,21.27,21.57,37600,21.57
2015-12-04,22.700001,22.90,20.40,22.58,39800,22.58
2015-12-03,22.66,22.93,22.445,22.799999,61900,22.799999
2015-12-02,22.77,23.23,21.83,22.559999,77000,22.559999
2015-12-01,22.34,22.620001,21.35,22.08,112300,22.08
2015-11-30,21.530001,22.67,21.290001,22.190001,178300,22.190001
2015-11-27,21.24,21.83,21.049999,21.540001,29300,21.540001
2015-11-25,20.190001,21.01,20.129999,20.98,43800,20.98
2015-11-24,19.870001,20.23,19.657,20.190001,67500,20.190001
2015-11-23,19.209999,20.07,18.825001,19.860001,66300,19.860001
2015-11-20,19.780001,19.950001,18.90,19.309999,82400,19.309999
2015-11-19,21.07,21.07,19.48,19.620001,84500,19.620001
2015-11-18,20.027,21.10,20.01,21.07,92100,21.07
2015-11-17,20.98,21.58,19.325001,19.969999,99400,19.969999
2015-11-16,22.690001,22.690001,20.280001,20.93,202800,20.93
2015-11-13,22.219999,23.360001,22.059999,22.84,168400,22.84
2015-11-12,23.629999,23.83,22.059999,22.32,54700,22.32
2015-11-11,23.639999,23.93,23.18,23.790001,61100,23.790001
2015-11-10,24.139999,24.35,23.139999,23.620001,223800,23.620001
2015-11-09,23.93,24.35,23.459999,24.139999,144100,24.139999
2015-11-06,23.370001,24.27,22.82,23.940001,156900,23.940001
2015-11-05,23.700001,23.879999,22.889999,23.440001,81200,23.440001
2015-11-04,23.559999,24.10,22.712,23.52,101100,23.52
2015-11-03,22.42,23.666,22.110001,23.440001,105300,23.440001
2015-11-02,22.870001,23.639999,21.655001,22.40,128500,22.40
2015-10-30,23.18,23.52,22.02,22.74,111800,22.74
2015-10-29,24.66,24.67,22.780001,23.16,112100,23.16
2015-10-28,23.99,24.780001,23.434999,24.66,82400,24.66
2015-10-27,23.950001,24.188,23.25,23.969999,62100,23.969999
2015-10-26,23.68,24.450001,23.08,23.99,167200,23.99
2015-10-23,22.93,23.959999,22.174,23.67,91100,23.67
2015-10-22,21.82,23.639999,21.305,22.52,149100,22.52
2015-10-21,21.76,22.540001,20.41,21.74,57300,21.74
2015-10-20,21.90,22.35,21.290001,21.59,102300,21.59
2015-10-19,21.60,22.629999,20.82,21.870001,75000,21.870001
2015-10-16,22.75,24.200001,21.51,21.59,206900,21.59
2015-10-15,20.73,22.77,20.73,22.65,63000,22.65
