Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,26.690001,26.702,26.110001,26.34,58200,26.34
2016-01-22,26.60,26.870001,26.559999,26.559999,32800,26.559999
2016-01-21,26.50,26.719999,26.295,26.50,37200,26.50
2016-01-20,26.790001,26.790001,25.73,26.42,157700,26.42
2016-01-19,26.83,26.959999,26.73,26.90,64200,26.90
2016-01-15,27.10,27.10,26.57,26.799999,85800,26.799999
2016-01-14,27.10,27.17,26.82,27.108,45500,27.108
2016-01-13,27.18,27.280001,27.00,27.049999,47700,27.049999
2016-01-12,27.379999,27.379999,27.00,27.01,69500,27.01
2016-01-11,27.24,27.389999,27.200001,27.24,25900,27.24
2016-01-08,27.42,27.42,27.10,27.219999,52400,27.219999
2016-01-07,27.27,27.35,27.153,27.211,27700,27.211
2016-01-06,27.209999,27.49,27.110001,27.40,54900,27.40
2016-01-05,27.219999,27.25,27.15,27.23,39900,27.23
2016-01-04,27.049999,27.10,26.90,27.049999,31600,27.049999
2015-12-31,27.309999,27.309999,26.959999,27.049999,53000,27.049999
2015-12-30,27.25,27.25,27.08,27.129999,38600,27.129999
2015-12-29,27.09,27.15,27.07,27.15,26700,27.15
2015-12-28,27.370001,27.370001,27.15,27.15,31500,27.15
2015-12-24,27.450001,27.450001,27.24,27.24,16500,27.24
2015-12-23,27.299999,27.40,27.01,27.370001,47700,27.370001
2015-12-22,27.110001,27.370001,27.00,27.290001,45200,27.290001
2015-12-21,27.139999,27.167999,27.00,27.09,22300,27.09
2015-12-18,26.93,27.10,26.90,27.01,27400,27.01
2015-12-17,27.10,27.10,26.886999,27.02,25600,27.02
2015-12-16,26.690001,27.046,26.59,27.035999,23700,27.035999
2015-12-15,26.74,26.90,26.40,26.471001,36200,26.471001
2015-12-14,27.040001,27.129999,26.311001,26.379999,78100,26.379999
2015-12-11,27.58,27.620001,27.34,27.35,17000,26.881
2015-12-10,27.66,27.66,27.469999,27.469999,39200,26.998942
2015-12-09,27.700001,27.700001,27.549999,27.549999,40200,27.07757
2015-12-08,27.620001,27.719999,27.60,27.700001,37300,27.224999
2015-12-07,27.84,27.940001,27.629999,27.66,23200,27.185684
2015-12-04,27.84,27.879999,27.709999,27.790001,17100,27.313456
2015-12-03,27.780001,27.84,27.66,27.76,26300,27.28397
2015-12-02,27.780001,27.780001,27.73,27.77,21600,27.293798
2015-12-01,27.780001,27.780001,27.690001,27.75,23700,27.274141
2015-11-30,27.75,27.75,27.68,27.68,34600,27.205342
2015-11-27,27.780001,27.780001,27.700001,27.719999,12100,27.244655
2015-11-25,27.870001,27.870001,27.709999,27.77,23800,27.293798
2015-11-24,27.74,27.77,27.65,27.719999,30000,27.244655
2015-11-23,27.76,27.85,27.639999,27.73,27400,27.254483
2015-11-20,27.73,27.940001,27.629999,27.66,56700,27.185684
2015-11-19,27.90,27.93,27.650999,27.93,19000,27.451054
2015-11-18,27.58,27.93,27.559999,27.90,26500,27.421568
2015-11-17,27.68,27.68,27.559999,27.59,18500,27.116885
2015-11-16,27.719999,27.889999,27.549999,27.610001,13500,27.136542
2015-11-13,27.76,27.93,27.58,27.73,46600,27.254483
2015-11-12,27.959999,27.98,27.84,27.889999,13800,27.41174
2015-11-11,28.00,28.049999,27.870001,28.01,21000,27.529683
2015-11-10,27.91,27.99,27.698,27.959999,36900,27.480539
2015-11-09,27.84,27.879999,27.50,27.799999,25300,27.323283
2015-11-06,27.85,27.85,27.542,27.709999,23400,27.234826
2015-11-05,27.860001,27.940001,27.75,27.92,35100,27.441226
2015-11-04,27.90,27.90,27.700001,27.85,26200,27.372426
2015-11-03,27.75,27.889999,27.73,27.790001,26600,27.313456
2015-11-02,27.870001,27.90,27.700001,27.809999,26800,27.333111
2015-10-30,27.75,27.860001,27.625,27.77,31500,27.293798
2015-10-29,27.73,27.809999,27.575001,27.700001,40900,27.224999
2015-10-28,27.639999,27.75,27.639999,27.75,25800,27.274141
2015-10-27,27.495001,27.75,27.440001,27.68,36900,27.205342
2015-10-26,27.34,27.57,27.32,27.57,39900,27.097227
2015-10-23,27.309999,27.50,27.309999,27.440001,26800,26.969457
2015-10-22,27.406,27.49,27.389999,27.469999,31100,26.998942
2015-10-21,27.33,27.440001,27.209,27.389999,28100,26.920314
2015-10-20,27.24,27.33,27.191,27.33,18700,26.861343
2015-10-19,27.200001,27.25,27.10,27.23,24300,26.763057
2015-10-16,27.15,27.200001,27.048,27.200001,70000,26.733573
2015-10-15,27.07,27.15,27.07,27.08,53000,26.61563
2015-10-14,27.02,27.16,27.02,27.049999,25900,26.586144
2015-10-13,27.120001,27.15,27.094999,27.120001,35000,26.654945
2015-10-12,27.049999,27.24,27.01,27.209999,28800,26.7434
2015-10-09,26.799999,27.09,26.799999,27.01,23000,26.546831
2015-10-08,26.85,27.200001,26.84,27.049999,23400,26.586144
2015-10-07,26.91,26.91,26.77,26.85,48500,26.389574
2015-10-06,26.629999,26.84,26.629999,26.757,30700,26.298169
2015-10-05,26.57,26.780001,26.555,26.74,34500,26.28146
2015-10-02,26.360001,26.690001,26.34,26.50,38700,26.045576
2015-10-01,26.51,26.60,26.379999,26.43,49600,25.976777
2015-09-30,26.68,26.709999,26.50,26.50,63000,26.045576
2015-09-29,26.51,26.653999,26.469999,26.540001,27300,26.084891
2015-09-28,26.620001,26.629999,26.48,26.549999,52900,26.094718
2015-09-25,26.719999,26.719999,26.525999,26.59,40700,26.134033
2015-09-24,26.60,26.700001,26.58,26.610001,26900,26.15369
2015-09-23,26.700001,26.700001,26.57,26.639999,135500,26.183175
2015-09-22,26.620001,26.75,26.57,26.620001,27700,26.163519
2015-09-21,26.799999,26.799999,26.709999,26.799999,25100,26.340431
2015-09-18,26.549999,26.677,26.549999,26.66,44200,26.202832
2015-09-17,26.73,26.75,26.540001,26.57,75700,26.114375
2015-09-16,26.799999,26.809999,26.639999,26.74,33800,26.28146
2015-09-15,26.790001,26.799999,26.690001,26.77,16100,26.310946
2015-09-14,26.790001,26.83,26.700001,26.780001,21800,26.320775
2015-09-11,27.16,27.25,27.16,27.200001,77600,26.272615
2015-09-10,27.16,27.27,27.15,27.190001,87700,26.262956
2015-09-09,27.299999,27.299999,27.110001,27.200001,50800,26.272615
2015-09-08,27.40,27.40,27.15,27.200001,104300,26.272615
2015-09-04,27.07,27.299999,27.07,27.290001,22000,26.359547
2015-09-03,27.110001,27.15,27.09,27.15,44200,26.224319
2015-09-02,27.15,27.15,27.08,27.15,25900,26.224319
2015-09-01,27.049999,27.15,27.049999,27.15,23600,26.224319
2015-08-31,27.07,27.290001,27.07,27.280001,27300,26.349888
2015-08-28,26.90,27.15,26.90,27.139999,21200,26.21466
2015-08-27,27.00,27.15,26.889999,26.93,17900,26.011821
2015-08-26,26.73,27.190001,26.73,26.92,33300,26.002161
2015-08-25,26.799999,26.969999,26.75,26.93,37300,26.011821
2015-08-24,26.940001,26.940001,26.73,26.73,80200,25.818639
2015-08-21,26.90,27.18,26.90,27.059999,33400,26.137387
2015-08-20,26.98,27.10,26.959999,27.10,45400,26.176025
2015-08-19,27.15,27.15,26.99,27.059999,49100,26.137387
2015-08-18,27.186001,27.209,27.10,27.10,35700,26.176025
2015-08-17,27.360001,27.370001,27.110001,27.129999,61000,26.205001
2015-08-14,27.34,27.34,27.120001,27.15,26900,26.224319
2015-08-13,27.15,27.200001,27.15,27.17,17600,26.243638
2015-08-12,27.23,27.25,27.16,27.16,28100,26.233978
2015-08-11,27.200001,27.25,27.159,27.24,46300,26.311251
2015-08-10,27.18,27.299999,27.18,27.25,133400,26.32091
2015-08-07,27.190001,27.299999,27.164,27.299999,62000,26.369204
2015-08-06,27.190001,27.26,27.129999,27.24,60300,26.311251
2015-08-05,27.290001,27.290001,27.18,27.23,23000,26.301591
2015-08-04,27.25,27.35,27.218,27.25,57100,26.32091
2015-08-03,27.25,27.25,27.139999,27.219999,30600,26.291932
2015-07-31,27.25,27.25,27.18,27.219999,21200,26.291932
2015-07-30,27.25,27.26,27.200001,27.23,23200,26.301591
2015-07-29,27.200001,27.27,27.200001,27.239,23900,26.310285
2015-07-28,27.200001,27.26,27.129999,27.26,16300,26.330569
2015-07-27,27.219999,27.280001,27.120001,27.129999,41300,26.205001
2015-07-24,27.25,27.450001,27.219999,27.309999,46700,26.378864
2015-07-23,27.299999,27.327,27.139999,27.26,17600,26.330569
2015-07-22,27.41,27.41,27.25,27.27,47900,26.340228
2015-07-21,27.48,27.48,27.40,27.450001,59400,26.514092
2015-07-20,27.469999,27.50,27.440001,27.48,37900,26.543068
2015-07-17,27.42,27.57,27.40,27.49,582200,26.552727
2015-07-16,27.299999,27.42,27.23,27.42,93200,26.485114
2015-07-15,27.200001,27.290001,27.139999,27.280001,46000,26.349888
2015-07-14,27.10,27.209999,27.059999,27.200001,79000,26.272615
2015-07-13,27.07,27.10,27.049999,27.10,47100,26.176025
2015-07-10,27.059999,27.10,27.01,27.059999,39100,26.137387
2015-07-09,27.23,27.23,27.049999,27.059999,26000,26.137387
2015-07-08,27.198,27.24,27.08,27.16,22400,26.233978
2015-07-07,27.139999,27.225,27.139999,27.225,11500,26.296763
2015-07-06,27.190001,27.219,27.07,27.139999,51400,26.21466
2015-07-02,27.07,27.24,27.07,27.24,17800,26.311251
2015-07-01,27.049999,27.200001,27.01,27.200001,59500,26.272615
2015-06-30,27.139999,27.139999,26.959999,27.040001,44200,26.118071
2015-06-29,27.049999,27.15,26.860001,27.07,69600,26.147047
2015-06-26,27.129999,27.139999,27.040001,27.08,50600,26.156706
2015-06-25,27.17,27.200001,27.08,27.200001,26900,26.272615
2015-06-24,27.059999,27.190001,26.969999,27.18,48100,26.253297
2015-06-23,27.09,27.120001,26.950001,27.07,28200,26.147047
2015-06-22,27.15,27.190001,26.91,27.120001,49300,26.195343
2015-06-19,27.10,27.23,27.035999,27.10,36800,26.176025
2015-06-18,27.10,27.15,26.93,26.99,31200,26.069774
2015-06-17,27.110001,27.200001,26.90,26.969999,47700,26.050456
2015-06-16,27.200001,27.200001,27.110001,27.190001,22700,26.262956
2015-06-15,27.24,27.26,27.049999,27.18,36700,26.253297
2015-06-12,27.15,27.23,27.139999,27.219999,26300,26.291932
2015-06-11,27.601,27.74,27.60,27.629999,60600,26.234943
2015-06-10,27.66,27.75,27.620001,27.715,30800,26.315653
2015-06-09,27.58,27.700001,27.450001,27.66,134500,26.263429
2015-06-08,27.50,27.57,27.469999,27.540001,21600,26.149489
2015-06-05,27.50,27.60,27.459999,27.554001,33200,26.162782
2015-06-04,27.518,27.639999,27.49,27.610001,33600,26.215955
2015-06-03,27.450001,27.540001,27.360001,27.49,51100,26.102013
2015-06-02,27.379999,27.50,27.26,27.50,45500,26.111508
2015-06-01,27.35,27.513,27.309999,27.43,48900,26.045043
2015-05-29,27.41,27.41,27.27,27.27,84300,25.893121
2015-05-28,27.48,27.48,27.23,27.290001,73400,25.912112
2015-05-27,27.40,27.625,27.40,27.52,13100,26.130499
2015-05-26,27.59,27.620001,27.360001,27.450001,28000,26.064033
2015-05-22,27.48,27.49,27.370001,27.450001,23500,26.064033
2015-05-21,27.49,27.610001,27.41,27.41,52200,26.026052
2015-05-20,27.42,27.58,27.309999,27.41,52900,26.026052
2015-05-19,27.57,27.57,27.309999,27.459999,70300,26.073527
2015-05-18,27.73,27.73,27.43,27.66,45000,26.263429
2015-05-15,27.799999,28.00,27.73,27.76,43600,26.358381
2015-05-14,27.68,27.98,27.639999,27.90,49600,26.491311
2015-05-13,27.48,27.74,27.309999,27.67,35600,26.272925
2015-05-12,27.17,27.469999,27.073,27.469999,63800,26.083022
2015-05-11,27.379999,27.41,27.049999,27.280001,85900,25.902617
2015-05-08,27.25,27.49,27.24,27.43,38600,26.045043
2015-05-07,26.950001,27.16,26.809999,27.110001,95600,25.7412
2015-05-06,27.40,27.42,26.799999,26.959999,118200,25.598772
2015-05-05,27.75,27.780001,27.309999,27.450001,118200,26.064033
2015-05-04,27.700001,27.999001,27.610001,27.799999,108500,26.39636
2015-05-01,27.809999,27.989,27.75,27.82,101400,26.415351
2015-04-30,28.00,28.09,27.799999,27.870001,21500,26.462827
2015-04-29,27.85,28.120001,27.85,28.040001,42400,26.624244
2015-04-28,28.200001,28.200001,27.879999,28.139999,71200,26.719193
2015-04-27,28.16,28.190001,28.049999,28.190001,29300,26.76667
