Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,15.93,16.049,15.68,15.68,37100,15.68
2016-01-22,15.98,16.110001,15.89,16.09,64500,16.09
2016-01-21,15.75,15.947,15.57,15.67,28700,15.67
2016-01-20,15.51,15.716,15.01,15.63,108400,15.63
2016-01-19,15.97,16.15,15.58,15.79,74800,15.79
2016-01-15,15.96,16.040001,15.63,15.98,119600,15.98
2016-01-14,16.200001,16.540001,15.90,16.41,43700,16.41
2016-01-13,16.639999,16.82,16.105,16.24,53500,16.24
2016-01-12,16.549999,16.656,16.183001,16.469999,41300,16.469999
2016-01-11,16.440001,16.450001,16.09,16.34,46500,16.34
2016-01-08,16.73,16.75,16.389999,16.403999,45800,16.403999
2016-01-07,16.879999,16.959999,16.59,16.67,86600,16.67
2016-01-06,17.219999,17.290001,16.98,17.09,73800,17.09
2016-01-05,17.58,17.591999,17.370001,17.43,39600,17.43
2016-01-04,17.50,17.52,17.209999,17.49,108100,17.49
2015-12-31,17.860001,17.93,17.73,17.76,58000,17.76
2015-12-30,18.059999,18.120001,17.950001,17.969999,48000,17.969999
2015-12-29,18.07,18.110001,17.940001,18.040001,53000,18.040001
2015-12-28,17.93,17.940001,17.74,17.889999,50700,17.889999
2015-12-24,17.969999,18.059999,17.959999,18.02,12300,18.02
2015-12-23,17.889999,18.02,17.83,18.01,34100,18.01
2015-12-22,17.860001,17.90,17.77,17.84,79200,17.737
2015-12-21,17.809999,17.870001,17.68,17.780001,49400,17.677347
2015-12-18,17.90,18.02,17.798,17.82,38700,17.717115
2015-12-17,18.209999,18.219999,17.931,17.969999,27700,17.866249
2015-12-16,18.049999,18.209999,17.92,18.18,27800,18.075037
2015-12-15,17.75,18.00,17.75,17.91,55000,17.806596
2015-12-14,17.709999,17.745001,17.41,17.639999,74400,17.538154
2015-12-11,18.00,18.049999,17.701,17.76,43400,17.657462
2015-12-10,18.190001,18.32,18.139999,18.139999,30300,18.035267
2015-12-09,18.379999,18.459999,18.07,18.15,52400,18.04521
2015-12-08,18.24,18.507999,18.209999,18.42,85100,18.313651
2015-12-07,18.559999,18.601,18.308001,18.379999,69600,18.273881
2015-12-04,18.440001,18.629999,18.336,18.58,26600,18.472727
2015-12-03,18.870001,18.870001,18.348,18.370001,47800,18.263941
2015-12-02,18.940001,18.99,18.780001,18.809999,47900,18.701399
2015-12-01,18.889999,18.950001,18.77,18.90,42000,18.79088
2015-11-30,18.83,18.92,18.57,18.639999,73100,18.532381
2015-11-27,18.57,18.636,18.48,18.60,17600,18.492612
2015-11-25,18.459999,18.549999,18.40,18.49,88700,18.383247
2015-11-24,18.17,18.424999,18.15,18.356001,78500,18.250022
2015-11-23,18.299999,18.299999,18.184999,18.200001,42200,18.094922
2015-11-20,18.299999,18.34,18.200001,18.26,73400,18.154575
2015-11-19,18.139999,18.290001,18.128,18.25,38100,18.144633
2015-11-18,17.92,18.079,17.82,18.018,35300,17.913972
2015-11-17,17.790001,17.979,17.780001,17.84,37200,17.737
2015-11-16,17.57,17.799999,17.561001,17.780001,58200,17.677347
2015-11-13,17.709999,17.709999,17.450001,17.49,37700,17.38902
2015-11-12,17.732,17.98,17.716999,17.799999,61200,17.69723
2015-11-11,17.940001,17.940001,17.655001,17.782,51200,17.679334
2015-11-10,17.85,17.93,17.65,17.780001,98300,17.677347
2015-11-09,18.17,18.17,17.82,17.940001,67600,17.836423
2015-11-06,17.940001,18.200001,17.865,18.16,53800,18.055152
2015-11-05,18.190001,18.190001,17.85,17.91,79400,17.806596
2015-11-04,18.309999,18.49,18.305,18.35,105700,18.244056
2015-11-03,18.16,18.379999,18.031,18.27,69000,18.164518
2015-11-02,18.030001,18.280001,18.00,18.209999,71400,18.104863
2015-10-30,17.889999,18.049999,17.889999,17.99,69200,17.886134
2015-10-29,17.93,17.93,17.68,17.75,126700,17.64752
2015-10-28,17.73,18.10,17.559999,18.10,94900,17.995499
2015-10-27,17.73,17.780001,17.57,17.709999,72100,17.60775
2015-10-26,17.75,17.878,17.686001,17.77,40900,17.667405
2015-10-23,17.92,17.92,17.632,17.77,112900,17.667405
2015-10-22,17.690001,17.99,17.690001,17.91,60400,17.806596
2015-10-21,17.93,17.93,17.41,17.450001,72600,17.349252
2015-10-20,18.030001,18.030001,17.82,17.90,95300,17.796653
2015-10-19,17.93,18.15,17.898001,18.02,177700,17.915961
2015-10-16,17.969999,17.969999,17.809999,17.951,33300,17.847359
2015-10-15,17.639999,17.90,17.629999,17.879999,77100,17.776768
2015-10-14,17.65,17.693001,17.389999,17.52,34000,17.418848
2015-10-13,17.860001,17.870001,17.580999,17.59,33200,17.488444
2015-10-12,18.07,18.07,17.809999,17.91,31300,17.806596
2015-10-09,18.00,18.059999,17.91,17.99,86900,17.886134
2015-10-08,17.99,17.99,17.77,17.93,38200,17.826481
2015-10-07,17.940001,18.01,17.67,17.93,34000,17.826481
2015-10-06,17.84,17.879999,17.594,17.76,28400,17.657462
2015-10-05,17.540001,17.84,17.540001,17.799999,31700,17.69723
2015-10-02,17.040001,17.559999,16.950001,17.51,41700,17.408905
2015-10-01,17.299999,17.299999,16.66,17.209999,51900,17.110636
2015-09-30,17.09,17.209999,16.93,17.209999,35500,17.110636
2015-09-29,17.08,17.08,16.639999,16.767,119000,16.670195
2015-09-28,17.34,17.450001,16.860001,16.950001,93800,16.852139
2015-09-25,17.799999,17.804001,17.370001,17.42,66200,17.319425
2015-09-24,17.40,17.549999,17.190001,17.540001,38400,17.438733
2015-09-23,17.66,17.66,17.40,17.555,42000,17.453646
2015-09-22,17.610001,17.65,17.370001,17.530001,85400,17.42879
2015-09-21,17.959999,18.08,17.75,17.809999,73900,17.707173
2015-09-18,17.73,17.92,17.690001,17.83,57200,17.727058
2015-09-17,17.91,18.149,17.851999,17.90,37900,17.796653
2015-09-16,17.82,17.889999,17.68,17.886999,56400,17.783728
2015-09-15,17.450001,17.780001,17.450001,17.742001,61000,17.639566
2015-09-14,17.549999,17.65,17.475,17.59,64100,17.488444
2015-09-11,17.58,17.629999,17.41,17.629999,37700,17.528212
2015-09-10,17.57,17.68,17.41,17.549999,84100,17.448674
2015-09-09,17.879999,17.879999,17.440001,17.459999,58100,17.359193
2015-09-08,17.60,17.700001,17.43,17.690001,35600,17.587867
2015-09-04,17.389999,17.459999,17.200001,17.26,94000,17.160349
2015-09-03,17.73,17.790001,17.528,17.559999,60300,17.458616
2015-09-02,17.60,17.65,17.245001,17.549999,33000,17.448674
2015-09-01,17.43,17.68,17.245001,17.299999,85700,17.200117
2015-08-31,18.049999,18.07,17.799999,17.848,74700,17.744953
2015-08-28,17.98,18.15,17.950001,18.040001,73500,17.935846
2015-08-27,18.09,18.120001,17.735001,18.02,196300,17.915961
2015-08-26,17.889999,17.959999,17.280001,17.84,189700,17.737
2015-08-25,18.16,18.424,17.41,17.43,124500,17.329367
2015-08-24,16.719999,17.969999,16.02,17.360001,360500,17.259772
2015-08-21,18.34,18.48,17.93,18.049999,207100,17.945787
2015-08-20,19.34,19.34,18.540001,18.540001,142700,18.432959
2015-08-19,19.549999,19.589001,19.360001,19.459999,90700,19.347646
2015-08-18,19.83,19.83,19.559999,19.577999,67800,19.464965
2015-08-17,19.610001,19.799999,19.481001,19.77,97900,19.655857
2015-08-14,19.620001,19.65,19.493999,19.639999,100300,19.526607
2015-08-13,19.559999,19.67,19.469999,19.549999,96000,19.437126
2015-08-12,19.50,19.51,19.073999,19.459999,115300,19.347646
2015-08-11,19.85,19.90,19.48,19.610001,101600,19.496781
2015-08-10,19.90,20.059,19.84,20.049999,93200,19.93424
2015-08-07,19.73,19.74,19.440001,19.646,124200,19.532573
2015-08-06,20.129999,20.129999,19.48,19.57,131400,19.457011
2015-08-05,20.02,20.219999,19.966999,20.059999,124300,19.944182
2015-08-04,19.66,19.93,19.66,19.790001,90700,19.675742
2015-08-03,19.940001,19.940001,19.60,19.799999,77700,19.685683
2015-07-31,20.110001,20.129999,19.955,19.959999,200200,19.844759
2015-07-30,20.139999,20.139999,19.75,20.01,130000,19.894472
2015-07-29,19.92,20.049999,19.700001,19.948,153600,19.832829
2015-07-28,20.00,20.049999,19.68,20.049999,159900,19.93424
2015-07-27,20.200001,20.200001,19.785,19.85,134500,19.735396
2015-07-24,20.65,20.700001,20.25,20.35,135900,20.232509
2015-07-23,20.379999,20.76,20.23,20.49,251800,20.3717
2015-07-22,20.00,20.200001,20.00,20.10,190200,19.983952
2015-07-21,20.389999,20.440001,20.08,20.17,291000,20.053548
2015-07-20,20.59,20.59,20.25,20.34,282200,20.222566
2015-07-17,20.60,20.60,20.370001,20.49,218600,20.3717
2015-07-16,20.549999,20.549999,20.32,20.52,221600,20.401527
2015-07-15,20.73,20.73,20.299999,20.379999,204600,20.262334
2015-07-14,20.51,20.620001,20.360001,20.620001,215500,20.50095
2015-07-13,20.639999,20.84,20.299999,20.360001,145000,20.242451
2015-07-10,20.459999,20.459999,20.15,20.309999,155700,20.192739
2015-07-09,20.120001,20.58,19.98,20.040001,249500,19.924299
2015-07-08,20.00,20.10,19.60,19.799999,111600,19.685683
2015-07-07,20.00,20.049999,19.40,20.02,81200,19.904414
