Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,11.52,11.52,11.22,11.22,2500,11.22
2016-01-22,11.47,11.47,11.36,11.47,1400,11.47
2016-01-21,10.90,11.58,10.90,11.37,17700,11.37
2016-01-20,10.90,11.05,10.90,10.90,5300,10.90
2016-01-19,11.44,11.45,10.90,10.92,5600,10.92
2016-01-15,10.90,11.05,10.80,10.91,15500,10.91
2016-01-14,11.08,11.13,10.90,10.90,9400,10.90
2016-01-13,10.91,10.91,10.90,10.90,2100,10.849999
2016-01-12,11.14,11.49,10.94,10.96,5400,10.909725
2016-01-11,11.09,11.23,10.90,10.90,12600,10.849999
2016-01-08,11.96,11.96,11.10,11.39,15700,11.337752
2016-01-07,11.88,11.94,11.48,11.53,6600,11.47711
2016-01-06,12.00,12.01,11.88,11.89,8900,11.835459
2016-01-05,12.00,12.12,11.89,11.89,6000,11.835459
2016-01-04,13.29,13.29,11.87,11.88,20900,11.825504
2015-12-31,11.86,13.65,11.86,12.83,39600,12.771146
2015-12-30,10.92,12.34,10.92,11.85,26600,11.795642
2015-12-29,10.95,11.10,10.87,10.93,7100,10.879862
2015-12-28,10.98,11.07,10.80,10.83,8300,10.780321
2015-12-24,11.10,11.10,10.88,10.93,14900,10.879862
2015-12-23,10.88,11.38,10.88,11.21,8600,11.158578
2015-12-22,10.99,11.00,10.92,11.00,1200,10.949541
2015-12-21,11.40,11.40,10.81,10.99,4900,10.939587
2015-12-18,10.89,11.45,10.89,11.45,65600,11.397477
2015-12-17,10.88,11.03,10.86,10.86,19000,10.810183
2015-12-16,10.87,11.00,10.78,10.96,6200,10.909725
2015-12-15,10.90,11.00,10.80,10.86,18700,10.810183
2015-12-14,10.88,10.99,10.80,10.99,25000,10.939587
2015-12-11,10.88,10.99,10.88,10.88,15600,10.830092
2015-12-10,10.85,10.94,10.85,10.88,15200,10.830092
2015-12-09,10.92,10.96,10.85,10.90,15700,10.849999
2015-12-08,10.80,10.89,10.77,10.84,25500,10.790275
2015-12-07,10.89,10.90,10.79,10.80,13500,10.750459
2015-12-04,10.82,10.93,10.76,10.93,12000,10.879862
2015-12-03,10.82,10.82,10.82,10.82,200,10.770366
2015-12-02,10.82,10.90,10.80,10.81,2500,10.760413
2015-12-01,10.77,10.77,10.77,10.77,000,10.720597
2015-11-30,10.78,10.88,10.74,10.77,5600,10.720597
2015-11-27,10.62,10.65,10.62,10.62,1100,10.571284
2015-11-25,10.65,10.74,10.65,10.74,3300,10.690734
2015-11-24,10.61,10.61,10.61,10.61,400,10.56133
2015-11-23,10.60,10.67,10.60,10.60,2000,10.551376
2015-11-20,10.85,10.85,10.85,10.85,200,10.80023
2015-11-19,10.55,10.80,10.55,10.64,700,10.591193
2015-11-18,10.60,10.78,10.56,10.61,4800,10.56133
2015-11-17,10.57,10.64,10.55,10.60,1200,10.551376
2015-11-16,10.70,10.84,10.54,10.54,3200,10.491651
2015-11-13,10.58,10.58,10.58,10.58,000,10.531468
2015-11-12,10.54,10.66,10.54,10.58,1800,10.531468
2015-11-11,10.83,10.83,10.54,10.54,1400,10.491651
2015-11-10,10.83,10.91,10.38,10.48,7000,10.431926
2015-11-09,10.97,10.97,10.87,10.97,1600,10.919679
2015-11-06,10.70,10.85,10.49,10.85,700,10.80023
2015-11-05,10.88,10.88,10.88,10.88,100,10.830092
2015-11-04,10.99,10.99,10.45,10.45,2600,10.402064
2015-11-03,10.99,10.99,10.80,10.86,1800,10.810183
2015-11-02,10.59,10.92,10.37,10.92,14100,10.869908
2015-10-30,10.65,10.97,10.37,10.44,4400,10.392109
2015-10-29,10.25,10.63,10.24,10.63,1300,10.581238
2015-10-28,10.19,10.25,10.19,10.25,3100,10.202981
2015-10-27,10.40,10.40,10.05,10.10,8500,10.05367
2015-10-26,10.24,10.90,9.90,10.90,16100,10.849999
2015-10-23,10.23,10.35,10.23,10.27,5100,10.22289
2015-10-22,10.10,10.18,10.05,10.18,11900,10.133303
2015-10-21,9.90,10.10,9.90,10.09,3200,10.043716
2015-10-20,9.91,10.08,9.91,10.08,1200,10.033761
2015-10-19,10.06,10.06,9.95,9.99,1100,9.944174
2015-10-16,9.97,10.01,9.95,9.95,3100,9.904357
2015-10-15,10.10,10.12,10.00,10.12,2900,10.023807
2015-10-14,10.00,10.10,9.96,9.96,2200,9.865328
2015-10-13,10.08,10.11,10.01,10.01,2300,9.914853
2015-10-12,10.03,10.15,10.00,10.15,3100,10.053522
2015-10-09,10.18,10.19,10.11,10.19,3400,10.093141
2015-10-08,10.05,10.17,10.05,10.17,700,10.073332
2015-10-07,10.01,10.19,9.90,9.90,4500,9.805898
2015-10-06,9.81,10.16,9.81,10.16,1100,10.063427
2015-10-05,10.06,10.19,10.00,10.01,10100,9.914853
2015-10-02,10.19,10.19,10.00,10.18,1400,10.083237
