Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,24.49,24.582001,23.540001,23.65,136700,23.65
2016-01-22,24.030001,24.389999,23.51,23.889999,92900,23.889999
2016-01-21,23.35,23.870001,22.959999,23.02,81300,23.02
2016-01-20,21.950001,23.690001,21.42,23.35,227500,23.35
2016-01-19,22.059999,22.50,21.82,22.17,273300,22.17
2016-01-15,22.77,23.24,22.139999,22.780001,160100,22.780001
2016-01-14,24.48,24.65,22.959999,24.370001,198500,24.370001
2016-01-13,25.59,25.610001,23.75,24.01,172100,24.01
2016-01-12,25.74,26.009001,24.799999,25.549999,284800,25.549999
2016-01-11,26.76,26.780001,23.253,24.040001,333200,24.040001
2016-01-08,27.030001,27.35,26.43,26.549999,102000,26.549999
2016-01-07,27.26,27.43,26.620001,26.83,222900,26.83
2016-01-06,28.58,28.85,27.898001,28.27,189000,28.27
2016-01-05,29.780001,30.059999,29.02,29.41,118900,29.41
2016-01-04,30.459999,30.459999,29.693001,30.16,127400,30.16
2015-12-31,31.01,31.59,30.57,31.030001,143600,31.030001
2015-12-30,30.40,31.52,30.389999,31.09,263300,31.09
2015-12-29,29.639999,30.73,29.555,30.469999,146300,30.469999
2015-12-28,30.67,30.67,29.666,30.00,114600,30.00
2015-12-24,30.00,30.98,30.00,30.950001,124300,30.950001
2015-12-23,28.74,29.98,28.610001,29.879999,291300,29.879999
2015-12-22,28.07,29.700001,27.93,29.049999,364100,29.049999
2015-12-21,28.50,28.580999,27.83,28.07,66700,28.07
2015-12-18,27.620001,28.209,27.16,27.780001,90700,27.780001
2015-12-17,28.780001,29.07,27.58,27.93,116600,27.93
2015-12-16,28.799999,29.459999,28.280001,29.17,141500,29.17
2015-12-15,27.59,28.65,27.49,28.25,248600,28.25
2015-12-14,28.389999,28.503,26.52,26.950001,251200,26.950001
2015-12-11,27.43,28.18,27.327999,27.940001,215800,27.940001
2015-12-10,27.110001,28.639999,27.10,28.40,229700,28.40
2015-12-09,28.950001,29.379999,27.75,28.209999,281400,28.209999
2015-12-08,29.00,29.50,28.25,28.98,333700,28.98
2015-12-07,31.33,31.33,27.91,28.360001,1196900,28.360001
2015-12-04,32.869999,33.869999,32.84,33.599998,214000,33.599998
2015-12-03,32.950001,34.049999,32.23,32.43,234200,32.43
2015-12-02,32.00,32.740002,31.82,32.330002,164900,32.330002
2015-12-01,33.119999,33.150002,31.82,32.290001,210400,32.290001
2015-11-30,33.330002,33.759998,32.605,33.09,194600,33.09
2015-11-27,33.049999,34.169998,33.040001,34.119999,185900,34.119999
2015-11-25,31.82,33.639999,31.74,33.299999,211800,33.299999
2015-11-24,31.91,32.125,31.17,31.48,422600,31.48
2015-11-23,33.00,33.459999,32.709999,32.950001,181800,32.950001
2015-11-20,34.400002,34.73,33.060001,33.200001,357100,33.200001
2015-11-19,36.77,37.549999,35.52,36.07,353700,36.07
2015-11-18,34.779999,36.439999,34.400002,36.130001,298900,36.130001
2015-11-17,35.009998,36.91,35.009998,35.52,201900,35.52
2015-11-16,35.009998,35.700001,33.619999,34.549999,215000,34.549999
2015-11-13,35.990002,36.950001,35.240002,35.830002,493000,35.830002
2015-11-12,37.209999,38.00,35.689999,36.360001,350300,36.360001
2015-11-11,39.669998,40.259998,36.639999,37.029999,663500,37.029999
2015-11-10,39.009998,39.345001,36.509998,37.630001,532400,37.630001
2015-11-09,42.16,42.16,38.919998,40.009998,387400,40.009998
2015-11-06,42.889999,45.299999,41.200001,42.139999,1071000,42.139999
2015-11-05,40.220001,42.330002,37.849998,41.279999,1583000,41.279999
2015-11-04,36.459999,36.810001,34.66,35.009998,984500,35.009998
2015-11-03,32.82,39.00,32.82,38.580002,1272200,38.580002
2015-11-02,27.940001,31.860001,27.42,31.34,654000,31.34
2015-10-30,26.200001,26.65,25.889999,26.450001,233700,26.450001
2015-10-29,27.51,27.51,25.75,26.09,284500,26.09
2015-10-28,24.83,25.059999,24.34,24.940001,145900,24.940001
2015-10-27,25.27,25.57,24.950001,24.950001,89900,24.950001
2015-10-26,25.629999,25.940001,25.25,25.75,50200,25.75
2015-10-23,25.58,26.42,25.51,26.02,70000,26.02
2015-10-22,26.360001,26.43,25.469999,25.790001,107300,25.790001
2015-10-21,26.360001,26.809999,25.67,26.110001,93300,26.110001
2015-10-20,27.049999,27.09,26.040001,26.559999,69300,26.559999
2015-10-19,26.219999,27.17,26.01,26.59,88400,26.59
2015-10-16,26.02,26.540001,25.360001,25.83,85500,25.83
2015-10-15,27.120001,27.559,25.290001,25.92,451200,25.92
2015-10-14,24.389999,25.51,23.52,24.08,215300,24.08
2015-10-13,25.75,25.889999,23.639999,23.67,227600,23.67
2015-10-12,26.690001,26.77,25.969999,26.08,87800,26.08
2015-10-09,26.92,26.99,26.25,26.610001,115000,26.610001
2015-10-08,27.290001,27.290001,26.129999,26.77,124100,26.77
2015-10-07,26.50,27.790001,26.309999,27.25,83900,27.25
2015-10-06,27.99,28.25,25.99,26.51,177600,26.51
2015-10-05,28.040001,28.280001,27.200001,27.549999,171000,27.549999
2015-10-02,26.83,27.219999,26.299999,27.110001,73000,27.110001
2015-10-01,26.889999,27.290001,25.889999,26.51,63800,26.51
2015-09-30,27.309999,27.309999,26.030001,26.360001,161400,26.360001
2015-09-29,27.00,27.280001,25.065001,25.709999,179500,25.709999
2015-09-28,29.49,29.49,26.530001,27.17,254200,27.17
2015-09-25,31.799999,31.98,29.40,29.85,138500,29.85
2015-09-24,30.34,31.49,30.23,31.360001,102700,31.360001
2015-09-23,30.940001,31.969999,30.940001,31.68,87900,31.68
2015-09-22,31.49,31.90,30.50,31.52,106300,31.52
2015-09-21,33.509998,33.630001,31.75,32.599998,109500,32.599998
2015-09-18,33.57,33.669998,33.07,33.52,117100,33.52
2015-09-17,33.720001,34.619999,33.299999,33.970001,78200,33.970001
2015-09-16,32.849998,33.98,32.849998,33.900002,111300,33.900002
2015-09-15,32.75,33.728001,32.599998,33.459999,45000,33.459999
2015-09-14,32.900002,33.07,32.599998,32.860001,32000,32.860001
2015-09-11,32.330002,33.470001,32.330002,33.018002,64500,33.018002
2015-09-10,32.50,33.150002,32.18,32.740002,96600,32.740002
2015-09-09,32.970001,33.009998,32.07,32.150002,79200,32.150002
2015-09-08,31.559999,32.720001,31.559999,32.650002,70800,32.650002
2015-09-04,31.629999,32.34,31.51,31.870001,87100,31.870001
2015-09-03,31.870001,33.110001,31.67,32.919998,106600,32.919998
2015-09-02,32.380001,32.77,31.379999,32.66,96000,32.66
2015-09-01,33.189999,33.43,32.470001,32.709999,93400,32.709999
2015-08-31,32.860001,34.240002,32.860001,34.220001,143000,34.220001
2015-08-28,32.810001,33.299999,32.349998,33.23,98800,33.23
2015-08-27,32.32,32.98,32.16,32.720001,157900,32.720001
2015-08-26,30.549999,30.75,29.120001,30.540001,235600,30.540001
2015-08-25,29.639999,30.00,28.49,28.690001,119500,28.690001
2015-08-24,27.620001,29.25,27.209999,27.98,179900,27.98
2015-08-21,30.540001,30.780001,29.690001,29.75,186800,29.75
2015-08-20,32.310001,32.599998,30.139999,30.690001,171900,30.690001
2015-08-19,32.458,32.529999,32.00,32.00,47900,32.00
2015-08-18,33.07,33.349998,32.75,32.77,72200,32.77
2015-08-17,32.32,33.880001,32.32,33.560001,113000,33.560001
2015-08-14,33.650002,33.650002,32.209999,32.549999,107100,32.549999
2015-08-13,33.939999,34.389,33.290001,33.73,48600,33.73
2015-08-12,34.16,34.299999,32.810001,33.18,121700,33.18
2015-08-11,34.77,34.91,33.91,33.939999,72300,33.939999
2015-08-10,34.669998,34.900002,34.389999,34.75,89100,34.75
2015-08-07,34.689999,34.974998,33.919998,34.50,105000,34.50
2015-08-06,35.900002,36.018002,34.82,35.32,76200,35.32
2015-08-05,35.099998,35.34,34.77,35.00,60700,35.00
2015-08-04,34.950001,35.450001,34.459999,34.779999,71600,34.779999
2015-08-03,36.110001,36.110001,34.669998,35.119999,59200,35.119999
2015-07-31,35.099998,36.330002,35.098,35.740002,64300,35.740002
2015-07-30,34.919998,34.919998,34.049999,34.470001,84100,34.470001
2015-07-29,36.490002,36.599998,35.27,35.290001,75500,35.290001
2015-07-28,36.50,36.50,35.599998,36.380001,89100,36.380001
2015-07-27,35.610001,35.630001,34.759998,34.869999,61200,34.869999
2015-07-24,36.84,36.849998,35.50,35.57,87100,35.57
2015-07-23,37.060001,37.060001,36.259998,36.48,96800,36.48
2015-07-22,36.900002,37.669998,36.59,37.09,72000,37.09
2015-07-21,38.330002,38.369999,36.709999,37.25,107800,37.25
