Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,16.950001,17.68,16.825001,17.200001,187700,17.200001
2016-01-22,16.67,17.18,16.10,17.059999,156300,17.059999
2016-01-21,16.209999,16.889999,15.74,16.40,240300,16.40
2016-01-20,14.45,16.709999,14.37,16.15,379000,16.15
2016-01-19,15.94,16.16,14.46,14.90,331900,14.90
2016-01-15,15.70,15.97,14.90,15.57,565800,15.57
2016-01-14,15.17,16.790001,13.80,16.26,302800,16.26
2016-01-13,17.93,17.940001,14.41,15.11,548700,15.11
2016-01-12,18.84,19.48,17.389999,17.93,334900,17.93
2016-01-11,19.860001,19.860001,17.790001,18.50,605300,18.50
2016-01-08,20.00,20.139999,19.17,19.719999,1794100,19.719999
2016-01-07,23.370001,23.450001,21.01,21.129999,233800,21.129999
2016-01-06,23.65,25.91,23.040001,23.73,203200,23.73
2016-01-05,25.959999,25.959999,22.90,23.959999,196200,23.959999
2016-01-04,26.709999,28.469999,26.059999,26.23,77800,26.23
2015-12-31,28.91,28.93,25.620001,27.50,188100,27.50
2015-12-30,25.469999,30.58,25.469999,28.74,289200,28.74
2015-12-29,26.51,26.52,25.10,25.41,115800,25.41
2015-12-28,24.940001,26.290001,24.32,26.209999,110400,26.209999
2015-12-24,24.85,25.34,24.18,25.01,41300,25.01
2015-12-23,23.76,24.809999,23.42,24.450001,107700,24.450001
2015-12-22,24.290001,24.50,22.67,23.559999,146200,23.559999
2015-12-21,25.379999,25.959999,24.120001,24.190001,119800,24.190001
2015-12-18,27.02,27.799999,24.200001,25.51,741300,25.51
2015-12-17,27.00,28.50,26.299999,27.02,288000,27.02
2015-12-16,26.23,27.452,25.49,26.85,283900,26.85
2015-12-15,24.85,26.93,24.85,25.91,258700,25.91
2015-12-14,23.58,26.190001,23.58,24.76,318700,24.76
2015-12-11,21.530001,23.68,20.774,23.43,143900,23.43
2015-12-10,21.700001,22.26,21.054001,21.889999,87800,21.889999
2015-12-09,23.00,23.200001,21.08,21.629999,141900,21.629999
2015-12-08,21.99,23.09,21.940001,22.950001,46700,22.950001
2015-12-07,22.75,22.75,21.540001,22.08,75900,22.08
2015-12-04,22.67,23.08,22.261999,22.85,47900,22.85
2015-12-03,21.92,22.82,21.77,22.59,70800,22.59
2015-12-02,20.85,22.77,20.690001,21.700001,82100,21.700001
2015-12-01,19.10,21.02,18.709999,20.74,122300,20.74
2015-11-30,19.10,19.23,18.59,18.99,74300,18.99
2015-11-27,19.18,19.42,18.91,19.00,16600,19.00
2015-11-25,19.18,19.469999,18.780001,19.24,73200,19.24
2015-11-24,18.700001,19.450001,18.50,19.08,57600,19.08
2015-11-23,18.10,19.458,17.959999,18.91,76500,18.91
2015-11-20,17.43,18.84,16.879,18.120001,250900,18.120001
2015-11-19,17.75,17.790001,17.01,17.43,148600,17.43
2015-11-18,18.200001,18.48,17.620001,17.950001,65100,17.950001
2015-11-17,18.50,18.50,17.549999,18.040001,327700,18.040001
2015-11-16,18.84,19.00,17.52,18.450001,93200,18.450001
2015-11-13,19.799999,20.00,18.209999,18.73,116200,18.73
2015-11-12,20.610001,20.610001,19.285,19.68,110300,19.68
2015-11-11,21.030001,21.41,20.60,20.90,57100,20.90
2015-11-10,21.65,21.77,20.49,21.16,64100,21.16
2015-11-09,22.58,22.58,21.129999,21.629999,106200,21.629999
2015-11-06,21.65,22.18,20.85,22.09,90700,22.09
2015-11-05,22.290001,22.98,21.290001,21.700001,92300,21.700001
2015-11-04,21.41,22.90,21.18,22.190001,109400,22.190001
2015-11-03,20.50,21.66,19.93,21.299999,97900,21.299999
2015-11-02,18.35,20.816,18.07,20.450001,113200,20.450001
2015-10-30,18.15,18.85,17.48,18.370001,39300,18.370001
2015-10-29,16.889999,18.414,16.190001,18.07,66400,18.07
2015-10-28,15.93,16.90,15.58,16.84,108300,16.84
2015-10-27,16.67,17.00,15.51,16.00,211700,16.00
2015-10-26,16.889999,17.24,16.32,16.83,63300,16.83
2015-10-23,16.91,18.24,16.615999,16.99,671300,16.99
2015-10-22,17.51,17.629999,16.32,16.92,131800,16.92
2015-10-21,18.33,18.620001,16.52,17.450001,100700,17.450001
2015-10-20,18.98,19.34,17.639999,18.120001,86700,18.120001
2015-10-19,19.00,19.57,18.549999,19.09,81800,19.09
2015-10-16,19.620001,19.77,18.90,19.27,44700,19.27
2015-10-15,19.17,19.65,19.00,19.51,67900,19.51
2015-10-14,18.870001,19.58,18.690001,19.15,88000,19.15
2015-10-13,18.91,19.780001,18.41,19.040001,161500,19.040001
2015-10-12,20.67,20.67,19.804001,20.09,83600,20.09
2015-10-09,20.77,21.690001,20.559999,20.67,178100,20.67
2015-10-08,20.75,21.301001,19.299999,20.860001,116300,20.860001
2015-10-07,20.030001,20.48,19.00,20.01,57500,20.01
2015-10-06,21.440001,21.50,20.00,20.059999,152400,20.059999
2015-10-05,22.219999,22.629999,20.58,21.75,187800,21.75
2015-10-02,20.940001,22.290001,20.530001,21.91,117600,21.91
2015-10-01,22.299999,22.780001,20.799999,21.280001,229800,21.280001
2015-09-30,19.77,22.18,19.280001,22.110001,302000,22.110001
2015-09-29,20.629999,21.061001,18.855,19.32,159400,19.32
2015-09-28,21.030001,21.25,18.511999,20.559999,199000,20.559999
2015-09-25,21.959999,22.247999,21.049999,21.280001,188300,21.280001
2015-09-24,21.41,22.049999,21.030001,21.690001,189400,21.690001
2015-09-23,21.360001,22.629999,21.00,21.639999,123400,21.639999
2015-09-22,22.469999,22.950001,20.85,21.41,340500,21.41
2015-09-21,24.459999,24.884001,22.030001,23.02,291900,23.02
2015-09-18,23.58,24.75,22.629999,23.98,306800,23.98
2015-09-17,21.83,24.43,21.719999,23.75,352400,23.75
2015-09-16,19.379999,23.450001,18.90,22.120001,872400,22.120001
2015-09-15,18.75,19.450001,18.266001,19.030001,343100,19.030001
2015-09-14,19.209999,19.99,17.51,18.76,2588400,18.76
2015-09-11,13.45,13.45,13.45,13.45,000,13.45
2015-09-10,13.31,14.13,13.046,13.45,136400,13.45
2015-09-09,14.37,14.98,12.975,13.53,154300,13.53
2015-09-08,16.76,16.799999,14.53,14.82,122300,14.82
2015-09-04,15.29,16.27,15.00,16.110001,60500,16.110001
2015-09-03,15.32,15.75,14.15,15.55,146700,15.55
2015-09-02,13.45,15.53,12.987,15.14,157800,15.14
2015-09-01,14.75,14.95,12.58,13.01,189800,13.01
2015-08-31,15.22,15.435,14.75,15.12,64500,15.12
2015-08-28,15.17,15.59,14.62,15.34,73000,15.34
2015-08-27,15.19,16.50,14.76,15.27,60600,15.27
2015-08-26,14.85,15.10,14.04,15.09,51300,15.09
2015-08-25,15.03,15.885,14.13,14.51,76200,14.51
2015-08-24,14.53,15.783,13.31,14.51,110000,14.51
2015-08-21,14.90,15.58,14.49,15.25,52400,15.25
2015-08-20,14.71,16.129999,13.86,15.29,77900,15.29
2015-08-19,15.59,15.59,14.64,14.97,60700,14.97
2015-08-18,16.459999,17.17,15.54,15.67,93600,15.67
2015-08-17,16.559999,16.73,15.88,16.49,102600,16.49
2015-08-14,16.84,16.950001,15.83,16.76,60100,16.76
2015-08-13,17.26,17.599001,16.788,16.85,30200,16.85
2015-08-12,17.18,17.60,16.290001,17.51,90600,17.51
2015-08-11,18.09,18.09,16.860001,17.219999,52900,17.219999
2015-08-10,17.02,18.940001,16.139999,18.120001,66700,18.120001
2015-08-07,18.809999,18.809999,16.545,17.01,118600,17.01
2015-08-06,19.48,19.834999,18.75,18.969999,68800,18.969999
2015-08-05,19.40,20.00,18.379999,19.58,79900,19.58
2015-08-04,19.299999,19.66,19.08,19.18,39900,19.18
2015-08-03,20.110001,20.120001,18.610001,19.35,71000,19.35
2015-07-31,19.440001,20.16,19.18,20.030001,50700,20.030001
2015-07-30,19.07,19.940001,18.139999,19.34,125300,19.34
2015-07-29,19.25,19.309999,17.93,19.00,72800,19.00
2015-07-28,19.18,19.459999,18.85,19.120001,30100,19.120001
2015-07-27,18.879999,19.389999,18.32,19.190001,42100,19.190001
2015-07-24,19.26,19.26,18.469999,18.82,22300,18.82
2015-07-23,19.09,19.50,19.02,19.17,34400,19.17
2015-07-22,18.690001,19.75,18.690001,19.200001,25500,19.200001
2015-07-21,19.35,19.414,18.26,18.73,52400,18.73
2015-07-20,19.75,19.75,18.889999,19.35,36400,19.35
2015-07-17,19.50,19.754999,19.15,19.360001,86700,19.360001
2015-07-16,19.379999,19.60,19.030001,19.50,48600,19.50
2015-07-15,19.42,19.790001,19.00,19.299999,80700,19.299999
2015-07-14,18.77,19.709999,18.395,19.469999,66600,19.469999
2015-07-13,18.65,18.969999,17.974001,18.889999,16900,18.889999
2015-07-10,17.309999,18.690001,16.57,18.67,26600,18.67
2015-07-09,18.26,18.339001,16.93,17.190001,48800,17.190001
2015-07-08,17.66,18.485001,16.396,18.120001,33700,18.120001
2015-07-07,16.33,18.049999,16.00,17.77,45100,17.77
2015-07-06,16.82,16.82,15.77,16.639999,76800,16.639999
2015-07-02,16.700001,17.18,15.56,16.98,105500,16.98
2015-07-01,17.75,18.50,14.52,16.91,120800,16.91
2015-06-30,17.77,18.40,17.709999,17.84,43300,17.84
2015-06-29,18.50,18.549999,17.540001,17.610001,103000,17.610001
2015-06-26,18.700001,18.76,18.00,18.530001,846300,18.530001
2015-06-25,18.969999,19.379999,18.00,19.18,60500,19.18
2015-06-24,17.889999,19.139999,17.506001,18.799999,63900,18.799999
2015-06-23,19.00,19.190001,17.709999,17.809999,79700,17.809999
2015-06-22,19.200001,19.48,16.110001,19.139999,162500,19.139999
2015-06-19,19.35,20.084999,18.49,18.790001,157600,18.790001
2015-06-18,19.379999,20.620001,19.059999,19.370001,119400,19.370001
2015-06-17,19.00,19.665001,18.424999,19.41,68300,19.41
2015-06-16,19.09,19.50,18.690001,18.870001,52600,18.870001
2015-06-15,18.690001,19.504999,18.59,19.389999,79500,19.389999
2015-06-12,19.26,19.50,18.76,19.190001,95200,19.190001
2015-06-11,19.290001,19.51,18.605,19.50,164400,19.50
2015-06-10,19.129999,19.75,18.49,19.49,200000,19.49
2015-06-09,18.82,19.50,18.634001,19.209999,57500,19.209999
2015-06-08,18.700001,19.190001,18.110001,18.82,48800,18.82
2015-06-05,18.709999,19.26,18.709999,19.08,21400,19.08
2015-06-04,18.73,19.98,18.57,18.99,83500,18.99
2015-06-03,17.700001,18.67,17.323999,18.33,85000,18.33
2015-06-02,16.790001,18.860001,16.50,17.540001,141300,17.540001
2015-06-01,17.049999,17.15,16.502001,16.799999,101000,16.799999
2015-05-29,16.370001,17.299999,15.87,17.00,140200,17.00
2015-05-28,16.82,16.865999,16.35,16.700001,40200,16.700001
2015-05-27,17.35,17.969999,15.60,16.91,173300,16.91
2015-05-26,17.52,17.98,16.610001,17.389999,52200,17.389999
2015-05-22,16.540001,17.92,16.32,17.82,63200,17.82
2015-05-21,17.639999,17.700001,16.16,16.65,105000,16.65
2015-05-20,16.969999,17.309999,15.61,16.68,175700,16.68
2015-05-19,15.34,17.889999,15.32,15.98,44100,15.98
2015-05-18,16.110001,16.110001,15.21,15.60,34800,15.60
2015-05-15,15.34,17.33,14.84,15.62,132800,15.62
2015-05-14,13.72,15.81,13.41,14.90,127100,14.90
2015-05-13,13.22,13.64,12.92,13.25,47500,13.25
2015-05-12,12.60,13.91,12.527,12.99,46400,12.99
2015-05-11,12.80,13.07,12.65,12.70,36300,12.70
2015-05-08,12.26,13.30,12.00,12.95,123100,12.95
2015-05-07,12.00,13.00,11.92,12.29,1405300,12.29
