Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,18.83,19.379999,18.65,18.870001,1099000,18.870001
2016-01-22,17.790001,19.02,17.540001,18.940001,1176700,18.940001
2016-01-21,17.50,17.790001,17.07,17.49,1319400,17.49
2016-01-20,17.57,18.01,16.75,17.469999,1625900,17.469999
2016-01-19,18.700001,19.00,17.66,17.75,1078200,17.75
2016-01-15,18.60,18.83,18.00,18.530001,1170100,18.530001
2016-01-14,18.43,18.790001,17.91,18.75,1301100,18.75
2016-01-13,19.030001,19.370001,18.115,18.34,1058200,18.34
2016-01-12,19.40,19.40,18.525999,18.940001,948600,18.940001
2016-01-11,19.219999,19.67,19.059999,19.18,1290300,19.18
2016-01-08,20.780001,20.870001,19.01,19.049999,2845000,19.049999
2016-01-07,19.58,21.469999,19.58,20.74,2083500,20.74
2016-01-06,19.75,19.889999,19.530001,19.790001,1010800,19.790001
2016-01-05,19.950001,20.139999,19.43,19.91,1090200,19.91
2016-01-04,18.58,19.870001,18.309999,19.860001,1969400,19.860001
2015-12-31,18.50,18.92,18.50,18.690001,812700,18.690001
2015-12-30,19.030001,19.110001,18.549999,18.65,1137600,18.65
2015-12-29,19.209999,19.385,18.719999,19.110001,982400,19.110001
2015-12-28,19.440001,19.940001,19.09,19.92,1016500,19.32
2015-12-24,19.90,19.90,19.360001,19.559999,491700,18.970843
2015-12-23,18.799999,19.90,18.58,19.84,1005400,19.24241
2015-12-22,18.49,18.74,18.26,18.690001,809800,18.127049
2015-12-21,18.42,18.549999,18.16,18.51,779800,17.95247
2015-12-18,18.00,18.620001,17.99,18.33,3740600,17.777891
2015-12-17,18.51,18.60,17.795,18.02,1026000,17.477229
2015-12-16,18.24,18.66,18.02,18.49,1021000,17.933072
2015-12-15,18.32,18.620001,17.92,18.120001,1413500,17.574217
2015-12-14,18.25,18.83,17.889999,18.23,1133200,17.680903
2015-12-11,18.90,19.07,18.10,18.219999,1346800,17.671204
2015-12-10,18.75,19.25,18.50,19.059999,879400,18.485903
2015-12-09,18.51,19.15,18.459999,18.59,892900,18.03006
2015-12-08,18.719999,18.83,18.18,18.549999,845700,17.991264
2015-12-07,18.10,19.00,18.10,18.75,860000,18.185241
2015-12-04,18.67,19.200001,18.67,19.08,1100700,18.505301
2015-12-03,19.49,19.540001,18.610001,18.709999,1244900,18.146445
2015-12-02,19.549999,19.799999,19.24,19.459999,1172700,18.873854
2015-12-01,19.51,19.870001,19.07,19.620001,970100,19.029037
2015-11-30,19.219999,19.450001,18.93,19.450001,6448000,18.864157
2015-11-27,18.809999,19.290001,18.65,19.200001,556800,18.621687
2015-11-25,18.51,18.936001,18.48,18.84,665800,18.27253
2015-11-24,18.52,18.76,18.280001,18.469999,1104900,17.913674
2015-11-23,18.40,18.843,18.34,18.610001,1117900,18.049458
2015-11-20,18.639999,18.940001,18.209999,18.33,1018400,17.777891
2015-11-19,19.280001,19.35,18.299999,18.629999,1379100,18.068854
2015-11-18,19.40,19.549999,19.219999,19.379999,1058400,18.796264
2015-11-17,19.309999,19.530001,18.799999,19.34,1340500,18.75747
2015-11-16,18.809999,19.41,18.385,19.360001,1084200,18.776868
2015-11-13,20.00,20.27,18.76,19.030001,1740000,18.456808
2015-11-12,19.049999,19.82,18.860001,19.799999,1456300,19.203614
2015-11-11,19.780001,20.049999,19.17,19.17,1183100,18.59259
2015-11-10,20.200001,20.27,19.715,19.790001,1057500,19.193916
2015-11-09,20.299999,20.351,20.030001,20.24,1017500,19.630361
2015-11-06,20.360001,20.59,19.950001,20.42,968800,19.80494
2015-11-05,20.34,20.75,20.15,20.48,596800,19.863132
2015-11-04,20.42,20.50,20.110001,20.23,772100,19.620662
2015-11-03,20.67,20.709999,20.33,20.41,803400,19.795241
2015-11-02,20.030001,20.75,19.85,20.719999,743800,20.095903
2015-10-30,19.809999,20.155001,19.745001,20.09,533200,19.484879
2015-10-29,19.91,20.030001,19.66,19.77,682700,19.174518
2015-10-28,19.50,20.370001,19.48,20.01,776200,19.407289
2015-10-27,19.67,19.870001,19.299999,19.459999,638200,18.873854
2015-10-26,20.049999,20.059999,19.655001,19.77,492200,19.174518
2015-10-23,20.50,20.65,20.030001,20.059999,702800,19.455782
2015-10-22,20.50,20.709999,20.16,20.41,728900,19.795241
2015-10-21,20.40,20.93,20.33,20.379999,562100,19.766144
2015-10-20,19.65,20.40,19.65,20.389999,657600,19.775843
2015-10-19,19.65,20.190001,19.65,19.76,493600,19.164819
2015-10-16,19.469999,19.92,19.40,19.780001,793300,19.184217
2015-10-15,19.370001,19.459999,19.00,19.41,666500,18.825361
2015-10-14,19.110001,19.299999,18.75,18.83,400300,18.262831
2015-10-13,19.08,19.469999,19.00,19.16,405000,18.582891
2015-10-12,19.24,19.549999,19.129999,19.26,374900,18.67988
2015-10-09,19.75,19.99,19.40,19.60,533700,19.009639
2015-10-08,19.48,19.83,19.257999,19.690001,569700,19.096928
2015-10-07,18.93,19.559999,18.90,19.549999,845900,18.961144
2015-10-06,19.299999,19.299999,18.870001,18.889999,895600,18.321023
2015-10-05,18.27,18.799999,18.27,18.639999,641600,18.078553
