Date,Open,High,Low,Close,Volume,Adj Close
2012-05-04,13.09,13.34,12.25,12.80,146200,12.531149
2012-05-03,13.05,13.36,13.05,13.25,23700,12.971697
2012-05-02,13.10,13.30,12.78,13.25,113000,12.971697
2012-05-01,12.49,13.37,12.44,13.01,312200,12.736738
2012-04-30,12.31,12.49,12.30,12.38,179600,12.11997
2012-04-27,12.39,12.39,12.20,12.25,71000,11.992701
2012-04-26,12.11,12.39,12.11,12.37,54300,12.11018
2012-04-25,12.43,12.43,12.06,12.26,41300,12.002491
2012-04-24,12.32,12.40,12.18,12.30,26600,12.041651
2012-04-23,12.07,12.31,12.07,12.31,30100,12.051441
2012-04-20,12.40,12.46,12.05,12.36,180500,12.10039
2012-04-19,12.54,12.54,12.21,12.41,186100,12.14934
2012-04-18,12.35,12.41,12.27,12.35,48900,12.090601
2012-04-17,12.56,12.56,12.05,12.40,52000,12.13955
2012-04-16,12.60,12.60,12.31,12.37,51100,12.11018
2012-04-13,12.34,12.48,12.23,12.44,21400,12.17871
2012-04-12,12.01,12.47,12.01,12.30,34400,12.041651
2012-04-11,12.25,12.27,12.06,12.21,47500,11.953541
2012-04-10,12.31,12.75,12.20,12.21,94400,11.953541
2012-04-09,12.00,12.32,12.00,12.20,193400,11.943751
2012-04-05,11.60,12.39,11.60,12.32,38900,12.06123
2012-04-04,11.70,11.81,11.70,11.77,71200,11.522783
2012-04-03,11.95,11.95,11.64,11.70,46500,11.454253
2012-04-02,11.84,11.84,11.61,11.70,93800,11.454253
2012-03-30,11.93,12.00,11.61,11.62,46000,11.375933
2012-03-29,11.90,11.95,11.60,11.68,86800,11.434673
2012-03-28,11.25,12.33,11.20,11.96,397400,11.708792
2012-03-27,11.24,11.25,11.10,11.20,132400,10.964755
2012-03-26,11.11,11.25,11.00,11.16,400300,10.925595
2012-03-23,11.04,11.56,10.93,11.01,821500,10.778746
2012-03-22,10.99,11.52,10.70,11.11,4904100,10.876645
