Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.44,10.13,9.16,9.42,168700,9.42
2016-01-22,9.66,9.82,9.15,9.60,98700,9.60
2016-01-21,9.72,10.49,9.14,9.53,91100,9.53
2016-01-20,9.59,10.59,9.07,9.77,529800,9.77
2016-01-19,9.87,10.54,9.46,9.89,305700,9.89
2016-01-15,10.56,10.56,8.80,9.83,586600,9.83
2016-01-14,10.65,11.95,9.79,10.99,313800,10.99
2016-01-13,11.42,12.908,10.44,10.61,307000,10.61
2016-01-12,12.35,12.56,10.57,11.39,124200,11.39
2016-01-11,12.18,12.94,11.29,12.27,134700,12.27
2016-01-08,12.63,12.90,11.89,12.09,108800,12.09
2016-01-07,13.00,13.00,12.25,12.55,84800,12.55
2016-01-06,13.50,13.50,12.95,13.02,81300,13.02
2016-01-05,13.50,13.75,13.31,13.55,66300,13.55
2016-01-04,14.71,14.71,13.385,13.46,173700,13.46
2015-12-31,13.75,15.295,13.54,15.04,78100,15.04
2015-12-30,14.05,14.47,13.18,13.75,113400,13.75
2015-12-29,14.76,14.76,13.79,14.00,68500,14.00
2015-12-28,14.89,15.45,14.53,14.56,55100,14.56
2015-12-24,15.05,15.69,14.68,14.74,39400,14.74
2015-12-23,14.78,15.536,14.59,15.03,44100,15.03
2015-12-22,14.78,14.99,14.46,14.81,21200,14.81
2015-12-21,14.25,15.03,13.68,14.73,34300,14.73
2015-12-18,14.67,15.24,14.11,14.58,906900,14.58
2015-12-17,14.60,14.97,14.12,14.72,144100,14.72
2015-12-16,14.02,14.59,13.85,14.58,106600,14.58
2015-12-15,14.285,14.285,13.665,14.00,178600,14.00
2015-12-14,14.48,14.55,13.50,14.15,142700,14.15
2015-12-11,14.71,14.71,14.06,14.44,61700,14.44
2015-12-10,14.53,14.99,13.955,14.77,122500,14.77
2015-12-09,15.39,15.39,13.99,14.45,270900,14.45
2015-12-08,16.129999,16.695999,15.27,15.36,99900,15.36
2015-12-07,16.719999,17.00,16.403,16.57,73500,16.57
2015-12-04,16.84,17.120001,16.299999,16.860001,118700,16.860001
2015-12-03,17.57,17.83,15.90,16.90,107400,16.90
2015-12-02,17.775,18.860001,17.059999,17.40,61200,17.40
2015-12-01,18.01,19.440001,18.01,18.33,163300,18.33
2015-11-30,18.52,19.26,17.68,19.190001,187400,19.190001
2015-11-27,18.66,19.50,17.879999,18.309999,235100,18.309999
2015-11-25,17.950001,18.93,17.309999,18.74,48600,18.74
2015-11-24,18.07,18.660999,17.50,18.16,60200,18.16
2015-11-23,17.51,18.90,17.110001,18.129999,66900,18.129999
2015-11-20,17.475,18.00,17.049999,17.610001,55500,17.610001
2015-11-19,17.90,18.120001,17.209999,17.52,147000,17.52
2015-11-18,17.219999,18.548,16.18,17.82,119900,17.82
2015-11-17,17.040001,17.84,16.50,17.110001,83500,17.110001
2015-11-16,17.66,17.959999,16.34,16.91,108400,16.91
2015-11-13,17.73,18.190001,16.92,17.75,96800,17.75
2015-11-12,19.129999,20.120001,17.639999,17.969999,60900,17.969999
2015-11-11,19.23,20.77,18.65,19.50,61000,19.50
2015-11-10,19.35,20.16,18.049999,19.15,109900,19.15
2015-11-09,18.360001,20.209999,17.98,19.469999,123800,19.469999
2015-11-06,17.32,19.01,16.83,18.52,105000,18.52
2015-11-05,20.00,20.85,16.00,17.459999,145000,17.459999
2015-11-04,17.959999,19.700001,17.959999,19.700001,138700,19.700001
2015-11-03,17.83,18.52,17.059999,18.08,82900,18.08
2015-11-02,17.469999,18.014999,16.91,17.75,20400,17.75
2015-10-30,16.90,17.60,16.530001,17.16,49300,17.16
2015-10-29,16.01,17.690001,16.01,16.83,164100,16.83
2015-10-28,16.77,16.889999,15.75,16.18,92200,16.18
2015-10-27,16.91,17.24,16.549,16.90,128200,16.90
2015-10-26,17.280001,17.962,16.299999,16.799999,107000,16.799999
2015-10-23,17.23,18.004,16.530001,17.030001,103900,17.030001
2015-10-22,17.23,17.92,15.80,17.65,69700,17.65
2015-10-21,17.25,18.07,16.434999,17.33,57700,17.33
2015-10-20,18.129999,18.32,16.77,17.25,41600,17.25
2015-10-19,18.24,18.77,16.889999,17.60,24600,17.60
2015-10-16,19.309999,19.459999,17.26,17.92,29300,17.92
2015-10-15,17.18,18.700001,17.18,18.59,25200,18.59
2015-10-14,17.77,17.84,16.780001,17.219999,45300,17.219999
2015-10-13,16.780001,17.879999,16.75,17.58,55100,17.58
2015-10-12,17.700001,18.806,16.620001,16.77,61600,16.77
2015-10-09,18.34,19.812,17.709999,17.799999,25300,17.799999
2015-10-08,18.950001,20.18,17.780001,18.32,107100,18.32
2015-10-07,17.66,19.09,16.27,18.950001,90800,18.950001
2015-10-06,17.27,17.799999,16.66,17.50,105700,17.50
2015-10-05,17.889999,18.190001,16.09,17.27,75500,17.27
2015-10-02,17.51,18.219999,16.360001,17.690001,161800,17.690001
2015-10-01,20.51,20.76,17.48,17.555,194800,17.555
2015-09-30,20.620001,22.860001,19.040001,20.52,143200,20.52
2015-09-29,22.77,24.045,20.004999,20.40,338100,20.40
2015-09-28,25.200001,25.719999,22.195,22.75,442800,22.75
2015-09-25,29.139999,29.139999,24.219999,25.58,97400,25.58
2015-09-24,28.26,28.719999,26.10,27.780001,46500,27.780001
2015-09-23,28.49,28.84,28.059999,28.709999,37000,28.709999
2015-09-22,29.23,29.809999,27.549999,28.309999,68800,28.309999
2015-09-21,30.280001,30.809999,29.35,30.200001,41200,30.200001
2015-09-18,30.35,30.99,29.129999,30.08,325400,30.08
2015-09-17,30.620001,31.00,30.35,30.50,25900,30.50
2015-09-16,30.700001,31.280001,30.299999,30.559999,175400,30.559999
2015-09-15,31.27,31.32,30.32,30.700001,140700,30.700001
2015-09-14,31.09,31.691999,30.26,30.92,16600,30.92
2015-09-11,30.59,30.92,29.92,30.790001,67400,30.790001
2015-09-10,30.450001,30.91,29.93,30.73,35000,30.73
2015-09-09,31.120001,31.440001,30.49,30.60,20900,30.60
2015-09-08,30.83,31.360001,30.00,30.549999,110000,30.549999
2015-09-04,30.48,30.75,29.90,30.299999,170600,30.299999
2015-09-03,30.74,32.990002,30.212999,31.32,212600,31.32
2015-09-02,28.40,30.530001,28.32,30.51,109600,30.51
2015-09-01,28.17,29.370001,28.00,28.82,352100,28.82
2015-08-31,29.459999,30.25,28.35,28.950001,103700,28.950001
2015-08-28,28.01,30.75,27.799999,30.040001,244100,30.040001
2015-08-27,27.309999,29.889999,26.02,28.32,378600,28.32
2015-08-26,26.50,28.01,26.059999,27.41,404000,27.41
2015-08-25,26.93,27.92,22.67,25.879999,321900,25.879999
2015-08-24,26.959999,28.535,26.00,26.879999,372700,26.879999
2015-08-21,28.379999,29.75,26.02,27.940001,275300,27.940001
2015-08-20,28.549999,29.07,28.16,28.950001,107100,28.950001
2015-08-19,28.42,29.02,28.00,28.84,86400,28.84
2015-08-18,27.700001,30.200001,26.65,28.90,131800,28.90
2015-08-17,25.82,28.50,25.450001,27.450001,53100,27.450001
2015-08-14,24.77,25.549999,24.450001,25.379999,229600,25.379999
2015-08-13,25.02,26.290001,24.895,24.950001,140900,24.950001
2015-08-12,26.01,26.75,25.00,25.379999,58900,25.379999
2015-08-11,25.360001,25.389999,24.77,25.120001,91800,25.120001
2015-08-10,29.18,29.290001,24.514999,25.01,236200,25.01
2015-08-07,29.059999,29.450001,27.50,28.559999,60700,28.559999
2015-08-06,30.200001,30.25,28.09,29.030001,262100,29.030001
2015-08-05,29.030001,30.50,28.559999,28.959999,158500,28.959999
2015-08-04,29.049999,29.450001,27.50,29.25,175000,29.25
2015-08-03,27.709999,29.49,27.00,28.540001,320800,28.540001
2015-07-31,25.60,28.950001,25.375,27.40,357000,27.40
2015-07-30,26.700001,26.969999,25.459999,25.620001,107700,25.620001
2015-07-29,27.59,27.639999,25.75,26.08,100000,26.08
2015-07-28,26.059999,27.26,26.01,26.809999,332300,26.809999
2015-07-27,29.48,30.08,25.160999,26.030001,350200,26.030001
2015-07-24,29.620001,30.940001,29.110001,29.440001,562400,29.440001
2015-07-23,30.26,30.49,29.34,29.639999,408000,29.639999
2015-07-22,29.879999,30.34,29.700001,30.01,288500,30.01
2015-07-21,29.75,30.889999,29.360001,29.799999,315400,29.799999
2015-07-20,29.870001,30.959999,29.33,30.049999,371900,30.049999
2015-07-17,31.35,31.57,29.02,30.00,1077800,30.00
2015-07-16,28.68,33.75,28.50,30.799999,7681000,30.799999
