Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.91,10.035,9.58,9.84,57200,9.84
2016-01-22,10.47,11.432,9.90,9.90,79100,9.90
2016-01-21,10.66,11.25,10.20,10.29,138500,10.29
2016-01-20,10.03,10.78,9.66,10.76,104500,10.76
2016-01-19,10.34,10.54,9.99,10.25,82000,10.25
2016-01-15,10.20,10.36,9.85,10.27,226700,10.27
2016-01-14,10.27,10.91,10.00,10.50,71100,10.50
2016-01-13,10.73,10.77,10.20,10.36,55300,10.36
2016-01-12,10.85,10.85,10.32,10.73,103200,10.73
2016-01-11,11.16,11.18,10.51,10.67,83400,10.67
2016-01-08,11.52,11.52,10.90,11.17,55900,11.17
2016-01-07,11.62,11.79,11.32,11.43,51200,11.43
2016-01-06,11.85,12.12,11.53,11.97,61500,11.97
2016-01-05,12.09,12.14,11.75,12.01,106000,12.01
2016-01-04,12.25,12.34,11.68,12.10,80600,12.10
2015-12-31,12.85,12.85,12.04,12.39,145100,12.39
2015-12-30,12.84,12.88,12.67,12.78,18100,12.78
2015-12-29,12.69,12.99,12.51,12.87,63200,12.87
2015-12-28,13.30,13.37,12.50,12.68,126300,12.68
2015-12-24,13.03,13.49,13.03,13.29,33200,13.29
2015-12-23,12.28,13.10,12.28,13.07,103400,13.07
2015-12-22,12.45,12.50,12.16,12.27,128000,12.27
2015-12-21,12.17,12.47,12.05,12.36,100300,12.36
2015-12-18,11.72,12.24,11.72,12.13,78500,12.13
2015-12-17,12.10,12.586,11.815,11.97,81900,11.97
2015-12-16,12.26,12.40,11.47,12.00,176200,12.00
2015-12-15,11.94,12.35,11.59,12.26,93000,12.26
2015-12-14,11.77,11.98,11.44,11.80,204800,11.80
2015-12-11,12.00,12.88,11.62,11.89,325300,11.89
2015-12-10,11.12,11.73,11.02,11.51,129800,11.51
2015-12-09,11.34,11.55,10.93,11.10,121100,11.10
2015-12-08,11.31,11.605,10.69,11.37,125800,11.37
2015-12-07,11.20,11.619,11.10,11.43,110400,11.43
2015-12-04,10.95,11.56,10.90,11.28,65900,11.28
2015-12-03,10.75,11.46,10.70,11.04,111600,11.04
2015-12-02,10.97,11.06,10.51,10.67,160600,10.67
