Date,Open,High,Low,Close,Volume,Adj Close
2012-06-08,6.82,6.99,6.80,6.91,12900,6.908298
2012-06-07,6.89,6.99,6.70,6.95,8500,6.948288
2012-06-06,7.01,7.02,6.51,6.80,16000,6.798325
2012-06-05,6.62,7.01,6.60,7.00,33300,6.998276
2012-06-04,6.80,6.88,6.39,6.79,17300,6.788328
2012-06-01,6.81,6.88,6.32,6.80,30800,6.798325
2012-05-31,6.87,6.92,6.71,6.88,12800,6.878306
2012-05-30,6.70,7.00,6.70,6.81,9600,6.808323
2012-05-29,6.88,6.88,6.70,6.84,31400,6.838316
2012-05-25,7.01,7.01,6.76,6.80,7100,6.798325
2012-05-24,6.82,6.98,6.82,6.92,26200,6.918296
2012-05-23,6.89,7.25,6.70,6.85,16800,6.848313
2012-05-22,7.00,7.02,6.90,6.90,25900,6.898301
2012-05-21,7.08,7.47,7.01,7.01,27400,7.008274
2012-05-18,7.20,7.24,6.75,7.02,59000,7.018271
2012-05-17,7.21,7.32,7.10,7.10,32100,7.098251
2012-05-16,7.25,7.39,7.10,7.17,18000,7.168234
2012-05-15,7.30,7.30,7.11,7.24,25500,7.238217
2012-05-14,7.37,7.38,7.01,7.20,37000,7.198227
2012-05-11,7.50,7.53,7.25,7.38,30600,7.378183
2012-05-10,7.50,7.74,7.50,7.55,78000,7.548141
2012-05-09,7.25,7.45,7.25,7.45,13100,7.448165
2012-05-08,7.51,7.60,7.35,7.45,17900,7.448165
2012-05-07,7.70,7.72,7.51,7.70,25900,7.698103
2012-05-04,7.60,7.71,7.51,7.66,15300,7.658113
2012-05-03,7.63,7.70,7.40,7.65,22400,7.648116
2012-05-02,7.74,7.74,7.60,7.65,12000,7.648116
2012-05-01,7.72,7.74,7.66,7.74,18000,7.738094
2012-04-30,7.75,7.85,7.70,7.84,19300,7.838069
2012-04-27,7.85,7.85,7.60,7.70,27000,7.698103
2012-04-26,7.73,7.85,7.70,7.73,31600,7.728096
2012-04-25,7.90,7.90,7.60,7.71,64100,7.708101
2012-04-24,7.99,7.99,7.42,7.65,102800,7.648116
2012-04-23,8.00,8.00,7.89,7.90,43300,7.898054
2012-04-20,8.01,8.09,8.00,8.00,54700,7.99803
2012-04-19,8.05,8.20,8.00,8.13,44000,8.127998
2012-04-18,8.09,8.09,8.00,8.00,35100,7.99803
2012-04-17,8.09,8.19,8.00,8.00,58800,7.99803
2012-04-16,8.50,8.50,8.00,8.00,157000,7.99803
2012-04-13,8.10,8.10,7.93,8.05,102200,8.048018
2012-04-12,8.00,8.07,7.85,8.03,149800,8.028022
2012-04-11,8.00,8.25,7.90,8.00,1718100,7.99803
