Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,10.05,10.05,10.05,10.05,000,10.05
2016-01-22,10.049,10.05,10.04,10.05,4500,10.05
2016-01-21,10.02,10.02,10.02,10.02,000,10.02
2016-01-20,10.02,10.02,10.02,10.02,400,10.02
2016-01-19,10.02,10.02,10.02,10.02,2300,10.02
2016-01-15,10.00,10.00,10.00,10.00,000,10.00
2016-01-14,10.00,10.00,10.00,10.00,6500,10.00
2016-01-13,10.00,10.00,10.00,10.00,000,10.00
2016-01-12,10.00,10.00,10.00,10.00,000,10.00
2016-01-11,10.00,10.00,10.00,10.00,000,10.00
2016-01-08,10.00,10.00,10.00,10.00,000,10.00
2016-01-07,10.00,10.00,10.00,10.00,000,10.00
2016-01-06,10.00,10.00,10.00,10.00,000,10.00
2016-01-05,10.00,10.00,10.00,10.00,1000,10.00
2016-01-04,10.00,10.00,10.00,10.00,000,10.00
2015-12-31,10.00,10.00,10.00,10.00,000,10.00
2015-12-30,10.00,10.00,10.00,10.00,000,10.00
2015-12-29,10.00,10.00,10.00,10.00,000,10.00
2015-12-28,10.00,10.00,10.00,10.00,000,10.00
2015-12-24,10.00,10.00,10.00,10.00,000,10.00
2015-12-23,10.00,10.00,10.00,10.00,000,10.00
2015-12-22,10.00,10.00,10.00,10.00,000,10.00
2015-12-21,10.00,10.00,10.00,10.00,000,10.00
2015-12-18,10.00,10.00,10.00,10.00,000,10.00
2015-12-17,10.00,10.00,10.00,10.00,000,10.00
2015-12-16,10.00,10.00,10.00,10.00,000,10.00
2015-12-15,10.00,10.00,10.00,10.00,000,10.00
2015-12-14,10.00,10.00,10.00,10.00,100,10.00
2015-12-11,10.05,10.07,10.05,10.05,5500,10.05
2015-12-10,10.04,10.04,10.04,10.04,000,10.04
2015-12-09,10.04,10.04,10.04,10.04,000,10.04
2015-12-08,10.04,10.04,10.04,10.04,000,10.04
2015-12-07,10.04,10.04,10.04,10.04,000,10.04
2015-12-04,10.04,10.04,10.04,10.04,000,10.04
2015-12-03,10.04,10.04,10.04,10.04,000,10.04
2015-12-02,10.04,10.04,10.04,10.04,000,10.04
2015-12-01,10.04,10.04,10.04,10.04,000,10.04
