Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,22.50,22.50,22.50,22.50,000,22.50
2016-01-22,22.50,22.50,22.50,22.50,000,22.50
2016-01-21,22.50,22.50,22.50,22.50,000,22.50
2016-01-20,22.26,22.50,22.00,22.50,500,22.50
2016-01-19,22.76,22.77,22.76,22.77,300,22.77
2016-01-15,22.629999,22.629999,22.50,22.50,300,22.50
2016-01-14,23.24,23.24,23.24,23.24,000,23.24
2016-01-13,23.24,23.24,23.24,23.24,000,23.24
2016-01-12,23.25,23.25,23.24,23.24,300,23.24
2016-01-11,23.00,23.07,23.00,23.07,1000,23.07
2016-01-08,23.27,23.27,23.27,23.27,300,23.27
2016-01-07,23.68,23.68,23.48,23.48,200,23.48
2016-01-06,23.879999,24.030001,23.879999,24.00,7100,24.00
2016-01-05,24.219999,24.219999,24.219999,24.219999,000,24.219999
2016-01-04,24.120001,24.27,24.120001,24.219999,600,24.219999
2015-12-31,24.85,24.92,24.85,24.92,5100,24.92
2015-12-30,24.950001,24.959999,24.92,24.93,1700,24.93
2015-12-29,25.309999,25.309999,25.309999,25.309999,1800,25.309999
