Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,3.64,3.80,3.25,3.25,8300,3.25
2016-01-22,3.47,3.47,3.47,3.47,000,3.47
2016-01-21,3.43,3.47,3.43,3.47,200,3.47
2016-01-20,3.61,3.90,3.25,3.30,57100,3.30
2016-01-19,3.50,3.74,3.48,3.48,15800,3.48
2016-01-15,3.90,4.00,3.50,3.50,32400,3.50
2016-01-14,4.32,4.32,3.51,4.00,96000,4.00
2016-01-13,4.26,4.775,4.18,4.44,67100,4.44
2016-01-12,4.49,4.49,4.23,4.425,3100,4.425
2016-01-11,4.00,4.00,4.00,4.00,000,4.00
2016-01-08,4.00,4.00,4.00,4.00,1000,4.00
2016-01-07,4.75,4.75,4.75,4.75,300,4.75
2016-01-06,4.30,5.00,4.30,4.75,700,4.75
2016-01-05,5.00,5.00,4.30,4.65,10400,4.65
2016-01-04,4.70,4.70,4.70,4.70,100,4.70
2015-12-31,4.22,4.25,4.22,4.25,400,4.25
2015-12-30,4.00,4.00,4.00,4.00,000,4.00
2015-12-29,4.00,4.00,4.00,4.00,000,4.00
2015-12-28,4.00,4.00,4.00,4.00,000,4.00
2015-12-24,4.00,4.00,4.00,4.00,000,4.00
2015-12-23,4.04,4.04,4.00,4.00,400,4.00
2015-12-22,4.50,4.65,4.44,4.65,1500,4.65
2015-12-21,4.25,4.50,4.25,4.50,1100,4.50
2015-12-18,4.49,4.50,4.49,4.50,300,4.50
2015-12-17,4.22,4.22,4.22,4.22,100,4.22
2015-12-16,4.16,4.51,4.16,4.32,15100,4.32
2015-12-15,4.28,4.28,4.25,4.25,500,4.25
2015-12-14,4.705,4.705,4.705,4.705,000,4.705
2015-12-11,4.75,4.89,4.60,4.705,5600,4.705
2015-12-10,4.70,4.75,4.70,4.75,900,4.75
2015-12-09,4.75,4.75,4.75,4.75,000,4.75
2015-12-08,4.75,4.75,4.75,4.75,000,4.75
2015-12-07,4.75,4.75,4.75,4.75,000,4.75
2015-12-04,4.26,4.75,4.26,4.75,400,4.75
2015-12-03,4.50,4.73,4.50,4.73,200,4.73
2015-12-02,4.11,4.11,4.11,4.11,100,4.11
2015-12-01,4.25,4.334,4.25,4.334,500,4.334
2015-11-30,4.29,4.29,4.25,4.25,300,4.25
2015-11-27,4.98,4.98,4.88,4.93,900,4.93
2015-11-25,4.65,4.65,4.50,4.50,2000,4.50
2015-11-24,4.81,4.85,4.65,4.85,9700,4.85
2015-11-23,4.75,5.20,4.75,5.15,2300,5.15
2015-11-20,5.15,5.15,5.15,5.15,200,5.15
2015-11-19,5.25,5.25,5.25,5.25,000,5.25
2015-11-18,5.25,5.25,5.25,5.25,000,5.25
2015-11-17,5.246,5.25,5.241,5.25,400,5.25
2015-11-16,5.00,5.00,5.00,5.00,000,5.00
2015-11-13,5.00,5.00,5.00,5.00,000,5.00
2015-11-12,5.00,5.00,5.00,5.00,100,5.00
2015-11-11,5.00,5.00,5.00,5.00,000,5.00
2015-11-10,5.50,5.50,5.00,5.00,2200,5.00
2015-11-09,5.50,5.50,5.50,5.50,000,5.50
2015-11-06,5.50,5.50,5.50,5.50,000,5.50
2015-11-05,5.745,5.99,5.50,5.50,10100,5.50
2015-11-04,6.00,6.00,6.00,6.00,000,6.00
2015-11-03,6.00,6.00,6.00,6.00,000,6.00
2015-11-02,6.00,6.00,6.00,6.00,000,6.00
2015-10-30,6.00,6.00,6.00,6.00,000,6.00
2015-10-29,6.00,6.00,6.00,6.00,000,6.00
2015-10-28,6.48,6.48,5.85,6.00,3400,6.00
2015-10-27,6.60,6.60,6.60,6.60,000,6.60
2015-10-26,6.60,6.60,6.60,6.60,300,6.60
2015-10-23,6.30,6.30,6.30,6.30,000,6.30
2015-10-22,6.30,6.30,6.30,6.30,000,6.30
2015-10-21,6.33,6.33,6.30,6.30,500,6.30
2015-10-20,6.598,6.598,6.598,6.598,000,6.598
2015-10-19,6.598,6.598,6.598,6.598,000,6.598
2015-10-16,6.598,6.598,6.598,6.598,000,6.598
2015-10-15,6.598,6.598,6.598,6.598,100,6.598
2015-10-14,6.60,6.60,6.60,6.60,000,6.60
2015-10-13,6.60,6.60,6.60,6.60,400,6.60
2015-10-12,7.00,7.00,7.00,7.00,000,7.00
2015-10-09,6.30,7.00,6.30,7.00,2700,7.00
2015-10-08,6.30,6.30,6.30,6.30,2300,6.30
2015-10-07,6.32,6.732,6.32,6.732,400,6.732
2015-10-06,6.75,6.75,6.75,6.75,000,6.75
2015-10-05,6.75,6.75,6.75,6.75,000,6.75
2015-10-02,6.75,6.75,6.75,6.75,5500,6.75
2015-10-01,6.75,6.86,6.43,6.86,10200,6.86
2015-09-30,6.31,6.31,6.31,6.31,000,6.31
2015-09-29,6.31,6.31,6.31,6.31,000,6.31
2015-09-28,6.31,6.31,6.31,6.31,200,6.31
2015-09-25,6.65,6.75,5.95,6.62,4200,6.62
2015-09-24,6.75,7.00,6.65,6.75,15500,6.75
2015-09-23,6.28,6.28,6.28,6.28,100,6.28
2015-09-22,6.51,6.68,6.50,6.68,1200,6.68
2015-09-21,6.76,6.80,6.76,6.80,900,6.80
2015-09-18,6.77,6.77,6.77,6.77,400,6.77
2015-09-17,6.55,6.55,6.55,6.55,000,6.55
2015-09-16,6.55,6.55,6.55,6.55,000,6.55
2015-09-15,5.81,6.55,5.76,6.55,4500,6.55
2015-09-14,6.30,6.30,5.75,5.75,7500,5.75
2015-09-11,6.07,6.07,6.07,6.07,000,6.07
2015-09-10,6.07,6.07,6.07,6.07,000,6.07
2015-09-09,6.07,6.07,6.07,6.07,000,6.07
2015-09-08,7.00,7.00,6.05,6.07,1600,6.07
2015-09-04,5.95,5.95,5.95,5.95,000,5.95
2015-09-03,5.95,5.95,5.95,5.95,000,5.95
2015-09-02,5.95,5.95,5.95,5.95,200,5.95
2015-09-01,6.00,6.00,6.00,6.00,600,6.00
2015-08-31,6.00,6.00,6.00,6.00,000,6.00
2015-08-28,5.84,6.00,5.84,6.00,700,6.00
2015-08-27,5.72,5.74,5.72,5.74,500,5.74
2015-08-26,5.23,5.23,4.85,4.90,3400,4.90
2015-08-25,5.75,5.75,5.20,5.20,1700,5.20
2015-08-24,6.05,6.10,5.40,5.94,900,5.94
2015-08-21,6.05,6.10,6.01,6.10,1300,6.10
2015-08-20,7.00,7.00,7.00,7.00,000,7.00
2015-08-19,7.00,7.00,7.00,7.00,000,7.00
2015-08-18,7.00,7.00,7.00,7.00,000,7.00
2015-08-17,7.10,7.10,7.00,7.00,1200,7.00
2015-08-14,7.25,7.75,7.00,7.15,3800,7.15
2015-08-13,6.26,6.26,6.26,6.26,000,6.26
2015-08-12,6.50,6.50,6.26,6.26,1300,6.26
2015-08-11,7.00,7.00,7.00,7.00,000,7.00
2015-08-10,6.45,7.00,6.45,7.00,300,7.00
2015-08-07,6.362,6.51,6.362,6.45,5500,6.45
2015-08-06,7.50,7.50,7.50,7.50,000,7.50
2015-08-05,7.50,7.50,7.50,7.50,600,7.50
2015-08-04,7.30,7.30,7.30,7.30,000,7.30
2015-08-03,7.30,7.30,7.30,7.30,000,7.30
2015-07-31,7.30,7.30,7.30,7.30,4900,7.30
2015-07-30,8.00,8.00,7.80,7.80,600,7.80
2015-07-29,7.40,8.00,7.40,7.81,1000,7.81
2015-07-28,7.23,7.23,7.23,7.23,000,7.23
2015-07-27,6.95,7.23,6.95,7.23,400,7.23
2015-07-24,7.79,7.79,7.79,7.79,200,7.79
2015-07-23,7.78,7.78,7.78,7.78,000,7.78
2015-07-22,7.78,7.78,7.78,7.78,500,7.78
2015-07-21,8.60,8.75,7.74,7.78,2200,7.78
2015-07-20,10.94,11.69,8.40,8.60,7800,8.60
2015-07-17,8.54,9.01,8.46,8.55,8600,8.55
2015-07-16,7.50,9.90,7.50,9.14,10500,9.14
2015-07-15,7.75,7.75,7.75,7.75,1100,7.75
2015-07-14,8.92,8.92,7.50,7.50,2000,7.50
2015-07-13,8.92,8.92,8.92,8.92,000,8.92
2015-07-10,7.84,9.01,7.84,8.92,5400,8.92
2015-07-09,8.30,9.45,8.30,9.45,2000,9.45
2015-07-08,11.22,11.22,11.22,11.22,000,11.22
2015-07-07,11.22,11.22,11.22,11.22,000,11.22
2015-07-06,11.22,11.22,11.22,11.22,000,11.22
2015-07-02,11.22,11.22,11.22,11.22,300,11.22
2015-07-01,11.37,11.37,11.37,11.37,000,11.37
2015-06-30,11.37,11.37,11.37,11.37,2000,11.37
2015-06-29,11.30,11.55,11.30,11.55,3000,11.55
2015-06-26,11.72,11.85,11.72,11.84,7200,11.84
2015-06-25,12.25,12.25,12.25,12.25,000,12.25
2015-06-24,12.25,12.25,12.25,12.25,000,12.25
2015-06-23,12.25,12.25,12.25,12.25,000,12.25
2015-06-22,12.25,12.25,12.25,12.25,500,12.25
2015-06-19,11.99,11.99,11.99,11.99,000,11.99
2015-06-18,11.99,11.99,11.99,11.99,500,11.99
2015-06-17,7.50,7.50,7.50,7.50,000,7.50
2015-06-16,7.50,7.50,7.50,7.50,000,7.50
2015-06-15,7.50,7.50,7.50,7.50,000,7.50
2015-06-12,7.50,7.50,7.50,7.50,000,7.50
