Date,Open,High,Low,Close,Volume,Adj Close
2001-09-10,11.16,11.17,10.30,10.75,248100,10.75
2001-09-07,11.31,11.53,11.04,11.16,46000,11.16
2001-09-06,11.61,11.71,11.30,11.38,93100,11.38
2001-09-05,11.67,12.00,11.46,11.63,58400,11.63
2001-09-04,12.20,12.30,11.70,11.71,69700,11.71
2001-08-31,12.00,12.31,11.91,12.05,63300,12.05
2001-08-30,12.59,12.65,11.50,12.01,413400,12.01
2001-08-29,12.96,13.06,12.59,12.62,54400,12.62
2001-08-28,13.59,13.65,12.83,12.86,103500,12.86
2001-08-27,13.47,13.66,13.00,13.55,124900,13.55
2001-08-24,12.79,13.50,12.11,13.42,303200,13.42
2001-08-23,13.08,13.10,11.65,11.80,173600,11.80
2001-08-22,13.56,13.86,13.05,13.10,268500,13.10
2001-08-21,14.07,14.16,13.40,13.63,93400,13.63
2001-08-20,14.21,14.42,14.00,14.00,49700,14.00
2001-08-17,14.20,14.49,13.97,14.25,162200,14.25
2001-08-16,14.00,14.53,13.16,14.47,155500,14.47
2001-08-15,15.10,15.10,14.03,14.14,96200,14.14
2001-08-14,15.07,15.13,14.61,15.00,134400,15.00
2001-08-13,14.41,14.70,14.00,14.70,137300,14.70
2001-08-10,14.06,14.60,13.70,14.50,127600,14.50
2001-08-09,14.45,14.55,13.60,14.09,178200,14.09
2001-08-08,14.59,15.14,14.35,14.35,98800,14.35
2001-08-07,14.26,15.30,14.25,14.60,172100,14.60
2001-08-06,15.45,15.45,13.91,14.16,162200,14.16
2001-08-03,16.450001,16.50,15.35,15.40,382900,15.40
2001-08-02,17.200001,17.700001,16.41,16.50,254400,16.50
2001-08-01,16.049999,17.700001,16.040001,16.76,292100,16.76
2001-07-31,14.86,16.25,14.86,15.96,256600,15.96
2001-07-30,14.86,15.09,14.80,14.80,162500,14.80
2001-07-27,15.40,15.42,14.75,14.91,214300,14.91
2001-07-26,14.68,15.45,14.68,15.36,358900,15.36
2001-07-25,14.49,14.93,14.25,14.85,153100,14.85
2001-07-24,14.35,14.60,14.31,14.41,116100,14.41
2001-07-23,14.80,15.00,14.30,14.45,158500,14.45
2001-07-20,13.96,14.80,13.79,14.63,172100,14.63
2001-07-19,14.53,15.25,14.00,14.20,125000,14.20
2001-07-18,14.60,14.84,14.29,14.52,64000,14.52
2001-07-17,14.97,15.00,14.28,14.82,99100,14.82
2001-07-16,16.59,16.59,15.00,15.08,102800,15.08
2001-07-13,16.17,16.90,15.09,16.40,227800,16.40
2001-07-12,14.80,16.32,14.76,15.87,591300,15.87
2001-07-11,14.38,14.85,14.26,14.38,200900,14.38
2001-07-10,15.01,15.40,14.30,14.49,380800,14.49
2001-07-09,14.25,15.50,13.90,15.04,241500,15.04
2001-07-06,14.20,14.60,13.85,14.13,469600,14.13
2001-07-05,16.10,16.299999,13.78,14.21,895600,14.21
2001-07-03,16.629999,16.780001,16.40,16.450001,167000,16.450001
2001-07-02,16.860001,17.41,16.49,16.549999,278700,16.549999
2001-06-29,16.799999,17.200001,16.15,16.15,602500,16.15
2001-06-28,18.25,18.360001,16.450001,16.709999,1133800,16.709999
2001-06-27,18.35,18.77,16.85,17.540001,835100,17.540001
2001-06-26,17.49,19.040001,17.00,17.93,436600,17.93
2001-06-25,18.629999,18.90,17.50,17.65,293700,17.65
2001-06-22,17.040001,19.059999,17.02,17.530001,1211400,17.530001
2001-06-21,16.50,17.90,16.200001,16.85,850700,16.85
2001-06-20,17.110001,17.450001,16.00,17.219999,743200,17.219999
2001-06-19,20.049999,21.10,17.17,17.440001,671300,17.440001
2001-06-18,22.60,22.889999,18.67,18.950001,744600,18.950001
2001-06-15,23.00,23.049999,21.709999,23.01,592900,23.01
2001-06-14,23.40,24.40,22.90,24.23,735700,24.23
2001-06-13,25.40,25.42,23.209999,23.450001,386000,23.450001
2001-06-12,25.01,25.32,24.280001,24.49,417000,24.49
2001-06-11,27.049999,27.129999,25.00,25.01,287500,25.01
2001-06-08,30.35,30.35,27.10,27.10,332400,27.10
2001-06-07,28.110001,30.90,28.00,30.530001,422100,30.530001
2001-06-06,27.66,28.75,27.50,28.25,157200,28.25
2001-06-05,27.35,28.299999,26.870001,28.00,202900,28.00
2001-06-04,28.10,28.85,26.450001,26.74,183300,26.74
2001-06-01,27.10,28.90,27.00,28.450001,264800,28.450001
2001-05-31,26.709999,27.549999,26.709999,27.110001,196200,27.110001
2001-05-30,28.00,28.00,25.90,26.709999,481500,26.709999
2001-05-29,29.92,30.43,28.00,28.040001,275400,28.040001
2001-05-25,28.91,29.50,28.67,29.40,154000,29.40
2001-05-24,30.040001,30.50,28.59,28.90,640300,28.90
2001-05-23,33.00,33.00,29.91,30.299999,371900,30.299999
2001-05-22,33.860001,35.049999,32.799999,33.00,754100,33.00
2001-05-21,33.580002,34.849998,33.50,33.860001,328300,33.860001
2001-05-18,35.599998,35.790001,33.200001,33.34,490700,33.34
2001-05-17,34.23,36.200001,33.990002,35.849998,990700,35.849998
2001-05-16,33.700001,34.939999,32.950001,33.50,397300,33.50
2001-05-15,33.299999,34.200001,33.23,33.849998,312800,33.849998
2001-05-14,33.75,34.50,32.560001,33.200001,214100,33.200001
2001-05-11,34.029999,34.599998,32.830002,34.139999,236900,34.139999
2001-05-10,37.299999,37.419998,34.00,34.52,377000,34.52
