Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,7.76,7.76,7.73,7.73,1300,7.73
2016-01-22,7.51,7.51,7.51,7.51,000,7.51
2016-01-21,7.51,7.51,7.51,7.51,000,7.51
2016-01-20,7.49,7.51,7.49,7.51,800,7.51
2016-01-19,7.69,7.69,7.69,7.69,200,7.69
2016-01-15,7.81,7.81,7.81,7.81,400,7.81
2016-01-14,8.00,8.00,8.00,8.00,200,8.00
2016-01-13,8.23,8.23,8.01,8.06,700,8.06
2016-01-12,8.08,8.10,8.08,8.10,500,8.10
2016-01-11,8.17,8.17,8.17,8.17,000,8.17
2016-01-08,8.17,8.17,8.17,8.17,000,8.17
2016-01-07,8.17,8.17,8.17,8.17,100,8.17
2016-01-06,8.54,8.54,8.54,8.54,000,8.54
2016-01-05,8.54,8.54,8.54,8.54,100,8.54
2016-01-04,8.50,8.50,8.49,8.50,1700,8.50
2015-12-31,8.77,8.86,8.76,8.86,1000,8.86
2015-12-30,8.85,8.90,8.85,8.90,600,8.90
2015-12-29,9.19,9.19,9.19,9.19,000,9.19
2015-12-28,9.12,9.19,9.10,9.19,2700,9.19
2015-12-24,8.96,8.96,8.96,8.96,000,8.96
2015-12-23,8.97,8.97,8.96,8.96,1300,8.96
2015-12-22,8.81,8.84,8.77,8.84,1400,8.84
2015-12-21,8.85,8.85,8.85,8.85,100,8.85
2015-12-18,9.18,9.18,8.91,8.91,600,8.91
2015-12-17,9.37,9.48,9.37,9.48,800,9.48
2015-12-16,9.17,9.37,8.54,9.37,8100,9.37
2015-12-15,9.30,9.30,9.30,9.30,000,9.30
2015-12-14,9.29,9.30,9.29,9.30,500,9.30
2015-12-11,9.62,9.62,9.62,9.62,000,9.62
2015-12-10,9.84,9.84,9.62,9.62,2600,9.62
2015-12-09,9.97,10.00,9.93,9.93,13800,9.93
2015-12-08,9.59,9.76,9.57,9.75,50200,9.75
2015-12-07,9.90,9.91,9.90,9.91,2000,9.91
2015-12-04,9.96,9.96,9.86,9.92,1200,9.92
2015-12-03,10.07,10.07,10.07,10.07,100,10.07
2015-12-02,9.66,9.74,9.62,9.74,3800,9.74
2015-12-01,9.50,9.55,9.50,9.52,2000,9.52
2015-11-30,9.91,9.91,9.64,9.65,5100,9.65
2015-11-27,10.10,10.10,9.95,9.95,500,9.95
2015-11-25,10.33,10.33,10.29,10.29,900,10.29
2015-11-24,10.45,10.45,10.45,10.45,000,10.45
2015-11-23,10.61,10.61,10.45,10.45,800,10.45
2015-11-20,10.61,10.85,10.61,10.85,2600,10.85
2015-11-19,10.56,10.56,10.54,10.54,1000,10.54
2015-11-18,10.31,10.32,10.31,10.32,500,10.32
2015-11-17,10.01,10.02,9.99,10.02,2600,10.02
2015-11-16,9.88,10.01,9.88,10.01,800,10.01
2015-11-13,9.93,9.93,9.90,9.90,400,9.90
2015-11-12,10.06,10.14,10.06,10.14,400,10.14
2015-11-11,9.80,9.80,9.80,9.80,000,9.80
2015-11-10,9.80,9.80,9.80,9.80,100,9.80
2015-11-09,9.95,10.03,9.89,9.96,4400,9.96
2015-11-06,10.13,10.20,9.90,10.20,7800,10.20
2015-11-05,10.10,10.32,10.10,10.32,17500,10.32
2015-11-04,9.55,9.55,9.55,9.55,000,9.55
2015-11-03,9.55,9.55,9.55,9.55,000,9.55
2015-11-02,9.49,9.55,9.49,9.55,9800,9.55
2015-10-30,9.36,9.42,9.36,9.42,1400,9.42
2015-10-29,9.39,9.39,9.39,9.39,000,9.39
2015-10-28,9.65,9.65,9.39,9.39,700,9.39
2015-10-27,9.53,9.53,9.53,9.53,200,9.53
2015-10-26,9.67,9.67,9.67,9.67,000,9.67
2015-10-23,9.70,9.70,9.65,9.67,2500,9.67
2015-10-22,9.61,9.67,9.61,9.66,1200,9.66
2015-10-21,9.52,9.52,9.52,9.52,200,9.52
2015-10-20,9.68,9.68,9.68,9.68,000,9.68
2015-10-19,9.68,9.68,9.68,9.68,000,9.68
2015-10-16,9.68,9.68,9.68,9.68,000,9.68
2015-10-15,9.75,9.75,9.68,9.68,200,9.68
2015-10-14,9.69,9.69,9.68,9.68,800,9.68
2015-10-13,9.86,9.86,9.61,9.61,200,9.61
