Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,17.18,17.299999,17.139999,17.299999,4000,17.299999
2016-01-22,17.549999,17.549999,17.309999,17.309999,1200,17.309999
2016-01-21,16.860001,16.940001,16.809999,16.809999,800,16.809999
2016-01-20,17.040001,17.040001,17.040001,17.040001,700,17.040001
2016-01-19,18.129999,18.129999,17.799999,17.799999,2200,17.799999
2016-01-15,17.799999,17.799999,17.799999,17.799999,000,17.799999
2016-01-14,17.139999,18.49,17.09,17.799999,1000,17.799999
2016-01-13,18.379999,18.379999,17.60,17.60,1700,17.60
2016-01-12,18.379999,18.41,18.370001,18.41,4800,18.41
2016-01-11,18.26,18.26,18.26,18.26,300,18.26
2016-01-08,18.870001,18.870001,18.440001,18.440001,121100,18.440001
2016-01-07,18.549999,18.93,18.540001,18.90,3400,18.90
2016-01-06,19.559999,19.58,19.559999,19.58,2300,19.58
2016-01-05,19.83,19.83,19.82,19.82,200,19.82
2016-01-04,20.049999,21.200001,19.67,19.67,2800,19.67
2015-12-31,20.84,20.84,20.51,20.51,13600,20.51
2015-12-30,20.620001,20.620001,20.620001,20.620001,300,20.620001
2015-12-29,20.790001,20.790001,20.67,20.68,1800,20.68
2015-12-28,21.110001,21.110001,21.110001,21.110001,100,21.110001
2015-12-24,21.110001,21.110001,21.110001,21.110001,000,21.110001
2015-12-23,21.18,21.18,20.969999,21.110001,139800,21.110001
2015-12-22,20.74,20.799999,20.74,20.799999,600,20.637
2015-12-21,20.799999,20.799999,20.799999,20.799999,1300,20.637
2015-12-18,20.280001,20.280001,20.280001,20.280001,000,20.121076
2015-12-17,20.280001,20.280001,20.280001,20.280001,200,20.121076
2015-12-16,20.67,20.67,20.67,20.67,300,20.508019
2015-12-15,20.24,20.290001,20.24,20.290001,600,20.130998
2015-12-14,19.700001,19.700001,19.700001,19.700001,000,19.545621
2015-12-11,20.82,20.82,19.700001,19.700001,900,19.545621
2015-12-10,20.82,20.82,20.82,20.82,000,20.656843
2015-12-09,20.82,20.82,20.82,20.82,000,20.656843
2015-12-08,20.82,20.82,20.82,20.82,600,20.656843
2015-12-07,21.049999,21.049999,21.049999,21.049999,1100,20.88504
2015-12-04,21.49,21.49,21.25,21.42,12800,21.252142
2015-12-03,21.35,21.370001,21.059999,21.299999,24700,21.133081
2015-12-02,20.98,20.98,20.98,20.98,000,20.815589
2015-12-01,20.98,20.98,20.98,20.98,000,20.815589
2015-11-30,20.91,20.98,20.90,20.98,1500,20.815589
2015-11-27,20.98,21.049999,20.940001,21.049999,800,20.88504
2015-11-25,21.639999,21.639999,21.639999,21.639999,000,21.470417
2015-11-24,21.639999,21.639999,21.639999,21.639999,200,21.470417
2015-11-23,21.889999,21.889999,21.889999,21.889999,000,21.718458
2015-11-20,21.889999,21.889999,21.889999,21.889999,200,21.718458
2015-11-19,21.51,21.51,21.35,21.440001,400,21.271986
2015-11-18,21.290001,21.459999,21.26,21.459999,5800,21.291827
2015-11-17,21.59,21.59,21.59,21.59,000,21.42081
2015-11-16,21.59,21.59,21.59,21.59,000,21.42081
2015-11-13,21.59,21.59,21.59,21.59,000,21.42081
2015-11-12,21.59,21.59,21.59,21.59,200,21.42081
2015-11-11,21.309999,21.309999,21.309999,21.309999,000,21.143003
2015-11-10,21.309999,21.309999,21.309999,21.309999,600,21.143003
2015-11-09,21.709999,21.709999,21.43,21.50,4200,21.331515
2015-11-06,21.879999,21.889999,21.85,21.860001,800,21.688694
2015-11-05,22.040001,22.280001,22.040001,22.280001,2700,22.105403
2015-11-04,22.299999,22.309999,21.790001,21.790001,200800,21.619243
2015-11-03,21.92,21.969999,21.90,21.969999,5900,21.797831
2015-11-02,21.68,21.68,21.48,21.559999,1900,21.391044
2015-10-30,21.360001,21.360001,21.360001,21.360001,000,21.192613
2015-10-29,21.360001,21.360001,21.360001,21.360001,000,21.192613
2015-10-28,21.60,21.60,21.360001,21.360001,500,21.192613
2015-10-27,21.790001,21.790001,21.790001,21.790001,200,21.619243
2015-10-26,22.059999,22.059999,21.91,21.91,600,21.738302
2015-10-23,22.24,22.24,22.24,22.24,27500,22.065716
2015-10-22,22.059999,22.059999,21.879999,21.879999,200,21.708536
2015-10-21,21.48,21.48,21.34,21.43,700,21.262064
2015-10-20,21.82,21.82,21.82,21.82,400,21.649007
2015-10-19,21.82,21.82,21.82,21.82,200,21.649007
2015-10-16,22.190001,22.219999,22.190001,22.219999,200,22.045872
2015-10-15,22.18,22.24,22.129999,22.209999,6900,22.03595
2015-10-14,21.370001,21.370001,21.370001,21.370001,000,21.202534
2015-10-13,21.370001,21.370001,21.370001,21.370001,100,21.202534
2015-10-12,21.190001,21.190001,21.190001,21.190001,000,21.023945
2015-10-09,21.59,21.59,21.190001,21.190001,3700,21.023945
2015-10-08,21.200001,21.26,21.200001,21.26,7500,21.093396
2015-10-07,21.450001,21.450001,21.450001,21.450001,200,21.281907
2015-10-06,20.879999,20.879999,20.700001,20.700001,1700,20.537785
2015-10-05,20.99,21.129999,20.99,21.129999,162000,20.964413
2015-10-02,20.98,21.00,20.98,21.00,4800,20.835433
2015-10-01,19.83,19.889999,19.83,19.889999,300,19.734131
2015-09-30,19.780001,19.940001,19.780001,19.940001,3200,19.78374
2015-09-29,19.209999,19.209999,19.209999,19.209999,300,19.05946
2015-09-28,19.110001,19.27,19.07,19.27,700,19.118991
2015-09-25,19.809999,19.879999,19.68,19.690001,700,19.535699
2015-09-24,20.07,20.07,20.07,20.07,000,19.912721
2015-09-23,20.07,20.07,20.07,20.07,600,19.912721
2015-09-22,20.219999,20.219999,20.219999,20.219999,000,19.682538
2015-09-21,20.219999,20.219999,20.219999,20.219999,000,19.682538
2015-09-18,20.59,20.59,20.219999,20.219999,2600,19.682538
2015-09-17,20.620001,20.620001,20.620001,20.620001,000,20.071907
2015-09-16,20.379999,20.790001,20.379999,20.620001,1800,20.071907
2015-09-15,19.92,20.25,19.92,20.23,1700,19.692272
2015-09-14,20.15,20.15,19.870001,19.870001,700,19.341842
2015-09-11,20.33,20.33,20.33,20.33,300,19.789614
2015-09-10,19.809999,19.809999,19.809999,19.809999,000,19.283436
2015-09-09,20.450001,20.450001,19.809999,19.809999,2000,19.283436
2015-09-08,19.870001,20.00,19.77,20.00,800,19.468386
2015-09-04,18.59,18.59,18.59,18.59,300,18.095865
2015-09-03,19.43,19.43,19.309999,19.309999,117800,18.796726
2015-09-02,18.870001,18.870001,18.870001,18.870001,100,18.368423
2015-09-01,19.139999,19.139999,18.549999,18.620001,8700,18.125068
2015-08-31,19.75,19.75,19.75,19.75,400,19.225031
2015-08-28,20.42,20.440001,20.42,20.440001,5200,19.896691
2015-08-27,19.799999,20.389999,19.799999,19.959999,2100,19.429449
2015-08-26,18.99,18.99,18.469999,18.84,5800,18.33922
2015-08-25,19.209999,19.530001,18.790001,18.790001,3400,18.29055
2015-08-24,17.43,18.35,17.43,18.00,2500,17.521548
2015-08-21,20.57,20.57,20.139999,20.370001,3000,19.828552
2015-08-20,21.030001,21.09,20.85,20.969999,7300,20.412602
2015-08-19,21.52,21.68,21.52,21.68,400,21.103731
2015-08-18,22.469999,22.469999,22.049999,22.07,71100,21.483364
2015-08-17,22.76,23.00,22.76,23.00,6900,22.388644
2015-08-14,23.10,23.10,23.10,23.10,400,22.485986
2015-08-13,23.23,23.23,22.879999,22.98,17300,22.369175
2015-08-12,22.889999,22.889999,22.889999,22.889999,300,22.281567
2015-08-11,23.120001,23.120001,23.120001,23.120001,300,22.505455
2015-08-10,23.90,23.90,23.60,23.60,49100,22.972696
2015-08-07,22.65,22.969999,22.629999,22.969999,1000,22.359441
2015-08-06,22.40,22.719999,22.40,22.719999,1500,22.116086
2015-08-05,22.73,22.959999,22.73,22.93,130600,22.320505
2015-08-04,22.709999,22.709999,22.629999,22.629999,1100,22.028478
2015-08-03,22.59,22.59,22.139999,22.139999,200,21.551503
2015-07-31,23.07,23.07,23.07,23.07,000,22.456783
2015-07-30,22.90,23.07,22.889999,23.07,5900,22.456783
2015-07-29,22.99,23.42,22.99,23.309999,20700,22.690404
2015-07-28,22.23,22.65,22.23,22.450001,24900,21.853264
2015-07-27,22.610001,22.610001,21.790001,22.15,14300,21.561237
2015-07-24,24.299999,24.299999,23.58,23.629999,4200,23.001897
2015-07-23,23.940001,24.870001,23.85,23.85,47200,23.216051
2015-07-22,24.059999,24.110001,24.059999,24.110001,900,23.46914
2015-07-21,24.01,24.42,24.01,24.42,900,23.7709
2015-07-20,24.030001,24.41,24.02,24.34,4400,23.693026
