Date,Open,High,Low,Close,Volume,Adj Close
2001-08-02,7.92999,8.00001,7.86,7.89999,192800,2.63333
2001-08-01,7.82001,7.94001,7.74999,7.94001,40400,2.64667
2001-07-31,7.88001,8.00001,7.82001,7.83999,58400,2.61333
2001-07-30,7.80,7.95,7.80,7.88001,52200,2.62667
2001-07-27,7.56,7.85001,7.56,7.80999,43400,2.60333
2001-07-26,7.53,7.74999,7.40001,7.73001,61800,2.57667
2001-07-25,7.70001,7.85001,7.37001,7.53999,131600,2.51333
2001-07-24,7.95,7.95999,7.74999,7.76001,123800,2.58667
2001-07-23,8.19999,8.25,7.95,7.95,105000,2.65
2001-07-20,8.16,8.28999,8.15001,8.15001,140400,2.71667
2001-07-19,8.16,8.16999,8.00001,8.16999,1090400,2.72333
2001-07-18,8.12001,8.12001,7.98,8.01,330000,2.67
2001-07-17,7.70001,8.12001,7.70001,8.09001,318000,2.69667
2001-07-16,7.14999,7.74999,7.14999,7.59999,294600,2.53333
2001-07-13,7.19001,7.20,7.08999,7.14999,246600,2.38333
2001-07-12,6.78999,7.14999,6.78999,7.14999,135800,2.38333
2001-07-11,6.65001,6.74001,6.63,6.69999,105800,2.23333
2001-07-10,6.48,6.72999,6.48,6.65001,127200,2.21667
2001-07-09,6.45,6.48999,6.45,6.48,93600,2.16
2001-07-06,6.45,6.48,6.45,6.48,7400,2.16
2001-07-05,6.48,6.48,6.45,6.45,12800,2.15
2001-07-03,6.48,6.48,6.45,6.45,11400,2.15
2001-07-02,6.36,6.59001,6.24999,6.42999,17600,2.14333
2001-06-29,6.71001,6.86001,6.60,6.80001,52800,2.26667
2001-06-28,6.80001,6.89001,6.69999,6.80001,45000,2.26667
2001-06-27,6.81,7.02,6.81,6.84999,30800,2.28333
2001-06-26,6.89001,6.89001,6.81,6.81,33000,2.27
2001-06-25,6.81999,6.90,6.81,6.81,9600,2.27
2001-06-22,6.92001,6.92001,6.81,6.81,23600,2.27
2001-06-21,6.98001,6.98001,6.80001,6.92001,344000,2.30667
2001-06-20,6.69999,6.95001,6.69999,6.95001,9200,2.31667
2001-06-19,6.80001,6.80001,6.69999,6.69999,5600,2.23333
2001-06-18,6.92001,6.92001,6.69999,6.69999,3800,2.23333
2001-06-15,6.90999,6.90999,6.39999,6.90,164000,2.30
2001-06-14,7.08,7.14,6.90,6.90,98600,2.30
2001-06-13,7.17,7.17,7.11,7.11,39200,2.37
2001-06-12,7.29999,7.29999,7.14999,7.17,121200,2.39
2001-06-11,7.31001,7.53999,7.29999,7.29999,22400,2.43333
2001-06-08,7.40001,7.40001,7.29999,7.29999,51600,2.43333
2001-06-07,7.40001,7.46001,7.35,7.35,36600,2.45
2001-06-06,7.44999,7.46001,7.38999,7.41,59400,2.47
2001-06-05,7.56999,7.56999,7.41999,7.46001,118800,2.48667
2001-06-04,7.40001,7.71,7.38,7.46001,92600,2.48667
2001-06-01,7.37001,7.47,7.35,7.40001,180800,2.46667
2001-05-31,7.31001,7.44,7.31001,7.37001,31800,2.45667
2001-05-30,7.29999,7.35,7.29999,7.31001,15200,2.43667
2001-05-29,7.34001,7.35,7.26,7.26,9000,2.42
2001-05-25,7.35999,7.35999,7.23999,7.35,57200,2.45
2001-05-24,7.25001,7.29999,7.08999,7.29999,73800,2.43333
2001-05-23,6.90999,7.41,6.90999,7.35,223400,2.45
2001-05-22,6.98001,6.98001,6.84999,6.90999,33200,2.30333
2001-05-21,7.05,7.05,6.80001,6.98001,86600,2.32667
2001-05-18,7.02999,7.04001,6.86001,6.87,16200,2.29
2001-05-17,6.99,6.99,6.86001,6.87999,26000,2.29333
2001-05-16,6.96999,6.96999,6.84999,6.86001,7200,2.28667
2001-05-15,6.96999,7.01001,6.84999,6.84999,107600,2.28333
2001-05-14,6.98001,7.02,6.96999,6.96999,17000,2.32333
2001-05-11,6.99999,6.99999,6.90,6.96999,166200,2.32333
2001-05-10,6.78999,7.02,6.78999,7.02,94800,2.34
2001-05-09,6.78999,6.99,6.78999,6.78999,35400,2.26333
2001-05-08,6.93999,6.93999,6.78999,6.78999,47400,2.26333
2001-05-07,6.99,6.99999,6.81,6.95001,30800,2.31667
2001-05-04,6.89001,7.02999,6.80001,6.99999,50600,2.33333
2001-05-03,6.86001,6.86001,6.80001,6.80001,6600,2.26667
2001-05-02,6.57,6.86001,6.54999,6.81999,95600,2.27333
2001-05-01,6.84,6.84,6.65001,6.69999,21600,2.23333
2001-04-30,6.92001,6.93,6.50001,6.65001,36000,2.21667
2001-04-27,6.65001,6.75,6.45,6.53001,166800,2.17667
2001-04-26,6.21,6.72,6.20001,6.51,120200,2.17
2001-04-25,5.85,6.24999,5.84001,6.06999,255600,2.02333
2001-04-24,5.63001,5.75001,5.37999,5.70999,369600,1.90333
2001-04-23,5.40,5.40,5.19999,5.19999,60600,1.73333
2001-04-20,5.30001,5.34,5.30001,5.30001,37200,1.76667
2001-04-19,5.49,5.54001,5.28,5.28,193200,1.76
2001-04-18,5.33001,5.48001,5.25,5.45001,151800,1.81667
2001-04-17,5.30001,5.34999,5.24001,5.25,85400,1.75
2001-04-16,5.45001,5.63001,5.01999,5.30001,278400,1.76667
2001-04-12,5.39001,5.42001,5.34999,5.34999,61800,1.78333
2001-04-11,5.39001,5.40,5.34,5.37,103200,1.79
2001-04-10,5.24001,5.30001,5.15001,5.30001,93200,1.76667
2001-04-09,5.19,5.19,5.06001,5.19,18600,1.73
2001-04-06,5.00001,5.68749,5.00001,5.37501,152400,1.79167
2001-04-05,5.03124,5.0625,4.93749,5.0625,41600,1.6875
2001-04-04,5.00001,5.0625,5.00001,5.03124,54000,1.67708
2001-04-03,4.93749,4.93749,4.74999,4.93749,68000,1.64583
2001-04-02,5.01564,5.0625,4.93749,4.93749,114200,1.64583
2001-03-30,4.98438,5.00001,4.96875,4.96875,111000,1.65625
2001-03-29,5.00001,5.00001,4.93749,5.00001,261800,1.66667
2001-03-28,4.96875,5.00001,4.875,5.00001,201800,1.66667
2001-03-27,4.875,5.12499,4.875,5.00001,113600,1.66667
2001-03-26,5.00001,5.0625,4.875,4.93749,52800,1.64583
2001-03-23,4.875,5.00001,4.81251,4.875,369800,1.625
2001-03-22,4.81251,5.00001,4.74999,5.00001,439400,1.66667
2001-03-21,4.875,4.875,4.74999,4.875,92400,1.625
2001-03-20,4.81251,5.00001,4.81251,4.93749,82400,1.64583
2001-03-19,4.62501,4.875,4.43751,4.62501,51000,1.54167
2001-03-16,4.95312,4.96875,4.6875,4.81251,137400,1.60417
2001-03-15,5.12499,5.12499,4.93749,4.96875,86600,1.65625
2001-03-14,4.93749,5.12499,4.875,5.00001,188400,1.66667
2001-03-13,4.74999,5.00001,4.6875,4.84374,132000,1.61458
2001-03-12,4.74999,4.93749,4.6875,4.6875,107000,1.5625
2001-03-09,5.03124,5.25,4.56249,5.00001,456200,1.66667
2001-03-08,4.6875,5.0625,4.6875,5.0625,171800,1.6875
2001-03-07,4.70313,4.81251,4.62501,4.81251,194600,1.60417
2001-03-06,4.64064,4.74999,4.62501,4.74999,93200,1.58333
2001-03-05,4.67187,4.875,4.67187,4.74999,61200,1.58333
2001-03-02,4.93749,4.96875,4.62501,4.6875,265800,1.5625
2001-03-01,4.96875,5.49999,4.51563,4.74999,534000,1.58333
2001-02-28,4.125,4.3125,4.06251,4.18749,216200,1.39583
2001-02-27,3.89064,4.125,3.89064,3.99999,216800,1.33333
2001-02-26,3.70314,3.9375,3.70314,3.87501,41000,1.29167
2001-02-23,3.90624,3.9375,3.87501,3.90624,102600,1.30208
2001-02-22,3.90624,3.99999,3.90624,3.9375,55800,1.3125
2001-02-21,3.90624,3.9375,3.87501,3.87501,39800,1.29167
2001-02-20,3.9375,3.9375,3.75,3.87501,68000,1.29167
2001-02-16,3.89064,3.9375,3.81249,3.81249,90200,1.27083
2001-02-15,3.87501,3.9375,3.87501,3.87501,57800,1.29167
2001-02-14,3.87501,3.9375,3.81249,3.87501,120000,1.29167
2001-02-13,3.75,3.81249,3.75,3.81249,33000,1.27083
2001-02-12,3.75,3.9375,3.75,3.87501,77400,1.29167
2001-02-09,3.9375,3.9375,3.75,3.81249,55200,1.27083
2001-02-08,3.75,4.125,3.75,3.9375,37800,1.3125
2001-02-07,3.75,4.18749,3.62499,3.99999,49400,1.33333
2001-02-06,3.75,3.87501,3.5625,3.87501,12200,1.29167
2001-02-05,3.87501,3.87501,3.75,3.75,600,1.25
2001-02-02,4.09374,4.09374,3.68751,3.87501,28800,1.29167
2001-02-01,3.24999,3.96876,3.24999,3.75,10200,1.25
2001-01-31,3.75,4.06251,3.12501,3.24999,50000,1.08333
2001-01-30,3.75,3.75,3.5625,3.68751,34400,1.22917
2001-01-29,3.99999,4.125,3.75,3.75,54600,1.25
2001-01-26,3.87501,3.99999,3.81249,3.9375,110000,1.3125
2001-01-25,3.62499,3.87501,3.5625,3.81249,62400,1.27083
2001-01-24,3.375,3.81249,3.375,3.75,65000,1.25
2001-01-23,3.24999,3.50001,3.24999,3.50001,127800,1.16667
2001-01-22,3.32814,3.32814,3.24999,3.24999,12800,1.08333
2001-01-19,3.23436,3.34374,3.12501,3.34374,18600,1.11458
2001-01-18,3.24999,3.24999,3.24999,3.24999,4400,1.08333
2001-01-17,3.06249,3.34374,3.06249,3.34374,2400,1.11458
2001-01-16,3.00,3.24999,3.00,3.24999,27600,1.08333
2001-01-12,2.8125,3.24999,2.8125,3.06249,88200,1.02083
2001-01-11,2.49999,2.75001,2.49999,2.75001,11600,0.91667
2001-01-10,2.625,2.75001,2.56251,2.56251,13800,0.85417
2001-01-09,2.625,2.8125,2.49999,2.625,91200,0.875
2001-01-08,2.4375,2.68749,2.4375,2.56251,33800,0.85417
2001-01-05,2.56251,2.56251,2.37501,2.37501,32000,0.79167
2001-01-04,2.4375,2.49999,2.18751,2.37501,78000,0.79167
2001-01-03,2.25,2.4375,2.25,2.25,18600,0.75
2001-01-02,2.28126,2.28126,2.18751,2.18751,15000,0.72917
2000-12-29,2.20314,2.40624,2.0625,2.25,48200,0.75
2000-12-28,2.34375,2.49999,2.03124,2.49999,189200,0.83333
2000-12-27,2.18751,2.23437,2.12499,2.15625,238800,0.71875
2000-12-26,2.18751,2.25,2.0625,2.12499,234600,0.70833
2000-12-22,2.0625,2.21874,2.00001,2.20314,167000,0.73438
2000-12-21,2.0625,2.25,2.0625,2.0625,94800,0.6875
2000-12-20,2.00001,2.12499,2.00001,2.0625,86600,0.6875
2000-12-19,2.0625,2.25,2.00001,2.12499,57800,0.70833
2000-12-18,2.31249,2.31249,2.0625,2.0625,187200,0.6875
2000-12-15,2.03124,2.37501,2.00001,2.00001,10400,0.66667
2000-12-14,2.0625,2.25,2.00001,2.0625,55200,0.6875
2000-12-13,2.00001,2.18751,1.74999,2.12499,64200,0.70833
2000-12-12,2.0625,2.21874,2.0625,2.09376,44400,0.69792
2000-12-11,2.25,2.37501,1.875,2.00001,91400,0.66667
2000-12-08,2.34375,2.56251,2.18751,2.25,67400,0.75
2000-12-07,2.49999,2.56251,2.25,2.25,40200,0.75
2000-12-06,2.85936,2.87499,2.49999,2.49999,97400,0.83333
2000-12-05,2.68749,2.87499,2.56251,2.68749,78600,0.89583
2000-12-04,2.87499,3.00,2.49999,2.625,70200,0.875
2000-12-01,2.82813,3.00,2.68749,2.8125,81600,0.9375
2000-11-30,2.84376,3.00,2.56251,2.8125,231200,0.9375
2000-11-29,2.625,3.00,2.625,2.87499,222800,0.95833
2000-11-28,2.49999,2.625,2.37501,2.56251,207200,0.85417
2000-11-27,2.12499,2.56251,2.00001,2.46876,479600,0.82292
2000-11-24,2.12499,2.25,2.00001,2.00001,103200,0.66667
2000-11-22,2.03124,2.12499,2.00001,2.0625,173400,0.6875
2000-11-21,2.00001,2.12499,1.93749,2.12499,234600,0.70833
2000-11-20,2.00001,2.00001,1.90626,2.00001,152400,0.66667
2000-11-17,2.00001,2.00001,1.93749,2.00001,141800,0.66667
2000-11-16,1.93749,2.00001,1.93749,2.00001,21200,0.66667
2000-11-15,2.00001,2.00001,1.65624,1.65624,1405400,0.55208
2000-11-14,2.00001,2.00001,1.81251,2.00001,208800,0.66667
2000-11-13,2.25,2.25,1.93749,1.93749,192200,0.64583
2000-11-10,2.09376,2.18751,2.03124,2.0625,91400,0.6875
2000-11-09,2.4375,2.4375,2.00001,2.12499,87000,0.70833
2000-11-08,2.18751,2.18751,2.18751,2.18751,22200,0.72917
2000-11-07,2.28126,2.31249,2.21874,2.21874,96800,0.73958
2000-11-06,2.4375,2.49999,2.28126,2.31249,118800,0.77083
2000-11-03,2.49999,2.56251,2.18751,2.18751,161400,0.72917
2000-11-02,2.56251,2.59374,2.49999,2.49999,98000,0.83333
2000-11-01,2.49999,2.56251,2.46876,2.56251,43200,0.85417
2000-10-31,2.625,2.625,2.37501,2.4375,18600,0.8125
2000-10-30,2.56251,2.56251,2.49999,2.49999,149000,0.83333
2000-10-27,2.56251,2.56251,2.37501,2.49999,108000,0.83333
2000-10-26,2.4375,2.625,2.37501,2.37501,177800,0.79167
2000-10-25,2.49999,2.56251,2.37501,2.49999,100200,0.83333
2000-10-24,2.32812,2.37501,2.31249,2.37501,25400,0.79167
2000-10-23,2.40624,2.4375,2.31249,2.37501,99800,0.79167
2000-10-20,2.4375,2.4375,2.37501,2.37501,92400,0.79167
2000-10-19,2.4375,2.4375,2.40624,2.4375,38000,0.8125
2000-10-18,2.4375,2.4375,2.37501,2.4375,54000,0.8125
2000-10-17,2.49999,2.49999,2.31249,2.31249,17600,0.77083
2000-10-16,2.37501,2.37501,2.37501,2.37501,1400,0.79167
2000-10-13,2.31249,2.49999,2.31249,2.37501,24000,0.79167
2000-10-12,2.49999,2.49999,2.25,2.25,111600,0.75
2000-10-11,2.49999,2.93751,2.25,2.625,85800,0.875
2000-10-10,2.4375,2.4375,2.25,2.25,78000,0.75
2000-10-09,2.37501,2.49999,2.37501,2.37501,5400,0.79167
2000-10-06,2.49999,2.49999,2.31249,2.31249,7800,0.77083
2000-10-05,2.4375,2.4375,2.37501,2.4375,15200,0.8125
2000-10-04,2.25,2.49999,2.25,2.49999,27000,0.83333
2000-10-03,2.25,2.31249,2.18751,2.25,178200,0.75
2000-10-02,2.75001,2.75001,2.18751,2.18751,30200,0.72917
2000-09-29,2.25,2.8125,2.03124,2.4375,158000,0.8125
2000-09-28,2.53125,2.53125,2.00001,2.00001,164000,0.66667
2000-09-27,2.68749,2.68749,2.53125,2.53125,4400,0.84375
2000-09-26,2.93751,2.93751,2.56251,2.56251,9600,0.85417
2000-09-25,2.68749,2.75001,2.625,2.625,19200,0.875
2000-09-22,2.93751,2.93751,2.625,2.75001,30200,0.91667
2000-09-21,2.75001,2.93751,2.625,2.93751,51800,0.97917
2000-09-20,2.75001,2.75001,2.49999,2.49999,42000,0.83333
2000-09-19,2.75001,2.75001,2.75001,2.75001,11000,0.91667
2000-09-18,2.8125,2.8125,2.75001,2.75001,2400,0.91667
2000-09-15,2.87499,2.87499,2.87499,2.87499,200,0.95833
2000-09-14,2.8125,2.8125,2.625,2.625,72800,0.875
2000-09-13,2.75001,2.75001,2.75001,2.75001,36200,0.91667
2000-09-12,3.00,3.00,2.625,2.625,44000,0.875
2000-09-11,2.98437,2.98437,2.75001,2.75001,16200,0.91667
2000-09-08,2.75001,2.87499,2.75001,2.87499,3200,0.95833
2000-09-07,2.75001,3.00,2.75001,3.00,56400,1.00
2000-09-06,2.68749,2.68749,2.68749,2.68749,7200,0.89583
2000-09-05,2.75001,2.75001,2.68749,2.68749,32400,0.89583
2000-09-01,2.87499,3.06249,2.75001,2.93751,48800,0.97917
2000-08-31,2.93751,3.00,2.68749,2.68749,32600,0.89583
2000-08-30,2.90625,3.00,2.68749,2.68749,38000,0.89583
2000-08-29,2.93751,3.00,2.8125,2.8125,39200,0.9375
2000-08-28,3.03126,3.03126,2.93751,2.93751,22800,0.97917
2000-08-25,2.93751,3.00,2.93751,2.96874,30600,0.98958
2000-08-24,2.93751,2.93751,2.93751,2.93751,600,0.97917
2000-08-23,2.93751,3.06249,2.87499,2.93751,14000,0.97917
2000-08-22,2.93751,3.06249,2.93751,3.06249,51600,1.02083
2000-08-21,2.93751,3.06249,2.93751,3.06249,2400,1.02083
2000-08-18,2.93751,3.06249,2.93751,2.93751,1200,0.97917
2000-08-17,2.93751,3.06249,2.93751,3.06249,5600,1.02083
2000-08-16,3.00,3.00,3.00,3.00,4200,1.00
2000-08-15,3.00,3.00,2.93751,2.93751,74400,0.97917
2000-08-14,2.95314,3.01563,2.95314,3.00,18200,1.00
2000-08-11,3.00,3.00,2.93751,2.93751,22400,0.97917
2000-08-10,2.93751,3.03126,2.93751,3.00,8000,1.00
2000-08-09,3.00,3.00,3.00,3.00,91200,1.00
2000-08-08,3.03126,3.03126,3.00,3.03126,202800,1.01042
2000-08-07,3.01563,3.01563,2.93751,3.00,28200,1.00
2000-08-04,3.00,3.00,3.00,3.00,15800,1.00
2000-08-03,3.06249,3.06249,3.06249,3.06249,6000,1.02083
2000-08-02,3.04686,3.04686,3.00,3.00,59600,1.00
2000-08-01,3.00,3.09375,3.00,3.00,12000,1.00
2000-07-31,3.07812,3.07812,3.03126,3.03126,43800,1.01042
2000-07-28,3.12501,3.12501,3.00,3.06249,53400,1.02083
2000-07-27,3.12501,3.12501,3.12501,3.12501,6000,1.04167
2000-07-26,3.12501,3.24999,3.00,3.12501,44000,1.04167
