Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,23.191999,23.191999,23.191999,23.191999,000,23.191999
2016-01-22,23.299999,23.299999,23.191999,23.191999,900,23.191999
2016-01-21,23.26,23.26,23.26,23.26,000,23.26
2016-01-20,23.15,23.26,23.15,23.26,300,23.23
2016-01-19,23.440001,23.440001,23.440001,23.440001,1100,23.409768
2016-01-15,23.604,23.604,23.604,23.604,000,23.573556
2016-01-14,23.639999,23.639999,23.604,23.604,1000,23.573556
2016-01-13,23.860001,23.860001,23.85,23.85,1600,23.819239
2016-01-12,23.93,23.93,23.93,23.93,000,23.899136
2016-01-11,23.92,23.940001,23.91,23.93,1400,23.899136
2016-01-08,24.110001,24.110001,23.940001,23.940001,200,23.909123
2016-01-07,24.33,24.34,24.18,24.18,4100,24.148813
2016-01-06,24.50,27.91,24.42,24.52,3000,24.488375
2016-01-05,24.50,24.50,24.50,24.50,800,24.4684
2016-01-04,24.58,24.58,24.50,24.50,1000,24.4684
2015-12-31,24.549999,24.65,24.549999,24.549999,1400,24.518335
2015-12-30,24.51,24.51,24.51,24.51,000,24.478388
2015-12-29,24.51,24.51,24.51,24.51,000,24.478388
2015-12-28,24.51,24.51,24.51,24.51,000,24.478388
2015-12-24,24.51,24.51,24.51,24.51,000,24.478388
2015-12-23,24.51,24.51,24.51,24.51,000,24.478388
2015-12-22,24.440001,24.51,24.440001,24.51,400,24.333575
2015-12-21,24.43,24.530001,24.43,24.475,1800,24.298827
2015-12-18,24.700001,24.700001,24.52,24.700001,1000,24.522208
2015-12-17,24.84,25.73,24.83,25.73,1000,25.544793
2015-12-16,24.84,24.84,24.84,24.84,100,24.661199
2015-12-15,24.77,24.77,24.77,24.77,15000,24.591704
2015-12-14,24.77,24.77,24.77,24.77,000,24.591704
2015-12-11,24.790001,24.790001,24.610001,24.77,2100,24.591704
2015-12-10,24.940001,24.940001,24.75,24.75,2200,24.571847
2015-12-09,24.938,24.938,24.938,24.938,000,24.758494
2015-12-08,24.938,24.938,24.938,24.938,000,24.758494
2015-12-07,25.040001,25.07,24.938,24.938,1600,24.758494
2015-12-04,24.93,24.950001,24.93,24.940001,5000,24.76048
2015-12-03,25.030001,25.030001,25.02,25.02,900,24.839904
2015-12-02,25.190001,25.190001,25.18,25.18,800,24.998752
2015-12-01,25.040001,25.040001,25.040001,25.040001,000,24.859761
2015-11-30,25.040001,25.040001,25.040001,25.040001,900,24.859761
2015-11-27,25.01,25.01,25.01,25.01,000,24.829976
2015-11-25,25.139999,25.139999,25.00,25.01,300,24.829976
2015-11-24,24.940001,24.940001,24.940001,24.940001,100,24.76048
2015-11-23,25.08,25.08,25.08,25.08,000,24.899472
2015-11-20,25.08,25.08,25.08,25.08,300,24.899472
2015-11-19,25.923,25.923,25.923,25.923,5000,25.736404
2015-11-18,25.923,25.923,25.923,25.923,000,25.736404
2015-11-17,25.07,25.923,25.07,25.923,300,25.736404
2015-11-16,25.23,25.23,25.23,25.23,000,25.048392
2015-11-13,25.219999,25.23,25.059999,25.23,900,25.048392
2015-11-12,25.10,25.10,25.10,25.10,100,24.919328
2015-11-11,25.24,25.24,25.24,25.24,000,25.05832
2015-11-10,25.24,25.24,25.24,25.24,000,25.05832
2015-11-09,25.24,25.24,25.24,25.24,000,25.05832
2015-11-06,25.24,25.24,25.24,25.24,1000,25.05832
2015-11-05,25.190001,25.190001,25.190001,25.190001,000,25.008681
2015-11-04,25.139999,25.190001,25.139999,25.190001,200,25.008681
