Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,16.110001,16.17,15.95,15.95,76500,15.95
2016-01-22,16.139999,16.25,16.129999,16.25,45300,16.25
2016-01-21,15.69,15.87,15.59,15.72,39200,15.72
2016-01-20,15.66,15.82,15.39,15.72,59500,15.72
2016-01-19,16.190001,16.209999,15.94,16.030001,85900,16.030001
2016-01-15,15.97,16.02,15.76,15.89,44700,15.89
2016-01-14,16.469999,16.67,16.360001,16.60,46300,16.60
2016-01-13,16.799999,16.799999,16.360001,16.40,37500,16.40
2016-01-12,16.77,16.77,16.469999,16.610001,366400,16.610001
2016-01-11,16.73,16.73,16.389999,16.530001,83900,16.530001
2016-01-08,16.950001,16.950001,16.65,16.65,97000,16.65
2016-01-07,16.790001,17.059999,16.790001,16.809999,160000,16.809999
2016-01-06,17.27,17.40,17.26,17.309999,255600,17.309999
2016-01-05,17.629999,17.629999,17.540001,17.559999,24700,17.559999
2016-01-04,17.48,17.57,17.379999,17.50,75600,17.50
2015-12-31,17.93,18.07,17.93,17.969999,93600,17.969999
2015-12-30,18.209999,18.209999,17.969999,17.969999,200400,17.969999
2015-12-29,18.309999,18.360001,18.27,18.290001,124800,18.290001
2015-12-28,18.309999,18.309999,18.200001,18.280001,143500,18.280001
2015-12-24,18.459999,18.459999,18.360001,18.42,55600,18.42
2015-12-23,18.26,18.450001,18.26,18.450001,57700,18.450001
2015-12-22,17.950001,18.18,17.950001,18.139999,95100,18.102
2015-12-21,18.290001,18.290001,17.91,18.030001,130000,17.992231
2015-12-18,17.93,18.049999,17.860001,17.860001,66000,17.822587
2015-12-17,18.299999,18.299999,18.02,18.02,44600,17.982252
2015-12-16,17.879999,18.23,17.85,18.17,83600,18.131937
2015-12-15,17.799999,17.93,17.799999,17.870001,44000,17.832567
2015-12-14,17.370001,17.469999,17.27,17.469999,64400,17.433403
2015-12-11,17.42,17.42,17.200001,17.219999,69100,17.183927
2015-12-10,17.879999,17.92,17.700001,17.709999,40000,17.6729
2015-12-09,18.25,18.26,18.00,18.030001,43200,17.992231
