Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,4.95,5.03,4.66,4.86,23800,4.86
2016-01-22,4.96,5.15,4.54,4.98,51700,4.98
2016-01-21,4.97,5.18,4.81,4.86,68200,4.86
2016-01-20,4.59,4.98,4.50,4.93,97000,4.93
2016-01-19,5.23,5.23,4.515,4.67,105000,4.67
2016-01-15,5.50,5.52,5.17,5.21,82800,5.21
2016-01-14,5.52,5.82,5.50,5.61,42800,5.61
2016-01-13,5.62,5.64,5.45,5.51,42100,5.51
2016-01-12,5.75,6.05,5.28,5.65,127100,5.65
2016-01-11,5.73,5.74,5.46,5.71,60400,5.71
2016-01-08,6.01,6.09,5.65,5.68,65400,5.68
2016-01-07,6.39,6.39,5.95,6.01,103500,6.01
2016-01-06,6.59,7.01,6.49,6.49,26900,6.49
2016-01-05,6.69,6.82,6.51,6.64,63100,6.64
2016-01-04,6.68,6.73,6.425,6.69,85000,6.69
2015-12-31,6.98,7.00,6.725,6.79,77300,6.79
2015-12-30,6.92,7.04,6.835,6.96,36100,6.96
2015-12-29,7.06,7.18,6.82,6.91,45900,6.91
2015-12-28,7.01,7.08,6.74,7.03,134000,7.03
2015-12-24,6.90,7.039,6.90,6.94,29000,6.94
2015-12-23,6.78,6.94,6.54,6.91,41900,6.91
2015-12-22,6.55,7.03,6.52,6.85,118800,6.85
2015-12-21,6.42,6.65,6.34,6.60,84900,6.60
2015-12-18,6.17,6.53,6.03,6.36,115100,6.36
2015-12-17,6.04,6.48,6.04,6.21,68500,6.21
2015-12-16,6.01,6.42,5.92,6.38,66600,6.38
2015-12-15,6.12,6.68,5.90,6.04,69500,6.04
2015-12-14,6.56,6.64,6.185,6.30,72200,6.30
2015-12-11,6.64,6.76,6.51,6.57,69800,6.57
2015-12-10,6.36,6.68,6.35,6.65,48100,6.65
2015-12-09,6.37,6.38,6.25,6.34,57400,6.34
2015-12-08,6.15,6.39,5.81,6.37,67100,6.37
2015-12-07,6.16,6.27,6.00,6.22,161400,6.22
2015-12-04,6.11,6.25,6.00,6.15,55700,6.15
2015-12-03,6.14,6.31,5.94,6.11,45100,6.11
2015-12-02,6.06,6.253,5.82,6.16,73600,6.16
2015-12-01,6.27,6.34,5.93,6.21,56000,6.21
2015-11-30,6.42,6.45,6.30,6.35,111400,6.35
2015-11-27,6.57,6.57,6.299,6.40,52600,6.40
2015-11-25,6.19,6.62,6.11,6.54,95000,6.54
2015-11-24,6.15,6.33,6.10,6.18,107600,6.18
2015-11-23,6.25,6.54,6.11,6.21,138500,6.21
2015-11-20,6.01,6.37,5.97,6.24,168100,6.24
2015-11-19,5.89,6.10,5.77,5.99,127600,5.99
2015-11-18,5.961,6.00,5.62,6.00,72000,6.00
2015-11-17,5.74,6.21,5.40,5.98,183400,5.98
2015-11-16,6.49,6.636,5.95,6.11,142600,6.11
2015-11-13,6.09,6.56,6.09,6.53,187700,6.53
2015-11-12,6.79,7.077,6.10,6.14,161100,6.14
2015-11-11,6.97,6.97,6.66,6.81,312300,6.81
2015-11-10,7.10,7.11,6.78,6.93,155600,6.93
2015-11-09,7.32,7.33,7.01,7.04,124000,7.04
2015-11-06,7.66,7.73,7.21,7.34,162400,7.34
2015-11-05,7.96,8.00,7.53,7.65,106700,7.65
2015-11-04,8.29,8.486,7.81,7.93,98900,7.93
2015-11-03,8.28,8.50,7.95,8.24,116300,8.24
2015-11-02,7.90,8.32,7.68,8.04,175800,8.04
2015-10-30,7.84,7.98,7.67,7.87,68000,7.87
2015-10-29,7.90,8.135,7.63,7.82,97700,7.82
2015-10-28,7.56,7.936,7.56,7.91,152300,7.91
2015-10-27,7.78,7.78,7.33,7.51,130300,7.51
2015-10-26,7.36,7.79,7.36,7.72,52500,7.72
2015-10-23,7.43,7.846,7.22,7.36,44700,7.36
2015-10-22,7.32,7.744,6.922,7.31,60600,7.31
2015-10-21,7.83,8.044,7.28,7.29,62800,7.29
2015-10-20,7.67,8.01,7.50,7.83,51100,7.83
2015-10-19,7.76,7.99,7.54,7.74,64100,7.74
