Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,26.82,26.969999,26.76,26.780001,66000,26.780001
2016-01-22,26.780001,26.940001,26.74,26.91,123200,26.91
2016-01-21,25.93,26.34,25.82,26.25,71700,26.25
2016-01-20,26.17,26.209999,25.620001,26.059999,209200,26.059999
2016-01-19,26.700001,26.780001,26.42,26.629999,143400,26.629999
2016-01-15,26.639999,26.690001,26.27,26.379999,170600,26.379999
2016-01-14,27.34,27.530001,27.110001,27.40,144200,27.40
2016-01-13,28.02,28.02,27.27,27.43,74000,27.43
2016-01-12,28.01,28.059999,27.690001,27.959999,198700,27.959999
2016-01-11,27.93,27.950001,27.58,27.76,136400,27.76
2016-01-08,28.139999,28.27,27.67,27.709999,202700,27.709999
2016-01-07,28.02,28.200001,27.91,27.98,120900,27.98
2016-01-06,28.40,28.549999,28.27,28.42,167600,28.42
2016-01-05,28.90,28.90,28.629999,28.85,58100,28.85
2016-01-04,29.26,29.26,28.76,29.129999,394400,29.129999
2015-12-31,29.780001,29.780001,29.51,29.59,64000,29.59
2015-12-30,29.950001,30.00,29.860001,29.870001,104600,29.870001
2015-12-29,30.00,30.120001,29.92,30.08,77200,30.08
2015-12-28,29.719999,29.91,29.66,29.82,478000,29.82
2015-12-24,29.780001,30.059999,29.73,29.940001,20500,29.940001
2015-12-23,29.68,29.84,29.60,29.82,100800,29.82
2015-12-22,29.290001,29.549999,29.27,29.469999,109300,29.435
2015-12-21,29.43,29.66,29.10,29.290001,189000,29.255215
2015-12-18,29.23,29.40,29.08,29.139999,92300,29.105392
2015-12-17,29.66,29.77,29.32,29.360001,337300,29.325132
2015-12-16,29.459999,29.879999,29.379999,29.83,70800,29.794573
2015-12-15,29.26,29.389999,29.16,29.18,91100,29.145345
2015-12-14,28.98,29.08,28.75,29.00,273600,28.965559
2015-12-11,29.110001,29.23,28.950001,28.950001,55800,28.915619
2015-12-10,29.780001,29.780001,29.559999,29.58,40900,29.54487
2015-12-09,29.700001,29.98,29.549999,29.74,128500,29.70468
2015-12-08,29.68,29.709999,29.540001,29.68,48100,29.644752
2015-12-07,30.17,30.18,30.049999,30.15,51800,30.114193
2015-12-04,29.870001,30.280001,29.83,30.280001,74300,30.244039
2015-12-03,30.15,30.190001,29.809999,29.969999,76900,29.934406
2015-12-02,30.07,30.07,29.74,29.77,74800,29.734645
2015-12-01,30.139999,30.26,30.07,30.209999,61700,30.174121
2015-11-30,29.950001,30.030001,29.870001,29.950001,44800,29.914431
2015-11-27,29.700001,29.75,29.66,29.74,7500,29.70468
2015-11-25,29.549999,29.629999,29.450001,29.459999,133200,29.425012
2015-11-24,29.18,29.459999,29.16,29.40,64400,29.365084
