Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,16.549999,16.5501,16.549999,16.5501,900,16.5501
2016-01-22,16.76,16.84,16.75,16.809999,17900,16.809999
2016-01-21,16.90,16.940001,16.90,16.90,3100,16.90
2016-01-20,17.01,17.01,16.75,17.01,8900,17.01
2016-01-19,18.43,18.43,17.25,17.25,2700,17.25
2016-01-15,18.75,18.889999,18.108,18.627199,4300,18.627199
2016-01-14,18.76,18.76,18.66,18.66,2200,18.66
2016-01-13,18.75,18.780001,18.75,18.75,1400,18.75
2016-01-12,19.749901,19.75,18.639999,19.00,9500,19.00
2016-01-11,19.00,19.00,18.75,18.75,2000,18.75
2016-01-08,19.3528,19.3528,18.799999,18.799999,1100,18.799999
2016-01-07,19.5399,19.5399,18.76,18.799999,3500,18.799999
2016-01-06,19.629999,19.7199,19.629999,19.7199,400,19.7199
2016-01-05,19.370001,19.5499,19.370001,19.50,700,19.50
2016-01-04,18.75,18.75,18.75,18.75,000,18.75
2015-12-31,18.75,18.75,18.75,18.75,100,18.75
2015-12-30,19.75,19.889999,19.445,19.649099,1300,19.649099
2015-12-29,19.41,20.00,19.41,19.870001,3000,19.870001
2015-12-28,20.00,20.02,20.00,20.01,1400,20.01
2015-12-24,20.00,20.00,20.00,20.00,800,20.00
2015-12-23,19.969999,20.01,19.969999,20.01,1900,20.01
2015-12-22,18.639999,20.01,18.639999,19.90,3900,19.90
2015-12-21,18.93,21.73,18.8601,21.68,3100,21.52
2015-12-18,19.25,19.75,19.030001,19.75,17500,19.604244
2015-12-17,19.6999,19.73,19.450001,19.73,3100,19.584391
2015-12-16,19.7199,19.75,19.59,19.59,2800,19.445425
2015-12-15,18.8001,19.75,18.8001,19.75,32900,19.604244
2015-12-14,19.700001,19.75,18.809999,19.74,9200,19.594317
2015-12-11,19.950001,19.950001,18.879999,19.48,1100,19.336236
2015-12-10,19.43,19.43,19.43,19.43,200,19.286606
2015-12-09,19.518499,19.518499,18.58,18.58,300,18.442878
2015-12-08,20.51,20.549999,18.469999,20.00,6700,19.852399
2015-12-07,21.15,21.15,20.75,21.120001,2900,20.964134
2015-12-04,21.129999,21.129999,20.732201,20.999599,400,20.844621
2015-12-03,21.1999,21.200001,20.91,21.129999,2900,20.974058
2015-12-02,21.450001,21.450001,20.700001,20.700001,13500,20.547233
2015-12-01,20.499901,20.68,20.10,20.68,9000,20.52738
2015-11-30,20.290001,20.299999,20.120001,20.299999,3600,20.150184
2015-11-27,20.325001,20.325001,20.049999,20.049999,400,19.902029
2015-11-25,20.200001,20.200001,20.18,20.200001,4000,20.050923
2015-11-24,20.09,20.50,20.09,20.15,27200,20.001291
2015-11-23,20.200001,20.200001,20.200001,20.200001,500,20.050923
2015-11-20,20.0488,20.49,20.0488,20.49,18100,20.338782
2015-11-19,20.10,20.51,20.10,20.50,3900,20.348709
2015-11-18,19.870001,19.970699,19.870001,19.870001,2300,19.723359
2015-11-17,19.870001,19.99,19.83,19.99,4400,19.842472
2015-11-16,19.27,19.27,19.25,19.25,2700,19.107934
2015-11-13,20.239901,20.239901,20.239901,20.239901,400,20.090529
2015-11-12,18.799999,18.799999,18.799999,18.799999,000,18.661254
2015-11-11,18.799999,18.799999,18.799999,18.799999,000,18.661254
2015-11-10,18.65,18.90,18.65,18.799999,500,18.661254
2015-11-09,18.85,20.440001,18.0501,19.940001,9500,19.792842
2015-11-06,19.25,19.77,18.49,19.219999,28600,19.078154
2015-11-05,18.50,18.75,17.50,18.75,112600,18.611624
2015-11-04,20.700001,20.700001,20.700001,20.700001,000,20.547233
2015-11-03,20.90,20.90,20.50,20.700001,2500,20.547233
2015-11-02,20.50,20.50,20.50,20.50,000,20.348709
2015-10-30,20.51,20.51,20.120001,20.50,600,20.348709
2015-10-29,21.00,21.00,21.00,21.00,000,20.845019
2015-10-28,21.00,21.00,21.00,21.00,000,20.845019
2015-10-27,21.00,21.00,21.00,21.00,000,20.845019
2015-10-26,21.00,21.00,21.00,21.00,000,20.845019
2015-10-23,21.00,21.00,21.00,21.00,000,20.845019
2015-10-22,21.00,21.00,21.00,21.00,000,20.845019
2015-10-21,21.00,21.00,21.00,21.00,500,20.845019
2015-10-20,20.50,21.200001,20.50,21.00,8900,20.845019
2015-10-19,19.91,21.00,19.91,20.25,6000,20.100554
2015-10-16,19.15,19.15,19.15,19.15,000,19.008671
2015-10-15,19.15,19.15,19.15,19.15,000,19.008671
2015-10-14,19.15,19.15,19.15,19.15,000,19.008671
2015-10-13,19.15,19.15,19.15,19.15,000,19.008671
2015-10-12,19.15,19.15,19.15,19.15,000,19.008671
2015-10-09,19.15,19.15,19.15,19.15,000,19.008671
2015-10-08,19.15,19.15,19.15,19.15,000,19.008671
2015-10-07,19.15,19.15,19.15,19.15,000,19.008671
2015-10-06,19.15,19.15,19.15,19.15,000,19.008671
2015-10-05,19.15,19.15,19.15,19.15,000,19.008671
2015-10-02,19.15,19.15,19.15,19.15,000,19.008671
2015-10-01,19.15,19.15,19.15,19.15,000,19.008671
2015-09-30,19.15,19.15,19.15,19.15,000,19.008671
2015-09-29,19.15,19.15,19.15,19.15,000,19.008671
2015-09-28,19.15,19.15,19.15,19.15,000,19.008671
2015-09-25,19.15,19.15,19.15,19.15,000,19.008671
2015-09-24,19.15,19.15,19.15,19.15,000,19.008671
2015-09-23,19.10,19.15,19.10,19.15,3000,19.008671
2015-09-22,19.10,19.10,19.10,19.10,000,18.959041
2015-09-21,19.10,19.10,19.10,19.10,800,18.959041
2015-09-18,19.809999,19.809999,19.809999,19.809999,000,19.6638
2015-09-17,19.809999,19.809999,19.809999,19.809999,138600,19.6638
2015-09-16,19.90,19.90,19.90,19.90,100,19.594317
2015-09-15,19.10,19.10,19.10,19.10,000,18.806606
2015-09-14,19.10,19.10,19.10,19.10,400,18.806606
2015-09-11,19.25,19.25,19.25,19.25,000,18.954302
2015-09-10,19.25,19.25,19.25,19.25,200,18.954302
2015-09-09,19.90,20.00,19.75,20.00,500,19.692781
2015-09-08,19.75,19.809999,19.75,19.809999,82000,19.505699
2015-09-04,19.50,19.50,19.299999,19.299999,55300,19.003533
2015-09-03,19.25,19.25,19.25,19.25,900,18.954302
2015-09-02,18.90,18.90,18.90,18.90,400,18.609678
2015-09-01,19.25,19.25,19.25,19.25,200,18.954302
2015-08-31,19.00,19.00,19.00,19.00,000,18.708142
2015-08-28,19.00,19.00,19.00,19.00,000,18.708142
2015-08-27,19.00,19.00,19.00,19.00,000,18.708142
2015-08-26,19.00,19.00,19.00,19.00,000,18.708142
2015-08-25,19.00,19.00,19.00,19.00,2000,18.708142
2015-08-24,18.75,18.75,18.75,18.75,000,18.461982
2015-08-21,18.75,18.75,18.75,18.75,000,18.461982
2015-08-20,18.75,18.75,18.75,18.75,1000,18.461982
2015-08-19,18.709999,18.709999,18.709999,18.709999,000,18.422596
2015-08-18,18.709999,18.709999,18.709999,18.709999,1000,18.422596
2015-08-17,19.25,19.25,19.25,19.25,000,18.954302
2015-08-14,19.25,19.25,19.25,19.25,000,18.954302
2015-08-13,19.25,19.25,19.25,19.25,000,18.954302
2015-08-12,19.25,19.25,19.25,19.25,000,18.954302
2015-08-11,19.25,19.25,19.25,19.25,000,18.954302
2015-08-10,19.25,19.25,19.25,19.25,000,18.954302
2015-08-07,19.25,19.25,19.25,19.25,000,18.954302
2015-08-06,19.25,19.25,19.25,19.25,000,18.954302
2015-08-05,19.25,19.25,19.25,19.25,100,18.954302
2015-08-04,18.60,18.60,18.60,18.60,000,18.314287
2015-08-03,18.60,18.60,18.60,18.60,000,18.314287
2015-07-31,18.60,18.60,18.60,18.60,000,18.314287
2015-07-30,18.60,18.60,18.60,18.60,000,18.314287
2015-07-29,18.60,18.60,18.60,18.60,000,18.314287
2015-07-28,18.60,18.60,18.60,18.60,000,18.314287
2015-07-27,18.60,18.60,18.60,18.60,000,18.314287
2015-07-24,18.60,18.60,18.60,18.60,000,18.314287
2015-07-23,18.51,18.60,18.50,18.60,900,18.314287
2015-07-22,19.25,19.25,19.25,19.25,000,18.954302
2015-07-21,19.25,19.25,19.25,19.25,000,18.954302
2015-07-20,19.25,19.25,19.25,19.25,300,18.954302
2015-07-17,19.10,19.10,19.10,19.10,000,18.806606
2015-07-16,19.10,19.10,19.10,19.10,100,18.806606
2015-07-15,18.73,18.73,18.73,18.73,000,18.442289
2015-07-14,18.700001,18.75,18.700001,18.73,4900,18.442289
2015-07-13,18.35,18.35,18.35,18.35,1100,18.068127
2015-07-10,18.25,18.25,18.25,18.25,000,17.969663
2015-07-09,18.25,18.25,18.25,18.25,000,17.969663
2015-07-08,18.25,18.25,18.25,18.25,000,17.969663
2015-07-07,18.25,18.25,18.25,18.25,000,17.969663
2015-07-06,18.25,18.25,18.25,18.25,000,17.969663
2015-07-02,18.25,18.25,18.25,18.25,000,17.969663
2015-07-01,18.25,18.25,18.25,18.25,000,17.969663
2015-06-30,18.25,18.25,18.25,18.25,000,17.969663
2015-06-29,18.25,18.25,18.25,18.25,800,17.969663
2015-06-26,18.85,18.85,18.85,18.85,000,18.560446
2015-06-25,18.85,18.85,18.85,18.85,2000,18.560446
2015-06-24,18.15,18.15,18.15,18.15,000,17.871198
2015-06-23,18.15,18.15,18.15,18.15,000,17.871198
2015-06-22,18.15,18.15,18.15,18.15,000,17.871198
2015-06-19,18.15,18.15,18.15,18.15,000,17.871198
2015-06-18,18.15,18.15,18.15,18.15,000,17.871198
2015-06-17,18.15,18.15,18.15,18.15,000,17.713657
2015-06-16,18.15,18.15,18.15,18.15,000,17.713657
2015-06-15,18.15,18.15,18.15,18.15,000,17.713657
2015-06-12,18.15,18.15,18.15,18.15,000,17.713657
2015-06-11,18.15,18.15,18.15,18.15,000,17.713657
2015-06-10,18.15,18.15,18.15,18.15,000,17.713657
2015-06-09,18.15,18.15,18.15,18.15,000,17.713657
2015-06-08,18.15,18.15,18.15,18.15,000,17.713657
2015-06-05,18.15,18.15,18.15,18.15,000,17.713657
2015-06-04,18.15,18.15,18.15,18.15,000,17.713657
2015-06-03,18.15,18.15,18.15,18.15,000,17.713657
2015-06-02,18.15,18.15,18.15,18.15,000,17.713657
2015-06-01,18.15,18.15,18.15,18.15,000,17.713657
2015-05-29,18.15,18.15,18.15,18.15,000,17.713657
2015-05-28,18.15,18.15,18.15,18.15,000,17.713657
2015-05-27,18.25,18.25,18.15,18.15,1700,17.713657
2015-05-26,18.25,18.25,18.25,18.25,600,17.811253
2015-05-22,18.10,18.10,18.10,18.10,000,17.664859
2015-05-21,18.10,18.10,18.10,18.10,100,17.664859
2015-05-20,18.059999,18.059999,18.059999,18.059999,000,17.62582
2015-05-19,18.059999,18.059999,18.059999,18.059999,300,17.62582
2015-05-18,18.00,18.00,18.00,18.00,000,17.567263
2015-05-15,18.00,18.00,18.00,18.00,000,17.567263
2015-05-14,18.00,18.00,18.00,18.00,000,17.567263
2015-05-13,18.00,18.00,18.00,18.00,000,17.567263
2015-05-12,18.00,18.00,18.00,18.00,000,17.567263
2015-05-11,18.00,18.00,18.00,18.00,000,17.567263
2015-05-08,18.00,18.00,18.00,18.00,000,17.567263
2015-05-07,18.00,18.00,18.00,18.00,000,17.567263
2015-05-06,18.00,18.00,18.00,18.00,000,17.567263
2015-05-05,18.00,18.00,18.00,18.00,000,17.567263
2015-05-04,18.00,18.00,18.00,18.00,000,17.567263
2015-05-01,18.00,18.00,18.00,18.00,000,17.567263
2015-04-30,18.00,18.00,18.00,18.00,000,17.567263
2015-04-29,18.00,18.00,18.00,18.00,000,17.567263
2015-04-28,18.00,18.00,18.00,18.00,000,17.567263
2015-04-27,18.00,18.00,18.00,18.00,000,17.567263
2015-04-24,18.00,18.00,18.00,18.00,000,17.567263
2015-04-23,18.00,18.00,18.00,18.00,000,17.567263
2015-04-22,18.00,18.00,18.00,18.00,400,17.567263
2015-04-21,17.50,17.50,17.50,17.50,000,17.079284
2015-04-20,17.50,17.50,17.50,17.50,000,17.079284
2015-04-17,17.50,17.50,17.50,17.50,000,17.079284
2015-04-16,17.50,17.50,17.50,17.50,000,17.079284
2015-04-15,17.50,17.50,17.50,17.50,200,17.079284
2015-04-14,17.549999,17.549999,17.549999,17.549999,000,17.128081
2015-04-13,17.549999,17.549999,17.549999,17.549999,000,17.128081
2015-04-10,17.549999,17.549999,17.549999,17.549999,000,17.128081
2015-04-09,18.00,18.00,17.549999,17.549999,3000,17.128081
2015-04-08,19.00,19.00,19.00,19.00,000,18.543222
2015-04-07,19.00,19.00,19.00,19.00,000,18.543222
2015-04-06,19.00,19.00,19.00,19.00,000,18.543222
2015-04-02,19.00,19.00,19.00,19.00,000,18.543222
2015-04-01,19.00,19.00,19.00,19.00,000,18.543222
2015-03-31,19.00,19.00,19.00,19.00,000,18.543222
2015-03-30,19.00,19.00,19.00,19.00,000,18.543222
2015-03-27,19.00,19.00,19.00,19.00,000,18.543222
2015-03-26,19.00,19.00,19.00,19.00,000,18.543222
2015-03-25,19.00,19.00,19.00,19.00,000,18.543222
2015-03-24,19.00,19.00,19.00,19.00,000,18.543222
2015-03-23,19.00,19.00,19.00,19.00,000,18.543222
2015-03-20,19.00,19.00,19.00,19.00,000,18.543222
2015-03-19,19.00,19.00,19.00,19.00,000,18.543222
2015-03-18,19.00,19.00,19.00,19.00,000,18.387069
2015-03-17,19.00,19.00,19.00,19.00,000,18.387069
2015-03-16,19.00,19.00,19.00,19.00,100,18.387069
2015-03-13,17.50,17.50,17.50,17.50,000,16.935458
2015-03-12,17.50,17.50,17.50,17.50,100,16.935458
2015-03-11,17.25,17.25,17.25,17.25,000,16.693523
2015-03-10,17.25,17.25,17.25,17.25,000,16.693523
2015-03-09,17.200001,17.25,17.200001,17.25,300,16.693523
2015-03-06,16.799999,16.799999,16.799999,16.799999,000,16.258039
2015-03-05,16.799999,16.799999,16.799999,16.799999,200,16.258039
2015-03-04,16.700001,16.700001,16.700001,16.700001,000,16.161267
2015-03-03,16.700001,16.700001,16.700001,16.700001,000,16.161267
2015-03-02,16.700001,16.700001,16.700001,16.700001,200,16.161267
2015-02-27,17.24,17.24,17.24,17.24,100,16.683846
2015-02-26,16.85,16.85,16.85,16.85,000,16.306427
2015-02-25,16.85,16.85,16.85,16.85,000,16.306427
2015-02-24,16.85,16.85,16.85,16.85,000,16.306427
2015-02-23,16.85,16.85,16.85,16.85,000,16.306427
2015-02-20,16.85,16.85,16.85,16.85,500,16.306427
2015-02-19,17.00,17.00,17.00,17.00,000,16.451588
2015-02-18,17.00,17.00,17.00,17.00,000,16.451588
2015-02-17,17.00,17.00,17.00,17.00,000,16.451588
2015-02-13,17.00,17.00,17.00,17.00,000,16.451588
2015-02-12,17.00,17.00,17.00,17.00,000,16.451588
2015-02-11,17.00,17.00,17.00,17.00,000,16.451588
2015-02-10,17.00,17.00,17.00,17.00,000,16.451588
2015-02-09,17.00,17.00,17.00,17.00,000,16.451588
2015-02-06,17.00,17.00,17.00,17.00,000,16.451588
2015-02-05,17.00,17.00,17.00,17.00,000,16.451588
2015-02-04,17.00,17.00,17.00,17.00,000,16.451588
2015-02-03,17.00,17.00,17.00,17.00,200,16.451588
2015-02-02,17.25,17.25,17.25,17.25,000,16.693523
2015-01-30,17.25,17.25,17.25,17.25,000,16.693523
2015-01-29,17.25,17.25,17.25,17.25,000,16.693523
2015-01-28,17.25,17.25,17.25,17.25,1500,16.693523
2015-01-27,17.50,17.50,17.00,17.00,1900,16.451588
2015-01-26,18.25,18.25,18.25,18.25,000,17.661264
2015-01-23,18.25,18.25,18.25,18.25,000,17.661264
2015-01-22,18.25,18.25,18.25,18.25,000,17.661264
2015-01-21,18.25,18.25,18.25,18.25,000,17.661264
2015-01-20,18.25,18.25,18.25,18.25,000,17.661264
2015-01-16,18.25,18.25,18.25,18.25,000,17.661264
2015-01-15,18.25,18.25,18.25,18.25,000,17.661264
2015-01-14,18.25,18.25,18.25,18.25,100,17.661264
2015-01-13,18.799999,18.799999,18.799999,18.799999,000,18.19352
2015-01-12,18.799999,18.799999,18.799999,18.799999,000,18.19352
