Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,33.150002,33.240002,33.029999,33.099998,37400,33.099998
2016-01-22,33.080002,33.18,33.00,33.130001,10200,33.130001
2016-01-21,32.119999,32.59,32.119999,32.529999,15600,32.529999
2016-01-20,32.369999,32.380001,31.67,32.169998,28400,32.169998
2016-01-19,32.880001,33.119999,32.73,32.919998,38400,32.919998
2016-01-15,32.419998,32.419998,31.959999,31.98,35400,31.98
2016-01-14,33.169998,33.57,33.139999,33.400002,41900,33.400002
2016-01-13,34.220001,34.220001,33.240002,33.299999,70000,33.299999
2016-01-12,34.32,34.32,33.880001,34.220001,11000,34.220001
2016-01-11,33.889999,33.93,33.48,33.73,28900,33.73
2016-01-08,34.189999,34.189999,33.48,33.560001,21300,33.560001
2016-01-07,33.939999,34.25,33.84,33.959999,42600,33.959999
2016-01-06,34.400002,34.709999,34.330002,34.650002,14400,34.650002
2016-01-05,35.150002,35.200001,34.84,35.169998,52900,35.169998
2016-01-04,35.380001,35.400002,35.02,35.349998,13000,35.349998
2015-12-31,36.450001,36.490002,36.09,36.209999,16100,36.209999
2015-12-30,36.939999,36.939999,36.630001,36.759998,14800,36.759998
2015-12-29,36.759998,37.09,36.759998,36.98,21200,36.98
2015-12-28,36.50,36.700001,36.470001,36.68,18500,36.68
2015-12-24,36.369999,36.66,36.369999,36.599998,4400,36.599998
2015-12-23,36.369999,36.59,36.369999,36.59,5000,36.59
2015-12-22,36.16,36.360001,36.049999,36.360001,46000,36.360001
2015-12-21,36.32,36.32,35.93,36.09,9200,36.09
2015-12-18,36.119999,36.119999,35.82,35.82,237000,35.82
2015-12-17,36.16,36.259998,36.150002,36.150002,1800,36.150002
2015-12-16,36.099998,36.43,35.709999,36.310001,12000,36.310001
2015-12-15,35.889999,35.889999,35.700001,35.720001,19400,35.720001
2015-12-14,35.630001,35.669998,35.349998,35.580002,19100,35.580002
2015-12-11,35.810001,35.810001,35.549999,35.580002,5600,35.580002
2015-12-10,36.43,36.459999,36.290001,36.34,4900,36.34
2015-12-09,36.619999,36.75,36.209999,36.41,15100,36.41
2015-12-08,36.529999,36.529999,36.330002,36.439999,3000,36.439999
2015-12-07,36.93,36.990002,36.93,36.990002,2100,36.990002
2015-12-04,36.50,36.889999,36.50,36.860001,11300,36.860001
2015-12-03,36.48,36.540001,36.139999,36.279999,12600,36.279999
2015-12-02,36.439999,36.439999,36.139999,36.169998,64800,36.169998
2015-12-01,36.709999,36.709999,36.43,36.669998,17100,36.669998
