Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,11.92,11.93,11.85,11.87,1800,11.87
2016-01-22,11.76,11.76,11.76,11.76,300,11.76
2016-01-21,11.57,11.57,11.56,11.56,900,11.56
2016-01-20,11.53,11.54,11.53,11.54,600,11.54
2016-01-19,12.00,12.00,11.89,11.89,600,11.89
2016-01-15,11.84,11.84,11.84,11.84,1400,11.84
2016-01-14,12.51,12.51,12.51,12.51,000,12.51
2016-01-13,12.51,12.51,12.51,12.51,000,12.51
2016-01-12,12.51,12.51,12.51,12.51,000,12.51
2016-01-11,12.51,12.51,12.51,12.51,000,12.51
2016-01-08,12.51,12.51,12.51,12.51,000,12.51
2016-01-07,12.47,12.51,12.47,12.51,700,12.51
2016-01-06,12.80,12.93,12.68,12.84,4400,12.84
2016-01-05,13.21,13.21,13.21,13.21,000,13.21
2016-01-04,13.21,13.21,13.21,13.21,000,13.21
2015-12-31,13.27,13.31,13.21,13.21,1600,13.21
2015-12-30,13.21,13.22,13.21,13.22,5800,13.22
2015-12-29,13.58,13.58,13.58,13.58,9400,13.58
2015-12-28,13.60,13.63,13.56,13.56,17900,13.56
2015-12-24,13.37,13.50,13.37,13.49,600,13.49
2015-12-23,13.38,13.42,13.38,13.41,800,13.41
2015-12-22,13.18,13.25,13.18,13.25,1000,13.25
2015-12-21,13.24,13.24,13.24,13.24,200,13.24
2015-12-18,13.49,13.54,13.49,13.54,600,13.54
2015-12-17,13.67,13.67,13.67,13.67,200,13.67
2015-12-16,13.46,14.21,12.92,14.21,400,14.21
2015-12-15,13.48,13.48,13.47,13.47,500,13.47
2015-12-14,13.25,13.25,13.25,13.25,300,13.25
2015-12-11,13.70,13.70,13.70,13.70,000,13.70
2015-12-10,13.84,13.84,13.70,13.70,2600,13.70
2015-12-09,13.83,13.83,13.83,13.83,000,13.83
2015-12-08,13.71,13.83,13.71,13.83,2300,13.83
2015-12-07,14.10,14.10,13.87,13.87,1500,13.87
2015-12-04,14.00,14.04,13.99,14.00,1700,14.00
2015-12-03,14.11,14.13,14.11,14.13,500,14.13
2015-12-02,13.93,13.93,13.84,13.86,3700,13.86
2015-12-01,13.86,13.86,13.86,13.86,200,13.86
2015-11-30,13.88,13.97,13.87,13.87,500,13.87
2015-11-27,14.32,14.32,14.32,14.32,100,14.32
2015-11-25,14.65,14.65,14.53,14.54,800,14.54
2015-11-24,14.86,14.86,14.86,14.86,200,14.86
2015-11-23,15.02,15.02,14.83,14.83,2500,14.83
2015-11-20,15.17,15.17,15.07,15.09,1400,15.09
2015-11-19,14.98,14.98,14.93,14.93,300,14.93
2015-11-18,14.50,14.50,14.50,14.50,200,14.50
2015-11-17,14.38,14.46,14.38,14.38,600,14.38
2015-11-16,14.28,14.28,14.28,14.28,400,14.28
2015-11-13,14.43,14.43,14.43,14.43,000,14.43
2015-11-12,14.43,14.43,14.43,14.43,000,14.43
2015-11-11,14.43,14.43,14.43,14.43,200,14.43
2015-11-10,14.34,14.35,14.34,14.35,500,14.35
2015-11-09,14.35,14.35,14.18,14.24,1900,14.24
2015-11-06,14.51,14.51,14.44,14.48,800,14.48
2015-11-05,14.85,14.85,14.85,14.85,000,14.85
2015-11-04,14.85,14.85,14.85,14.85,000,14.85
2015-11-03,14.20,14.86,14.20,14.85,19700,14.85
2015-11-02,14.06,14.28,14.06,14.23,1700,14.23
2015-10-30,14.05,14.08,13.93,13.93,10800,13.93
2015-10-29,13.90,14.05,13.90,14.05,1200,14.05
2015-10-28,14.80,14.80,14.12,14.12,1400,14.12
2015-10-27,14.30,14.30,14.30,14.30,000,14.30
2015-10-26,14.36,14.38,14.27,14.30,2400,14.30
2015-10-23,14.38,14.38,14.30,14.30,900,14.30
2015-10-22,13.96,13.96,13.96,13.96,000,13.96
2015-10-21,14.07,14.07,13.89,13.96,1400,13.96
2015-10-20,14.11,14.11,14.11,14.11,000,14.11
2015-10-19,14.06,14.11,14.06,14.11,400,14.11
2015-10-16,14.26,14.40,14.26,14.39,13500,14.39
2015-10-15,14.11,14.11,14.11,14.11,200,14.11
2015-10-14,14.01,14.01,14.01,14.01,300,14.01
