Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.51,9.51,9.51,9.51,000,9.51
2016-01-22,9.51,9.51,9.51,9.51,000,9.51
2016-01-21,9.51,9.51,9.51,9.51,000,9.51
2016-01-20,9.51,9.51,9.51,9.51,000,9.51
2016-01-19,9.51,9.51,9.51,9.51,000,9.51
2016-01-15,9.51,9.51,9.51,9.51,000,9.51
2016-01-14,9.51,9.51,9.51,9.51,000,9.51
2016-01-13,9.51,9.51,9.51,9.51,000,9.51
2016-01-12,9.51,9.51,9.51,9.51,000,9.51
2016-01-11,9.51,9.51,9.51,9.51,000,9.51
2016-01-08,9.51,9.51,9.51,9.51,000,9.51
2016-01-07,9.51,9.51,9.51,9.51,000,9.51
2016-01-06,9.51,9.51,9.51,9.51,000,9.51
2016-01-05,9.51,9.51,9.51,9.51,1400,9.51
2016-01-04,9.51,9.51,9.51,9.51,200,9.51
2015-12-31,9.75,9.75,9.75,9.75,000,9.75
2015-12-30,9.75,9.75,9.75,9.75,000,9.75
2015-12-29,9.75,9.75,9.75,9.75,000,9.75
2015-12-28,9.75,9.75,9.75,9.75,000,9.75
2015-12-24,9.75,9.75,9.75,9.75,000,9.75
2015-12-23,9.75,9.75,9.75,9.75,000,9.75
2015-12-22,9.75,9.75,9.75,9.75,000,9.75
2015-12-21,9.75,9.75,9.75,9.75,000,9.75
2015-12-18,9.75,9.75,9.75,9.75,000,9.75
2015-12-17,9.75,9.75,9.75,9.75,000,9.75
2015-12-16,9.75,9.75,9.75,9.75,000,9.75
2015-12-15,9.75,9.75,9.75,9.75,000,9.75
2015-12-14,9.75,9.75,9.75,9.75,000,9.75
2015-12-11,9.75,9.75,9.75,9.75,000,9.75
2015-12-10,9.75,9.75,9.75,9.75,000,9.75
2015-12-09,9.75,9.75,9.75,9.75,000,9.75
2015-12-08,9.75,9.75,9.75,9.75,000,9.75
2015-12-07,9.75,9.75,9.75,9.75,000,9.75
2015-12-04,9.75,9.75,9.75,9.75,000,9.75
2015-12-03,9.75,9.75,9.75,9.75,000,9.75
2015-12-02,9.74,9.75,9.74,9.75,2200,9.75
2015-12-01,9.75,9.75,9.75,9.75,000,9.75
2015-11-30,9.75,9.75,9.75,9.75,000,9.75
