Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,12.93,13.025,12.55,12.56,15900,12.56
2016-01-22,12.90,13.01,12.797,13.00,6200,13.00
2016-01-21,12.678,12.90,12.678,12.88,5100,12.88
2016-01-20,12.65,12.98,12.60,12.88,16100,12.88
2016-01-19,12.96,12.97,12.632,12.74,7100,12.74
2016-01-15,12.74,12.989,12.58,12.63,25600,12.63
2016-01-14,12.83,13.02,12.83,13.02,31800,13.02
2016-01-13,13.05,13.15,12.55,12.91,20800,12.91
2016-01-12,13.568,13.78,13.04,13.49,23900,13.49
2016-01-11,13.71,13.89,13.53,13.68,4700,13.68
2016-01-08,13.648,13.648,13.54,13.63,4000,13.63
2016-01-07,13.72,13.76,13.58,13.64,6100,13.64
2016-01-06,13.72,13.91,13.72,13.79,1300,13.79
2016-01-05,13.70,13.90,13.58,13.79,7700,13.79
2016-01-04,13.92,14.09,13.52,13.52,22700,13.52
2015-12-31,14.18,14.26,14.00,14.15,30300,14.15
2015-12-30,14.04,14.25,14.01,14.21,11700,14.21
2015-12-29,13.96,14.21,13.916,14.113,10400,14.113
2015-12-28,13.82,13.99,13.82,13.91,27100,13.91
2015-12-24,13.82,13.82,13.82,13.82,100,13.82
2015-12-23,13.69,13.91,13.64,13.78,7800,13.78
2015-12-22,13.92,13.92,13.61,13.62,11200,13.62
2015-12-21,13.735,13.948,13.735,13.93,3400,13.93
2015-12-18,13.79,13.92,13.76,13.92,8900,13.92
2015-12-17,13.89,13.97,13.51,13.57,8200,13.57
2015-12-16,13.70,13.86,13.54,13.85,6700,13.85
2015-12-15,13.49,13.89,13.49,13.59,6600,13.59
2015-12-14,13.48,13.64,13.48,13.50,5500,13.50
2015-12-11,13.96,14.01,13.49,13.49,9200,13.49
2015-12-10,13.92,14.09,13.84,14.06,9100,14.06
2015-12-09,13.79,13.97,13.79,13.97,6100,13.97
2015-12-08,13.91,14.10,13.83,13.84,8500,13.84
2015-12-07,13.922,13.998,13.922,13.95,9200,13.95
2015-12-04,13.91,13.98,13.89,13.97,9200,13.97
2015-12-03,14.00,14.04,13.82,13.82,9800,13.82
2015-12-02,13.97,14.082,13.96,14.01,7200,14.01
2015-12-01,13.97,14.04,13.90,13.98,7600,13.98
2015-11-30,13.89,14.04,13.85,14.02,15200,14.02
2015-11-27,14.04,14.04,13.90,13.99,2100,13.99
2015-11-25,14.04,14.04,13.977,14.04,2900,14.04
2015-11-24,13.902,14.077,13.90,13.97,15100,13.97
2015-11-23,13.92,13.92,13.86,13.90,8100,13.90
2015-11-20,13.80,13.92,13.79,13.92,13600,13.92
2015-11-19,13.609,13.84,13.609,13.76,12400,13.76
2015-11-18,13.53,13.75,13.53,13.64,14100,13.64
2015-11-17,13.65,13.665,13.51,13.57,16800,13.57
2015-11-16,13.69,13.69,13.402,13.58,23600,13.58
2015-11-13,13.183,13.69,13.183,13.69,10900,13.69
2015-11-12,13.46,13.60,13.44,13.51,10200,13.51
2015-11-11,13.40,13.49,13.35,13.49,12500,13.49
2015-11-10,13.14,13.43,13.14,13.37,18400,13.37
2015-11-09,13.04,13.19,13.04,13.19,7200,13.19
2015-11-06,13.00,13.14,12.99,13.12,9600,13.12
2015-11-05,12.80,13.00,12.80,12.831,18400,12.831
2015-11-04,12.64,12.93,12.64,12.74,4600,12.74
2015-11-03,12.76,12.949,12.73,12.73,14700,12.73
2015-11-02,12.72,12.911,12.65,12.87,22500,12.87
2015-10-30,12.455,12.65,12.455,12.64,21900,12.64
2015-10-29,12.40,12.55,12.37,12.52,35200,12.52
2015-10-28,12.38,12.45,12.25,12.33,26100,12.33
2015-10-27,12.30,12.40,12.25,12.33,15600,12.33
2015-10-26,12.30,12.39,12.10,12.22,16700,12.22
2015-10-23,12.30,12.30,12.25,12.29,5300,12.29
2015-10-22,12.42,12.42,12.25,12.25,3500,12.25
2015-10-21,12.40,12.40,12.35,12.35,3300,12.35
2015-10-20,12.35,12.40,12.35,12.40,1700,12.40
2015-10-19,12.37,12.40,12.37,12.383,2800,12.383
2015-10-16,12.35,12.39,12.35,12.38,2400,12.38
2015-10-15,12.22,12.40,12.22,12.39,10800,12.39
2015-10-14,12.21,12.22,12.21,12.22,500,12.22
2015-10-13,12.20,12.32,12.20,12.32,300,12.32
2015-10-12,12.389,12.389,12.38,12.38,1200,12.38
2015-10-09,12.25,12.31,12.25,12.25,4500,12.25
2015-10-08,12.22,12.30,12.15,12.30,1000,12.30
2015-10-07,12.26,12.38,12.10,12.10,9700,12.10
