Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,2.82,2.839,2.60,2.71,14600,2.71
2016-01-22,2.89,2.89,2.67,2.69,17100,2.69
2016-01-21,2.92,2.92,2.785,2.84,10200,2.84
2016-01-20,2.905,2.94,2.75,2.80,35500,2.80
2016-01-19,2.81,2.98,2.71,2.88,21300,2.88
2016-01-15,2.902,2.98,2.78,2.95,13800,2.95
2016-01-14,2.95,3.08,2.73,2.84,32100,2.84
2016-01-13,3.03,3.10,2.73,2.83,12400,2.83
2016-01-12,2.97,3.10,2.66,2.972,19000,2.972
2016-01-11,2.84,3.049,2.62,3.02,31500,3.02
2016-01-08,2.66,2.80,2.35,2.80,91900,2.80
2016-01-07,2.35,2.85,2.35,2.37,22100,2.37
2016-01-06,2.51,2.51,2.35,2.37,7800,2.37
2016-01-05,2.50,2.579,2.35,2.35,17200,2.35
2016-01-04,2.40,2.73,2.40,2.415,19100,2.415
2015-12-31,2.80,2.84,2.241,2.56,166600,2.56
2015-12-30,2.99,3.00,2.70,2.85,25000,2.85
2015-12-29,2.921,3.00,2.851,2.99,22400,2.99
2015-12-28,2.88,3.00,2.85,3.00,7700,3.00
2015-12-24,2.94,2.94,2.92,2.92,2900,2.92
2015-12-23,3.01,3.02,2.983,3.02,1200,3.02
2015-12-22,3.10,3.12,2.92,3.06,22300,3.06
2015-12-21,3.05,3.06,2.908,3.042,7000,3.042
2015-12-18,2.97,3.021,2.90,2.97,17500,2.97
2015-12-17,3.13,3.13,2.90,3.099,13900,3.099
2015-12-16,2.96,3.09,2.71,3.09,8400,3.09
2015-12-15,3.10,3.10,2.91,2.961,4700,2.961
2015-12-14,3.10,3.123,2.91,2.99,19300,2.99
2015-12-11,3.02,3.31,3.00,3.15,15200,3.15
2015-12-10,3.28,3.30,2.95,3.22,28400,3.22
2015-12-09,3.18,3.30,3.00,3.10,22800,3.10
2015-12-08,3.35,3.35,3.15,3.25,9500,3.25
2015-12-07,3.23,3.51,3.20,3.35,20700,3.35
2015-12-04,3.42,3.57,3.20,3.20,57700,3.20
2015-12-03,3.53,3.75,3.40,3.48,27800,3.48
2015-12-02,3.37,4.05,3.31,3.60,109300,3.60
2015-12-01,3.43,3.49,3.23,3.47,21600,3.47
2015-11-30,3.59,3.83,3.39,3.56,35800,3.56
2015-11-27,4.10,4.25,3.60,3.70,64800,3.70
2015-11-25,3.33,4.13,3.33,4.07,178300,4.07
2015-11-24,3.37,3.39,2.95,3.22,77200,3.22
2015-11-23,2.90,2.90,2.77,2.90,15000,2.90
2015-11-20,2.817,2.98,2.817,2.94,18900,2.94
2015-11-19,2.95,3.00,2.78,2.886,49300,2.886
2015-11-18,2.80,3.11,2.763,3.02,52800,3.02
2015-11-17,3.80,3.80,2.75,3.00,204600,3.00
2015-11-16,3.77,3.80,3.43,3.50,52200,3.50
2015-11-13,3.65,3.90,3.60,3.74,11400,3.74
2015-11-12,3.82,3.95,3.69,3.80,69800,3.80
2015-11-11,3.79,3.85,3.55,3.81,67800,3.81
2015-11-10,3.93,4.116,3.50,3.64,160100,3.64
2015-11-09,4.50,4.69,3.92,3.98,192200,3.98
2015-11-06,4.75,4.75,4.40,4.61,117500,4.61
2015-11-05,4.28,4.73,4.15,4.59,212100,4.59
2015-11-04,5.15,5.27,3.805,4.35,463000,4.35
