Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,36.369999,36.50,36.23,36.360001,16500,36.360001
2016-01-22,36.32,36.50,36.169998,36.419998,11900,36.419998
2016-01-21,35.849998,35.919998,35.369999,35.889999,20800,35.889999
2016-01-20,36.099998,36.18,35.470001,36.060001,114500,36.060001
2016-01-19,36.669998,36.900002,36.459999,36.580002,75400,36.580002
2016-01-15,36.450001,36.450001,36.009998,36.099998,40600,36.099998
2016-01-14,37.099998,37.450001,37.009998,37.32,36000,37.32
2016-01-13,37.700001,37.709999,37.220001,37.32,25000,37.32
2016-01-12,37.900002,37.970001,37.540001,37.810001,22300,37.810001
2016-01-11,37.580002,37.580002,37.25,37.43,60500,37.43
2016-01-08,37.759998,37.759998,37.57,37.57,55600,37.57
2016-01-07,37.93,38.220001,37.93,38.02,38600,38.02
2016-01-06,38.599998,38.790001,38.57,38.68,12300,38.68
2016-01-05,39.279999,39.32,39.00,39.299999,55800,39.299999
2016-01-04,39.52,39.52,39.060001,39.419998,18700,39.419998
2015-12-31,40.330002,40.330002,39.869999,40.110001,6200,40.110001
2015-12-30,40.689999,40.740002,40.529999,40.580002,6000,40.580002
2015-12-29,40.400002,40.68,40.400002,40.580002,46800,40.580002
2015-12-28,40.130001,40.32,40.099998,40.23,29500,40.23
2015-12-24,40.299999,40.330002,40.200001,40.279999,8500,40.279999
2015-12-23,39.939999,40.110001,39.740002,40.110001,20000,40.110001
2015-12-22,39.509998,39.700001,39.43,39.59,24500,39.546
2015-12-21,39.299999,39.299999,39.139999,39.27,13700,39.226356
2015-12-18,39.59,39.59,39.009998,39.040001,52900,38.996612
2015-12-17,39.639999,39.689999,39.529999,39.689999,1800,39.645888
2015-12-16,39.689999,40.029999,39.459999,39.93,35100,39.885623
2015-12-15,39.360001,39.360001,39.150002,39.189999,31400,39.146443
2015-12-14,38.98,38.98,38.790001,38.98,52400,38.936678
2015-12-11,39.119999,39.119999,38.950001,38.990002,4100,38.946669
2015-12-10,39.599998,39.610001,39.41,39.41,11800,39.3662
2015-12-09,39.639999,39.709999,39.299999,39.529999,54600,39.486066
2015-12-08,39.619999,39.82,39.599998,39.810001,12000,39.765757
2015-12-07,39.98,40.150002,39.98,40.110001,9400,40.065423
2015-12-04,39.630001,40.299999,39.630001,40.18,28400,40.135345
2015-12-03,39.759998,39.860001,39.650002,39.860001,21800,39.815701
2015-12-02,39.330002,39.400002,39.189999,39.27,4100,39.226356
2015-12-01,39.209999,39.330002,39.110001,39.279999,7500,39.236343
2015-11-30,39.189999,39.240002,38.950001,39.07,14800,39.026578
2015-11-27,38.919998,38.919998,38.77,38.77,1200,38.726912
2015-11-25,38.98,39.119999,38.849998,38.91,10000,38.866756
2015-11-24,38.740002,38.889999,38.52,38.75,37800,38.706934
2015-11-23,39.099998,39.099998,38.880001,38.93,4600,38.886734
2015-11-20,39.50,39.50,39.139999,39.139999,11500,39.0965
2015-11-19,39.299999,39.41,39.27,39.349998,114200,39.306265
2015-11-18,39.139999,39.23,39.02,39.139999,173500,39.0965
2015-11-17,39.209999,39.209999,38.939999,38.950001,16800,38.906712
2015-11-16,38.580002,39.029999,38.580002,39.029999,11000,38.986621
2015-11-13,38.66,38.779999,38.509998,38.639999,31100,38.597055
2015-11-12,39.049999,39.080002,38.869999,38.869999,4400,38.826799
2015-11-11,39.450001,39.509998,39.27,39.279999,14700,39.236343
2015-11-10,39.02,39.060001,38.82,39.049999,20000,39.0066
2015-11-09,39.380001,39.380001,39.139999,39.290001,33000,39.246334
2015-11-06,39.459999,39.68,39.419998,39.650002,13900,39.605935
2015-11-05,39.810001,39.869999,39.619999,39.860001,34800,39.815701
2015-11-04,40.130001,40.130001,39.869999,39.869999,6300,39.825688
2015-11-03,40.130001,40.290001,40.110001,40.290001,23900,40.245223
2015-11-02,40.27,40.380001,40.240002,40.360001,9300,40.315145
2015-10-30,39.810001,40.00,39.720001,39.720001,5200,39.675857
2015-10-29,39.529999,39.849998,39.529999,39.849998,12200,39.80571
2015-10-28,39.889999,40.18,39.66,39.799999,4100,39.755766
2015-10-27,39.880001,39.880001,39.509998,39.650002,3600,39.605935
2015-10-26,40.150002,40.169998,39.900002,39.91,55300,39.865644
2015-10-23,40.119999,40.34,40.119999,40.34,24000,40.295167
2015-10-22,39.740002,40.009998,39.740002,39.790001,13900,39.745779
2015-10-21,39.759998,39.790001,39.509998,39.509998,1600,39.466087
2015-10-20,39.700001,39.779999,39.59,39.59,7200,39.546
2015-10-19,39.610001,39.610001,39.50,39.50,900,39.4561
2015-10-16,39.849998,39.959999,39.77,39.950001,11600,39.905601
2015-10-15,39.279999,39.720001,39.279999,39.700001,11200,39.655879
2015-10-14,39.310001,39.369999,39.220001,39.330002,20100,39.286291
2015-10-13,39.150002,39.400002,39.119999,39.189999,19300,39.146443
2015-10-12,39.529999,39.650002,39.490002,39.619999,3400,39.575966
2015-10-09,39.610001,39.619999,39.459999,39.50,14100,39.4561
2015-10-08,38.759998,39.360001,38.759998,39.34,1200,39.296278
2015-10-07,39.130001,39.130001,38.700001,38.900002,4400,38.856769
2015-10-06,39.060001,39.060001,38.970001,38.990002,4600,38.946669
2015-10-05,38.349998,38.50,38.310001,38.400002,58300,38.357324
2015-10-02,37.52,37.889999,37.52,37.810001,20900,37.76798
2015-10-01,37.43,37.43,37.310001,37.43,20300,37.388401
2015-09-30,37.169998,37.34,37.080002,37.299999,33100,37.258544
2015-09-29,36.779999,36.830002,36.639999,36.709999,43000,36.6692
2015-09-28,37.080002,37.119999,36.700001,36.82,17400,36.779078
2015-09-25,37.549999,37.599998,37.07,37.119999,157700,37.078744
2015-09-24,37.189999,37.32,37.009998,37.32,28200,37.278523
2015-09-23,37.889999,37.889999,37.360001,37.43,117600,37.388401
2015-09-22,38.02,38.02,37.669998,37.889999,54400,37.847889
2015-09-21,38.84,38.889999,38.68,38.689999,19700,38.646999
2015-09-18,39.060001,39.27,38.84,38.84,8900,38.796834
2015-09-17,39.240002,39.669998,39.189999,39.509998,2300,39.466087
2015-09-16,39.110001,39.110001,39.110001,39.110001,700,39.066534
2015-09-15,38.689999,38.919998,38.689999,38.860001,5400,38.816812
2015-09-14,38.610001,38.810001,38.599998,38.810001,13400,38.766868
2015-09-11,38.580002,39.00,38.580002,39.00,7700,38.956656
2015-09-10,38.669998,39.00,38.630001,38.900002,14000,38.856769
2015-09-09,39.009998,39.009998,38.50,38.52,14300,38.47719
2015-09-08,38.630001,38.66,38.369999,38.66,21900,38.617034
2015-09-04,38.00,38.25,37.98,38.25,5000,38.207489
2015-09-03,38.830002,38.830002,38.59,38.619999,8000,38.577077
