Date,Open,High,Low,Close,Volume,Adj Close
2014-05-14,12.95,13.17,12.95,13.05,13100,12.620596
2014-05-13,13.03,13.08,12.91,12.91,4700,12.485203
2014-05-12,12.89,13.17,12.89,13.17,1600,12.736648
2014-05-09,12.84,12.84,12.84,12.84,2500,12.417506
2014-05-08,12.69,12.93,12.69,12.90,600,12.475532
2014-05-07,12.92,12.92,12.81,12.81,1000,12.388494
2014-05-06,12.84,12.84,12.78,12.79,3200,12.369151
2014-05-05,12.80,13.12,12.80,12.83,1500,12.407835
2014-05-02,12.94,12.97,12.83,12.83,2500,12.407835
2014-05-01,12.69,12.90,12.69,12.90,200,12.475532
2014-04-30,12.64,12.70,12.45,12.66,2300,12.243429
2014-04-29,12.63,12.63,12.53,12.63,6700,12.214416
2014-04-28,12.70,12.78,12.62,12.77,2200,12.34981
2014-04-25,12.75,12.75,12.49,12.52,2300,12.108036
2014-04-24,12.75,12.91,12.75,12.89,5300,12.465861
2014-04-23,12.84,12.84,12.84,12.84,200,12.417506
2014-04-22,12.95,12.99,12.81,12.86,4400,12.436848
2014-04-21,12.99,13.15,12.99,13.02,4000,12.591584
2014-04-17,12.89,13.09,12.87,12.94,9100,12.514215
2014-04-16,12.89,12.89,12.75,12.75,2200,12.330468
2014-04-15,12.88,12.88,12.69,12.84,1500,12.417506
2014-04-14,12.68,12.79,12.68,12.79,700,12.369151
2014-04-11,12.62,12.62,12.62,12.62,300,12.204745
2014-04-10,12.78,12.78,12.78,12.78,100,12.35948
2014-04-09,12.52,12.52,12.52,12.52,000,12.108036
2014-04-08,12.62,12.62,12.52,12.52,700,12.108036
2014-04-07,12.75,12.93,12.55,12.55,1300,12.137049
2014-04-04,12.73,12.93,12.73,12.75,9300,12.330468
2014-04-03,12.71,12.82,12.70,12.77,1400,12.34981
2014-04-02,12.76,12.83,12.72,12.77,9400,12.34981
2014-04-01,12.45,12.48,12.40,12.48,3600,12.069351
2014-03-31,12.27,12.27,12.27,12.27,000,11.866262
2014-03-28,12.28,12.39,12.10,12.27,1300,11.866262
2014-03-27,12.35,12.35,12.07,12.25,2800,11.84692
2014-03-26,12.55,12.71,12.46,12.67,5500,12.2531
2014-03-25,12.66,12.66,12.50,12.53,1500,12.117706
2014-03-24,12.45,12.71,12.45,12.48,1800,12.031635
2014-03-21,12.40,12.53,12.40,12.48,6300,12.031635
2014-03-20,12.23,12.25,12.15,12.15,1700,11.713491
2014-03-19,12.37,12.37,12.00,12.13,4200,11.69421
2014-03-18,12.40,12.40,12.40,12.40,700,11.954509
2014-03-17,12.14,12.48,12.13,12.48,4300,12.031635
2014-03-14,12.15,12.15,12.15,12.15,000,11.713491
2014-03-13,12.05,12.47,12.05,12.15,2100,11.713491
2014-03-12,12.10,12.12,12.10,12.12,2200,11.684569
2014-03-11,12.49,12.49,12.34,12.34,1300,11.896665
2014-03-10,12.50,12.50,12.33,12.33,1900,11.887024
2014-03-07,12.33,12.50,12.33,12.50,800,12.050917
2014-03-06,12.48,12.55,12.46,12.55,6400,12.099121
2014-03-05,12.16,12.49,12.16,12.49,4300,12.041276
2014-03-04,12.10,12.19,12.10,12.16,2600,11.723132
2014-03-03,11.81,12.24,11.81,12.19,2900,11.752054
2014-02-28,11.96,12.19,11.91,12.04,3100,11.607443
2014-02-27,12.04,12.23,12.03,12.13,6000,11.69421
2014-02-26,11.99,12.05,11.93,11.93,5400,11.501395
2014-02-25,12.28,12.28,12.01,12.01,29000,11.578521
2014-02-24,12.38,12.61,12.37,12.38,4600,11.935228
2014-02-21,12.45,12.54,12.43,12.45,11300,12.002713
2014-02-20,12.52,12.52,12.40,12.40,3400,11.954509
2014-02-19,12.24,12.35,12.23,12.23,2700,11.790617
2014-02-18,12.48,12.48,12.25,12.34,3400,11.896665
2014-02-14,12.20,12.65,12.20,12.52,5700,12.070199
2014-02-13,12.40,12.40,12.23,12.23,3200,11.790617
2014-02-12,12.64,12.68,12.36,12.36,27100,11.915946
2014-02-11,11.99,12.25,11.99,12.19,5300,11.752054
2014-02-10,11.98,12.00,11.88,11.88,16500,11.453192
2014-02-07,11.84,11.84,11.84,11.84,000,11.414629
2014-02-06,11.80,12.00,11.80,11.84,400,11.414629
2014-02-05,11.88,11.88,11.71,11.87,54800,11.443551
2014-02-04,12.00,12.00,11.95,11.99,2200,11.559239
2014-02-03,12.16,12.16,11.68,11.68,7500,11.260377
2014-01-31,12.05,12.06,12.00,12.01,2700,11.578521
2014-01-30,12.45,12.45,12.12,12.14,5100,11.703851
2014-01-29,12.44,12.74,12.40,12.40,2600,11.954509
2014-01-28,12.82,12.82,12.33,12.50,9800,12.050917
2014-01-27,12.45,12.61,12.40,12.61,3700,12.156965
2014-01-24,12.75,12.79,12.45,12.45,67900,12.002713
