Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,20.49,20.49,20.49,20.49,000,18.94739
2014-06-18,20.50,20.549999,20.48,20.49,10700,18.94739
2014-06-17,20.440001,20.440001,20.440001,20.440001,000,18.901155
2014-06-16,20.66,20.66,20.43,20.440001,10200,18.901155
2014-06-13,20.450001,20.49,20.440001,20.440001,8700,18.901155
2014-06-12,20.440001,20.48,20.360001,20.43,40300,18.891908
2014-06-11,20.459999,20.51,20.42,20.469999,56600,18.928896
2014-06-10,20.41,20.540001,20.41,20.49,37900,18.94739
2014-06-09,20.469999,20.530001,20.450001,20.469999,27300,18.928896
2014-06-06,20.440001,20.49,20.41,20.469999,38800,18.928896
2014-06-05,20.34,20.389999,20.32,20.34,23100,18.808683
2014-06-04,20.34,20.360001,20.33,20.34,5500,18.808683
2014-06-03,20.33,20.379999,20.299999,20.370001,29500,18.836426
2014-06-02,20.309999,20.379999,20.299999,20.370001,40500,18.836426
2014-05-30,20.33,20.379999,20.26,20.360001,20700,18.827178
2014-05-29,20.26,20.370001,20.25,20.309999,106700,18.780941
2014-05-28,20.299999,20.32,20.209999,20.280001,45700,18.753201
2014-05-27,20.27,20.290001,20.23,20.27,56900,18.743954
2014-05-23,20.059999,20.059999,20.059999,20.059999,000,18.549763
2014-05-22,20.02,20.139999,20.02,20.059999,22800,18.549763
2014-05-21,20.00,20.049999,19.98,20.030001,19800,18.522023
2014-05-20,20.02,20.02,19.98,20.00,2300,18.417529
2014-05-19,20.040001,20.110001,20.030001,20.040001,10400,18.454365
2014-05-16,19.950001,20.040001,19.950001,20.030001,5200,18.445156
2014-05-15,20.07,20.08,19.93,19.940001,29300,18.362277
2014-05-14,20.15,20.25,20.10,20.10,7200,18.509617
2014-05-13,20.190001,20.27,20.15,20.17,59800,18.574078
2014-05-12,20.10,20.23,20.10,20.15,183200,18.55566
2014-05-09,20.059999,20.120001,20.01,20.01,148000,18.426738
2014-05-08,20.059999,20.209999,20.049999,20.049999,22600,18.463572
2014-05-07,20.01,20.15,19.99,20.040001,51700,18.454365
2014-05-06,20.120001,20.120001,20.02,20.02,1300,18.435947
2014-05-05,20.049999,20.200001,20.040001,20.10,26300,18.509617
2014-05-02,20.200001,20.24,20.129999,20.17,3400,18.574078
2014-05-01,20.200001,20.25,20.07,20.16,30300,18.564869
2014-04-30,20.139999,20.139999,20.139999,20.139999,000,18.546451
2014-04-29,20.120001,20.219999,20.110001,20.139999,1800,18.546451
2014-04-28,20.00,20.18,19.92,20.129999,20600,18.537242
2014-04-25,20.07,20.09,19.969999,20.00,22600,18.417529
2014-04-24,20.15,20.15,20.15,20.15,000,18.55566
2014-04-23,20.15,20.15,20.15,20.15,200,18.55566
2014-04-22,20.26,20.26,20.26,20.26,300,18.656957
2014-04-21,20.16,20.17,20.07,20.17,1800,18.561186
2014-04-17,19.99,19.99,19.99,19.99,000,18.395543
2014-04-16,20.00,20.049999,19.99,19.99,1600,18.395543
2014-04-15,19.99,19.99,19.99,19.99,300,18.395543
2014-04-14,19.73,19.73,19.73,19.73,000,18.156282
2014-04-11,19.799999,19.799999,19.719999,19.73,1000,18.156282
2014-04-10,19.98,19.98,19.870001,19.870001,1100,18.285116
2014-04-09,19.92,19.92,19.92,19.92,100,18.331127
2014-04-08,19.93,19.93,19.93,19.93,600,18.34033
2014-04-07,19.90,19.90,19.870001,19.870001,1400,18.285116
2014-04-04,20.139999,20.139999,20.030001,20.030001,400,18.432354
2014-04-03,20.129999,20.129999,20.129999,20.129999,200,18.524376
2014-04-02,20.040001,20.040001,20.040001,20.040001,000,18.441556
2014-04-01,20.049999,20.049999,20.040001,20.040001,300,18.441556
2014-03-31,20.02,20.040001,19.99,20.040001,3100,18.441556
2014-03-28,19.93,19.93,19.870001,19.870001,1900,18.285116
2014-03-27,19.92,19.92,19.92,19.92,000,18.331127
2014-03-26,19.969999,19.969999,19.90,19.92,2600,18.331127
2014-03-25,19.92,19.92,19.92,19.92,400,18.331127
2014-03-24,19.870001,19.870001,19.84,19.84,2000,18.203214
2014-03-21,19.950001,19.950001,19.950001,19.950001,000,18.304139
2014-03-20,19.860001,19.950001,19.860001,19.950001,1900,18.304139
2014-03-19,19.959999,19.959999,19.959999,19.959999,000,18.313313
2014-03-18,19.969999,19.99,19.91,19.959999,3600,18.313313
2014-03-17,19.889999,19.889999,19.82,19.879999,1100,18.239913
2014-03-14,19.77,19.77,19.77,19.77,000,18.138989
2014-03-13,19.879999,19.879999,19.77,19.77,3600,18.138989
2014-03-12,19.870001,19.879999,19.870001,19.879999,2900,18.239913
2014-03-11,19.870001,19.870001,19.870001,19.870001,3100,18.230739
2014-03-10,19.950001,19.950001,19.90,19.90,1800,18.258263
2014-03-07,19.92,19.92,19.889999,19.889999,1400,18.249088
2014-03-06,19.940001,19.950001,19.940001,19.940001,1800,18.294964
2014-03-05,19.91,19.91,19.90,19.91,10000,18.267438
2014-03-04,19.93,19.950001,19.93,19.950001,1700,18.304139
2014-03-03,19.709999,19.74,19.700001,19.719999,8100,18.093113
2014-02-28,19.889999,19.889999,19.889999,19.889999,1500,18.249088
2014-02-27,19.719999,19.719999,19.719999,19.719999,400,18.093113
2014-02-26,19.700001,19.700001,19.700001,19.700001,600,18.074764
