Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,19.48,19.959999,19.110001,19.49,334400,19.49
2016-01-22,19.780001,20.049,19.040001,19.50,329900,19.50
2016-01-21,20.26,20.99,19.16,19.290001,193900,19.290001
2016-01-20,19.85,20.969999,18.40,20.209999,339300,20.209999
2016-01-19,21.74,21.74,19.32,20.290001,293700,20.290001
2016-01-15,21.66,22.379999,20.379999,21.309999,314700,21.309999
2016-01-14,21.10,26.77,21.10,22.870001,965100,22.870001
2016-01-13,23.629999,23.73,20.43,21.32,389800,21.32
2016-01-12,23.440001,23.75,22.799999,23.41,245900,23.41
2016-01-11,23.889999,24.110001,21.50,23.34,643500,23.34
2016-01-08,22.870001,23.860001,22.389999,23.40,303700,23.40
2016-01-07,23.690001,23.933001,21.700001,22.459999,403400,22.459999
2016-01-06,25.049999,25.059999,23.24,23.93,417000,23.93
2016-01-05,29.26,29.629999,26.41,27.18,440500,27.18
2016-01-04,31.780001,31.969999,29.09,29.209999,200300,29.209999
2015-12-31,31.200001,33.140999,30.74,32.330002,195900,32.330002
2015-12-30,32.41,32.650002,31.33,31.40,146200,31.40
2015-12-29,33.049999,33.599998,31.565001,32.619999,310500,32.619999
2015-12-28,33.43,34.209999,32.474998,32.900002,98000,32.900002
2015-12-24,33.110001,33.955002,33.049999,33.540001,79700,33.540001
2015-12-23,31.030001,32.91,30.99,32.779999,137900,32.779999
2015-12-22,30.610001,31.950001,30.030001,30.879999,254500,30.879999
2015-12-21,30.85,31.67,30.190001,30.42,167700,30.42
2015-12-18,33.59,34.330002,30.379999,30.379999,1000300,30.379999
2015-12-17,34.189999,35.369999,33.619999,33.66,173200,33.66
2015-12-16,33.25,34.59,32.98,34.439999,169600,34.439999
2015-12-15,32.330002,33.240002,31.98,33.02,324700,33.02
2015-12-14,33.23,33.57,31.690001,31.889999,536100,31.889999
2015-12-11,33.740002,34.540001,32.779999,33.110001,179000,33.110001
2015-12-10,33.759998,35.00,33.50,34.169998,308500,34.169998
2015-12-09,33.549999,34.740002,33.088001,34.360001,693200,34.360001
2015-12-08,33.939999,36.50,28.725,33.369999,1221400,33.369999
2015-12-07,38.82,39.900002,33.014999,33.93,3021400,33.93
2015-12-04,51.18,51.950001,44.34,45.669998,475500,45.669998
2015-12-03,50.700001,51.639999,49.709999,51.119999,293500,51.119999
2015-12-02,47.040001,50.50,47.040001,50.48,331700,50.48
2015-12-01,46.959999,47.950001,44.509998,47.330002,524900,47.330002
2015-11-30,49.66,54.990002,46.220001,46.959999,295900,46.959999
2015-11-27,49.799999,50.819,48.950001,49.360001,68100,49.360001
2015-11-25,48.970001,50.66,48.369999,49.73,293300,49.73
2015-11-24,49.540001,50.575001,48.02,48.700001,522900,48.700001
2015-11-23,51.439999,51.596001,49.169998,49.599998,239100,49.599998
2015-11-20,50.080002,54.240002,49.568001,51.849998,360600,51.849998
2015-11-19,54.43,54.57,49.990002,50.09,355700,50.09
2015-11-18,47.049999,55.740002,47.049999,54.66,432700,54.66
2015-11-17,43.599998,48.110001,42.759998,46.860001,184700,46.860001
2015-11-16,45.490002,45.775002,43.02,43.549999,188600,43.549999
2015-11-13,41.630001,45.48,41.421001,45.349998,226800,45.349998
2015-11-12,43.509998,43.580002,40.599998,41.759998,174700,41.759998
2015-11-11,44.200001,44.610001,43.189999,43.66,182700,43.66
2015-11-10,44.259998,44.860001,42.209999,43.950001,219200,43.950001
2015-11-09,44.75,44.77,42.029999,44.529999,796400,44.529999
2015-11-06,47.34,47.689999,44.099998,44.830002,260500,44.830002
2015-11-05,50.060001,50.560001,47.759998,47.889999,152900,47.889999
2015-11-04,49.75,50.665001,48.02,49.799999,239400,49.799999
2015-11-03,47.330002,51.91,47.330002,51.009998,165700,51.009998
2015-11-02,47.220001,48.50,46.549999,48.290001,127200,48.290001
2015-10-30,45.91,46.849998,45.57,46.630001,64000,46.630001
2015-10-29,46.98,47.360001,45.779999,46.049999,47500,46.049999
2015-10-28,46.240002,47.25,45.599998,47.07,191200,47.07
2015-10-27,46.57,47.25,45.880001,45.98,138500,45.98
2015-10-26,45.709999,47.880001,44.139999,46.919998,120600,46.919998
2015-10-23,45.68,47.68,45.240002,45.849998,110200,45.849998
2015-10-22,45.00,46.040001,44.25,45.060001,204100,45.060001
2015-10-21,48.810001,49.200001,44.48,44.689999,191800,44.689999
2015-10-20,49.52,50.125999,47.400002,48.419998,140600,48.419998
2015-10-19,46.400002,50.98,45.776001,49.209999,203900,49.209999
