Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,3.51,3.945,3.51,3.60,1068900,3.60
2016-01-22,3.56,3.70,3.314,3.56,1672000,3.56
2016-01-21,3.41,3.74,3.34,3.41,1094400,3.41
2016-01-20,3.50,3.56,3.22,3.37,1055100,3.37
2016-01-19,3.84,3.85,3.51,3.53,760000,3.53
2016-01-15,3.92,3.97,3.60,3.825,854200,3.825
2016-01-14,3.82,4.11,3.70,4.05,782500,4.05
2016-01-13,3.75,4.06,3.75,3.80,1196800,3.80
2016-01-12,4.21,4.459,3.75,3.78,1496000,3.78
2016-01-11,4.51,4.555,4.11,4.17,1264200,4.17
2016-01-08,4.80,4.889,4.53,4.54,626400,4.54
2016-01-07,5.12,5.30,4.62,4.74,1699700,4.74
2016-01-06,5.20,5.37,5.10,5.24,570000,5.24
2016-01-05,5.47,5.47,5.19,5.28,670500,5.28
2016-01-04,5.49,5.55,5.28,5.44,831300,5.44
2015-12-31,5.70,5.85,5.44,5.59,568700,5.59
2015-12-30,5.46,5.85,5.42,5.74,1175000,5.74
2015-12-29,5.41,5.555,5.18,5.43,718500,5.43
2015-12-28,5.54,5.675,5.33,5.41,494400,5.41
2015-12-24,5.41,5.58,5.39,5.51,406800,5.51
2015-12-23,5.47,5.707,5.336,5.41,905700,5.41
2015-12-22,5.89,5.95,4.99,5.44,1664400,5.44
2015-12-21,5.65,5.926,5.55,5.84,1832200,5.84
2015-12-18,4.88,5.63,4.88,5.60,5218100,5.60
2015-12-17,5.19,5.29,4.87,4.97,2112700,4.97
2015-12-16,5.12,5.15,4.85,4.98,1925800,4.98
2015-12-15,4.72,5.08,4.68,4.74,1491100,4.74
2015-12-14,4.50,4.78,4.37,4.73,815100,4.73
2015-12-11,4.68,4.85,4.381,4.49,920000,4.49
2015-12-10,4.38,4.763,4.30,4.76,1039100,4.76
2015-12-09,4.20,4.70,4.14,4.43,2011700,4.43
2015-12-08,3.77,4.10,3.72,3.97,628700,3.97
2015-12-07,4.17,4.24,3.71,3.86,1827100,3.86
2015-12-04,4.45,4.57,4.12,4.26,907200,4.26
2015-12-03,4.32,4.60,4.24,4.47,895400,4.47
2015-12-02,4.11,4.55,3.95,4.27,2102000,4.27
2015-12-01,4.29,4.705,4.15,4.41,4389400,4.41
2015-11-30,4.38,4.40,4.00,4.03,1644600,4.03
2015-11-27,4.11,4.42,4.03,4.42,993100,4.42
2015-11-25,5.19,5.19,4.02,4.11,3808200,3.94
2015-11-24,5.72,5.766,4.93,5.22,2613500,5.004087
2015-11-23,5.10,5.81,5.085,5.43,1860900,5.205401
2015-11-20,5.00,5.465,4.66,5.27,1641100,5.052019
2015-11-19,5.20,5.315,4.32,4.76,2090700,4.563115
2015-11-18,5.91,5.994,4.67,5.34,5551400,5.119124
2015-11-17,6.77,6.77,5.91,5.92,988000,5.675134
2015-11-16,6.84,6.94,6.68,6.80,596600,6.518735
2015-11-13,6.56,7.00,6.56,6.90,628400,6.614599
2015-11-12,6.85,6.85,6.26,6.605,1165500,6.331801
2015-11-11,7.20,7.20,6.71,7.05,1029500,6.758394
2015-11-10,7.77,7.97,6.89,7.22,1268700,6.921362
2015-11-09,7.59,7.66,7.35,7.56,482500,7.247299
2015-11-06,7.45,7.794,7.32,7.65,414200,7.333577
2015-11-05,7.62,7.635,7.47,7.50,469900,7.189781
2015-11-04,7.97,8.085,7.57,7.61,633200,7.295231
2015-11-03,7.90,8.08,7.77,8.00,903500,7.6691
2015-11-02,7.67,8.00,7.62,7.91,626800,7.582822
2015-10-30,7.40,7.68,7.31,7.63,473800,7.314404
2015-10-29,7.38,7.61,7.22,7.50,565000,7.189781
2015-10-28,7.35,7.58,7.21,7.52,371900,7.208954
2015-10-27,7.45,7.53,7.11,7.38,567400,7.074745
2015-10-26,7.73,7.856,7.46,7.51,247800,7.199368
2015-10-23,7.86,8.132,7.35,7.71,1808500,7.391095
2015-10-22,7.90,8.04,7.70,7.94,427000,7.611582
2015-10-21,7.90,8.01,7.64,7.80,440200,7.477372
2015-10-20,7.97,8.238,7.82,7.91,381500,7.582822
2015-10-19,8.00,8.24,7.86,7.96,358700,7.630754
2015-10-16,8.00,8.14,7.745,8.09,972300,7.755377
2015-10-15,7.72,8.07,7.56,8.00,678200,7.6691
2015-10-14,7.78,7.93,7.54,7.71,456000,7.391095
2015-10-13,8.01,8.25,7.65,7.71,744900,7.391095
2015-10-12,8.24,8.31,7.99,8.03,1168200,7.697859
2015-10-09,7.91,8.36,7.84,8.19,2058500,7.851241
2015-10-08,7.00,7.86,7.00,7.84,1321800,7.515718
2015-10-07,6.79,7.19,6.55,7.16,1574100,6.863844
2015-10-06,7.06,7.43,6.655,6.68,1096200,6.403698
2015-10-05,6.55,7.18,6.45,7.01,1338900,6.720049
2015-10-02,6.37,6.55,6.12,6.45,1349100,6.183212
2015-10-01,6.67,6.95,6.24,6.32,1284800,6.058589
2015-09-30,6.89,7.114,6.38,6.66,8326300,6.384525
2015-09-29,6.98,7.265,6.52,6.82,1811300,6.537908
2015-09-28,7.91,8.06,7.09,7.13,1126700,6.835085
2015-09-25,7.70,8.04,7.66,7.95,775400,7.621168
2015-09-24,7.74,7.90,7.54,7.66,928700,7.343163
2015-09-23,8.32,8.52,7.73,7.75,954400,7.42944
2015-09-22,8.60,8.71,8.11,8.27,812600,7.927932
2015-09-21,8.62,9.22,8.54,8.67,844000,8.311387
2015-09-18,8.86,9.65,8.86,9.03,2643500,8.656496
2015-09-17,9.17,9.27,8.68,8.94,523400,8.570219
2015-09-16,8.58,9.34,8.50,9.13,1238000,8.75236
2015-09-15,8.76,8.90,8.42,8.48,727100,8.129245
2015-09-14,9.54,9.696,8.50,8.63,576600,8.273042
2015-09-11,8.67,8.98,8.285,8.55,568800,8.196351
2015-09-10,9.10,9.31,8.73,8.81,737600,8.445597
2015-09-09,9.11,9.38,9.02,9.21,332200,8.829051
2015-09-08,9.75,10.468,9.01,9.14,829200,8.761947
2015-09-04,10.20,10.32,9.75,9.89,401400,9.480925
2015-09-03,9.38,10.28,9.31,10.22,1037600,9.797275
2015-09-02,9.44,10.16,8.89,9.52,1042800,9.126229
2015-09-01,9.80,10.35,9.19,9.29,579100,8.905742
2015-08-31,10.25,10.346,9.448,9.74,709700,9.337129
