Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.70,10.00,9.70,10.00,1300,10.00
2016-01-22,9.71,9.71,9.71,9.71,5000,9.71
2016-01-21,9.56,9.56,9.56,9.56,000,9.56
2016-01-20,9.56,9.56,9.56,9.56,000,9.56
2016-01-19,9.56,9.56,9.56,9.56,000,9.56
2016-01-15,9.56,9.70,9.56,9.56,21200,9.56
2016-01-14,9.56,9.56,9.56,9.56,757100,9.56
2016-01-13,9.66,9.66,9.66,9.66,000,9.66
2016-01-12,9.66,9.66,9.66,9.66,000,9.66
2016-01-11,9.66,9.66,9.66,9.66,000,9.66
2016-01-08,9.66,9.66,9.66,9.66,000,9.66
2016-01-07,9.66,9.66,9.66,9.66,000,9.66
2016-01-06,9.66,9.66,9.66,9.66,000,9.66
2016-01-05,9.66,9.66,9.66,9.66,000,9.66
2016-01-04,9.62,9.79,9.56,9.66,10700,9.66
2015-12-31,10.00,10.00,9.90,9.90,700,9.90
2015-12-30,9.54,9.54,9.54,9.54,000,9.54
2015-12-29,9.54,9.54,9.54,9.54,000,9.54
2015-12-28,9.54,9.54,9.54,9.54,000,9.54
2015-12-24,9.54,9.54,9.54,9.54,000,9.54
2015-12-23,9.54,9.54,9.54,9.54,100000,9.54
2015-12-22,9.66,10.19,9.58,9.84,116000,9.84
2015-12-21,9.65,9.85,9.60,9.78,71400,9.78
2015-12-18,9.68,9.85,9.48,9.74,44100,9.74
2015-12-17,9.60,9.60,9.60,9.60,000,9.60
2015-12-16,9.60,9.60,9.60,9.60,000,9.60
2015-12-15,9.60,9.60,9.60,9.60,100000,9.60
2015-12-14,9.82,9.82,9.82,9.82,000,9.82
2015-12-11,9.82,9.82,9.82,9.82,000,9.82
2015-12-10,9.82,9.82,9.82,9.82,000,9.82
2015-12-09,9.82,9.82,9.82,9.82,000,9.82
2015-12-08,9.82,9.82,9.82,9.82,000,9.82
2015-12-07,9.82,9.82,9.82,9.82,000,9.82
2015-12-04,9.82,9.82,9.82,9.82,000,9.82
2015-12-03,9.82,9.82,9.82,9.82,000,9.82
2015-12-02,9.82,9.82,9.82,9.82,000,9.82
2015-12-01,9.82,9.82,9.82,9.82,000,9.82
2015-11-30,9.82,9.82,9.82,9.82,100,9.82
2015-11-27,9.75,9.75,9.75,9.75,000,9.75
2015-11-25,9.75,9.75,9.75,9.75,000,9.75
2015-11-24,9.75,9.75,9.75,9.75,000,9.75
2015-11-23,9.75,9.75,9.75,9.75,000,9.75
2015-11-20,9.75,9.75,9.75,9.75,000,9.75
2015-11-19,9.75,9.75,9.75,9.75,000,9.75
2015-11-18,9.75,9.75,9.75,9.75,000,9.75
2015-11-17,9.73,9.75,9.73,9.75,1300,9.75
2015-11-16,9.45,9.45,9.45,9.45,000,9.45
2015-11-13,9.45,9.45,9.45,9.45,000,9.45
2015-11-12,9.45,9.45,9.45,9.45,000,9.45
2015-11-11,9.45,9.45,9.45,9.45,000,9.45
2015-11-10,9.45,9.45,9.45,9.45,000,9.45
2015-11-09,9.45,9.45,9.45,9.45,000,9.45
2015-11-06,9.45,9.45,9.45,9.45,000,9.45
2015-11-05,9.45,9.45,9.45,9.45,000,9.45
2015-11-04,9.45,9.45,9.45,9.45,000,9.45
2015-11-03,9.45,9.45,9.45,9.45,000,9.45
2015-11-02,9.45,9.45,9.45,9.45,000,9.45
2015-10-30,9.47,9.47,9.45,9.45,2400,9.45
2015-10-29,9.75,9.76,9.50,9.50,12600,9.50
