Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,14.55,14.97,14.34,14.45,29400,14.45
2016-01-22,14.35,14.88,14.12,14.65,38300,14.65
2016-01-21,13.83,14.84,13.74,14.09,49700,14.09
2016-01-20,13.65,14.09,13.65,13.90,40600,13.90
2016-01-19,14.32,14.32,13.51,13.82,45600,13.82
2016-01-15,14.37,14.87,14.20,14.32,23400,14.32
2016-01-14,13.86,15.00,13.83,14.64,86000,14.64
2016-01-13,14.31,14.32,13.83,13.83,16500,13.83
2016-01-12,14.55,14.55,14.25,14.38,16600,14.38
2016-01-11,15.00,15.156,14.28,14.51,83600,14.51
2016-01-08,15.34,15.44,15.00,15.00,52800,15.00
2016-01-07,15.80,15.90,15.20,15.25,48200,15.25
2016-01-06,15.86,16.110001,15.71,15.89,56000,15.89
2016-01-05,15.90,16.389999,15.747,16.00,56800,16.00
2016-01-04,16.209999,16.209999,15.71,15.81,63400,15.81
2015-12-31,15.28,16.540001,15.28,16.25,178500,16.25
2015-12-30,15.16,15.49,14.90,15.355,32900,15.355
2015-12-29,15.14,15.50,15.05,15.36,46000,15.36
2015-12-28,15.18,15.25,14.80,15.09,26200,15.09
2015-12-24,15.09,15.51,14.95,15.22,51400,15.22
2015-12-23,14.74,15.66,14.45,15.05,137500,15.05
2015-12-22,14.24,14.74,13.97,14.66,63200,14.66
2015-12-21,14.18,14.49,13.75,14.34,28700,14.34
2015-12-18,14.47,14.51,13.94,14.12,84200,14.12
2015-12-17,14.56,14.60,14.155,14.51,82700,14.51
2015-12-16,14.41,14.65,13.00,14.62,101400,14.62
2015-12-15,14.35,14.55,14.10,14.39,101000,14.39
2015-12-14,14.46,14.555,14.119,14.39,93200,14.39
2015-12-11,14.30,14.45,14.08,14.45,38500,14.45
2015-12-10,13.84,14.89,13.84,14.44,84400,14.44
2015-12-09,14.20,14.32,13.53,14.09,71400,14.09
2015-12-08,13.97,14.90,13.78,13.96,110800,13.96
2015-12-07,13.91,14.31,13.00,14.10,173600,14.10
2015-12-04,13.93,14.17,13.65,13.98,96400,13.98
2015-12-03,13.98,14.17,13.84,13.98,75400,13.98
2015-12-02,13.55,14.18,13.55,14.005,93800,14.005
2015-12-01,13.15,13.78,13.15,13.66,388300,13.66
2015-11-30,13.04,13.41,12.98,13.21,185800,13.21
2015-11-27,12.65,13.02,12.60,12.87,87100,12.87
2015-11-25,12.68,12.99,12.56,12.84,204500,12.84
2015-11-24,12.67,12.99,12.605,12.75,250000,12.75
2015-11-23,12.71,12.90,12.49,12.62,79500,12.62
2015-11-20,12.69,12.91,12.60,12.70,38600,12.70
2015-11-19,12.93,13.20,12.615,12.67,197800,12.67
2015-11-18,13.835,13.835,12.86,12.99,208800,12.99
2015-11-17,13.12,13.42,12.92,12.95,88600,12.95
2015-11-16,13.43,13.88,13.15,13.16,136400,13.16
2015-11-13,13.72,13.80,13.26,13.35,48000,13.35
2015-11-12,13.75,14.06,13.65,13.72,23900,13.72
2015-11-11,13.90,14.08,13.75,13.85,51900,13.85
2015-11-10,14.10,14.10,13.83,13.89,23500,13.89
2015-11-09,14.10,14.20,13.91,14.10,32100,14.10
2015-11-06,14.23,14.26,13.88,14.14,54100,14.14
2015-11-05,14.86,14.86,14.05,14.33,58600,14.33
2015-11-04,14.28,15.05,14.15,14.78,112000,14.78
2015-11-03,15.20,15.50,14.56,14.61,80400,14.21
2015-11-02,14.77,15.216,14.60,15.00,62100,14.589323
2015-10-30,14.49,14.77,14.21,14.77,60200,14.36562
2015-10-29,14.35,14.75,14.13,14.45,31300,14.05438
2015-10-28,14.41,14.59,13.78,14.46,65700,14.064107
2015-10-27,14.35,14.57,13.55,14.15,93200,13.762594
2015-10-26,14.25,14.54,13.86,14.50,72300,14.103012
2015-10-23,14.40,14.74,14.00,14.12,22800,13.733415
2015-10-22,14.26,14.38,13.696,14.28,61000,13.889035
2015-10-21,14.35,14.43,14.00,14.30,25900,13.908488
2015-10-20,14.48,14.50,13.92,14.26,38400,13.869583
2015-10-19,13.99,14.77,13.99,14.24,37300,13.85013
2015-10-16,13.87,14.61,13.87,14.50,12300,14.103012
2015-10-15,14.25,14.50,13.99,14.36,14200,13.966844
2015-10-14,13.63,14.334,13.63,14.10,27000,13.713964
2015-10-13,14.10,14.74,13.55,13.55,178400,13.179022
2015-10-12,14.42,14.60,14.05,14.17,51200,13.782047
2015-10-09,13.55,14.60,13.44,14.32,121700,13.92794
2015-10-08,13.21,14.60,13.21,13.51,193400,13.140117
2015-10-07,12.98,13.50,12.96,13.35,36800,12.984497
2015-10-06,13.12,13.30,13.00,13.22,39400,12.858056
2015-10-05,13.25,13.25,13.04,13.19,41400,12.828877
2015-10-02,13.25,13.465,12.92,13.33,73700,12.965045
2015-10-01,13.24,13.71,13.11,13.49,120600,13.120664
2015-09-30,13.10,13.25,12.92,13.20,51100,12.838604
2015-09-29,13.20,13.495,12.92,13.09,137600,12.731616
2015-09-28,13.38,13.51,12.92,13.29,108800,12.92614
2015-09-25,13.51,13.76,13.28,13.42,34400,13.052581
2015-09-24,13.66,13.82,13.10,13.49,142500,13.120664
2015-09-23,13.84,13.90,13.58,13.79,25000,13.41245
2015-09-22,13.54,14.06,13.26,13.85,26600,13.470808
2015-09-21,13.63,13.95,13.28,13.72,55500,13.344367
2015-09-18,12.97,13.495,12.97,13.44,37500,13.072033
2015-09-17,13.13,13.33,12.92,13.05,87100,12.692711
2015-09-16,13.08,13.21,13.01,13.10,69000,12.741342
2015-09-15,13.30,13.335,13.00,13.11,83500,12.751068
2015-09-14,13.00,13.35,12.95,13.09,84900,12.731616
2015-09-11,13.30,13.335,12.92,13.09,63700,12.731616
2015-09-10,13.56,13.56,12.53,13.25,201600,12.887235
2015-09-09,13.98,13.98,13.37,13.54,66500,13.169295
2015-09-08,14.46,14.46,13.65,13.75,130400,13.373546
2015-09-04,14.50,14.50,14.06,14.35,20300,13.957119
2015-09-03,14.60,14.60,14.40,14.46,14400,14.064107
2015-09-02,14.15,14.65,13.97,14.50,58800,14.103012
2015-09-01,14.20,14.45,13.75,14.07,54100,13.684784
2015-08-31,13.48,14.74,13.24,14.62,181300,14.219726
2015-08-28,14.07,14.07,13.055,13.70,61200,13.324914
2015-08-27,13.38,14.20,10.92,13.52,75100,13.149843
2015-08-26,13.46,13.89,12.48,13.20,119100,12.838604
2015-08-25,14.46,14.63,13.00,13.32,165400,12.955318
2015-08-24,14.64,14.72,13.04,14.18,200600,13.791773
2015-08-21,14.72,14.94,14.68,14.94,34700,14.530965
2015-08-20,14.58,15.02,14.38,14.75,68500,14.346167
2015-08-19,14.81,14.95,14.70,14.77,10200,14.36562
2015-08-18,14.94,14.99,14.69,14.77,63100,14.36562
2015-08-17,15.02,15.05,14.75,14.99,29700,14.579596
2015-08-14,14.67,15.04,14.51,14.90,93500,14.49206
2015-08-13,14.99,15.07,14.615,14.91,28200,14.501786
2015-08-12,14.95,15.09,14.49,14.93,38600,14.521239
2015-08-11,15.24,15.30,14.00,14.93,16100,14.521239
2015-08-10,15.25,15.30,14.20,15.23,136000,14.813025
2015-08-07,14.80,14.98,14.696,14.80,13200,14.394798
2015-08-06,14.85,15.57,14.50,14.87,61300,14.462882
2015-08-05,15.58,15.92,14.85,15.01,118400,14.599049
2015-08-04,15.93,15.96,15.615,15.66,120200,15.231253
2015-08-03,15.77,16.00,15.15,15.96,87000,15.523039
2015-07-31,15.50,15.95,15.30,15.95,63600,15.513313
2015-07-30,15.48,15.48,15.08,15.48,22000,15.05618
2015-07-29,15.30,15.53,15.05,15.53,196300,15.104812
2015-07-28,14.93,15.33,14.90,15.12,31700,14.706037
2015-07-27,15.09,15.35,14.85,14.98,60100,14.56987
2015-07-24,15.49,15.765,15.09,15.43,92600,15.00755
2015-07-23,15.77,15.90,15.50,15.56,64400,15.133991
2015-07-22,15.75,15.99,15.25,15.51,57900,15.08536
2015-07-21,15.10,16.00,14.92,15.78,294600,15.347967
2015-07-20,15.43,15.49,14.90,15.13,111200,14.715763
2015-07-17,14.75,15.50,14.75,15.46,189200,15.036728
2015-07-16,14.98,14.99,14.535,14.73,37700,14.326714
2015-07-15,14.74,14.90,14.52,14.66,37700,14.258631
2015-07-14,14.84,14.90,14.50,14.84,46500,14.433703
2015-07-13,14.67,14.95,14.50,14.76,69100,14.355894
2015-07-10,14.40,15.19,14.40,14.89,62400,14.482334
2015-07-09,14.29,14.74,14.21,14.29,294800,13.898761
2015-07-08,14.19,14.69,13.86,14.40,94300,14.005749
2015-07-07,14.27,14.69,13.85,14.60,183000,14.200274
2015-07-06,14.79,14.83,14.11,14.40,184000,14.005749
2015-07-02,15.22,15.63,13.41,14.81,412000,14.404525
2015-07-01,15.40,15.85,15.15,15.29,292900,14.871383
2015-06-30,15.70,15.98,15.34,15.51,558300,15.08536
2015-06-29,15.00,16.290001,14.85,15.99,873700,15.552218
2015-06-26,15.23,15.69,15.00,15.00,7284800,14.589323
