Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,24.639999,24.65,24.50,24.59,44400,24.59
2016-01-22,24.559999,24.615999,24.398001,24.450001,23000,24.450001
2016-01-21,24.59,24.65,24.17,24.25,35000,24.25
2016-01-20,24.50,24.700001,24.16,24.450001,49500,24.450001
2016-01-19,24.65,24.85,24.41,24.50,41100,24.50
2016-01-15,24.25,24.608999,24.25,24.549999,25600,24.549999
2016-01-14,24.629999,24.629999,24.309999,24.49,34100,24.49
2016-01-13,24.360001,24.629999,24.18,24.49,56600,24.49
2016-01-12,24.50,24.58,24.40,24.549999,50700,24.549999
2016-01-11,24.27,24.48,24.18,24.360001,17600,24.360001
2016-01-08,24.16,24.42,24.16,24.27,37000,24.27
2016-01-07,24.16,24.24,24.00,24.030001,119500,24.030001
2016-01-06,24.299999,24.40,24.01,24.046,124800,24.046
2016-01-05,24.42,24.50,24.200001,24.280001,83800,24.280001
2016-01-04,24.50,24.589001,24.290001,24.299999,62000,24.299999
2015-12-31,24.60,24.60,24.40,24.48,21800,24.48
2015-12-30,24.629999,24.736,24.40,24.50,34800,24.50
2015-12-29,24.579,24.65,24.40,24.52,20800,24.52
2015-12-28,24.200001,24.389999,24.200001,24.32,59600,24.32
2015-12-24,24.290001,24.360001,24.16,24.235001,29200,24.235001
2015-12-23,24.24,24.52,24.16,24.209999,71600,24.209999
2015-12-22,24.50,24.576,24.10,24.212999,248400,24.212999
2015-12-21,25.07,25.07,24.33,24.40,136000,24.40
2015-12-18,25.00,25.00,24.91,25.00,36900,25.00
2015-12-17,24.99,25.00,24.92,24.969999,26200,24.969999
2015-12-16,25.00,25.00,24.879999,24.945,22600,24.945
2015-12-15,25.00,25.00,24.870001,24.934,23900,24.934
2015-12-14,24.971001,24.99,24.73,24.860001,33300,24.860001
2015-12-11,25.00,25.00,24.92,24.98,22500,24.98
2015-12-10,25.00,25.00,24.941,24.98,20200,24.98
2015-12-09,24.940001,25.00,24.90,24.98,24800,24.98
2015-12-08,24.860001,24.940001,24.806999,24.870001,36800,24.870001
2015-12-07,24.93,24.93,24.790001,24.860001,40400,24.860001
2015-12-04,24.879999,24.90,24.809999,24.879999,20100,24.879999
2015-12-03,24.889999,24.922001,24.780001,24.84,74500,24.84
2015-12-02,24.83,24.91,24.67,24.889999,38500,24.889999
2015-12-01,24.65,24.83,24.559999,24.83,44600,24.83
2015-11-30,24.799999,24.940001,24.450001,24.450001,55600,24.450001
2015-11-27,24.85,24.85,24.65,24.740999,7600,24.740999
2015-11-25,24.90,24.98,24.860001,24.92,32400,24.92
2015-11-24,24.889999,24.893,24.83,24.83,41300,24.83
2015-11-23,24.889999,24.889999,24.799999,24.85,27600,24.85
2015-11-20,24.90,24.90,24.75,24.889999,20100,24.889999
2015-11-19,24.940001,24.959999,24.826,24.889999,41700,24.889999
2015-11-18,24.950001,24.950001,24.709999,24.76,31000,24.76
2015-11-17,24.959999,24.959999,24.75,24.84,52300,24.84
2015-11-16,24.90,24.91,24.84,24.889999,42100,24.889999
2015-11-13,25.00,25.00,24.820999,24.879999,58500,24.879999
2015-11-12,24.90,24.90,24.764999,24.805,26500,24.805
2015-11-11,24.719999,24.82,24.642,24.74,32900,24.74
2015-11-10,24.58,24.690001,24.575001,24.610001,27100,24.610001
2015-11-09,24.639999,24.76,24.40,24.540001,37600,24.540001
2015-11-06,24.93,24.93,24.50,24.52,45800,24.52
2015-11-05,24.93,24.99,24.73,24.76,77500,24.76
2015-11-04,24.85,24.99,24.813999,24.93,64000,24.93
2015-11-03,24.780001,24.85,24.709999,24.809999,80300,24.809999
2015-11-02,24.700001,24.73,24.610001,24.719999,46600,24.719999
