Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,9.001,11.35,9.001,11.35,3100,11.35
2016-01-22,9.76,10.00,9.76,10.00,8100,10.00
2016-01-21,9.60,9.80,9.60,9.78,5000,9.78
2016-01-20,9.60,9.60,9.60,9.60,000,9.60
2016-01-19,9.60,9.60,9.56,9.60,1700,9.60
2016-01-15,9.50,9.60,9.48,9.60,2100,9.60
2016-01-14,9.30,9.30,9.30,9.30,000,9.30
2016-01-13,9.30,9.32,9.30,9.30,1700,9.30
2016-01-12,9.364,9.364,9.364,9.364,000,9.364
2016-01-11,9.364,9.364,9.364,9.364,100,9.364
2016-01-08,9.55,9.59,9.55,9.58,2000,9.58
2016-01-07,9.45,9.45,9.30,9.40,2200,9.40
2016-01-06,9.50,9.59,9.50,9.59,400,9.59
2016-01-05,9.60,9.60,9.50,9.50,2700,9.50
2016-01-04,9.62,9.62,9.60,9.60,4200,9.60
2015-12-31,9.77,9.80,9.77,9.80,600,9.80
2015-12-30,9.50,9.50,9.50,9.50,2700,9.50
2015-12-29,9.50,9.50,9.50,9.50,600,9.50
2015-12-28,9.70,9.70,9.70,9.70,000,9.70
2015-12-24,9.70,9.70,9.70,9.70,000,9.70
2015-12-23,9.70,9.70,9.70,9.70,3400,9.70
2015-12-22,9.79,9.80,9.79,9.80,3000,9.80
2015-12-21,9.70,9.70,9.70,9.70,1000,9.70
2015-12-18,9.65,9.65,9.65,9.65,000,9.65
2015-12-17,9.65,9.65,9.65,9.65,1800,9.65
2015-12-16,9.69,9.69,9.69,9.69,000,9.69
2015-12-15,9.69,9.69,9.69,9.69,000,9.69
2015-12-14,9.69,9.69,9.67,9.69,2100,9.69
2015-12-11,9.54,9.54,9.54,9.54,000,9.54
2015-12-10,9.54,9.54,9.54,9.54,400,9.54
2015-12-09,9.69,9.69,9.69,9.69,3000,9.69
2015-12-08,9.65,9.65,9.65,9.65,000,9.65
2015-12-07,9.50,9.65,9.45,9.65,4400,9.65
2015-12-04,9.50,9.50,9.50,9.50,3600,9.50
2015-12-03,9.49,9.50,9.49,9.50,6500,9.50
2015-12-02,9.40,9.51,9.40,9.46,3800,9.46
2015-12-01,9.69,9.69,9.68,9.69,3200,9.69
2015-11-30,9.70,9.70,9.70,9.70,600,9.70
2015-11-27,9.30,9.30,9.30,9.30,500,9.30
2015-11-25,9.60,9.60,9.60,9.60,3400,9.60
2015-11-24,9.50,9.50,9.50,9.50,3500,9.50
2015-11-23,9.50,9.50,9.50,9.50,3000,9.50
