Date,Open,High,Low,Close,Volume,Adj Close
2010-11-18,6.73,6.75,6.48,6.54,852100,6.54
2010-11-17,6.62,6.72,6.58,6.66,1245500,6.66
2010-11-16,6.56,6.63,6.37,6.61,1683800,6.61
2010-11-15,6.67,6.72,6.57,6.61,529300,6.61
2010-11-12,6.67,6.85,6.65,6.65,839500,6.65
2010-11-11,6.63,6.75,6.51,6.71,850300,6.71
2010-11-10,6.70,6.84,6.61,6.79,805700,6.79
2010-11-09,6.74,6.80,6.64,6.68,618900,6.68
2010-11-08,6.73,6.78,6.66,6.74,770500,6.74
2010-11-05,6.88,6.88,6.72,6.78,564000,6.78
2010-11-04,6.86,6.90,6.77,6.85,766600,6.85
2010-11-03,6.58,6.81,6.58,6.74,666900,6.74
2010-11-02,6.46,6.78,6.42,6.78,1700400,6.78
2010-11-01,7.00,7.00,6.38,6.38,1431600,6.38
2010-10-29,7.15,7.23,6.86,6.98,1535900,6.98
2010-10-28,6.91,7.00,6.74,6.98,923700,6.98
2010-10-27,6.81,6.91,6.77,6.82,671600,6.82
2010-10-26,6.93,6.98,6.85,6.86,790900,6.86
2010-10-25,6.97,7.10,6.93,7.00,995000,7.00
2010-10-22,6.88,7.00,6.86,6.93,557500,6.93
2010-10-21,6.99,7.05,6.71,6.83,626100,6.83
2010-10-20,6.85,7.02,6.77,6.98,716100,6.98
2010-10-19,6.75,6.98,6.70,6.82,787200,6.82
2010-10-18,6.99,7.05,6.93,6.97,516200,6.97
2010-10-15,7.12,7.12,6.94,6.97,735300,6.97
2010-10-14,7.09,7.10,6.90,7.01,466200,7.01
2010-10-13,7.07,7.15,6.95,7.08,843700,7.08
2010-10-12,7.02,7.08,6.90,7.05,488200,7.05
2010-10-11,7.05,7.10,6.95,7.02,338200,7.02
2010-10-08,7.02,7.12,6.98,7.08,928800,7.08
2010-10-07,7.15,7.15,6.93,7.04,492500,7.04
2010-10-06,7.07,7.14,7.04,7.10,954700,7.10
2010-10-05,6.99,7.15,6.92,7.10,930200,7.10
2010-10-04,7.00,7.00,6.74,6.90,979000,6.90
2010-10-01,6.91,7.07,6.88,7.00,1171800,7.00
2010-09-30,6.76,6.94,6.67,6.88,778700,6.88
2010-09-29,6.59,6.70,6.54,6.68,601900,6.68
2010-09-28,6.64,6.73,6.50,6.59,1103800,6.59
2010-09-27,6.65,6.68,6.56,6.60,662500,6.60
2010-09-24,6.60,6.71,6.56,6.63,1080300,6.63
2010-09-23,6.51,6.69,6.46,6.48,343600,6.48
2010-09-22,6.75,6.88,6.48,6.58,494700,6.58
2010-09-21,7.04,7.04,6.75,6.75,610900,6.75
2010-09-20,6.86,7.07,6.70,7.07,777300,7.07
2010-09-17,6.74,6.92,6.47,6.86,1004000,6.86
2010-09-16,6.93,6.93,6.57,6.64,708100,6.64
2010-09-15,6.77,6.96,6.30,6.92,815500,6.92
2010-09-14,6.76,6.87,6.60,6.78,455400,6.78
2010-09-13,6.53,6.78,6.50,6.76,674200,6.76
2010-09-10,6.48,6.54,6.41,6.47,420100,6.47
2010-09-09,6.46,6.48,6.30,6.47,369300,6.47
2010-09-08,6.35,6.44,6.31,6.44,494500,6.44
2010-09-07,6.38,6.40,6.28,6.33,388000,6.33
