Date,Open,High,Low,Close,Volume,Adj Close
2007-06-28,13.83,13.83,12.82,12.89,365500,12.89
2007-06-27,14.12,14.12,13.36,14.03,168200,14.03
2007-06-26,14.39,14.47,14.07,14.27,108300,14.27
2007-06-25,14.45,14.50,14.20,14.37,74300,14.37
2007-06-22,14.14,14.45,13.77,14.45,1013900,14.45
2007-06-21,13.89,14.10,13.75,14.10,30700,14.10
2007-06-20,14.30,14.32,13.95,13.99,67800,13.99
2007-06-19,13.75,14.27,13.63,14.23,90200,14.23
2007-06-18,14.11,14.15,13.62,13.84,31800,13.84
2007-06-15,14.29,14.29,13.94,14.11,62600,14.11
2007-06-14,14.03,14.07,13.68,14.07,68200,14.07
2007-06-13,14.11,14.21,13.69,13.99,35600,13.99
2007-06-12,14.01,14.22,13.94,14.05,82700,14.05
2007-06-11,14.21,14.22,13.91,14.12,51500,14.12
2007-06-08,13.89,14.37,13.81,14.15,180800,14.15
2007-06-07,13.57,13.86,13.50,13.74,40200,13.74
2007-06-06,13.60,13.69,13.42,13.67,37300,13.67
2007-06-05,13.56,13.79,13.38,13.65,251600,13.65
2007-06-04,13.65,13.79,13.41,13.65,99200,13.65
2007-06-01,13.57,13.95,13.49,13.75,38900,13.75
2007-05-31,13.39,13.85,13.22,13.54,72800,13.54
2007-05-30,13.06,13.44,13.06,13.41,40100,13.41
2007-05-29,12.98,13.24,12.92,13.18,69200,13.18
2007-05-25,13.09,13.11,12.94,12.96,142900,12.96
2007-05-24,13.58,13.67,12.88,13.06,109200,13.06
2007-05-23,13.78,13.84,13.46,13.60,40900,13.60
2007-05-22,13.70,13.78,13.36,13.77,46300,13.77
2007-05-21,13.44,13.78,13.34,13.78,37800,13.78
2007-05-18,13.42,13.47,13.07,13.41,38900,13.41
2007-05-17,13.20,13.49,13.10,13.36,59300,13.36
2007-05-16,13.42,13.49,13.10,13.24,50600,13.24
2007-05-15,13.57,13.81,13.33,13.39,53700,13.39
2007-05-14,13.88,14.22,13.32,13.62,65200,13.62
2007-05-11,13.24,14.05,13.24,13.85,67500,13.85
2007-05-10,14.40,14.67,13.62,13.82,85400,13.82
2007-05-09,14.31,14.85,14.13,14.41,143600,14.41
2007-05-08,14.44,14.54,14.00,14.31,117600,14.31
2007-05-07,13.70,14.52,13.56,14.36,158300,14.36
2007-05-04,12.75,13.95,12.20,13.60,227700,13.60
2007-05-03,12.71,12.71,11.99,12.39,163400,12.39
2007-05-02,12.10,12.51,11.98,12.28,70100,12.28
