Date,Open,High,Low,Close,Volume,Adj Close
2007-11-27,13.79,13.99,13.67,13.86,18000,13.86
2007-11-26,13.38,13.91,13.30,13.45,16400,13.45
2007-11-23,13.36,13.81,13.25,13.38,8500,13.38
2007-11-21,13.43,13.55,13.25,13.30,15400,13.30
2007-11-20,13.13,13.53,12.90,13.47,28000,13.47
2007-11-19,13.53,13.53,12.92,13.09,109400,13.09
2007-11-16,12.89,13.69,12.40,13.66,21300,13.66
2007-11-15,13.99,13.99,12.75,12.90,10000,12.90
2007-11-14,13.62,13.99,12.59,12.75,45300,12.75
2007-11-13,13.40,13.61,13.19,13.48,38300,13.48
2007-11-12,13.39,13.59,12.97,13.40,25800,13.40
2007-11-09,13.58,13.58,13.02,13.42,17900,13.42
2007-11-08,13.10,13.79,12.20,13.79,23900,13.79
2007-11-07,12.87,13.25,12.86,13.00,18400,13.00
2007-11-06,12.97,13.50,12.44,13.24,31100,13.24
2007-11-05,12.52,13.47,12.52,13.33,14500,13.33
2007-11-02,12.57,13.34,12.57,13.02,15800,13.02
2007-11-01,13.21,13.21,12.64,13.02,32900,13.02
2007-10-31,13.09,13.49,12.71,13.38,24700,13.38
2007-10-30,13.35,13.40,13.01,13.07,9400,13.07
2007-10-29,13.40,13.45,13.04,13.44,21900,13.44
2007-10-26,13.26,13.48,12.51,13.48,10800,13.48
2007-10-25,13.11,13.33,12.78,13.06,23200,13.06
2007-10-24,12.86,13.31,12.27,13.01,22600,13.01
2007-10-23,13.07,13.47,12.80,13.00,21700,13.00
2007-10-22,12.27,13.23,12.21,12.97,24600,12.97
2007-10-19,13.03,13.05,12.37,12.53,16300,12.53
2007-10-18,13.12,13.34,12.80,13.05,15900,13.05
2007-10-17,13.21,13.38,12.50,13.13,16200,13.13
2007-10-16,13.01,13.40,12.66,13.08,19100,13.08
2007-10-15,13.41,13.51,12.88,13.02,21500,13.02
2007-10-12,13.29,13.79,13.27,13.42,63100,13.42
2007-10-11,13.45,13.73,13.07,13.46,22500,13.46
2007-10-10,13.34,13.48,13.15,13.43,33400,13.43
2007-10-09,13.50,13.54,12.88,13.43,19400,13.43
2007-10-08,13.54,13.54,12.97,13.44,20900,13.44
2007-10-05,13.63,14.00,13.36,13.50,51100,13.50
2007-10-04,13.33,13.91,13.12,13.50,25100,13.50
2007-10-03,13.46,13.71,13.00,13.26,46400,13.26
2007-10-02,13.10,13.88,12.74,13.48,89400,13.48
2007-10-01,11.30,13.99,11.30,13.07,155100,13.07
2007-09-28,12.00,12.30,11.20,11.20,599100,11.20
2007-09-27,12.48,12.67,11.77,11.95,78500,11.95
2007-09-26,12.90,13.11,12.01,12.76,24400,12.76
2007-09-25,12.60,13.75,12.00,12.90,41300,12.90
2007-09-24,13.74,14.00,12.41,12.70,30100,12.70
2007-09-21,13.02,13.16,12.07,13.11,25300,13.11
2007-09-20,12.95,13.75,12.55,12.99,14000,12.99
2007-09-19,12.88,13.68,12.88,12.99,21100,12.99
2007-09-18,12.88,12.90,12.76,12.86,43700,12.86
2007-09-17,13.09,13.09,12.89,12.92,65500,12.92
2007-09-14,12.88,13.28,12.86,13.12,7100,13.12
2007-09-13,13.80,13.81,12.98,13.00,4200,13.00
2007-09-12,13.54,13.54,13.00,13.14,6000,13.14
2007-09-11,13.38,13.38,12.78,13.02,11700,13.02
2007-09-10,13.03,13.59,12.77,12.99,17600,12.99
2007-09-07,13.40,13.49,12.35,13.49,23000,13.49
2007-09-06,12.89,13.14,12.38,13.03,36000,13.03
2007-09-05,13.79,13.93,12.75,13.15,17800,13.15
2007-09-04,13.57,13.95,13.57,13.85,13500,13.85
2007-08-31,13.81,13.81,13.22,13.44,24400,13.44
2007-08-30,13.34,13.81,12.00,13.07,27500,13.07
2007-08-29,12.84,13.10,12.42,13.10,11900,13.10
2007-08-28,13.44,13.80,12.40,12.77,35400,12.77
2007-08-27,13.00,13.40,13.00,13.40,11600,13.40
2007-08-24,13.25,13.38,12.87,13.29,8600,13.29
2007-08-23,13.37,13.37,12.49,13.25,13200,13.25
2007-08-22,12.25,13.45,12.25,13.37,21100,13.37
2007-08-21,12.15,13.30,12.15,12.55,14500,12.55
2007-08-20,11.50,13.33,11.50,13.00,13700,13.00
2007-08-17,12.84,13.18,12.44,13.18,18200,13.18
2007-08-16,12.66,12.83,11.51,12.83,17200,12.83
2007-08-15,13.06,13.06,12.46,12.75,6100,12.75
2007-08-14,13.25,13.37,12.84,13.09,25000,13.09
2007-08-13,13.26,13.26,12.51,13.25,20000,13.25
