Date,Open,High,Low,Close,Volume,Adj Close
2016-01-25,15.80,16.98,14.78,15.13,70800,15.13
2016-01-22,16.120001,17.43,15.71,15.78,36200,15.78
2016-01-21,15.62,16.625,15.58,15.99,38600,15.99
2016-01-20,15.06,15.81,14.26,15.70,46700,15.70
2016-01-19,15.98,16.10,14.93,15.39,55200,15.39
2016-01-15,15.25,16.049999,15.01,15.71,39200,15.71
2016-01-14,15.92,17.49,14.16,15.92,93100,15.92
2016-01-13,16.200001,16.40,15.61,15.91,60400,15.91
2016-01-12,16.52,17.639999,15.40,16.379999,47800,16.379999
2016-01-11,17.00,17.07,15.44,16.49,88700,16.49
2016-01-08,16.57,16.58,16.00,16.23,33700,16.23
2016-01-07,17.00,17.209999,16.16,16.360001,36800,16.360001
2016-01-06,17.969999,18.01,17.120001,17.120001,17400,17.120001
2016-01-05,18.50,18.51,18.00,18.15,65100,18.15
2016-01-04,19.719999,19.719999,18.18,18.43,67300,18.43
2015-12-31,19.02,19.92,18.83,19.860001,57900,19.860001
2015-12-30,19.59,19.99,18.879999,19.059999,49100,19.059999
2015-12-29,19.450001,19.530001,18.790001,19.09,43500,19.09
2015-12-28,19.10,19.84,19.040001,19.040001,73700,19.040001
2015-12-24,18.67,19.33,18.389999,19.309999,64200,19.309999
2015-12-23,17.806,18.719999,17.806,18.67,10400,18.67
2015-12-22,18.870001,18.870001,17.40,18.459999,28000,18.459999
2015-12-21,19.26,19.99,16.639999,18.860001,40700,18.860001
2015-12-18,18.99,20.60,18.65,19.309999,452100,19.309999
2015-12-17,19.23,19.60,17.18,18.879999,57000,18.879999
2015-12-16,18.41,19.50,18.41,19.50,50900,19.50
2015-12-15,17.90,18.60,17.74,18.139999,63300,18.139999
2015-12-14,16.440001,18.00,16.440001,17.93,81400,17.93
2015-12-11,16.08,16.775,16.049999,16.309999,40300,16.309999
2015-12-10,16.459999,16.92,16.049999,16.190001,15400,16.190001
2015-12-09,16.358,16.92,15.99,16.84,37200,16.84
2015-12-08,16.35,17.290001,16.35,16.709999,48400,16.709999
2015-12-07,16.84,17.999001,16.50,16.610001,35400,16.610001
2015-12-04,17.50,17.709999,16.74,16.959999,34500,16.959999
2015-12-03,17.01,17.49,17.01,17.34,23600,17.34
2015-12-02,16.690001,17.08,16.49,16.68,18000,16.68
2015-12-01,17.42,17.615,16.639999,16.790001,27900,16.790001
2015-11-30,16.809999,17.50,16.50,17.32,53700,17.32
2015-11-27,17.00,17.318001,16.559999,16.68,20300,16.68
2015-11-25,16.23,16.99,15.60,16.799999,41300,16.799999
2015-11-24,15.57,16.50,15.26,16.41,52700,16.41
2015-11-23,15.31,15.77,15.00,15.54,46400,15.54
2015-11-20,14.13,15.35,14.01,15.12,28500,15.12
2015-11-19,14.50,14.50,13.55,14.12,25600,14.12
2015-11-18,13.94,14.43,13.21,14.16,42700,14.16
2015-11-17,13.77,14.38,13.47,13.95,73100,13.95
2015-11-16,14.22,14.41,13.55,14.25,44800,14.25
2015-11-13,15.16,15.35,14.01,14.28,39200,14.28
2015-11-12,16.00,16.01,14.99,15.28,22200,15.28
2015-11-11,15.94,16.219999,15.28,15.65,47800,15.65
2015-11-10,16.200001,16.60,15.23,15.93,62500,15.93
2015-11-09,16.35,16.620001,16.01,16.35,43800,16.35
2015-11-06,16.290001,16.98,16.01,16.35,30900,16.35
2015-11-05,17.120001,17.120001,16.422001,16.83,53200,16.83
2015-11-04,16.85,17.49,16.50,17.129999,43300,17.129999
